"[라이브 업데이트 등의 서비스를 제공한다. 이 시스템은 아마존웹서비스로부터즉시 수익화가 가능한 인공지능 솔루션 이라는 평가를 받았다. 부킹닷컴], 긍정 텍스트 확률 : 66.16%"
"[푹등 국내외 여개의 기업이 마이셀럽스가 제공하는 인공지능 솔루션을 도입하고 있다.최근에는 주요 주주인 카카오페이지와 다양한 신사업을 추진 중이다. 카카오페이지는 영화], 긍정 텍스트 확률 : 65.02%"
"[방송 등 주요 서비스를 마이셀럽스의 인공지능 엔진을 활용해 고도화할 계획이다. 마이셀럽스와 카카오페이지는 앞으로 년간 서비스 고도화에 약 억원을 투입할 방침이다.신지현 대표는 누구? ], 긍정 텍스트 확률 : 53.67%"
"[세상에 변화를 주는 일], 긍정 텍스트 확률 : 86.97%"
"[구글 등기업 소유주], 긍정 텍스트 확률 : 66.01%"
"[대표 등으로 구성된 개별 투자자와 인베스트먼트], 긍정 텍스트 확률 : 58.38%"
"[ 억원이다. 이번 마이셀럽스 시리즈 유치를 주도한 열림 파트너스의 최준규 대표는 “마이셀럽스가 그간에이전시 사업을 통해 축적한 경험을 바탕으로 여행], 긍정 텍스트 확률 : 68.58%"
"[특히 아마존], 긍정 텍스트 확률 : 72.22%"
"[신세계면세점 등 파트너 기업과 구축한 협력 관계를 토대로 다양한 신규 서비스 출시를 앞둔 게 가치 산정 과정에서 높은 평가를 받은 것으로 보인다.. 마이셀럽스는 지난달 시리즈 투자 유치를 단행했다. 복수의 투자자를 대상으로 상환전환우선주 주를 발행해 억원을 조달했다. 장덕수 대표가 이끄는 자산운용을 비롯해 다수의 기관 투자자가 를 인수했다. 이들 금융기관 외에 과거 마이셀럽스에 투자한 기존 주주들도 이번 증자에 또다시 참여했다.. 시리즈 투자 조건을 토대로 산정한 증자 단가는 약 만원액면가 원이다. 투자 유치 후 마이셀럽스의 발행주식 총수는 만주다. 단가와 발행주식 총수를 적용한 투자 후 지분 가치 는 약 억원이다. 억원은 년 전 실시한 시리즈 투자 유치 때보다 배가량 커진 금액이다. 마이셀럽스는 년 월 카카오페이지 등을 대상으로 약 주의 보통주와 를 발행해 수십억원을 조달했다. 당시 투자자들이 평가한 투자 후 지분 가치는 약 억원이었다. ], 긍정 텍스트 확률 : 74.54%"
"[ 등 국내외 여개의 기업이 마이셀럽스가 제공하는 인공지능 솔루션을 도입하고 있다. 최근에는 주요 주주인 카카오페이지와 다양한 신사업을 추진 중이다. 카카오페이지는 영화], 긍정 텍스트 확률 : 63.86%"
"[..인공지능 솔루션 업체 마이셀럽스대표 신지현는 억원 규모 시리즈 투자를 유치], 긍정 텍스트 확률 : 66.80%"
"[ ..마이셀럽스는 파트너사의 기존 사업을 화해주는에이전시다. 부킹닷컴], 긍정 텍스트 확률 : 75.55%"
"[한국투자증권 등 펀드운용사가 참여했다...시리즈 유치를 주도한 열림 파트너스의 최준규 대표는 “마이셀럽스가 그간에이전시 사업을 통해 축적한 경험을 바탕으로 여행], 긍정 텍스트 확률 : 72.52%"
"[특히 아마존], 긍정 텍스트 확률 : 72.22%"
"[카카오 등으로부터 기술력을 인정받은솔루션를 통해 컴퍼니빌더로의 진화 계획이 구체화되면서 투자자들의 공감을 얻었다”고 말했다...컴퍼니빌더 는 창업자가 가진 아이디어를 정교화해 사업화에 적합한 형태로 개발하고], 긍정 텍스트 확률 : 53.32%"
"[진화 속도를 더욱 빠르게 하기 위해서 비지니스의 적용도 더욱 확대해야 한다는 주장이다.실제 마이셀럽스는기술을 제휴사의 서비스와 결합해 비즈니스에 적용하도록 돕고 있다. 현재 롯데], 긍정 텍스트 확률 : 84.24%"
"[이 중 느낌과 생각을 비롯한 취향을 인식하는 기술 개발에 현재 집중되고 있다며 사람의 뇌가 하는 것을 기계가 할 수 있도록 가르치는 것이라고 강조했다.그는 동화 백설공주에서 마녀가 거울아 거울아 누가 이 세상에서 제일 예쁘니라고 묻는 장면을 예로 들었다. 신 대표는 거울이 백설공주가 가장 예쁩니다라고 대답하는데], 긍정 텍스트 확률 : 98.34%"
"[같은 질문일 때 는 모든 데이터를 활용해 예쁜 사람을 찾기 시작한다며 키], 긍정 텍스트 확률 : 90.79%"
"[개별의 취향을 감안해 가장 합리적인 결과를 도출해 낸다는 얘기다. 실제 인간은 출근하는 순간부터 잠이 들기까지 수많은 데이터를 남긴다. 손에 들고 있는 스마트폰을 통해 동선이 실시간 기록되고], 긍정 텍스트 확률 : 87.05%"
"[인터넷에 접속한 순간 모든 데이터가 서버에 남는다. 신 대표는 사람들이 남겨놓은 데이터와 를 접목시키면 사용자의 취향을 충분히 파악할 수 있다고 말했다.이는 기업 입장에서 볼 때 굉장히 중요하다. 소비층을 찾을 수 있을 뿐 아니라], 긍정 텍스트 확률 : 97.06%"
"[그들이 좋아하는 것에 맞춰 상품을 생산할 수 있기 때문이다. 신 대표는 가 데이터 과학을 통해 대중의 취향을 목적에 따라 분류·배포하는 큐레이션을 하고], 긍정 텍스트 확률 : 54.07%"
"[비슷한 취향의 사람들과 교류할 수 있도록 돕는 것이라고 말했다.다만 그는 같은 날 같은 시각에 태어난 쌍둥이조차 좋아하는 야구 팀이 다르듯], 긍정 텍스트 확률 : 88.36%"
"[다양한 인간의 취향을 온전히 파악하는 것은 현재의 기술로는 한계가 있지만], 긍정 텍스트 확률 : 54.97%"
"[점점 발전하고 있다고 평가했다.가령 독특한 거 없을까?라고 물을 때 영화를 묻는 것인지], 긍정 텍스트 확률 : 82.41%"
"[와인을 찾는 것인지], 긍정 텍스트 확률 : 52.31%"
"[누구와 있는지], 긍정 텍스트 확률 : 75.23%"
"[질 낮은 정보만 넘치는 게 현실이라며 가 사용자의 의도를 정확히 맞히는 것은 기술 및 데이터가 발달하면서 하나씩 실현 가능할 것이라고 말했다. 이어 그는 현재 시점에서는 사용자들이 남긴 데이터를 가 자동학습하는 소셜러닝을 통해 이에 다가가고 있다며 사용자들이 원하는 것을 맞힐 수 있다면 비즈니스화하는 것은 충분히 가능할 것이라고 덧붙였다..기사원문.출처아주경제.. .... ], 긍정 텍스트 확률 : 50.87%"
"[의도를 파악해 유저가 원하는 정보를 추천해주는 것이다.예를들어], 긍정 텍스트 확률 : 55.02%"
"[달달한 맛집 추천해달라고 음성 검색을 하면], 긍정 텍스트 확률 : 81.09%"
"[달달한 것만 서칭하는 것이 아니라 사랑스러운 무드있는 가게를 추론하고], 긍정 텍스트 확률 : 93.82%"
"[알려준다. ], 긍정 텍스트 확률 : 54.09%"
"[서비스에 인공지능을 적용하는 것이 아닌 인공지능 자체가 기반이 되는 서비스를 제공하는 것이 마이셀럽스의 비전이다. ], 긍정 텍스트 확률 : 60.81%"
"[현지시간 브렉시트 우려 재부각 등에 하락 다우 .. ], 긍정 텍스트 확률 : 68.18%"
"[브렉시트 신속처리 법안 부결파운드 반락●드라기 마지막 기자회견], 긍정 텍스트 확률 : 91.88%"
"[금강산 현지지도남에게 의존한 선임자들 매우 잘못기업산업● 카카오삼성화재 모바일보험 진출● ], 긍정 텍스트 확률 : 78.47%"
"[미래먹거리의 힘분할상장후 거래일 상한가● 공정위], 긍정 텍스트 확률 : 68.18%"
"[박삼구 前 회장 檢 고발 잠정결론아시아나 인수전 난기류 되나● 카카오페이지 등서 억 유치마이셀럽스 상장 추진 ● ], 긍정 텍스트 확률 : 61.43%"
"[년 숙원 사업 남산 한옥호텔 짓는다● 제의 코링크 드러날까개인출자 여곳 검사● 포스코계열사 회사채 잇단 흥행● 에코프로 차전지 양극재 글로벌 위 도약● 제약으론 어렵다화장품 뛰어드는 제약·바이오● 램시마 염증성 장질환 효과셀트리온], 긍정 텍스트 확률 : 95.56%"
"[임상 상 결과 발표● 초긴장 뷰티시장공룡 세포라가 왔다● 건설장비 제조업체 한솔], 긍정 텍스트 확률 : 73.01%"
"[美가전유통업체와 소송서 승소● 김택진 엔씨소프트 대표], 긍정 텍스트 확률 : 56.50%"
"[車개인항공기로봇 ● 美 이노], 긍정 텍스트 확률 : 50.87%"
"[배터리소송 문서 삭제 복구명령● 한국타이어 美트럭시장 공략여곳 정비센터와 손잡아● 현대일렉트릭], 긍정 텍스트 확률 : 88.83%"
"[日 스마트폰 시장 재도전 씽큐 월 출시하기로● 금융권 수장 인사태풍가 신호탄 쏜다● 신용정보法], 긍정 텍스트 확률 : 64.69%"
