"[ 갈리아 분유 먹여보신분들 있나요? 출산준비로 분유좀 사놓으려는데 갈리아에 대한 후기가 없네용..ㅎㅎ ], 긍정 텍스트 확률 : 73.90%"
"[왔어요 왔어요 출산후기가 왔어요오늘은 우리 새우 생후 일째한달이 되서 더 까먹기 전에 기록하는 출산후기아주 긴긴 이야기가 될 것으로 예상되니 시간 없으신 분들은 제 메모만 보세요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 66.97%"
"[ 무통맞고 정신차림ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ프랑스 분만실은 걍 수술실처럼 생겼는데저 침대하나와 보호자 의자 하나 그리고 뭐 다른 수술질 집기들.. 끝수술복도 당근 없고 일회용 저 파란 부직포같은걸 입혀줌ㅋㅋㅋㅋ팔에 주사바늘 꼽고 뭐 못먹으니까 포도당같은거? 넣어주고 무통들어가는 길 만들어줌그리고 마취과 스앵님이 오셔서 등에다가 무통관을 넣는데 생각했던것과 달리 넘나 아무 느낌이 안남걱정할 필요 그냥 안 움직이고 가만히 있으면 됨어짜피 마취하고 넣는거라 아무 느낌 안남 그리고 느낌이 나더라고 진통에 비하면 이정도는ㅋㅋㅋㅋㅋㅋㅋㅋ 지나가던 개도 비웃을정도그리고 무통을 안 맞는다거나 고민하는 예비맘들이 있다면..물론 그 전에도 난 이해가 안됬지만 진통을 겪고나니 더 이해가 안되는데 도대체 왜 안맞겠다고 하는건지 진심 노이해무조건 안 맞겠다고 단정하지 마시고 가능성을 항상 열어두세요진통은 증말.. 다시한번.. .개같거든요무통을 맞으니 분정도 후부터 정말 아무 진통이 안 느껴지고 너무 멀쩡해짐다만 다리도 안 움직임ㅋㅋㅋㅋㅋ진통그래프는 막 올라가는데 아무 느낌이 안남하.. 무통천국.... 무통... 너란 녀석...........♥무통은 언제까지 놔주냐고 물어봤더니 출산끝날때가지 놔준단다.. 너무 행복했다 ㅋㅋㅋㅋㅋㅋ어젯밤 시부터 지금 시까지.. 시간동안 잃었던 웃음을 되찾았다 핸드폰할 여유도 생기고 ], 긍정 텍스트 확률 : 61.87%"
"[ 애기보면 진통과 출산의 고통이 싹 없어진다는데.. 그건 아닌것 같구요 ], 긍정 텍스트 확률 : 50.09%"
"[ 여기까지가 엄살왕의 출산후기몸으로 하는건 다 못하는 몸치이자 세상 둘도 없는 쫄보인 내가 자연분만했으면 애기와 산모 둘다 버텨주면 누구나 다 자연분만 할 수 있다 자연분만은 산모의 의지가 제일 중요하다더니 그말이 진짜 맞나봄 왕튼튼이 새우라 걱정 많았지만 흡입기도 있고 전문의도 있고.. 의료진들을 믿으면 할수 있드아이제부터는마떼흐니떼라고 하는 출산병원 박 일 입원기회복시간 시간 후 아빠는 애기랑 같이 입원실로 가고 나는 휠체어에 실려서 사쥬팜이 입원실에 데려다줌이때 앉기가 아팠는데 이때는 그냥 출산한 직후라서 아픈줄 알았음하지만 그것은 힘주면서 다 튀어나온 치핵때문이었다는걸 나중에 알았지휠체어에 앉으면서 내가 누웠던 침대를 보는데 땀으로 시트가 다 젖었고나도 땀범벅아까 후처치할때 의사한테도 물어봤는데 사쥬팜한테 언제 샤워해도 되냐고 다시 한 번 물어보니 바로 해도 된다고 ㅋㅋㅋㅋㅋㅋㅋ 땀 많이 흘렸으니 샤워하고 자는게 더 좋을것 같다고 하네요?ㅋㅋㅋ 한국 조리원에서 들으면 기겁할 소리난 샤워고 나발이고 콜라 한 병 원샷하고 싶었는데 병원 매점은 이 시간에 문 닫았고 자판기는 동전만 되는데 딱 몇 썽팀이 모자라는것임 ㅜㅜ 너무 콜라가 먹고 싶어서 부끄러움을 뒤로하고 사쥬팜한테 동전 있음 좀 빌려달라고까지 그랬는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 동전 없다 그래서 콜라 못 먹었음 흑샤워하기엔 힘이 너무 없어서 그냥 바로 누웠는데아 그리고 샤워하거나 화장실 갈때 사쥬팜이 자기 부르라고 함 무통빨때문에 넘어질수 있다고.. 전혀 어지러움도 없고 다리도 잘 느껴져서 혼자서 걸을수는 있었음엄청나게 피곤했지만 옆에 있는 새우를 보니 너무 귀엽고 신기해서 잠이 안옴 ], 긍정 텍스트 확률 : 88.41%"
"[ 어떻게 이게 내 뱃속에서 나왔지????????물론 새우아범은 이미 골아떨어졌습니다원래 모유수유를 계획하면 바로 젖을 물려야되는데 새우가 잠에 취해서 나중에 하자했고나중에 보모가 다녀갔는데 그때는 내가 잠에 취해서 못했음나는 분명 새우보느라 잠을 자는둥 마는둥 한 것 같은데 힘들긴 힘들었나봄그렇게 아침이 되었고 출산후 첫 식사는 ], 긍정 텍스트 확률 : 83.72%"
"[ 아빠는 집에 가서 필요한 짐도 가져오고 집에서 오매불망 기다리던 새우 할미 할비도 데려왔음 ], 긍정 텍스트 확률 : 83.12%"
"[ 그렇게 또 밤이 지나고밤에 새우가 울어서 매우 당황했지만 손잡고 흔들흔들 해주니 금방 멈췄음다음날에도 어김없이 목욕 ], 긍정 텍스트 확률 : 95.25%"
"[ 아빠는 또 집에 가서 샤워하고 짐 챙기고 엄빠 데리고 오고나는 새우 구경하고 핸드폰 하고 쪽잠도 자고 그랬다모유수유를 시도해보고 싶어서 애기가 울면 한번씩 젖을 물리긴 했음아무것도 안나오는것 같았지만..........새우아범이 가지고 온 내가 만든 우리 아파트 리노베이션 프로젝트를 담은 책ㅋㅋ ], 긍정 텍스트 확률 : 54.30%"
"[ 병원 산모 냉장고 보면 샤퀴트리 짱 많음ㅋㅋㅋㅋㅋㅋ 다들 먹고 싶었나봄모유수유해본다고 젖을 물리긴 하는데 일째 새우 몸무게가 프로 넘게 줄어서 분유보충을 시작하였음 ], 긍정 텍스트 확률 : 98.69%"
"[ 이때 약간 황달기가 있었는데 모유를 제대로 못먹어서 그런듯 ㅜㅜ 분유먹고 바로 괜찮아짐ㅋㅋㅋ ], 긍정 텍스트 확률 : 82.18%"
