"[ 유로짱 카페 통해 밀라산이라는 독일 분유로 갈아탔어요독일분유는 압타밀과 힙분유 많이 먹이시는데], 긍정 텍스트 확률 : 64.96%"
"[ 밀라산은 독일에서 꾸준히 사랑받고있는 분유라고 해서..수급도 안정적인 편이라 밀라산으로 먹이고있네요여전히 잘 먹고 있어요이유식 시작 후 수유량이 정도 줄었는데..여전히 잘 먹어주긴 하네요그리고 변도 약간 되직해졌어요하루 한번 여전히 응가 잘 하고..가끔 이틀에 한번], 긍정 텍스트 확률 : 59.06%"
"[하루 두번도 하네요앞으로도 꾸준히 먹여봐야겠어용ㅎ], 긍정 텍스트 확률 : 95.78%"
"[ 이제곧출산앞두고 있는 둥이맘입니다.둥이라 완분하려는데 미리미리 분유를 사두어야할것같아서 알아보는데 분유나 밀라산? 쪽으로 생각이쏠리네요.찾아보니 다른 분유압타밀이나홀레에 비해 후기가 많이없어서 괜찮을지 고민이에요. 분유 먹이고 계신 분들 어떤가요? ], 긍정 텍스트 확률 : 93.84%"
"[ 유로짱밀라산밀라산분유프레독일분유세번째구입했어요 아기가 잘먹고있어요잘먹고쑥쑥자라고있어요ㅎㅎ....... .......? 본문 이미지블러그....... .......? 본문 이미지타카페....... .......? 본문 이미지카스....... .......? 본문 이미지페이스북....... .......? 본문 이미지인스타], 긍정 텍스트 확률 : 71.91%"
"[ 밀라산분유 먹이시는 분 계신가요?인터넷 보니까 후기가 별로 없어서요...다 체험단 후기밖엔....혹시 드시는분 계심 어떤지 알려주세요], 긍정 텍스트 확률 : 54.70%"
"[과복용시 신장 질병을 일으키는함유량이 낮음일일 권장량의 .배], 긍정 텍스트 확률 : 55.86%"
"[일단 포스팅 쓰고 공부해야지], 긍정 텍스트 확률 : 54.57%"
"[딴 건 좋은데 덩어리랑 거품이 너무 신경 쓰이네 ], 긍정 텍스트 확률 : 58.55%"
"[애기한테도 잘 맞으니 당분간은 밀라산을 먹여볼라는데난감한건 종이 박스.. 분유깍는 곳도 없어서 사용과 보관 편의를 위해 분유 디스펜서를 구입했다. ], 긍정 텍스트 확률 : 57.30%"
"[분유포트 사용중이라 늘 도로 타었거든요 ], 긍정 텍스트 확률 : 74.35%"
"[그런데..잘타서 주면 너무 잘먹고게어냄도 없고 ㅠㅠ밀라산 먹인 한달간 몸무게도 잘늘고 힙분유 때도 게어냄이 종종 있었는데 황금변이라먹였거든요그래서 계속 먹이기로 결정하고잘녹는다는 독일브랜드 맘젖병도 구입해봤어요.금액 성분 떠나서 잘먹고 잘크는게좋은분유라 생각해요♡ ], 긍정 텍스트 확률 : 99.98%"
"[확실히 같은온도 도기준으로 더블하트보단 잘녹았어요그래도 다 녹일수는 없기에ㅠㅜ고민하던중 방법을 찾았어요도 정도로 잘 흔들어 녹인후 식힌 물 붓기이방법을 택한후 만족하고 있어요♡더블하트젖병에서도 잘녹구요그래서 국제배송 연말대비해서밀라산 사.재.기 들어갑니닷♡ ], 긍정 텍스트 확률 : 97.23%"
"[일이면 한통 다먹어서ㅠㅎㅎ든든히 쟁여둘려구요.한통그람이고 종이박스라ㅠ별도 분유통 구매해서 쓰고있어요 ], 긍정 텍스트 확률 : 84.42%"
"[만족만족♡밀폐도 잘되고 크기도 적당해요.통밑부분에 분유케이스 잘라서 키높이 깔창마냥ㅋㅋ쓰고있답니닷ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 66.63%"
"[저희 아기는 신생아 때부터 개월 동안 독일 힙 바이오 콤비오틱 분유를 먹고 있었어요. 그러다 최근에 수급에 문제가 있었는지 일 정도면 받던 것을 열흘 정도에 걸려 받았어요. 그래서 발을 동동 구르다 다른 사람으로부터 웃돈을 주고 구입해야 했죠.압타밀의 수급 문제는 조금 오래된 것 같은데], 긍정 텍스트 확률 : 55.44%"
"[많이 고민하진 못했거든요. 당장 바꾸고 싶다는 생각이 급해서. 이번에는 여유도 있으니 이것저것 찾아보기로 했죠. 그러다 다음의 글을 읽게 됐어요. ], 긍정 텍스트 확률 : 95.53%"
"[ 이 글에서 어떤 분유가 딱 좋다고 이야기를 하는 것은 아닌데요. 그래도 문제가 될만한 것들에 대해서 이야기를 해주는 부분이 있더라고요. 그리고 또 검색 끝에], 긍정 텍스트 확률 : 64.57%"
"[이 글을 읽고서 밀라산 분유로 바꾸신 분을 보게 됐어요.그리고 또 밀라산 분유에 대해서 검색... 아... 머리 아프죠. 사실 몇 번이고 언급했는데 저는 분유의 영양 성분은 크게 다르지 않다는 연구 결과를 믿는 편이에요. 그런데 또 찾다 보니 그중에서 그래도 좀 나은 것을 먹이고 싶은 욕심은 당연히 생기더라고요. 그래서 독일어로도 검색해보고 별짓을 다 했네요. 하하.그런데 결론은 독일 밀라산 분유가 괜찮게 보이더라고요. 다행인지 불행인지 아주 유명한 제품은 아니라서 수급 문제도 없을 것 같고요. 아], 긍정 텍스트 확률 : 85.27%"
"[한국에서 판매하는 곳이 많지는 않아요.가격도 힙 바이오 콤비오틱 분유보다 저렴해서 바로 주문을 했습니다.], 긍정 텍스트 확률 : 65.04%"
"[ 이게 독일 밀라산 분유예요. 저희 아기는 지금 만 개월이라서 단계를 주문했어요. 그리고 힙 바이오 콤비오틱 분유는 특이하게도 단계도 무전분 분유가 있어요. 그런데밀라산 분유는 단계는 무전분 분유인 프레가 있지만], 긍정 텍스트 확률 : 89.32%"
"[ 그리고 가격도 저렴한 편이에요.힙 바이오 콤비오틱 분유가 보통팩에 만원인데], 긍정 텍스트 확률 : 61.20%"
"[밀라산 분유는팩에 만원 이랍니다. 평균적인 가격으로요.그리고저희 아기는 하루에 씩 번을 수유해서 하루에 ], 긍정 텍스트 확률 : 80.08%"
"[박스를 이용해서 분유통으로 사용도 불가능하고요.분유 보관은 전혀 신경 쓰지 않은 것 같아요.그리고스푼은 또 얼마나 작다고요.길게 하면 큰일이라도 나는 것인가 마지막으로 가장 치명적인 단점 도 있었어요. 바로잘 녹지 않는다 는 거예요 전분 분유 잘 녹지 않는다는 말을 힙 분유 먹일 땐 몰랐어요. 물론 무전분 분유보다는 아주 조금은 불편했지만 크게 다르지 않다고 생각했거든요. 그런데 이 녀석은 다르다아쉽게도 제가 사진을 남겨놓지를 못했네요.밀라산 분유 타는 법은 힙 분유 타는 법과 거의 같으니 위에 링크해둔 포스팅을 참고하시면 되는데요.국내 분유랑 독일 분유랑 탈 때 차이점 중 조금 특이한 점 이 있어요.국내 분유는 보통 젖병을 비비듯이 분유를 녹이라고 하는데요. 그런데 독일 분유는 위아래로 흔들라고 나오거든요. 힙 분유를 먹일 때에는 국내 분유 타듯이 녹였기 때문에 이점을 잊고 있었어요. 그런데밀라산 분유는 젖병을 비비듯이 탔더니 처음에는 잘 녹은 것 같았는데], 긍정 텍스트 확률 : 91.80%"
