"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ . .?럭스버신소재베딩럭스버신소재베딩.₩], 부정 텍스트 확률 : 68.39%"
"[ . .?동글이터널동글이터널.개당 ₩.디깅박스 만드려고 따로 산 자 터널 개.. ], 부정 텍스트 확률 : 75.28%"
"[ . .?벤토나이트화장실모래벤토나이트화장실모래.. ₩], 부정 텍스트 확률 : 55.73%"
"[ .모래 찔끔찔끔 사기 싫어서 대용량 사봄.아직 뜯어보진 못했당.. ], 부정 텍스트 확률 : 66.77%"
"[ . .?아올로아스펜베딩아올로아스펜베딩.. ₩], 부정 텍스트 확률 : 64.93%"
"[ .첨엔 이것도 디깅용으로 산건데 토리가 그닥.선호하지 않는 듯함.럭스버 넣기 전에 넣어줬는데 디깅박스 외면 😅 ], 부정 텍스트 확률 : 83.58%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[ . .?스위트밀크파우더분유스위트밀크파우더분유. .?인트라젠인트라젠. .?아리쌘외부기생충제거제아리쌘외부기생충제거제. .?휴대용과일야채종간식휴대용과일야채종간식.소분 개 ₩포 ₩ ₩], 부정 텍스트 확률 : 96.18%"
"[ . ₩], 부정 텍스트 확률 : 62.92%"
"[ ..토리 건강을 위해 사본 용품들.분유들은 아직 먹던게 있어서 안먹여봤고.기생충제거제는 화장실에 칙칙 뿌려주는중 ], 부정 텍스트 확률 : 93.22%"
"[ . .?천연이갈이수세미천연이갈이수세미. .?로로펫아이스크림콘믹스로로펫아이스크림콘믹스.₩], 부정 텍스트 확률 : 75.45%"
"[ ..하도 안에 있는 물건들을 갈아대서 이갈이 용품.새로 넣어줬는데 잠깐 관심 갖고 바로 외면.ㅋㅋㅋㅋㅋㅋ 아..토리야 ㅜ .이건 포리에게 양도해야겠다..★.아이스크림콘은 넘 귀여워서 흑흑 .특별한날 줘야지 해서 샀는데 딱히 월엔 뭐가 없어.그냥 줄 예정.. ], 부정 텍스트 확률 : 99.88%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[ . .?비타폴이코노믹햄스터사료비타폴이코노믹햄스터사료. .?베네룩스프리머스햄스터베네룩스프리머스햄스터.₩], 부정 텍스트 확률 : 58.61%"
"[ .그외 사은품.사탕수수 안뜯은 한봉지 더 있는데 넘 많당.이것도 한봉지 포리에게 줘야겠다 😄.... ], 부정 텍스트 확률 : 53.09%"
