"[우리아기 어떤 분유를 먹일지 알아보는 것도 엄마의 큰 고민중에 고민나는 일단 밴쿠버에 있기때문에임신 기간 중 여기서 먹는 분유들을 알아보게 되었다.대표적으으로 시밀락], 긍정 텍스트 확률 : 94.92%"
"[네슬레 이 종류가 마트에 가면 제일 메인에 진열되어있었다캐나다맘스카페에서 어떤분유를 많이 사용하는지... 또 그 사이트에들어가봐서 분유 설명도 읽어보고다 좋다고 적혀있는ㅋㅋ 성분이 어떤지.. 비교된 후기 있으면 찾아보고.. 참 시간을 많이 보냈다 그래서 나는 시밀락을 먹이기로 결정하고 그당시에는 모유수유 계획중에 있긴 했지만 분유 한통은 비상용으로구매해두는게 좋고 어떻게 될지 모르니까...ㅎㅎ근데 병원에서 지용이 황달치료 받을때엔파밀 액상분유로 탑업으로 줬는데 잘먹길래..집에와서 시밀락 환불해버렸다..다행히 영수증이 집에 있었다는 ㅎㅎ그리고 각각의 사이트에 가입을 했더니 샘플 또는 교환권쿠폰을 보내줬다네슬레는 액상분유 샘플짜리 병을 보내줬고시밀락은 체크로 발행해서 보내줬고엔파밀은 쿠폰으로 액상분유병], 긍정 텍스트 확률 : 51.69%"
"[일회용 니플개], 긍정 텍스트 확률 : 50.99%"
"[액상분유 불할인 교환권을 보내줬다.그래서 마트런던드럭그가서 엔파밀 샘플용으로 다 교환해왔음지용이는 완모를 하는 중인데], 긍정 텍스트 확률 : 58.52%"
"[막수에 분유를 주면 더 오래잔다는 이야기와.. 분유의 영양분도 필요하지 않을까 하는 마음에네슬레에서 받은 액상분유를 먹여봤다 ], 긍정 텍스트 확률 : 96.22%"
"[ 젖병을 조금 물더니 입맛을 쩝쩝 하더니..잘먹는다 ㅋㅋㅋ그리고 잠도 잘잤고...시간일때다음날 폭풍응가도 봤다 약간 노랭이와 초록이 섞인색?ㅋㅋ 원래 지용이는 노랭이색이다분유먹는 아기는 녹색변을 본다는 이야기를 들었는데 ㅋㅋ 그래서 변색이 섞여서 나왔나보당이틀을 그렇게 먹엿는데 생각보다 잘자고 잘먹고 잘싸서 괜찮닸따네슬래 다음주에 또 이틀정도 엔파밀 샘플먹여봐야겟따 ], 긍정 텍스트 확률 : 99.50%"
"[하와이여서베이비 저러스나 다른 베이비 용품점에서 다양하게 받진 못했지만 몇 곳 간단하게 받거나 괜찮은 상품들 모여있는 걸로만 받았다 ..엔파밀시밀락도 받을 수 있지만. 나는 시밀락은 시도도 안하려고 하기에 정 필요하다면 엔파밀로 하려고 엔파밀만 신청], 긍정 텍스트 확률 : 95.06%"
"[ 이것저것 쿠폰이랑. 엔파밀 할인쿠폰 액상분유와 가루. 젠틀리스 분유 한통 완모를 하려던 계획과 달리 모유 부족 함몰유두 피모유 등등할 수 없는 상황이기에 혼합수유병원에서 액상을 먼저 권유해서 먹이다가액상은 비싸다는 단점이..... 젖꼭지도 따로 사야하고 그래도 편리하다는건 무시못하니까.....혼합이기도 하고 밖에서는 편하겠다 싶어서 밖에 나갈땐 액상 집에서는 가루로 번갈아 가면서 먹인다...어떤사람은 가루랑 액상 섞으면 안된다고도 하는데같은 계열이기도 하고 엔파밀 사이트에서 괜찮다고 하고 소희도 몇주 탈없이 잘 먹어서 우리는 그냥 우리 편한대로 하고 있다. 액상빼고 나머지는 그냥 쓰레기통에 ㅋㅋ 분유바꾸려면 조금씩 바꿔줘야하고 아깝다고 괜히 이리저리하다가 탈나면 골치아프고 그냥 간단하게... 그래도 액상이랑 준 쿠폰으로 할인받아 더 사고 문자로 할인코드도 간간히 보내주고 엔파밀은 군인은 로 할인이 가능해서 우리는 웹사이트에서 할인받아 사고있다..아마존], 긍정 텍스트 확률 : 89.85%"
"[ 하와이는 배송이 안된다해서동생집으로 보내서 엄마가 오실때 가져오셨다이것도 복불복 이라는데... 젖병은 라는데 너무 많이나오는지 소희가 계속 사례가 걸려서 아직 못쓰고 있다 공갈도 소희는 안물려고 한다 ㅠㅠ .타켓 크게 매리트있는건 없지만 타겟 간김에 받았다 후기에는 스벅 프리 드링크라는데 나는 음료하나 할인이라 그건 아쉽 ㅠㅠ 나머지만 소소 ], 긍정 텍스트 확률 : 85.22%"
"[ . 이런곳이 있늕도 몰랐는데 시댁에서 불 기프트카드를 보내주셔서 알게 된곳 하와이엔 없어서 간김에 겟], 긍정 텍스트 확률 : 77.63%"
"[ 참 긴 글이 될거 같네요 ㅋㅋ ㅜㅜ그래도 도움 되실분들 있을거 같아 함 올려봅니당?첨엔 앤파밀], 긍정 텍스트 확률 : 89.42%"
"[ ▼ .리뷰 및 세부정보 열어보기▼후기.타회사 산양분유를 먹이다가 아이가 배고픔만 사라지면 안먹고 먹을때 용을쓰며 거부. 변색이 황색에서 점차 녹색이 섞이길래 지인추천으로 구매.일단 파퇴보다 입자가 고와 물에 잘녹아서 목넘김이 부드럽고 아이도 좋아해요도에서 타고 식히는게 조금 번거롭지만 잘녹아서 좋아요후기.개월 아기 조리원에서 부터 쭉 유기농 궁 먹였어요 근데 녹변만 보고..], 긍정 텍스트 확률 : 66.21%"
"[녹변도 정상이라고 하지만...가끔 소화가 덜됐는지 노란 알갱이도 보이고 단계 넘어가고도 만족 스럽지가 않아 한번 바꿔보자 한게 산양분유였어요타회사보다 조금 저렴 하네요 입자가 엄청 고와요 애기가 거부없이 잘먹었고 반정도 먹이다보니 이제 황금똥만 싸요ㅋㅋ 힘도 덜 주는것같고 그만큼 쉽게 싼다는거겠죠? 소리를 안내서 응가 했는지도 모를때도 있었어요황금똥을 보고나니 엄마들이 황금똥에 집착하는 이유를 알것같아요이제 산양 분유만 먹일려구요후기.후덜덜 단계 가격이보고 놀랐습니다. 좀 놀랐지만단계부터는 가격이 조금이나마 저렴해지니 단계 단계 다 산양으로 먹여보려구요조리원에서는 힘들게 수유중인데 도저히 안될 것 같아서 조리원 나가자마자 혼합으로 먹일 분유 엄청 검색해봤어요 지금 조리원에서 주는 분유보다 산양분유가 훨씬 좋은것 같아서요 첫째], 긍정 텍스트 확률 : 97.06%"
"[식품의 유형], 긍정 텍스트 확률 : 52.07%"
"[원재료명 및 함량], 긍정 텍스트 확률 : 52.23%"
"[ 서로이웃 신청 언제나 환영입니다. 많은 신청 부탁드려요여러 제품에 대해 시간이 지남에 따라 정보 및 가격이 바뀔 수 있으니 사이트에서 확인바랍니다이 포스팅은 쿠팡 파트너스로부터 일정액의 커미션을 대가를 받고 작성된 광고입니다. ], 긍정 텍스트 확률 : 92.30%"
"[.화요일부터 이슬이 비치기 시작했고 이슬이 비치면 곧 출산임박이라는 말에 집에서 대기타며 언제쯤 체리가 나오려나 기다리고 있었다. ..수요일 저녁에는 친구랑 엄마들이랑도 만나고 티타임도 가졌다. 그 와중에 아랫배가 살살 아프긴 했지만 가진통이겠거니 생각하며 커피도 마시고 과일도 먹으며 아랫배 아픔을 잊기도 했다. ..한 밤 중엔 남편이랑 마트에 가서 장을 봤는데 아랫배의 아픔이 좀 더 강하게 느껴졌다. 이전까지는 진통이 와도 배를 살살 문지르면 고통이 금방 사라지는 느낌이었는데 마트에 갔을 때는 진통이 느껴질때마다 멈춰서서 나아지길 기다려야 했다. ..아무래도 느낌이 쎄해서 장을 마저 후딱 보고는 집으로 얼른 돌아왔고 출산일을 직감한건지 햄버거가 마구 땡기더라. 근데 그날따라 일찍 문닫은 맥도날드... ㅠㅠ 집에 오자마자 나는 샤워를], 긍정 텍스트 확률 : 98.16%"
"[엄마와 남편은 출산가방을 부랴부랴 챙겼다. ..응급실에 가서 진통땜에 왔다고 하니 간호사가 한참만에 내려왔고 입원하고 정신차리고 보니 새벽 시가 거의 다 되어 갔다.. ], 긍정 텍스트 확률 : 78.35%"
"[분 넘게 에피듀럴 놔주는 선생님이 오길 기다렸다. . ], 긍정 텍스트 확률 : 74.36%"
"[ .미국의 출산 시스템이 어떤지 잘은 모르지만 이렇게 일인 병실이 대부분인 것 같다. .온전히 나와 우리 가족만 함께할 수 있는 공간이라는 점이 너무 맘에 들었다. . ], 긍정 텍스트 확률 : 90.63%"
"[ .아기가 태어나도 입원 기간 동안 아가와 함께 병실에서 지내게 되는데], 긍정 텍스트 확률 : 70.29%"
"[ 아가를 생각하면 나와 계속 지내는게 가장 좋은일. 하지만 산모 입장에서는 무지 피곤한 일. ..시간마다 간호사가 찾아와서 아가와 산모의 맥박], 긍정 텍스트 확률 : 69.43%"
"[유축도 해야하고 밥 줬는지 유축했는지 새벽에도 계속 찾아와서 확인하구 감], 긍정 텍스트 확률 : 50.01%"
"[ .자궁문이 열리기를 기다리면서 나는 계속 비몽사몽 꿈나라], 긍정 텍스트 확률 : 93.88%"
"[ .아기가 태어나면 간호사들이 엄청 빠른 동작으로 아기를 닦고 모자를 씌워서 내 가슴팍에 얹어준다. 캥거루 케어.남들은 아기가 태어나면 울기도 하던데 울남편이랑 엄마랑 나는 울지도 않고 그저 갓 태어난 애기보며 신기해하기만 했다 ㅎㅎ . ], 긍정 텍스트 확률 : 69.96%"
"[아기 키와 몸무게], 긍정 텍스트 확률 : 56.88%"
"[ .미역국이 한가득 담긴 보온병과 얼음을 가득 담아왔던 물통 ㅎㅎㅎㅎ .. ], 긍정 텍스트 확률 : 79.89%"
"[ .일간의 병원 생활은 쉽지많은 않았다. .초보 엄마], 긍정 텍스트 확률 : 57.32%"
"[우유 먹다 게울때도 걱정스럽고], 긍정 텍스트 확률 : 80.32%"
"[찡찡대면 우리 둘 다 쩔쩔매고 ..특히나 출산후 호르몬이 널뛰기 시작하면서 나는 눈물과 걱정이 많아졌다. 잠을 못자니 신경도 날카로워지고 ], 긍정 텍스트 확률 : 88.93%"
"[그 불똥은 고스란히 남편에게 튀고 ㅠㅠ. ], 긍정 텍스트 확률 : 64.80%"
"[ .수유 시간과 남은 검사 일정 등을 체크하는 보드판. .덕분에 나도 약을 챙겨먹기 좋았고 아가를 밥 먹이기 위한 시간 체크도 잘 할 수 있었다. .물론 간호사가 시간이 되면 알아서 찾아옴. ], 긍정 텍스트 확률 : 93.08%"
"[집에 와서는 어플로 기록중. 기록은 아직도 계속 된다. .배변 횟수와 수유 시간을 체크하니 아이가 울때 왜 우는지 짐작이 가능해서 좋다. . ], 긍정 텍스트 확률 : 96.76%"
"[정신상태에서 아들이 광선치료를 받는 모습을 보고 있자니 너무나 마음이 아팠더랬다... ㅜㅜ ], 긍정 텍스트 확률 : 71.06%"
"[ .퇴원하는 날 입혀봤던 새옷. .병원옷이 아닌 한국에서 선물받은 옷을 입히니 왜이렇게 크고 고구려 사람 같은지 ㅋㅋ 너무 웃겼던 옷태 ....더 늦게 전에 기억나는대로 뜨문뜨문 적어나가다보니 뒤죽박죽의 기록이 되었지만 잊고 싶지 않은 일간의 시간들 .실감이 안났고 비몽사몽의 연속이었던 날들. .지금 돌이켜보니 조금은 편안한 마음으로 입원생활을 했어도 좋았을거란 생각이 드네. .옆에서 내 짜증과 투정과 불안한 마음 달래주느라 고생했을 남편과 울엄마 ㅠ.ㅠ 그리고 서투르고 부족한 나에게 와준 최고의 선물 울아들..앞으로 어떤 나날들이 다가올런지 ], 긍정 텍스트 확률 : 99.13%"
"[매일유업 가입할때 추천인 적으면추천 받은 사람], 긍정 텍스트 확률 : 87.51%"
"[추천한 사람 모두 씩 받을 수 있어요.추천인 아이디넣고 포인트 받으세요임신 축하 선물 마더박스 받는 법도 첨부해 둘게요 ...... ], 긍정 텍스트 확률 : 90.84%"
"[ 완모에서 혼합으로 가는길... 엔파밀 분유 직구하다가 개월에 접어들어 국산분유로 바꾸려고 이것저것 알아봤어요.분유 바뀌면 애들이 안먹을 수도 있다고 해서 하나씩 다 사볼 수도 없고.. 그러던 차에 매일유업에서 분유 샘플 준다는 소식을 알게 되었죠매일유업 분유 샘플신청 방법은 매우 간단해용 ], 긍정 텍스트 확률 : 55.37%"
"[ 스틱 분유만 있을 줄 알았는데 매일워터라는게 있었어요.요즘 생수도 문제가 많고 하니 물도 걱정이 많잖아요. 한번 먹여보고 괜찮으면 더 사볼까해요. ], 긍정 텍스트 확률 : 95.61%"
"[ 유기농 궁에 대한 자세한 설명이에요전 개인적으로 스틱 분유가 좋아요.분유통은 한번 뜯으면 공기가 계속 들어가서 위생상 좋지 않더라고요. ], 긍정 텍스트 확률 : 93.29%"
"[ 원래 먹이던 분유가 있으면 이런 순서로 분유를 바꾸면 됩니당다행히 아가가 거부 없이 잘 먹어줬어요 ], 긍정 텍스트 확률 : 58.20%"
"[ 아쉬운 점은 스틱이 손으로 잘 안뜯어질때가 있어요. 가위가 있을땐 괜찮은데 없으면 난감하다는 ㅜㅜ ], 긍정 텍스트 확률 : 60.34%"
"[처방 유산균 일 회끓인물과 끓여서 식힌물도 항상 세팅되어 있어야 하고], 긍정 텍스트 확률 : 77.44%"
"[ 물이 넘치는 것을 방지하기 위해 충분히 큰 컵을 받치고 ㎖ 출수 반복하여좍좍 빼줍니다.저는 영화관 콜라컵으로 ㅋㅋ ], 긍정 텍스트 확률 : 93.10%"
"[ 아기는 응애 우는데 엄마는 동영상 찍고 있습니다.우리 아가는 시간텀으로 먹는데 항상 배고파 했어요. ], 긍정 텍스트 확률 : 68.02%"
"[깔대기 커버를 닦아주기 물기주 회 분유통], 긍정 텍스트 확률 : 52.20%"
"[완벽하게 건조 후 재결합부품들은 소독기 사용하면 안되고씻어서 꼭꼭 완전 자연건조 후 재결합 해줘야 해요.물기가 있으면 분유랑 만나 곰팡이 등 변질될 수 있다고 하네요. ], 긍정 텍스트 확률 : 93.77%"
"[물티슈는 꽤 많은 양의 도톰한 샘플이 와서 바로 사용했는데], 긍정 텍스트 확률 : 83.93%"
"[ ...전부터 신청하고 싶었는데패키지가 너무 예쁨], 긍정 텍스트 확률 : 68.06%"
"[얼른 배송되어 왔으면 좋겠다. . ], 긍정 텍스트 확률 : 88.26%"
"[ 웰컴 박스 받는 재미에 이런 무료 샘플들을 찾아보기 시작했는데], 긍정 텍스트 확률 : 77.22%"
"[미국은 생각보다 이런 샘플을 받을 수 있는 방법들이 무궁무진하다. 사실 기저귀 같은 경우에는 럭키를 낳고 키우다 보니], 긍정 텍스트 확률 : 74.38%"
"[하루에도 장 이상을 쓰게 되는데 이런 샘플들 몇 개 써본다고 해서 대단히 다른 차이점을 느낄 수가 없다. 기저귀 발진만 안 나길 바랄 뿐 현재 내가 사용하고 있는 기저귀는 팸퍼스 스와들 뉴본사이즈럭키가 태어나고 병원에서 제공해줘 사용했고], 긍정 텍스트 확률 : 58.59%"
