"[ 첫째는 젖병거부로 강제완모였지만둘째 유순한 탓인지], 부정 텍스트 확률 : 85.51%"
"[살짝 유두혼동을겪고나서 노력끝에일 정도 되었음에도여전히 혼합수유를 잘하고 있답니다♡ ], 부정 텍스트 확률 : 52.82%"
"[전부 황금변에완모일 땐 전유만먹었는지 첫째가 번이나응아를 해서인지..살도 안쪘거든요남편이 똥 감별사냐고 ㅋㅋ뭔가 황금변이여야만 훈장받은듯집착하게되었는데 갈아타고 난 후딱 꾸준한 양상이 너무 만족스러웠어요 ], 부정 텍스트 확률 : 98.60%"
"[ 그리고 예전엔 한참을 걸려도 트림을 안하고소화가 안되 배앓이를 하는 듯 하였고토를 자주하던 증상이 신기하게도 다 없어지는 거에요..실제로 아기에게 먹이고트림까지 걸리는 시간을 제가영상촬영을 했는데요 눈으로 한번 확인해 보세요. ], 부정 텍스트 확률 : 84.82%"
"[ 분을 계속 안고트림을 시켜줘야 했는데분도 채 안걸리는 시간..아기에게 너무 잘맞아서정착할 수 밖에 없었어요 ㅋㅋㅋㅋ ], 부정 텍스트 확률 : 57.88%"
"[ 조리원에 있을때 후디스직원분들이오셔서 이유식강의 및 아기분유에대한여러가지 설명을 해주셨는데요.엄마들이 궁금해 할만한 단계], 부정 텍스트 확률 : 79.24%"
"[몸무게 . 두가지를만족하게 된다면 단계로 올라갈 수 있고그게 아니면 아기가 소화하는게힘들 수 있으니 단계를 더 먹이라고 하셨었고동일한 브랜드 제품이라성분이 많이 다르진 않아서아이가 거부감이 크진 않을 꺼라고 하시더라구요한스푼씩 줄여서 갈아타기 하라하셔서이제 곧 만 개월이라윗단계도 준비해놨답니다 ], 부정 텍스트 확률 : 90.33%"
"[ 단계와 단계는 분유타는방법이 다른데알고계셨나요 ?신생아들은 면역력이 약해서물을 끓여 식힌뒤 도에서 분유를 녹여야균들을 다 죽일 수 있어서는 도 분유녹이는걸 권장하고 나머지은 식힌물로맞춰서 타주시구요단계부터는 아기의 면역력이 어느정도생겨도에서 분유를 녹여서 타면 된답니다.전.. 이제곧 단계인데 항상 도로그냥 탔었어요..여지껏 아무탈없어서..다행인데 반성한번 해봅니다 ], 부정 텍스트 확률 : 89.84%"
"[ 그리고 스푼은 증기에 일부가 묻기 때문에다시 통속으로 넣거나 하지말고따로 관리해 주는게 위생상 좋아요.이유식병에 넣으니 길이가찰떡이더라구요 혼합수유 아기에게 소화도 잘 되고], 부정 텍스트 확률 : 77.97%"
"[단계.베지밀 콩두유 인펀트], 부정 텍스트 확률 : 62.92%"
