"[.안녕 ], 부정 텍스트 확률 : 62.92%"
"[ ...저희 아기는 개월 남자아이구요.키는 센치 .몸무게는 .킬로그램이예요..정상수치이고 키에 비해 몸무게가 많이 나간다는 영유아검진 소견을 들었ㅎㅎㅎ...저희 아기는 신생아때부터도 많이 먹지는 않았어요.제 모유가 남아돌아서 버렸으니까요ㅡㅡ.신생아때도 그러더니 개월때인가 진짜 안먹어도 너무 안먹는거예요.이유식은 먹지는 않고 촉감놀이만 주구장창....하루종일 분유만 먹고 살던애예요.분유도 씩 하루번.그게 끝.....과일은 조금 먹었는데.정말 조금이요.귤 반개정도??.고기는 다 뱉어버려요.갈아도 안되고 동그랑땡도 안되고 국도 안되고 국은 또 국물만 홀짝홀짝 ], 부정 텍스트 확률 : 99.86%"
"[ .정말 시판이유식은 전부 다 먹여보고 했는데.저희 신랑 아침으로 몽땅 ], 부정 텍스트 확률 : 59.43%"
"[ ...도저히 안되겠어서.시언니에게 이야기했더니.시조카도 그랬었다 말씀하시면서.페디아슈아를 추천해주셨어요...소아과에서도 너무 안먹는다며 영양제라도 추천해달라고 했었거든요.아직은 영양제는 아니고 식습관교정과 더불어 이걸 먹여보라고하더라구요..그래서 시언니에게 말씀드렸더니.두박스가 택배로 뾰로롱.최고의 고모 ], 부정 텍스트 확률 : 99.82%"
"[ ....한박스는 다 먹었구요.이제 두박스째예요..저희 아이는 바닐라맛보다 초코맛을 좋아해서 초코맛으로 주문해주셨구요.박스는 이렇게 되어있어요 ], 부정 텍스트 확률 : 97.57%"
"[ ......한박스에 개 들어있어요.저는 하루에 한개정도 먹였는데요.한통에 미리나 되다보니 한번에 다 못마시더라구요.그래서 점심때한번 마시고 저녁에 한번.그리고 남은건 버렸어요.아무래도 위생상 좋지 않을 것 같아서요. ], 부정 텍스트 확률 : 56.75%"
"[ 코셔], 부정 텍스트 확률 : 53.29%"
"[ ......생각보다 진해요.딱 허쉬초코우유 있죠??.그맛이예요 ], 부정 텍스트 확률 : 68.62%"
"[ .....제대로 보여드리려고 유리컵을 찾아봤는데.호가든잔밖에 없.... ], 부정 텍스트 확률 : 65.94%"
"[ 뭐 거창한 후기랄 건 없지만 ㅠㅠ 혹시 참고하실 분 있을까 하여 올려요.저희 아기는 개월이고 지난달 분유랑 젖병 완전히 끊고], 부정 텍스트 확률 : 86.17%"
