"[ ......성분표시되어있구요 ], 긍정 텍스트 확률 : 60.77%"
"[ .....인공적인 성장호르몬이 포함되지 않았다고해요.글루텐프리], 긍정 텍스트 확률 : 50.50%"
"[ 할랄 무첨가.유당장애가 있는 아이들도 믿고 마실 수 있는 식품이예요....단백질함량이 무려 이나 돼요.고기안먹는 우리아이에게는 정말 딱입니다ㅎ.가지의 비타민 미네랄 오메가 등등.성분표시 보시면 뭐가 많아요 ], 긍정 텍스트 확률 : 89.56%"
"[ ......요기를 잡고비닐을 제거해주세요 ], 긍정 텍스트 확률 : 52.77%"
"[ ....열면돼요ㅎㅎ ], 긍정 텍스트 확률 : 85.91%"
"[ ......초코맛우유ㅎ.초콜렛 향이 마구마구ㅎㅎ ], 긍정 텍스트 확률 : 88.99%"
"[ .이러니 어떤아이들이 싫어하겠어요ㅎ ], 긍정 텍스트 확률 : 81.37%"
"[ .......꼴짝꼴짝 맛있게 먹어요 ], 긍정 텍스트 확률 : 65.75%"
"[ ....... 페디아슈어 후기입니다 ..그런말이 있죠.페디아슈어 하루개를 주동안 꾸준히 먹이면.살이찌고.개월을 먹으면 키가큰다는.....그래요 .주는 더 먹은것같아요.우리는 한통씩밖에 안먹었지만.그래도 확실히 살이 붙었어요.이걸 먹으면서부터는 다른것들도 먹기시작했거든요.뭐 달라고 하는애가 아니였는데.이것도 달라 저것도 달라 주문이 많아졌구요.뭐든 먹으라는 마음으로 달라는건 다 줘봤는데 어쭈?먹네????.저는 아주 만족하고 있구요..특히 아기들 구내염이나 수족구같은 뭐 먹기 힘들때 진짜 최고의빛을 보는 아이템이예요.집에 아기 이온음료처럼 두고 먹이면 좋을 것 같아요ㅎ..맛은 아까 말씀드렸듯이 허쉬 초콜렛맛이구요.바닐라는 허벌라이프 드셔보셨나요??.딱 그맛이예요ㅎ 단백질쉐이크맛ㅎㅎ .딸기맛도 있다는데 저는 딸기맛은 먹어보지 못했네요..진짜 안먹는아이들을 키우는 엄마들은 속이 정말 타들어가거든요ㅜㅠ 그 한입이 얼마나 간절한지요ㅠㅠ.저도 그맘을 알기에 솔직한 정보로 포스팅했어요...아이들도 엄마들도 모두가 덜 힘들고 행복해지자구요....본 포스팅은 저희 시언니가 시언니돈으로 사주신 제품을 아주 솔직하게 작성한 후기입니다.. 포스팅이 도움이되셨다면 공감♡ 해주세요 .. ], 긍정 텍스트 확률 : 100.00%"
"[ 대충 계산해보면 하루 총칼로리 정도 먹는 것 같네요.지금 시기는칼로리 정도 먹어야 한다고 하더라구요.아침 하이키드 점심 페이다슈어 저녁 하이키드 이젠 밥이나 고형식이 간식이에요 ㅡ 지금 이 상태인데.... 일단 지켜보면서 고형식은 계속 들이대 보려고 하고 있어요 ㅠㅠ암튼 이번 영양 상담 듣고 나서... 한 번 가보기는 잘했다는 생각이 들어요.채소도 고기도 계란도... 안먹는 아기 나중에 피검 결과 나오면영양 밸런스가 어떤지 한 번 올릴게요별 문제 없으면... 그냥 당분간 아기 스트레스 안받는 쪽으로...안먹는 아기 키우기 ㅎㅎ 참 어렵고 힘드네요 .], 긍정 텍스트 확률 : 99.81%"
"[ 하소연과 더해 조금 길어질것 같아요..저희 딸램.. 이유식 안 먹기로 동네방네 유명한 아가에요 ㅠㅠ만 개월 지났는데 아직 .고 키도 또래보다 많이 작네요..제왕절개로 낳고 담날부터 젖물려서 오늘 이때꺼정 완모중인데 다이어트도 못하고 지치기도 하고], 긍정 텍스트 확률 : 95.85%"
"[하루종일 독박으로 애한테 정신 쏟다보면 밤 되면 보상으로 맥주도 먹고싶고 그런데.. ㅠㅠ애가 하도 밥을 안 먹으니 얼마전 소아과 추천받아 갔다가 애기 배 엑스레이 찍어보니 위와 장에 가스가 많아 더부룩해 지금껏 안 먹었을 거라구요..약 타다가 지금 열흘 정도 먹이는데 점차 밥먹는건 좋아졌어요.하도 밥 안먹어 친구네서 밥동냥하는 통에 완료기 들어갔다가 다시 후기 초반 정도 되는 무른밥으로 후퇴했구요. 근데 또 오늘 저녁엔 그것조차 안 먹을라해서 참기름에 간장에 밥 비벼주니 한그릇 뚝딱.. 대체 뭘 먹겠다는 걸까요..원래 다니던 소아과에선 젖 떼도 된다], 긍정 텍스트 확률 : 77.08%"
"[지금 애기같은 상황에서 젖을 떼는게 맞는건지 떼면 언제 떼야하는 건지 도무지 혼자 결정을 못내리겠네요 ㅠㅠ선배맘님들 소중한 조언 부탁드립니다..두서가 길었기에 요약하자면], 긍정 텍스트 확률 : 61.51%"
"[네이쳐스원 피디아 스마트 어린이 비타민 파우더], 긍정 텍스트 확률 : 59.03%"
"[스마트 네이쳐스원 피디아 비타민 ], 긍정 텍스트 확률 : 59.03%"
"[식품의 유형], 긍정 텍스트 확률 : 52.07%"
"[유통기한배송되는 상품중 가장 빠른 유통기한 기준임], 긍정 텍스트 확률 : 90.28%"
"[원재료명 및 함량], 긍정 텍스트 확률 : 52.23%"
"[원재료명컨텐츠 참조], 긍정 텍스트 확률 : 52.23%"
"[피디아 네이쳐스원 파우더], 긍정 텍스트 확률 : 59.03%"
"[비타민 스마트매일 서로이웃 신청 확인하고 있으니 거리낌 없이 신청해주시길 부탁드립니다해당 게시글의 정보는 제품게시자에 의해 정보 및 가격이 변경될 수 있습니다이 포스팅은 쿠팡 파트너스로부터 일정액의 커미션을 대가를 받고 작성된 광고입니다. ], 긍정 텍스트 확률 : 80.64%"
"[ 저희 쌍둥이 중 남자 아기가 태어나서 인큐에 달 있다가 심장수술하고 집에 왔어요. 그때부터 먹는걸로 엄청 애태웠죠. 잘 먹지도 않고 하루에 토하지 않은 날이 없어요. 남들은 백일 지나면 좋아진다는데 우리 아기는 여태 좋아지질 않네요. 토하면 코로 입으로 분수토하는 아기라 울고불고 본인도 너무 힘들어 하고 지켜보는 저도 힘들구요. 힘들다 못해 왜 맨날 열심히 먹이면 참지 못하고 토하는지 이제는 화가 날 때도 있어요..아산병원에서 출산해서 소아과 전문의들 다 만나봤지만 그냥 토하는 아기래요. 어디가 잘못된건 아니고 그냥 그렇게 태어난 아기라고 하네요. 잘 먹지도 못하고 항상 토를 하니 돌 쯤에는 몸무게가 키로 좀 넘었었어요. 정말 마른 아기였죠. 같은 쌍둥이 여자 아기랑은 키로 넘게 차이나구요. 돌 지나서 두번째 심장수술했구요. 하고 나서 기력을 되찾았는지 한 달만에 키로가 찌더라구요.이때 제가 어찌 먹였냐면요..이유식에 참기름 섞어 먹이기분유에 페디아슈어 섞어 먹이기고칼로리 폭탄이죠. 이런 식으로 세번씩 먹였더니 살이 붙는데 정말 세상 다 가진 기분이더라구요. 두번째 수술 이후로는 토도 거의 안했어요.그런데 언제부턴가 요즘 들어 먹기만 하면 족족 토하기 시작하네요. 이유식도 중기와 후기 사이로 먹여서 알갱이도 그리 크지 않구요. 이유식은세번 분유도세번 정도 먹여요. 그리 양도 많지 않은데 먹이기만 하면 전타임에 먹었던 것까지 분수토하니 이제 어찌 먹여야 할지를 모르겠어요.제가 먹이는 방법에서 뭐가 잘못된 걸까요?아기 토를 줄이면서 살이 붙게 하려면 어찌 먹이면 좋을지..여자 아기 먹는 거는 국에 말아 대충 먹여 너무 미안하기도 하고.. 남자 아기한테 온 신경을 집중하는데 여전히 마른 모습 보자면 눈물만 나옵니다..울 아기에게 제가 어떻게 해줘야 할까요....], 긍정 텍스트 확률 : 57.29%"
"[ 주에 낳아 벌써 교정 개월 되어가고교정 돌이 주 남았네요.교정 개월 아가들 요새 어떻게 먹이고 계시나요?분유부터 숟가락질 젖병떼기까지초보라 쉬운게 하나도 없네요 ㅠㅠ선둥이가 콧물이 질질나서 오늘 병원갔다가몸무게를 쟀더니 .킬로...열심히 먹이고 있는데 더 먹여야한다며분유 싫어하는년째 전쟁중이네요 ㅠㅠ 아이라하였더니이제 생후로는 개월이니 생우유 먹어서거부없음 생우유라도 간식으로 줘서 수유양채우라고 하더라구요..체중이 넘 적게나가서 두돌까진 분유 주든지생우유 갈아타고 페디아슈어 먹이려고 했는데개월에 분유랑 생우유 같이 먹어도 될까요?어제 몇숟갈 줘보니 거부하진 않던데 ㅠㅠ간식도 과일은 바나나만 먹고 사과 배 이런거는 그닥 관심없고요 대신 빵 고구마 이런거만 좋아하네요 ㅠㅠ 씹기를 잘 안하는지 큰 덩어리는 맨날 구역질...ㅠㅠ 그럴싸한 간식도 다 어질러만 놔요재활다니느라 간식도 제대로 못챙겨먹이는데....분유빵이라도 만들어서 매일 먹여야할까요?이유식은 후기이유식으로 씩 번 먹는데 분유는 많이 먹어야정도에요..... ㅠㅠ체중 적게나가는 아가들 키우시는 맘님들요맘때쯤 어떻게 하셨는지 궁금해요.잘 안씹는 아가들도 어떻게 하셨는지 궁금하구요참고로 이는 위개 아래개....ㅠㅠ뭐든 잘먹는 후둥이는 쉽게 가는데 선둥이는 늘 어렵게 가네요 ㅠㅠ 에효무지한 초보엄마에게 조언좀 주세요♡♡], 긍정 텍스트 확률 : 100.00%"
"[ 조리원나오고 나서 엄마나 시어머니나 애기케어를 도와주실 상황이 안되서 바로 산후도우미 알아봣어요여기저기 업체가 많았는데 그래도 리얼 후기?가 많고 규모잇는 업체가 좋을것같아 맘마미아로 선택했어요조리원에서 예약 하면서 제가 원하는 조건 여러가지 작성해서 드리면 최대한 조건 맞는 분으로 보내주신다고 하더라고용ㅋㅋ 출퇴근 시로 처음에는 누가 집에있는게 어색했는데 이모님오시면 오전에 자고 오후에 같이 애기보고 하니 주가 순식간에 지나갓어요 ㅋㅋ조리원에서는 다 해주던걸 막상 집에서 하려니 멘붕이었는데 애기케어 하는 요령이나 이런저런 팁들을 알려주셔서 가시고 나서도 많은 도움이 됐어요제가 조리원나오고 나서 입맛이 뚝떨어져서 잘먹지도 못했는데 입맛돌아오게 하려고 이것저것 세심하게 챙겨주신것도 너무 감사했네요반신반의하며 이용해봤는데 도움받는 주동안 너무 편하게 지냈네요 ㅋㅋ금액부담만 아니면 계속 쓰고싶은 생각만 ㅠㅠㅠ 여튼 맘마미아 이용하면서 너무 만족했습니다 ], 긍정 텍스트 확률 : 86.86%"
