"[ 원짜리 세트를 회원가로 ], 부정 텍스트 확률 : 73.36%"
"[ 원에 만나보실 수 있으니 참고해주세요❤️ ], 부정 텍스트 확률 : 88.13%"
"[ 뚜껑에는 유통기한이 적혀 있는데 년 월까지라 아주 넉넉한 기한이지만 봄이가 워낙 잘 먹어서 이미 거버 이유식 오가닉 종 세트를 클리어 한 상태ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ얼른 또 주문해야겠.. ], 부정 텍스트 확률 : 71.98%"
"[ 상대적으로 상콤한 맛을 아직 낯설어하는듯 해서 일부러 상큼함이 덜할 것 같은 당근 고구마 퓨레와 바나나 배 퓨레를 제일 먼저 먹였는데 결과는 대성공 ], 부정 텍스트 확률 : 55.76%"
"[ 빨리 안주자 발까지 동동거리며 거버 이유식 과일 퓨레 먹방을 보여준 우리 봄 사장님❤️앞으로 후기 이유식 간식은 거버 이유식으로 대령하겠습니다 땡큐❤️ ], 부정 텍스트 확률 : 73.36%"
"[ .그리고 하이프레시에도.유지태이유식 팜투베이비가 입점했다고 하네요..하이프레시에서 유지태이유식 과.유아식 전제품 구매 시에.거버 오가닉 개를 증정해주고.유기농 건강한 김 세트개 구매 시에도.거버 오가닉 개 증정해준대요..팜투베이비 유지태이유식.정기 식단 상시할인하고.정기 식단 주문 시에는.네슬레 거버 오가닉종 세트 증정하고.소진 시 까지.해피랜드 손수건증정해준다네요..김구는 이번엔 우리 찰떡이 후기이유식으로.유지태이유식 주문해봤어요..흔들리지않게 충전재넣어서.아이스팩까지 안전하게 배송되었어요. ], 부정 텍스트 확률 : 87.06%"
"[ .한우], 부정 텍스트 확률 : 62.92%"
"[ .물 조금 넣고 슥슥 섞어서 먹여요..찰떡이는 유지태이유식 너무 맛나게 잘 먹어여. ], 부정 텍스트 확률 : 96.66%"
"[ .이젠 입에 묻으면.본인이 손으로 스윽 입에 밀어넣어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ참 많이컸죠? ], 부정 텍스트 확률 : 92.31%"
"[ .간간히 요렇게 한우], 부정 텍스트 확률 : 62.92%"
"[ .?아기과일퓨레아기과일퓨레 다들인 이유가 있네요 ], 부정 텍스트 확률 : 76.47%"
"[ 함몰유두 애미인지라 애시당초 완분분유만먹임아기로 쭈욱 달려오고있어], 부정 텍스트 확률 : 90.68%"
"[모체에서 받은 면역력이 떨어지는 생후개월 이후 시기부턴더욱이 이유식], 부정 텍스트 확률 : 93.75%"
"[ 간식만큼은 철저히 신경써서 부지런히 먹여왔던 윤형제맘.하지만 생각만큼 과일종류는 사다놓은만큼 잘 안먹고 먹이기 불편해서 버려지는 양이 먹는 양보다 많아지니 ㅠ 돈 아까워ㅠ그렇다고 이마져도 안챙겨먹이면 모유수유도 안했는데 애기한테 더 미안하지 필사적으로 맘카페 카더라통신 이용후기등을 통해서 아가가 섭취하기 편하고 잘먹는.?이유식추천이유식추천 받아봤더니 언빌리버블 . 간식 절대 강자절대 오가닉안전함과 건강함의 환상콜라보레이션 ▼ ], 부정 텍스트 확률 : 89.04%"
"[유통까지 정성을 다해 관리하니 우리집에서는 믿음만 받아먹이면 된답니다 ], 부정 텍스트 확률 : 69.90%"
"[ 엄마표 아기과일퓨레에선 사실 맛내기 어려웠던 다양한 맛까지 사로 잡아우리 아기 입맛저격까지 빵야빵야 엄마가 먹어보니 엄마도 맛나서 다이어트 단백질 쉐이크 안먹고 과일야채퓨레로 한끼식사 대용하고 있다는 건 안비밀 ㅋㅋ 년 새해 첫 목표는 네슬레와 함께하는 다이어트 돌입엄마도 건강하고 좋은거 함께 나눠먹어욥], 부정 텍스트 확률 : 97.38%"
"[사과비트루트], 부정 텍스트 확률 : 53.29%"
"[당근고구마 ], 부정 텍스트 확률 : 53.29%"
"[ 사과블루베리 ], 부정 텍스트 확률 : 53.29%"
"[ 파우치 형태보다 훨씬더 위생적이고 안전한 유리병 용기 이유식추천조금 무겁긴하지만 무거운 대신 우리 아이 입속으로 들어갈 내용물을 보다 더 안전하게 보관해준다면 엄마는 어떤 것을 선택하겠어요 ? 전 이유식 선택할때 기준이 무조건 유리병에 담긴 것만 배달시켜 먹였다는 ㅋㅋ ], 부정 텍스트 확률 : 76.25%"
"[ 아기간식 퓨레엄마표보다 더 정성스럽고 더 엄마표 같드라며 과일야채를 가장 먹기 쉬운 형태로 만든 부드러운 퓨레 엄마가 만들어도 제대로 안갈리고 ], 부정 텍스트 확률 : 88.19%"
"[제대로 된 유기농 과일야채를 안쓰고 ], 부정 텍스트 확률 : 90.24%"
"[ 한병당. 각 종류별로 칼로리가 다르지만 가장 작은 칼로리는 당근고구마가장높은 칼로리는 배바나나 실온보관으로 보관을 특별나게 할 필요도 없어서 쟁여놓고 먹어도 무관단 개봉후에는 꼭 냉장 보관 필시간 안에 먹어야 한답니다우리 아이 먹거리는 소중하니깐욥], 부정 텍스트 확률 : 91.10%"
"[몸무게도 곧장 형아 따라 잡을판], 부정 텍스트 확률 : 88.54%"
