"[아빠가 먹는거 보면서 쩝쩝대고관심 많고 침도 막 흘려서 이유식을 시작할 때가 왔구나 싶었어요다들 처음엔 엄마가 직접 만들어 먹여야 한다고조리도구며], 긍정 텍스트 확률 : 62.56%"
"[저보다 더 전문가들이 만드는 거니까시간적으로나 인력적으로나 시판이 정답서론이 길었네요뭔가 육아포스팅은 내 상황을 설명하게 됨ㅋ결론은 아기가 잘 먹기로 유명한루솔 로 결정 ], 긍정 텍스트 확률 : 58.15%"
"[ 왜 많고 많은 시판이유식 중에 루솔을 선택했냐신선한 재료], 긍정 텍스트 확률 : 85.56%"
"[위생적인 환경], 긍정 텍스트 확률 : 68.11%"
"[ 제품을 받아보고 나니 번호가 다 있더라고요?쌀미음], 긍정 텍스트 확률 : 50.17%"
"[ 개의 이유식 중에서 제일 궁금한 번양배추 비트미음을 시식해보려고 꺼내봤어요다른 이유식에 비해 열량은 낮은 편이라 다이어트하는 나에게 찰떡 ], 긍정 텍스트 확률 : 66.54%"
"[ 분 초면 되겠지 했는데초등학생시절 화산폭발키트가 생각나네....?초보맘님들 저보시고 이런 실수는 하지 마세요초만 데펴도 뜨뜻하더라고요...ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.36%"
"[ 내가 만든 이유식도 아닌데 잘먹어주니 그저 감동쓰...한우미음도 궁금해서 먹어봤는데어른이 먹기엔 소금 쳐서 먹으면띠오잉 완전 맛있어요ㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 80.76%"
"[ 직접 씹고 맛보고 느껴본 결과루솔 이유식추천입니다어디서 사는지 걱정하지 마세용아기이유식배달도 되는 루솔이니까요아 그리고 루솔 홈페이지 신규회원 가입 시 이유식 팩 무료체험 쿠폰을 제공하는이벤트가 있으니 꼭 참여해보세요↓ 아래 사진 클릭하시면 이벤트페이지로 바로 넘어갑니다], 긍정 텍스트 확률 : 98.84%"
"[.?루솔루솔.?이유식이유식.?배달이유식배달이유식.?시판이유식시판이유식.?초기이유식초기이유식 .?아가밥상아가밥상.?오가닉이유식오가닉이유식.?아기이유식배달아기이유식배달.?이유식추천이유식추천본 포스팅은 루솔로부터 제공받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 84.51%"
"[ .저는 아기 이유식을 시판이유식 먹이지 않고 집에서 만들어서 먹이고 있어요..집에 영양왕이라고 죽만드는 기계가 있어서 죽정도의 이유식을 먹는 초기 중기이유식은 무리가 없었어요..들어가는 재료도한개두개고 하루에 번 먹으니 만들어 먹일만 했지요...그런데 하루 번을 먹여야하고 여러가지 재료를 이용해야하는 후기이유식은 해먹일 수 있을지 걱정이.되더라고요..요즘 아기이유식배달 해주는 곳들이 많기에 그중 루솔에서 후기이유식배달 시켜보았어요....... ], 긍정 텍스트 확률 : 61.58%"
"[ .저는 후기이유식배달 시켰는데요..루솔의 후기이유식은 단계 진밥이에요..개월아기부터 권장해요...루솔에는 팩 팩 이런식으로 되어있는데요..팩이면 후기이유식때는 하루에 번을 먹으니....한번에 씩 먹으면.. .일주일이면 다 먹는 양이네요ㅎㅎ.더 많이 먹는 아가의 경우 더 빨리 먹겠지요.... ], 긍정 텍스트 확률 : 67.40%"
"[ .루솔 이유식은식품안전관리인증을 받은 식품이에요..우리 아가가 먹을꺼니까 인증받은 식품으로 믿고 먹여요...... ], 긍정 텍스트 확률 : 73.12%"
"[ 제가 루솔의 후기이유식배달 시킨 단계는 진밥인데요.동영상을 보시면 진뜩한 느낌이 어느정도인지 아실꺼에요. 물이 거의 없는 진밥이지요.저는 아직 후기로 넘어갈 단계는 아니고 중기이유식 후반이라 아기에게 줄때 처음에는 물을 정도 섞어서 먹였어요.잘 먹어서 몇일 물을 섞어주다 진밥 그대로 주었는데 목매여하지 않고 잘 먹었어요. ], 긍정 텍스트 확률 : 59.51%"
"[ 아기이유식배달 처음 시켜 먹여보았는데..다행히 잘 먹어주고 배탈도 안났어요.후기이유식땐 번을 먹여야 하니까 루솔에서 더 만나봐야겠어요.후기이유식배달 고민 중이라면..유기농 쌀과 국내산 다양한 재료가 들어간 .루솔 이유식추천 드려요 ...... ], 긍정 텍스트 확률 : 60.03%"
"[임신 출산 이후에 택배를 정말 많이 시키고 받고 있다.장 보러 갈 시간도 없이 바쁜 워킹맘한테는 택배라는 시스템이 얼마나 좋은지그리고 믿고 먹일 수 있는 배달이유식의 존재도 정말 고맙고.이번에 시켜본 건 루솔 이유식. ], 긍정 텍스트 확률 : 71.75%"
"[낯선 맛과 식감에 신기해하는 모습이 보인다. 그래도 바닥까지 싹싹 긁어서 완판다음날 나머지 절반을 먹였다.], 긍정 텍스트 확률 : 80.13%"
"[ 역시나 바닥까지 깨끗하게 잘 먹음. 오후에 새 걸 뜯어서 먹이고 다음날 오전까지 번 먹이면], 긍정 텍스트 확률 : 62.84%"
"[맛있게 잘 먹어주는 아들내미가 너무 예쁘다. 이유식 먹이느라 고생하는 남편에게도 감사 감사♡주말에는 내가 이유식을 먹인다.], 긍정 텍스트 확률 : 57.11%"
"[ 한번 배송받아서 냉장으로 한 번에 다 먹이기는 조금 많긴 하다. 포장이 밀봉되어 있으니 냉동할 때도 걱정 없고], 긍정 텍스트 확률 : 74.88%"
"[먹는 아기도 잘 먹어주니 좋다.], 긍정 텍스트 확률 : 85.35%"
"[ 또 다른 날], 긍정 텍스트 확률 : 80.66%"
"[ 이유식과 같이 턱받이까지 드실 기세....ㅠㅠ ], 긍정 텍스트 확률 : 91.94%"
"[ 아주 난리 난리 생난리. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ우리 강이를 위해 촉감놀이용 바나나를 많이 준비해야겠다. 지난번에 바나나도 먹여 볼 겸], 긍정 텍스트 확률 : 58.86%"
"[손으로 잡아서 놀게 해주었는데 관심이 도 없어 조금 뭉개다가 말았다는...아까운 바나나. 그래도 언젠가는 맛나게 자기 손으로 먹을 날이 오겠지. 떡뻥은 잘 먹으니까방긋방긋 웃으며 이유식 먹는 예쁜 강이 한 컷 ], 긍정 텍스트 확률 : 73.12%"
"[입맛에 맞는다면 먹여보는 것도 괜찮을 듯. 시간이 모자라는 엄마들에게는 정말 시판 이유식은 혁명이다. 잘 먹고 잘 크자 아들 ], 긍정 텍스트 확률 : 60.78%"
"[큐브만들고 육수 우려내고또 하루에 세끼로 넘어가니까 이건 너무 .. ㅠㅠㅠㅠ 힘들게 이유식 만들고 숨돌릴만하면 또 이유식 데이가 다가오고 뿜뿜이가 잘 먹어주면 좋은데 안먹시기도 오고 하다보니 ... 그냥 시판이유식을 알아보게 되더라구요], 긍정 텍스트 확률 : 80.15%"
"[ 그래서 골라본 루솔 타사 이유식도 먹여보고아직 이유식 유목민인 뿜뿜이ㅋㅋ이번엔 루솔입니다배달이유식추천이라고 양도 많고 맛도 좋아서 아기가 잘 먹는다네요 이유식팩 개가 랜덤으로 골고루 들어있어서 괜찮더라구요 소고기], 긍정 텍스트 확률 : 99.70%"
"[과일이 골고루 ], 긍정 텍스트 확률 : 51.21%"
"[ 루솔이유식은 전에 먹이던 다른이유식보다양이 많았어요그래서 저는 이유식 하나를 반으로 나눠서한끼에 두가지 이유식을 먹여줬어요뿜뿜이의 철분보충을 위해서 하루에 한팩은 무조건 한우 또는 비트가 들어간이유식을 먹였고], 긍정 텍스트 확률 : 58.62%"
"[ 반씩 나눠서 이유식 한끼에 두가지 맛을 먹여주니 더 잘 먹는 것 같기도 해요우리도 하나만 계속 먹다보면 질리잖아요아기도 마찬가지겠지요 ㅎㅎ], 긍정 텍스트 확률 : 99.27%"
"[ 그리고 흰살생선사과진밥인데 색깔이 붉어서 보니 비트가 함유되어있더라구요 역시 비트가 들어가면 색이 고와지는 ㅎ], 긍정 텍스트 확률 : 99.32%"
"[ 그리고 배달이유식추천으로 루솔을 선택해야하는 이유 중 하나는 한우불고기불고기 이유식이 특히 맛있더라구요], 긍정 텍스트 확률 : 75.49%"
"[치즈들어간 것도 있고 잡채가 들어간 것도 있는데 다 맛있더라구요 뿜뿜이도 잘 먹어요 ], 긍정 텍스트 확률 : 71.86%"
"[ 그래서 뿜뿜이도 참 잘 먹어요우리 뿜뿜이는 입을 잘 안벌리는 아기라서 이유식 먹일때마다 한스푼 들어가면 반은다시 나오는데 ... 루솔 이유식은웬만하면 한스푼이 다 들어가요ㅎㅎ 맛도 있고 엄마도 편하게 스푼으로 뜰 수 있다는 얘기 배달이유식추천으로 여기저기 수많은 이유식 업체들이 많은데 저는 루솔도 괜찮네요추천할 만 해요 ㅎㅎ 그리고 또 사먹일 의향도 있구요아], 긍정 텍스트 확률 : 99.26%"
"[ 초기라서 많이 먹지는 않지만이왕이면 다양한 식재료 맛 보여주고 싶어서유아식배달 해서 먹이고 있어요.물론 엄마가 너무 편한 것도 장점이지만처음 이유식 시작하면서 시행착오 겪으며아기가 잘 안 먹는 습관을 들일까봐시판 제품 선택한 건데확실히 날이 갈수록 잘 먹고], 긍정 텍스트 확률 : 99.02%"
"[양도 차차 늘고아기도 부쩍 많이 크는 거 같아 넘 좋아요.특히 이번에 선택한 루솔 이유식은초기 단계도 타사 보다 양이 더 많아서한 개 다 못먹는 아기들 나눠먹이기에양이 적당하고 넘 좋더라고요.거기에 채소 종류도 엄청 다양해서 즐겁게이것저것 경험 시켜주는 중이예요 ], 긍정 텍스트 확률 : 53.47%"
"[ 원씩대상 연령 개월만원 이상 구매시 무료 배송 ], 긍정 텍스트 확률 : 51.38%"
"[당일 발송을 원칙으로 하고 있어요.안전한 냉장용기에 꼼꼼하게 포장되어 와서집까지 안전하고 신선하게 배송 받을 수 있어요. ], 긍정 텍스트 확률 : 83.34%"
"[ 안전한 식품 전용용기와 포장재에 담겨져 오는데 껍질에 투명창이 있어서내용물을 확인할 수 있어 좋아요.다른 브랜드 초기 유아배달식이 보통 인 것과 달리루솔 이유식은 이라 소분해 먹기 좋고요. ], 긍정 텍스트 확률 : 70.01%"
"[ 그리고 신기하게도 제품명 위에숫자가 매겨져있어서같은 단계임에도 뭐부터 먹여야되나왕창 시켰을 때 고민되는데루솔 이유식은 체계적인 단계로먹일 수 있어 헷갈리지 않고 좋더라고요. ], 긍정 텍스트 확률 : 52.94%"
"[ 다 먹이자니 항상 남겼는데은 반 나눠주기 딱 좋은 양이예요.완전 초기 단계 끝나고는 이런 식으로 늘려주면좋을 거 같더라고요.아기도 양이 딱 알맞는지 싹싹 잘 먹더라고요. ], 긍정 텍스트 확률 : 98.34%"
"[ 미음만 먹다가 묽은 죽으로..약간 압구정공주떡집 스멜이 났어요 ㅋ집에서 제가 직접 했다면 이런 재료까진 못 썼을텐데친정엄마도 보고 신기하다고 하시더라고요. ], 긍정 텍스트 확률 : 51.76%"
"[ 음.. 맛도 좋아요 ㅋㅋㅋㅋ매일 납품 받는 신선한 재료를위생적인 환경에서 만드는믿을 수 있는 유아식배달 업체 루솔이예요.홈페이지 들어가시면각종 식재료 인증 자료 확인하실 수 있어요. ], 긍정 텍스트 확률 : 97.12%"
"[ 루솔 첫 영접하는 순간], 긍정 텍스트 확률 : 51.96%"
"[ 자연스럽게 아기 반응 담아보려고아예 처음 먹일 때 동영상으로 찍어봤어요.조작 아니고아기가 정말로 먹자마자 완전 좋아하죠?묽기나 농도가 아기 입맛에 괜찮은 가봐요 ㅋㅋ ], 긍정 텍스트 확률 : 89.43%"
"[ 흑임자 맛이 괜찮았나봐요. ], 긍정 텍스트 확률 : 87.34%"
"[ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ넘 귀여운 도둑 ㅋㅋㅋ이제는 아기가 맘껏 난리치면서 먹게 나두고 있어요.우아하게 입 벌려이유식만 받아먹음 좋겠지만만지고 흘리고 줏어먹는 것도다 공부죠 뭐 ㅋㅋㅋ ], 긍정 텍스트 확률 : 78.45%"
"[ 그리고 번부터는 한우가 들어있어요개월때부터는 소고기를 매일 먹어야 한다고 하더라고요.루솔 이유식은 신선한 한우만을 사용한다고 해요. ], 긍정 텍스트 확률 : 64.36%"
"[ 시금치 닮은 채소요세상에... 저는 사먹어본 적 없는데우리 아가가 엄마도 안 먹어본 채소를 다 먹어보네요 ㅋ ], 긍정 텍스트 확률 : 62.12%"
"[ 루솔 유아식배달로 바꾸고 난 후에양도 늘었지만식욕도 더 늘어난 거 같아요 ㅋ ], 긍정 텍스트 확률 : 52.00%"
"[ 급해도 엄마 기미 먼저], 긍정 텍스트 확률 : 53.00%"
"[ 더 다양한 식재료를 접할 수 있어넘 맘에 들었어요. ], 긍정 텍스트 확률 : 82.89%"
"[ 아기의 루솔 이유식 사랑 ㅋㅋㅋ저처럼 초기에 다양한 식재료 경험시켜주거나시판 초기이유식들 소분해먹이기양이 좀 애매하다 싶으신 분들은루솔 유아식배달 추천드려요.위에 사진 클릭하시면 링크 연결 되어있는데다양한 할인 및 적립 행사 진행하고 있으니 참고하세요 ], 긍정 텍스트 확률 : 91.13%"
"[중기차까지직접 육수 다 만들고 이유식 큐브 만들어서일에 한번씩 꼬박꼬박 이유식 직접 만들어정성가득 주면서 먹였는데 ......하아... 이제 중기 후기로 넘어가니많이 버겁고 힘들더라고요 ???일부터는 하루끼나 먹여야하는데내가 이것저것 골고루 재료손질 다해서하루끼를 꼬박 만들어줄 수 있을까..솔직히 버거운 마음이 앞었어요.육아 선배님들 말로는요즘 시판이유식 잘나온다 내가 손질하기 버거운 재료들로골고루 더 잘 만들어져나와서이것저것 먹여보기에 훨씬 좋다 이렇게 전해들어서 슬슬 시판이유식한번 시작해볼까? 고민하던 찰나], 긍정 텍스트 확률 : 73.82%"
"[닭가슴살], 긍정 텍스트 확률 : 87.22%"
"[곡물로아주 짜임새 있게 구성되어서 왔답니다. ], 긍정 텍스트 확률 : 86.50%"
"[ 루솔이유식 모듬야채사과죽 입니다.그동안 이유식 하면서], 긍정 텍스트 확률 : 76.33%"
"[ 처음으로 보는 시판이유식이라열어보고 와깜놀했어요 밥알이 이렇게나 살아있고감칠맛 가득 나도록 재료가 많이들어갔더라구요. ], 긍정 텍스트 확률 : 76.98%"
"[ 엄마가 해주는거는 먹다가 에옥 에옥 에옥질도 몇번씩 하고 ㅎㅎㅎ그랬던 아가였는데 먹기가 편했던지싹싹싹잘 먹어서 놀랐습니다. ], 긍정 텍스트 확률 : 97.25%"
"[ 다음으로 먹여본거는], 긍정 텍스트 확률 : 62.43%"
"[ 루솔이유식 한우비타민죽 입니다.역시나 씩 나눠서 두번 먹였어요. ], 긍정 텍스트 확률 : 86.28%"
"[ 시판이유식 이렇게 좋아할 일이냐며 ㅎㅎ숟가락만 보여줘도 입이 아], 긍정 텍스트 확률 : 54.76%"
