"[지대로 조카홀릭인 요즘매일같이 페톡을 하는데도 불구하고 성에 안차왕복 시간도 마다하지 않고 보러가게 만드는 탄탄잉 ], 부정 텍스트 확률 : 94.61%"
"[ 언니 이건 어떻게 해야돼?뭐는 어떤게 좋아?하고 물어봐도............... 난 이미 육아를 손에서 놓은지 오래인걸엊그제 일도 생각이 안나어차피 물어봐놓고 조언해도 답정너인거 다 안다. ], 부정 텍스트 확률 : 83.81%"
"[ 나도 가고싶다 여행.............알로하그래서 내선물은?? ], 부정 텍스트 확률 : 72.20%"
"[ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 60.17%"
"[ 역시 스누피는 띵작이란 말야............아주 가끔씩은 혼자만의 시간이 간절해 지기도 했지만이걸 매일 겪을 동생을 생각하니 왠지 짠해짐 ], 부정 텍스트 확률 : 74.92%"
"[ 날짜와 시간 분유먹인양 기저귀 교체한 시간과 배변의 양을 상세히 기록하는 다이어리를 쓸 것앜충분한 수면을 위해 일산책을 할 것하루에 한번 오전시간에 이유식을 줄 것분유는 두가지를 혼합하여 먹이는데 양과 물양을 잘 조절할것시반 정도까지는 목욕을 마치고 시엔 재울것 ], 부정 텍스트 확률 : 58.23%"
"[ 사실 이 중에서 가장 어려웠던건 밥먹이고 적고 기저귀갈고 적고....순간 정신줄놓고 깜빡하면 망하는거다 몇시였더라혼란밥먹이는 텀까지 철칙으로 꼭 지키는걸 잘 알기에 동생없이 내가 잘 할 수 있을까..걱정해씀 ], 부정 텍스트 확률 : 74.99%"
"[ 이제 눕히기만해도 휘릭 휘릭 번개같이 뒤집는 개월이라구우뒤집는다고 기뻐한거 누구냐 나다........식당에서도 카페에서도 돌고래소리를 서슴치않는 일본격적인 게임은 지금부터 라는것........ ], 부정 텍스트 확률 : 92.92%"
"[ 생각보다 필요한게 많았다.아이 하나 움직이는게 이사와 맞먹는 일이기 때문에 탄탄이가 오기전 젖병세정제와 삶는도구 유아세제그리고 목욕시킬 욕조와 바스를 준비했음.최근엔 열이나는 일이 발생하여 체온계도 구매하고 하이체어로도 사용할 수 있는 부스터까지...정말 최소한으로 준비한다고해도 어마무시한데...??동생은 이유식 그릇과 주걱등등까지 보낸다고 했지만 내가 알아서할게 라며 거절했다.ㅋㅋㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 86.33%"
"[ 와 나때는 쌀갈고 막 밥지어서 갈고.........했었던것 같은뎁 언제적?이유식 하기가 엄두가 안나 망설이던 동생이 고른건 맘스이유식간편올게쌀가루로 당근.브로콜리.쌀.단호박 가지의 맛이 있더라구요. ], 부정 텍스트 확률 : 82.95%"
"[ 아이를 돌본다는 것은밥먹이고 기저귀갈고 재우고 놀아주고 산책하고 목욕시키고의 루틴을 지키다보니정말 하루가 아무것도 하지못한채 지나가 버린다는 것. ], 부정 텍스트 확률 : 83.44%"
"[ 아랫니가 나오느라 근질근질 한건지요몇일은 윗니까지 나고있어서 치발기를 갈비뜯듯이 질근질근개월아기 초기이유식으로 첫번재는 쌀가루로 시작해봤는데요.정말 질감이며 맛이며 별 맛이 안나는 스프같은 느낌쓰하지만 아기에게는 신세계 라는것 ], 부정 텍스트 확률 : 99.64%"
"[ 처음인데...............이렇게 한개도 안흘리고 잘 먹다늬넌 좋겠다.맘마만 먹어도 칭찬받고 심지어 떵을싸도 칭찬받는다 ], 부정 텍스트 확률 : 90.48%"
"[ 조금 이른감이 없지않아 있지만 떡뻥을 먹을때 물도 먹여야 한다기에 빨대컵도 준비했다.처음엔 질근질근 씹기만 하더니 어쩌다가 쪽 빨려들어왔는지입가가 촉촉하도라.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ몇번의 시도끝에 켁켁 하면서도 적응해 나가고 있는것 같다.대견해빨대컵도 곧잘 하기에 바로 마트에가서 아기보리차 사왔음 ], 부정 텍스트 확률 : 86.53%"
"[ 매일 사진으로 영상으로 페톡으로 받아보는 탄탄이의 일상적어도 하나당 번은 돌려보는것 같다.메롱메롱 하면서도 초기이유식을 잘 받아먹는게 넘나 귀여움..............쌀가루 당근까지는 아주 잘 먹더니 브로콜리는 입맛에 잘 안맞았는지 잘 먹지 않았다고.단호박도 그런대로 잘 먹음엄마 목소리에서 아쥬 꿀떨어지네..ㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 83.95%"
"[ 물과 맘스 이유식쌀가루 스틱을 넣고 불조절만 해주면 분만에 완성맘스쌀가루], 부정 텍스트 확률 : 86.23%"
"[이유식냄비], 부정 텍스트 확률 : 53.29%"
"[물만 있으면 이유식 준비 끝], 부정 텍스트 확률 : 86.18%"
"[ 쇠고기], 부정 텍스트 확률 : 53.29%"
"[닭안심], 부정 텍스트 확률 : 53.29%"
"[ 맘스 야채품은쌀 이유식쌀가루도 유기농쌀], 부정 텍스트 확률 : 61.06%"
"[유기농올게발아현미], 부정 텍스트 확률 : 53.34%"
"[새송이버섯], 부정 텍스트 확률 : 53.29%"
"[브로콜리], 부정 텍스트 확률 : 53.29%"
"[ 호박], 부정 텍스트 확률 : 53.29%"
"[표고버섯], 부정 텍스트 확률 : 53.29%"
"[파 로 건강한 야채와 곡물만을 사용하고 있어요.불필요한 인공첨가물이 하나도 들어가 있지 않아요 . 특히 원재료들 중 올게발아현미는 볍씨 상태 그대로 발아증숙한번 찐 후 도정한 슈퍼곡물로서], 부정 텍스트 확률 : 65.43%"
"[ 그래서 맘스 야채품은쌀 이유식쌀가루 스틱 하나로 무기질], 부정 텍스트 확률 : 65.64%"
"[비타민], 부정 텍스트 확률 : 53.29%"
"[비타민], 부정 텍스트 확률 : 53.29%"
"[비타민], 부정 텍스트 확률 : 53.29%"
"[마스네슘 등 풍부한 영양을 제공 할 수 있는 거랍니다.맘스 야채품은쌀 이유식쌀가루는 곡물과 채소가 듬뿍 들어가 있어서 채소육수가 떨어졌을 때 사용해도 좋아요.], 부정 텍스트 확률 : 88.54%"
"[ 더군다나 제 경우엔 채소육수를 만들기 위해 다량의 채소를 구입하지 않아도 되서 정말 좋았어요. 저는 요리를 거의 하지 않다보니 채소육수를 위해 산 야채들을 처리하기가 곤란할 때가 많았거든요. 맘스 야채품은쌀 이유식쌀가루 하나만 있으면 번거로운 야채손질도], 부정 텍스트 확률 : 80.44%"
"[난감한 재료처리도], 부정 텍스트 확률 : 61.06%"
"[무더운 여름 에어컨 돌려가며 시간 분동안 육수를 끓이는 일도 없어요 ], 부정 텍스트 확률 : 95.26%"
"[ 맘스 야채품은쌀 이유식쌀가루만 끓여서 먹여보고], 부정 텍스트 확률 : 75.34%"
"[연두부를 넣어 먹여봤는데요. ], 부정 텍스트 확률 : 97.03%"
"[ 입을 벌리며 빨리 빨리 달라고 조르더라구요 ㅋㅋ 진짜 맛있나봐요.], 부정 텍스트 확률 : 82.49%"
"[ 간편한 조리방법과 짧은 조리시간으로 이유식 만드는 부담도 확 줄었어요], 부정 텍스트 확률 : 66.09%"
"[ 과일과 요거트로만 만들어진.?아기과자아기과자 아기요거트과자 요거요거딸기 보존료], 부정 텍스트 확률 : 62.08%"
"[착향료], 부정 텍스트 확률 : 53.29%"
"[색소를 하나도 넣지 않은 착한.?아기요거트간식아기요거트간식이랍니다. 달콤하고 상큼한 딸기향이 풍겨서 우리 아기가 참 좋아하는.?아기요거트과자아기요거트과자 예요.큐브모양 아기요거트과자라서 아이가 손에 잡기도 쉽고], 부정 텍스트 확률 : 84.51%"
"[ 우리 아기를 위한 건강하고 맛있는 먹을거리 맘스 야채품은쌀 이유식쌀가루와 요거요거딸기 아기요거트과자를아기이유식으로], 부정 텍스트 확률 : 56.78%"
"[아기간식으로 추천드려요◆ 우리아기먹거리 추천 맘스 야채품은쌀요거요거딸기 구입하러 가기 ◆ ...?...? 본 포스팅은 업체로부터 무상으로 제품을 제공받아 작성하였습니다. ], 부정 텍스트 확률 : 75.97%"
"[ 텀은 시간이여야 하고..지금 중간에 간식으로 찐 고구마 반 개], 부정 텍스트 확률 : 74.00%"
"[치즈 한 장], 부정 텍스트 확률 : 66.90%"
"[요플레], 부정 텍스트 확률 : 53.29%"
"[쌀과자 등 주고 있어요.한번에 아니예요중기에서 분리 수유도 시도해 봤는데], 부정 텍스트 확률 : 61.57%"
"[ 다들 제각각이라 틀을 못잡겠어요결국 이것도 엄마 선택이겠지만 팁좀 주세요💓], 부정 텍스트 확률 : 71.75%"
