"[ 스티로폼박스에 보냉제와 같이 들어있네요 ], 긍정 텍스트 확률 : 68.69%"
"[ 렌지로 데운 후 섞어주면 이런 비주얼 ], 긍정 텍스트 확률 : 50.30%"
"[ .며칠 전에는 실온보관이 가능한 이유식을 배달 받았다가 받은 이유식 싹다 거부해서 먹이지도 못하고 이번에는 오가닉맘을 찾아내고 배달을 받았어요. 개월쯤 이유식 거부가 한 번 온다고 하는데 아니 고개를 휙휙 저으며 입을 꾹 다 물고 인상을 파악 쓰는데 ... 하아 .. 매일 주어지는 미션 같은 느낌이에요.... ], 긍정 텍스트 확률 : 59.64%"
"[ ..이렇게 입도 내밀고 고개도 돌리고 손도 휙휙 저으며 강하게 이유식을 거부하고 있는 뚜니에요. 국에 밥 말아주면 간이 좀 간간하게 되어 있으니 그것만 달라고 해요 ... 주고싶은 마음은 굴뚝 같은데 이는 아직 아랫니 두 개 밖에 안나서 벌써 일반식으로 주기에는 겁도 나고 장에 탈 날까봐 못 주겠어서 어떻게든 먹이려하는데 절 대 안 먹 음 부들부들......... ], 긍정 텍스트 확률 : 68.06%"
"[ ..하나하나 다 뜯으면서 오 포장은 참 마음에 든다고 중얼중얼 거렸던 오리댁인데요. 처음 오픈하면 바로 아이스팩 하나가 있고 그 다음 오가닉맘 이유식에 대한 작은 종이 한장이 있고 그 다음 이유식 담기고 마지막 맨밑에도 아이스팩이 들어 있어요......... ], 긍정 텍스트 확률 : 98.73%"
"[ ..단계로 나뉘어 있는 이유식에 대한 정보와 이유식 만들어지는 과정? 같이 종이에 나와있어요. 오가닉맘도 매월 결제로 매일 이유식을 받는 시스템이 있나봐요. 메뉴가 모두 다르더라고요. 뚜니도 먹여보고 거부 안하면 오가닉맘으로 결정을 할까 고민중이에요......... ], 긍정 텍스트 확률 : 53.42%"
"[ ..표기에 재료 성분에 대한 건 다 적혀 있어서 알레르기있는 아기의 엄마들은 앞에 잘 보시면 될 거 같아요. 아직 뚜니는 지금까지 이유식을 하면서 알레르기 반응을 보인적은 없는데 이번에 함께 주문한 새우가 조금 걱정이긴한데 먹여보려고요. 과연 먹을 것인지부터가.. 큰 미션이긴한데.. ..그램수는 모두 동일하게 씩 되어 있어요. 칼로리는 각 들어간 재료에 따라서 다르고 이걸 하나 다 먹는 아이..도 있겠죠? 포스팅도 하고 사진을 찍으며 내내 그 생각뿐이었어요......... ], 긍정 텍스트 확률 : 78.71%"
"[ ..처음 꺼내어 데워 먹인 단호박야채진밥. 이전에는 농도가 뭐랄까 좀 더 질었는데 오가닉맘은 진밥 보다는 조금 더 되직한 밥에 가까워요. 딱 봐도 진밥이긴한데? 엄청 진밥은 아닌 것 같다는 생각이 바로 들고 단호박이라 그런지 냄새가 달달해요......... ], 긍정 텍스트 확률 : 53.25%"
"[ ..몇미리가 나올까 궁금해서하나 뜯고 싹싹 긁어서 이유식 용기에 옮겨 담았는데 가 조금 넘게 나와요. 꾹꾹 안 눌러담고 설렁 담아 두어번 탁탁 내려쳤을 때의 양이에요. 이거 다 먹어줬으면 참 좋겠는데........... ], 긍정 텍스트 확률 : 99.40%"
"[ ..배송은 아이스박스에 잘 포장 되어 도착해서 좋았어요.냉장 보관하는 이유식이라 뭔가 더 안심이 돼요.날이 더워지니 실온 보관 이유식은 괜스레 걱정이 되고요.맛은 어른이 먹어도 괜찮은 맛이에요.간이 되어 있기 보다는 육수가 진한 것 같아요.에 정도 나오는 양이어서.후기 이유식에 먹이기 적당한 양인 것 같은데.진밥이긴한데 많이 진밥은 아니에요.데우고 조금 놔두면 바로 일반식 볶음밥 같은 밥이에요.아기가 다소 먹기 힘들어 할 수 있을 것 같아요............... ], 긍정 텍스트 확률 : 99.69%"
"[한우감자 이런식으로주로 집에 있는 야채중 하나를 섞어아이에게 주었는데 어느 순간생선이나 다른류는 한번도안해주는 엄마가 되더라 ㅠㅠ어차피 이유식양이 한번먹을때 정도로많지 않아 아기에게 일주일에 한번소고기를 만원어치 사는것보다일주일에 한번정도 이유식을 사멕이는게싸게 치겠다 싶었다. ], 긍정 텍스트 확률 : 71.54%"
"[ 단계 진밥을 주문했고양은 그람 정도되었다.우리 아기는 그람정도 먹기에이정도만 주문해도 보름은 먹었다.아침과 점심은 어린이집에서 ㅋㅋㅋㅋ나도 정말 편해진 이유식기여튼 시금치], 긍정 텍스트 확률 : 85.31%"
"[연어살], 긍정 텍스트 확률 : 62.91%"
"[파프리카등정말 다양한 재료를 아이에게 먹일수 있고내가 만들어먹이는것보다 더 잘먹는 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 93.51%"
"[ 유통기한 적힌것까지는 냉장보관가능하고그 이후에 먹일꺼면 냉동보관 한달까지괜찮다고 한다. 이동시 들고다니기 편하고간편해서 좋긴좋다.ㅠㅠ용기그대로 전자렌지사용이 가능해데우기도 편하고이래서 엄마들이 다들 시켜먹는가보다.참고우리아기는블루베리한우진밥 을거의 먹지 않았는데 블루베리라 적혔는데오이향처럼 특유의 짙은향이 엄청나서아이도 나도 거부가 느껴졌다 ㅠㅠ그래서 아기가 안먹었다. .?오가닉맘오가닉맘], 긍정 텍스트 확률 : 50.44%"
"[ .?가성비좋은이유식가성비좋은이유식], 긍정 텍스트 확률 : 65.44%"
"[ 제가 제일 마음에들었던 건팩 구매시 팩 추가 옵션이 있었어요위프에서 구입했어요홍보아닙니당또한 계란], 긍정 텍스트 확률 : 63.52%"
"[ 제가 구입한 단계는 단계였어요. 현재 개월이고 후기이유식그리고 자기주도이유식 중에있어요다양한 종류가있어서좋더라구요 시판이유식의 장점은 해주기어려운 재료들어간이유식을 먹일 수 있다는 점이죠 ], 긍정 텍스트 확률 : 81.48%"
"[ 저는 다양한 품목을 골라봤어요직접해주지 못하는전복 참치 연어살 대게살 등 ], 긍정 텍스트 확률 : 57.09%"
"[ 오가닉맘은 이 들어있어서 되게 넉넉한용량이 마음에 들었어요 개당 천원도 안되게 너무 가성비가 좋아요 ], 긍정 텍스트 확률 : 89.24%"
"[ 그리고 또한 양이많아서덜어서 먹이기도했어요무려 ], 긍정 텍스트 확률 : 77.00%"
"[ 꾸물이도 되게 잘먹어요제가 먹어봐도 맛은 괜찮더라구요 ], 긍정 텍스트 확률 : 86.01%"
"[첫째는 열씨미 만들어먹이고 시판이유식도 일케 많은지 몰랐는데 ㅋ울 사랑이는 의도치않게 ㅋㅋ이유식을 사먹이는 불량엄마 ㅋ넘나 잘먹는아이라면 좀 후덜덜 하겠지만 하나로 세네번을 나눠먹는 아이다보니 ㅠㅠㅠ소량만들기엔 너무 시간과 노력과 설거지가ㅜ많이나와서그리고 다양하게 맛볼수있단 핑계로 사먹이고 있다 ], 긍정 텍스트 확률 : 77.43%"
"[ 그래서 개인적으로 물론 단곈 짱죽이랑 루솔을 안시캬봐서 모르겠지만 ㅋㅋ내가 구매한 이유식 기준으로할땐오가닉맘 단계 —.단계—짱죽 .단계—루솔 단계 순으로 시키는게 맞는거같다다음엔 어디껄 사봐야하나어느 하나 잘먹으면 정착을 하겠는데 어디든 다 잘 안먹어서 고민이 크다 ㅠ원체 뱃골도 작은지 젖도 잠깐빨고 마는 아이라서 그냥 소량씩 자주 먹여야 하나보다 하고있긴한데...애가 잘 크지 않을까 스트레스다 ㅠㅠ그래도 뭐든 잘먹는걸 먹이면 크겠지모 ㅋ 엄마가 다양하게 사서 먹여줄께? ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.67%"
"[전부 내가 사서 개인적으로 쓴 내용임돠 ㅎ .?이유식이유식.?초기이유식초기이유식.?중기는언제중기는언제.?루솔루솔.?짱죽짱죽.?오가닉맘오가닉맘.?개월개월.?아기아기.?개월개월.?시판이유식시판이유식 ], 긍정 텍스트 확률 : 95.88%"
"[ 어제 티몬에서 시판이유식 오가닉맘이 원에떠서시켜봤거든요..하두 이유식을 안먹어서...조금 먹을까싶어서요근데 짱죽이나 그런건 후기가 많은데 얘는 없네요시켜보신분 후기부탁드려용], 긍정 텍스트 확률 : 82.92%"
"[ 안녕하세여.산쥬입니다첫째인 민서는 이유식 정말 안먹었드랬죠.민서는 완모였는데 모유끊을때까지는 거의 모유만 먹었어요.그런데 주형이는 정말 너무 잘먹어서 아기 처음키우는 여자된기분..ㅋㅋ어쩜 같은 뱃속에서나온 두 아이가이렇게 다를줄이야 .. ], 긍정 텍스트 확률 : 95.96%"
"[ 초기미음 까지는 직접만들어주고중기부터는이곳저곳 비교해서 주문해 먹이다가오가닉맘으로 완전 정착했어요. ], 긍정 텍스트 확률 : 53.29%"
"[ 집에서 만들어 먹이는게 제일이긴 하겠지만만들고 남은재료 보관 및 처리가 까다롭더라구요.그리고 가장 중요한 저의귀차니즘.그렇지만 역시 사먹이는건식비가 장난아니죠.. 그래서 저는 주형이도 얼른일반식을 먹는 날이 오기만을 바라고 있답니당ㅋㅋ ], 긍정 텍스트 확률 : 91.72%"
"[.냉장보관으로 보관.가격도 다른 타회사들 보다 저렴하더라구요.용량도 좋아요 이라 하나로 하루에 번 먹이기 좋아요👍👍.우선 가격이 좋아서 좋고 맛도 고소하니 맛있더라고요.최고로 울 아들랑구 잘먹어서 좋아요 ], 긍정 텍스트 확률 : 99.96%"
"[ ...리뷰보면 머리카락 나왔다는 리뷰도 보긴했는데....그건 다른 타 제품들 리뷰에서도 볼 수있는거라 난 아니겠지하고 시켰는데 다행히 안나왔어요.. .?아기이유식아기이유식초기이유식중기이유식후기이유식오가닉맘이유식오가닉맘. ], 긍정 텍스트 확률 : 95.46%"
"[중기원 꽤 저렴하고 메뉴 선택도 할 수 있어서 몇가지 주문해볼까 하는데 시켜보신 분 있나요?여기 카페에 후기가 없는 거 같아서요아님 다른 저렴하고 괜찮은 시판 이유식 추천해 주실 수 있을까요? ], 긍정 텍스트 확률 : 95.27%"
"[ 원 입니다 .제품후기 보러가기지금은 쇼핑중 블로그에 오신것을 환영합니다 다양한 제품 정보를 소개하고 있습니다 ↓쿠팡 공식 홈페이지 링크↓], 긍정 텍스트 확률 : 76.79%"
"[ 해당 블로그에서 소개하는 특정 제품들의 경우 상세정보 및 가격은 변동이 될 수 있습니다년 월 일 시 분에 발행하였습니다 ], 긍정 텍스트 확률 : 68.67%"
"[아빠가 먹는거 보면서 쩝쩝대고관심 많고 침도 막 흘려서 이유식을 시작할 때가 왔구나 싶었어요다들 처음엔 엄마가 직접 만들어 먹여야 한다고조리도구며], 긍정 텍스트 확률 : 62.56%"
"[저보다 더 전문가들이 만드는 거니까시간적으로나 인력적으로나 시판이 정답서론이 길었네요뭔가 육아포스팅은 내 상황을 설명하게 됨ㅋ결론은 아기가 잘 먹기로 유명한루솔 로 결정 ], 긍정 텍스트 확률 : 58.15%"
"[ 왜 많고 많은 시판이유식 중에 루솔을 선택했냐신선한 재료], 긍정 텍스트 확률 : 85.56%"
"[위생적인 환경], 긍정 텍스트 확률 : 68.11%"
"[ 제품을 받아보고 나니 번호가 다 있더라고요?쌀미음], 긍정 텍스트 확률 : 50.17%"
"[ 개의 이유식 중에서 제일 궁금한 번양배추 비트미음을 시식해보려고 꺼내봤어요다른 이유식에 비해 열량은 낮은 편이라 다이어트하는 나에게 찰떡 ], 긍정 텍스트 확률 : 66.54%"
"[ 분 초면 되겠지 했는데초등학생시절 화산폭발키트가 생각나네....?초보맘님들 저보시고 이런 실수는 하지 마세요초만 데펴도 뜨뜻하더라고요...ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.36%"
"[ 내가 만든 이유식도 아닌데 잘먹어주니 그저 감동쓰...한우미음도 궁금해서 먹어봤는데어른이 먹기엔 소금 쳐서 먹으면띠오잉 완전 맛있어요ㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 80.76%"
"[ 직접 씹고 맛보고 느껴본 결과루솔 이유식추천입니다어디서 사는지 걱정하지 마세용아기이유식배달도 되는 루솔이니까요아 그리고 루솔 홈페이지 신규회원 가입 시 이유식 팩 무료체험 쿠폰을 제공하는이벤트가 있으니 꼭 참여해보세요↓ 아래 사진 클릭하시면 이벤트페이지로 바로 넘어갑니다], 긍정 텍스트 확률 : 98.84%"
"[.?루솔루솔.?이유식이유식.?배달이유식배달이유식.?시판이유식시판이유식.?초기이유식초기이유식 .?아가밥상아가밥상.?오가닉이유식오가닉이유식.?아기이유식배달아기이유식배달.?이유식추천이유식추천본 포스팅은 루솔로부터 제공받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 84.51%"
"[이번 주말 날씨..ㅎㅎ너무 좋지 않나요..이번 주에 낮에 나갔는데도 추워서..어린 둘찌를 어찌 데리고 나가야하나 걱정이었는데이번 주말은 날씨가 좋아서.......차도 많이 막히더라고요 ], 긍정 텍스트 확률 : 97.83%"
"[ 결국 저는 이렇게 또 팜투베이비를 주문합니다..ㅎㅎ요즘 아들이 제가 주방에만 들어가도..자꾸 울고 그래서..........그렇다고 굶길 수는 없으니 주문했는데요..ㅎㅎㅎ매번 든든하다는 사실 ], 긍정 텍스트 확률 : 99.40%"
"[ 무엇보다 이번에 유지태 이유식이라고..ㅎ모델이 바뀌었네요..저에게 유지태는......보일러가 더 이미지가 강하지만두 아이 아빠라는 사실......이렇게 어깨 넓고 키 큰 남자.......ㅎㅎ멋지구나ㅎㅎ ], 긍정 텍스트 확률 : 99.93%"
"[ 유지태 아저씨? 오빠? 를 보니여가지의 친환경재료를 사용하는 이유식이라 나오는데요배달 이유식 중에서는 가장 많은 친환경 재료라고 하니......역시 제가 급할때마다 주문하는 이유가 있겠죠 ], 긍정 텍스트 확률 : 70.48%"
"[ 이렇게 냉장고에 채워놔야.......마음이 든든한데요.이것도...오래 못가니........틈틈히 우리 아들 반찬 만들어놔야겠어요..ㅎㅎ ], 긍정 텍스트 확률 : 88.05%"
"[ 뭐를 줄까 하다가..ㅎㅎ 닭고기 화이트파스타 선택치즈를 워낙 사랑하는 아들이니 안 좋아할리가 없죠 ], 긍정 텍스트 확률 : 88.47%"
"[ 아들이 워낙 고기킬러인데요닭고기도 잘 먹지만 소고기를참 좋아합니다.역시 비싼 것은 알아가지고그래서 한우비타민토마토카레와흰살생선스트로가노프를 선택해봤는데요 ], 긍정 텍스트 확률 : 90.82%"
"[ 그래서인지 역시나 잘 먹습니다.이렇게만 먹으면.......걱정이 없을텐데..........ㅎㅎ ], 긍정 텍스트 확률 : 91.90%"
"[ 이유식 후기부터 배달이유식을 이용했는데그 중에서도 주위 육아맘들이 팜투베이비를 많이 추천해줘서먹기 시작했는데 이렇게 유아식 반찬까지.....도움을 받고 있습니다. ], 긍정 텍스트 확률 : 83.56%"
"[ 혼자 먹방찍는 우리 아들잘 먹고 잘 놀고 잘 잘때 이쁜거 맞죠?ㅎ ], 긍정 텍스트 확률 : 82.25%"
"[ 사실 이번 월에 대박이벤트도 있다보니꼭 제 주위 이웃님들에게도 알려드리고 싶어서 글도 써요 ], 긍정 텍스트 확률 : 99.26%"
"[ 흑흑 근데 난 재주문이라구 너무 아쉽다고요걱정마세요 재주문 고객도 프로에 프로 더붙여서 총 프로 할인해주니까요ㅎㅎ ], 긍정 텍스트 확률 : 99.76%"
"[ 당연히 저도 그래서..............ㅎㅎ 할인받았죠..ㅎ근데 한번뿐이냐고요아니요월에 재주문해도 똑같이 또 할인해줘요..ㅎㅎㅎㅎ또.......주문해야지제가 링크 남겨두니 꼭 들려보세요 ], 긍정 텍스트 확률 : 99.11%"
"[ 냠냠냠 이러니..엄마가 준 반찬..냠냠 다 긁어먹어야지.......ㅎㅎ이렇게 반찬 걱정없는게 얼마나 엄마에겐 행복인건지.아주 든든합니다 ], 긍정 텍스트 확률 : 57.89%"
"[ 유기농약밤등보양되는 것은 다 들어가 있네요], 긍정 텍스트 확률 : 69.89%"
"[ 영양도 만점 맛도 만점이니....친환경 유기농으로 꽉채워져 있으니거기다 팜투베이비 월 이벤트까지 있으니엄마는 너무 만족스럽습니다 ], 긍정 텍스트 확률 : 99.73%"
"[ 용기도 전자레인지에서 사용가능한 용기라서 이용하기도 편하고..ㅎ외출할때에도..챙겨가기 좋아요이번주에 시댁내려가는데..ㅎ 아들것도 미리 챙겨야겠네요 ], 긍정 텍스트 확률 : 99.52%"
"[ 조금만 자기 입맛이 아니면....안 먹고 도망가는 아들인데요이번에는 잘 앉아서 먹네요밥 잘먹어야 무엇보다 튼튼해지잖아요요즘은 폐렴이 유행이라 하는데 이럴수록더욱 잘 챙겨먹어서 이번 겨울에도 무사히 잘 보내야겠습니다 ], 긍정 텍스트 확률 : 99.93%"
"[.이유식 시작할 때쯤 제가 몸이 너무 아파서 .시판 이유식을 생각할 수밖에 없었어요 .그래서 초기 이유식은 베베에서 주문해서 먹였었죠. .이제 중기에 들어가면서 다른 곳도 이용해 보고 싶어져 이곳저곳 알아보다가 유지태가 광고하는.팜 투 베이비에서 주문을 해 봤습니다ㅋ..처음엔 샘플 두 개 신청해서 먹였는데 .우리 ㅈㅇ가 너무 잘 먹고 .베베에 없는 다양한 맛이 있어서 .좀 더 먹여 보려고 .첫 주문을 시켜봤어요. ], 긍정 텍스트 확률 : 95.77%"
"[ .이번 주 잘 먹이고.다시 주문해야겠네요 ♡ ], 긍정 텍스트 확률 : 91.00%"
"[ .그리고 깨끗하고 폭신한.?올담올담 물티슈.무려 매짜리 물티슈를 주네요 ], 긍정 텍스트 확률 : 54.23%"
"[ . .?오가닉라이스퍼프오가닉라이스퍼프.?레인보우볼레인보우볼..우리 ㅈㅇ 아직 간식은 시작 안 했는데 .첫 간식이 되겠네요ㅎ.팜투베이비의 유기농 쌀과자이니 .믿고 먹여봐야겠어요. ], 긍정 텍스트 확률 : 85.03%"
"[안녕하세요 지난주 예고 드렸던 하기스 기저귀], 긍정 텍스트 확률 : 66.13%"
"[ 그중에서도 프리미엄라인중에 최고로 꼽히는 하기스네이처메이드오가닉공구 를 진행해볼께요. 조금 번거로우시더라도꼭 공구진행방법 및 공구전 주의사항은 꼭 읽어주셔서 서로 불편한일 없도록 부탁드려요 참고로 이 공구는 별도의 판매 수수료를 받지 않고], 긍정 텍스트 확률 : 97.45%"
"[ 네메오 패밀리를 통해], 긍정 텍스트 확률 : 57.50%"
"[ 더 많은 분들에게 네메오를 경험할 수 있도록하기스에서 제공해주신스페셜 공구 랍니다. 구매전 꼭 읽어주세요제품 오배송 및 불량인 경우 교환이 가능합니다. 환불은 불가능하오니], 긍정 텍스트 확률 : 72.68%"
"[이점 유의해주세요공구제품은 주문 기간내에만 최저 판매가로 진행되는 공동구매입니다. 단순 변심으로 인한 교환은 불가능 합니다. 이번 공구는 특성상 카드 결제가 어렵습니다. 현금 영수증 발급은 가능합니다. 위탁 업체에서 유선 연락드릴 수 있어번호 수신 부탁드립니다.공동구매 참여방법신청폼에 주문서를 작성담당자가 공동구매 신청자에게 입금계좌 전달 예정 배송은 입금 확인후], 긍정 텍스트 확률 : 71.57%"
