"[우리 아이에게 엄마가 직접만든 이유식을 먹이는게 제일 좋겠지만 여행을 가거나 더운 여름철 외출이 길어질때는 배달이유식도 불안.. 실온이유식], 긍정 텍스트 확률 : 82.06%"
"[시판이유식이 가장 안전한것 같다. 그리고 외출가방의 필수품인 아기간식 간식도 직접 만든 퓨레를 싸가지도 다니다가 이제는 아이가 쌀과자와 요거트과자를 다 잘 먹어서 고루고루 챙겨가는 편이다. 날도 더운데 상할 염려가 없어 안심이다], 긍정 텍스트 확률 : 77.46%"
"[ 이번에 일동후디스 서포터즈인 후디스타즈에 뽑히게 되어 아이밀 이유식과 유기농 보리차 그리고 아이밀냠냠 아기과자 두가지 유기놀 쌀과자 비스킷과 그릭요거볼을 체험하게 됐다 두근두근한 일동후디스의 선물을 개봉해볼까나... 혜자스러움주의 ], 긍정 텍스트 확률 : 95.07%"
"[ 물을 컵으로 마실 수는 있지만 손을 마구 흔들기 때문에 그냥 주지않고 멀티커넥터를 사용해서 빨대 꽂아주니 넘넘 잘 먹었다 처음 맛보는 고소한 맛이 좋은지.. 꿀떡 꿀떡 잘 마셔줌], 긍정 텍스트 확률 : 93.54%"
"[ 아이가 아파서 그런지 이유식도 잘 먹지 못하고 분유도 잘 먹지 않았다. 목감기였을 수도 있는데.. 목안이 부어 아픈지.. 이유식을 주면 컥컥거리기도 하고.. 결국 두어번 토하기까지 했다. 잘 먹어야 얼른 나을텐데... 하던 찰나 생각난게 아이밀 처음이유식 그것도 소화가 잘 된다는 산양유미음 후디스에서 선견지명이 있나.... 후기 이유식 먹는 아이에게 미음을 한팩 보내주셨네? 했는데... 이렇게 번뜩 미음이 간절해 지는 순간이 오다니..ㅠㅠ ], 긍정 텍스트 확률 : 99.99%"
"[ 열이 많이 올라서.. 옷도 다 벗겨놓은 상태였고... 저녁시간 마지막 이유식으로 아이밀 처음이유식 산양유미음을 간절한 미음으로 줘봤는데...정말 정말 잘 먹어줬다. ㅠㅠ 하루종일 제대로 먹은 것이 없어.. 배가 고프고 지쳤을 텐데.. 다른 것들은 목이 아픈지 잘 삼키지 못했는데.. 미음은 부드러운지 잘 먹어줬다.], 긍정 텍스트 확률 : 82.57%"
"[ 파우치에 들어있는 이유식이 간식처럼 느껴졌는지 진짜 영혼까지 끌어모아 쪽쪽쪽 끝까지 잘 빨아드시는 아드님... ㅎㅎㅎ진짜 너무 좋아해서.. 먼길 가는 외출가방에 이거 하나 쏘옥 챙겨가서 잘 먹였다.], 긍정 텍스트 확률 : 98.14%"
"[ 그리고 외출할때면 꼭꼭 챙겨 가는 외출필수품 바로..아기과자 아이가 더 어렸을 때에는 직접 퓨레를 만들어 먹이고.. 직접만든 간식을 들고 다니기도 했지만.. 쌀과자와 요거트과자가 챙기기도 편하고 아이도 좋아해서 그릇이나 숟가락 필요없는 아이밀 냠냠 아기과자로 외출가방에 간편하게 챙기는 중이다.], 긍정 텍스트 확률 : 97.85%"
"[ 우리 아이는 아직 떡뻥 다음 단계인 스텝의 라이스비스킷 보다는 입에서 살살 녹아내리는 그릭요거볼을 훨씬 좋아했다], 긍정 텍스트 확률 : 70.51%"
"[ 요거트과자는 후디스 그릭요거볼이 처음이였는데..정말 지금은 최애과자로 등극 울때나 칭얼거릴때도 이거 하나면 오케이 ], 긍정 텍스트 확률 : 58.75%"
"[ 진짜 너무 맛있게 잘 먹는다 ㅎㅎㅎ가끔 요거볼은 내가 만든 간식에도 곁들여 주고 있다], 긍정 텍스트 확률 : 87.13%"
"[ 일동후디스 후디스타즈 덕분에 우리 아이 아플때 보리차며 미음이며.. 너무 잘 챙겨 먹였고..외출할때도 간단하게 이유식 챙겨가고 아이가 좋아하는 아기과자들까지.. 잘 먹이고 있다.아이가 너무 좋아해서 밖에서 구매할때먹여봤던 아이밀로 골라 사고 있는 나의 모습... ㅎㅎ 믿고 먹일 수 있는 일동후디스 제품이라 앞으로도 쭈욱 함께 할 것 같다], 긍정 텍스트 확률 : 100.00%"
