"[아들 둘 육아를 하면서 이유식을 만들어 먹이기란 결코 쉬운일이 아님을 매일매일 깨닫고 있는인 입니다. 좋은 재료로 다양하게 먹이고 싶은데], 부정 텍스트 확률 : 80.12%"
"[재료값도 재료값이지만 시간과 노동이 많이 요구됨을... 둘째를 키우면서 또 한번 느끼고 있네요 그래서 저는 하이에나 처럼 이유식을 알아보기 시작합니다. 기존에 사서 먹이던 이유식이 있었지만 유통기한이 짧다는 단점이 있어서 외출하거나 할때는 살짝 불편하더라고요 그래서 좀 더 실용적이고 우리아이에게 맞는 제품을 검색 또 검색.. 드디어 찾아냅니다. ], 부정 텍스트 확률 : 57.51%"
"[ 솔직히 배달이유식이라고 하면 위생적으로 괜찮을까? 정말 좋은재료를 사용할까? 부정적인 시각이 있던 것 은 사실입니다. 그런데 저는 쪼금 생각이 달라졌어요 파스퇴르 아이생각 무균이유식으로 고온.고압으로 멸균하는 레토르트공정으로 만들어 졌다고 해요. 균 자체를 차단시키기 때문에 엄마입장에서는 안심이 되더라고요 또한 인공첨가물은 물론 국내산 유기농쌀과 무항생제 한우를 사용하는데요 솔직히 저도 이유식만들때 유기농쌀 ... 이런거 사용안하거든요. 한우도 가끔씩? 사용하고 호주산으로 사용할때도 많아요 그런데 좋은재료로 무균이유식을 만든다고 하니까 기존의 편견들이 긍정적인 시각으로 변하더라고요 ], 부정 텍스트 확률 : 99.98%"
"[소개는 이쯤하고 본격적으로 이유식을 파헤쳐 보도록 하겠습니다. 둘째가 만개월이 조금 넘어서 초기 이유식을 먹이고 있습니다 배달이유식 도착 짠 을두팩으로 나눠서 이렇게배송이 된답니다.하루 분량으로 소분해서 배송되니까 너무 좋더라고요 오후 시에 주문을 마감한다고 하네요 ], 부정 텍스트 확률 : 84.18%"
"[ 저는 한우미음], 부정 텍스트 확률 : 63.08%"
"[감자미음], 부정 텍스트 확률 : 53.29%"
"[콜리플라워 미음 이렇게로 주문했어요 하루 분량이이라고는 하지만 저는 하루에 한팩씩 먹이고 있어요 두번 먹이는 것도 쉬운일이 아닐뿐더러 아직은 연습단계라서 무리하지 않기로 했어요 그래서 총 팩으로 원래는 일분량이지만 일치 양이되었네요 마음이 풍족쓰♡ ], 부정 텍스트 확률 : 58.83%"
"[ 뚜껑을 오픈하면 한번 더 비닐로 포장되어 있어요 전자레인지를 사용할때는 살짝 오픈해서 초만 돌리면 되고요 끓는물을 사용할때는 통째로 넣으면 된답니다. ], 부정 텍스트 확률 : 98.17%"
"[ 뒷면에는 영양정보가 명시되어 있어니 참고 하세요 ], 부정 텍스트 확률 : 94.17%"
"[ 초기 이유식에 딱 맞는 농도를 맞추기가 힘든데], 부정 텍스트 확률 : 95.80%"
"[정말 농도가 딱 적당하고 입자도 고와서 처음 시작하는 아이들에게 좋을것 같더라고요너무 묽으면 먹이기 힘들고 너무 걸죽해도 아이가 삼키기 힘든거든요 다만 계속 먹이다보면 침이 섞이기 때문에 마지막으로 갈수록 물이 되어버리는 현상이 발생합니다. 자연스러운거기 때문에 걱정하지 않으셔도 됩니다. 그래서 육아는 스피드가 중요한가 봅니다.자 그러면 우리 둘째 준비 됬나요? ], 부정 텍스트 확률 : 67.39%"
"[ 엄마 사진찍지 말고 빨리 주세요자], 부정 텍스트 확률 : 74.67%"
"[ 처음 맛을 음미합니다. 이게 무슨맛이지? 하는 표정이네요 ], 부정 텍스트 확률 : 98.84%"
"[ 한입 두입 먹더니 스푼을 씹기 시작합니다. 다행이 우리아들 입맛에는 잘 맞는가 봅니다. ], 부정 텍스트 확률 : 58.88%"
"[ 엄마 이 맛은 무엇? 너무 귀엽네요 초기이유식은 깨끗하게 먹을 수 없는거 아시죠? 이유식으로 세수를 하면서 너무 맛있게 먹는 아들입니다. 낮잠 한타임 자고 일어나서 감자미음을 한번 맛보고 띠리링 종이 울렸는지 숟가락만 내밀면 달려들어서 먹어요 ], 부정 텍스트 확률 : 82.01%"
"[ 중기], 부정 텍스트 확률 : 53.29%"
"[후기는 하루에 번 먹여야 해서 만드는 재료 뿐만아니라 양도 만드는 횟수도 많아지잖아요. 초기에는 재료가 개가 들어갔다면 후기로 갈쑤록 개는 기본으로 들어가잖아요 벌써부터 걱정이 이만저만이 아닌데 이렇게 딱 맞는 이유식이 등장에서 얼마나 마음이 편안한지 모릅니다. ], 부정 텍스트 확률 : 98.92%"
"[ 연말에는 하와이 가족여행을 앞두고 있는데 아이생각 주문해서 가져가려고 벌써부터 계획을 세웠답니다.실온보관이 가능하기때문에 캐리어에 넣고 가도 문제 없을듯쓰리고라는 프로그램 다들 아시죠? 쓰고 리뷰하고 고르고 김미려씨와 박은혜씨가 아이생각을 리뷰 하셨더라고요 그래서 영상을 찾아왔습니다. ], 부정 텍스트 확률 : 96.90%"
"[할인 이벤트로 주문해본파스퇴르 이유식 아이생각 후기 ], 부정 텍스트 확률 : 60.70%"
