"[할인비오베이비단계기저귀비오베이비 프랑스 밴드형 일회용기저귀 공용 단계 주니어 ], 부정 텍스트 확률 : 92.99%"
"[본 상품은 현재 ], 부정 텍스트 확률 : 55.91%"
"[ 원 ], 부정 텍스트 확률 : 53.29%"
"[ 비오베이비 프랑스 밴드형 일회용기저귀 공용 단계 주니어], 부정 텍스트 확률 : 87.34%"
"[ ..? ], 부정 텍스트 확률 : 53.29%"
"[본 상품은 현재 ], 부정 텍스트 확률 : 55.91%"
"[ 원 ], 부정 텍스트 확률 : 53.29%"
"[ ..? 상품 보기 🔗], 부정 텍스트 확률 : 56.83%"
"[ .?비오베이비단계기저귀비오베이비단계기저귀.?비오베이비비오베이비.?일회용기저귀일회용기저귀.?주니어주니어.?프랑스프랑스.?공용공용.?단계단계.?밴드형밴드형], 부정 텍스트 확률 : 94.77%"
"[..? ], 부정 텍스트 확률 : 53.29%"
"[할인비오베이비밴드형단계기저귀비오베이비 프랑스 밴드형 일회용기저귀 공용 단계 주니어 ], 부정 텍스트 확률 : 92.99%"
"[본 상품은 현재 ], 부정 텍스트 확률 : 55.91%"
"[ 원 ], 부정 텍스트 확률 : 53.29%"
"[ 비오베이비 프랑스 밴드형 일회용기저귀 공용 단계 주니어], 부정 텍스트 확률 : 87.34%"
"[ ..? ], 부정 텍스트 확률 : 53.29%"
"[본 상품은 현재 ], 부정 텍스트 확률 : 55.91%"
"[ 원 ], 부정 텍스트 확률 : 53.29%"
"[ ..? 상품 보기 🔗], 부정 텍스트 확률 : 56.83%"
"[ .?비오베이비밴드형단계기저귀비오베이비밴드형단계기저귀.?공용공용.?주니어주니어.?밴드형밴드형.?단계단계.?프랑스프랑스.?일회용기저귀일회용기저귀.?비오베이비비오베이비], 부정 텍스트 확률 : 94.77%"
"[..? ], 부정 텍스트 확률 : 53.29%"
