"[........................ 누크아기의 성별], 긍정 텍스트 확률 : 52.07%"
"[.................................... 씽크아기 썬크림이 좋다는 씽크.아기 보틀], 긍정 텍스트 확률 : 68.38%"
"[식기류 세트도 좋다. ..?..? ], 긍정 텍스트 확률 : 90.47%"
"[.............................. 마일드 바이 네이쳐아기용 로션], 긍정 텍스트 확률 : 59.03%"
"[........................... 메소드가장 유명한 세제. ..?..? ], 긍정 텍스트 확률 : 72.62%"
"[.................................스톤리지 오키드천연 말린과일 제품으로 아기 간식으로 좋다는 스톤리지 오키드. ..?..? ], 긍정 텍스트 확률 : 66.14%"
"[......노르딕 내츄럴 프로페셔날아기 ], 긍정 텍스트 확률 : 63.37%"
"[오메가가 가장 유명한 제품. ..?..? ], 긍정 텍스트 확률 : 65.57%"
"[셀룰라이트 튼살 오일. ..?..? ], 긍정 텍스트 확률 : 63.69%"
"[코코넛버터스틱이 가장 유명한 코코케어 제품. ..?..? ], 긍정 텍스트 확률 : 60.48%"
"[아기 악건성크림이 가장 좋다는 파머스 ..?..? ], 긍정 텍스트 확률 : 88.57%"
"[............그리고 내가 아는 브랜드 중 가장 유명한 삼대천왕 애티튜드], 긍정 텍스트 확률 : 80.89%"
"[채소도 다 같이 세정되는 멀티 브랜드. ..?..? ], 긍정 텍스트 확률 : 67.30%"
"[성분좋고 순하기로 엄마들 사이에서 유명하다. ..?..? ], 긍정 텍스트 확률 : 77.14%"
"[.................................... 란시노젖꼭지는 여러가지 젖병에 호환 가능해서 좋고], 긍정 텍스트 확률 : 53.24%"
"[수유패드는 수유 시 꼭 필요하며모유저장팩은 이중이라 샐 염려 없이 여러 액체를 담을 수 있어 유명한 란시노. ..?..? ], 긍정 텍스트 확률 : 86.79%"
"[유아용품전 베페 베이비페어 제회 베페 코엑스], 긍정 텍스트 확률 : 52.08%"
"[호선 봉은사역스타필드코엑스 전시홀 ], 긍정 텍스트 확률 : 57.31%"
"[베페는 곳으로 입장이 가능했습니다. 저희는 사전에 베페 과 온라인을 통해 사전 가입 및 신청을 하여 부스에서 바로 신원 확인 후 명찰을 받고 입장하였습니다. 사실 이번 베페가 저희에게 첫 번째 베이비페어 참가였습니다.], 긍정 텍스트 확률 : 54.24%"
"[프리미엄 영유아 전문 브랜드통합발달 놀이플랜 ], 긍정 텍스트 확률 : 59.03%"
"[북유럽 프리미엄 영유아 스킨케어핀덴 스킨베베 샘플 득템 ], 긍정 텍스트 확률 : 59.03%"
"[브랜드 상품을 수입하여우리나라의 유한킴벌리를 통해현재 유아용품들을 판매하고 있습니다.지난 오키나와 태교여행시 신생아 젖병은 하나 구매하였는데 깜박하고 함께 구매하지 못한 젖꼭지브러쉬 와이드를 이번 기회에베페를 통해 저렴하게 구매할 수 있었답니다.다른 용품들도 베페 가격으로 저렴하게 판매하고 있네요. 저희는 꼭 필요한물품만 구매하기로 하고 방문하였기에 다른유아용품들은 패스 했답니다. ], 긍정 텍스트 확률 : 87.50%"
"[ 예비엄마], 긍정 텍스트 확률 : 53.00%"
"[ 소변 직후의 기저귀 속은 열대밀림기후로 비유를 해주시네요 정말 통기성의 중요성을 이번 세미나 체험을 통해 경험해 보았네요. 우리 아기를 위한 기저귀 선택은 정말로 신중해야 할 것 같아요 아무리 좋은 브랜드 기저귀라도 우리 아이의 피부와 맞아야 한다는 사실.. 그리고 일본 제품이라 방사능 오염에 대해 신경쓰실듯 하네요. 그래서 메리즈 정식 수입 제품은 통관 후 방사능 수치에 대해 철저히 검사를 진행한다고 하시네요... ], 긍정 텍스트 확률 : 60.23%"
"[아기의 프리미엄 밤부베베 ], 긍정 텍스트 확률 : 52.07%"
"[봄이니까 밤부베베], 긍정 텍스트 확률 : 69.80%"
"[ 원으로 시중 인터넷 특가 보다 조금 더 저렴하게 구매하였답니다. 사실 차량에 햇빛가리개 커튼을 설치하려고 고민하던 중에 이 제품을 선택하게 되었답니다 추후 차량 안에서 아이의 수유와 햇빛 차단 및 아이의 감성을 위한 일석삼조의 효과를 얻을 수 있는 제품 같아 좋은 것 같아요. 앞으로 사용해 보고 상세한 후기 남기도록 하겠습니다.], 긍정 텍스트 확률 : 98.87%"
"[보솜이 신생아 기저귀 종 샘플 ], 긍정 텍스트 확률 : 51.21%"
"[파스퇴르 베이비 유산균액상 분유 위드맘 토들러 단계 샘플 ], 긍정 텍스트 확률 : 83.80%"
"[보령메디앙스아기용 숟가락포크], 긍정 텍스트 확률 : 57.63%"
"[마마치 우리아기 수분 크림 샘플 ], 긍정 텍스트 확률 : 70.32%"
"[독일에서 온 자연치유의 힘사노산 베이비 스킨케어 샘플], 긍정 텍스트 확률 : 65.20%"
"[ .?유아용품전유아용품전.?베페베페.?베이비페어베이비페어.?제회제회 베페.?코엑스코엑스.?.?핀덴핀덴.?더블하트더블하트.?베이비젠베이비젠.?메리즈메리즈.?거버거버.?밤부베베밤부베베.?하쥬르하쥬르.?리아네이처리아네이처.?이영애이영애 화장품.?보솜이보솜이.?맘스킨맘스킨.?보령메디앙스보령메디앙스.?파스퇴르파스퇴르.?캐논캐논.?셀피셀피.?마마치마마치.?프라젠트라프라젠트라 ], 긍정 텍스트 확률 : 84.19%"
