"[네추럴블라썸 소형기저귀육아지원프로젝트], 부정 텍스트 확률 : 51.42%"
"[ 가장 마음에 들었던 점은 의 초슬림한 두께 통기성 필름과 의 첨단 시트가 만나 시간 하루종일뽀송뽀송하게 우리 아이의 엉덩이를 지켜주더라고요 독일사의 프리미엄 흡수체와 소변 흡수 시 즉시 퍼지게 만들어 주는 메시시트사용으로 두께는 로 얇아졌지만 흡수력은 배가 되었다고해요 ], 부정 텍스트 확률 : 53.08%"
"[ 흡수력이 좋으니 밤기저귀 낮기저귀 구분없이 이거 하나면 끝이랍니다 ], 부정 텍스트 확률 : 88.67%"
"[ 트롤리에 넣고 사용하는 바구니에 가득 서랍장에도 가득 채워두니 든든했어요기저귀로 꽉 채우니 괜히 뿌듯해졌어요 ㅋㅋㅋ], 부정 텍스트 확률 : 90.86%"
"[ 행사 끝나기전에 또 구입해놔야겠어요 ෆ ෆ], 부정 텍스트 확률 : 89.75%"
"[ 상콤하게 도착한 네추럴블라썸기저귀 상자도 너무 예쁘지 않나요?노란색이 상콤상콤], 부정 텍스트 확률 : 59.53%"
"[ 네추럴블라썸은 에서반값할인중이예요 빨리 궈궈궈 ], 부정 텍스트 확률 : 82.55%"
"[곧 신생아 졸업ㅋㅋㅋ짜리로주문했답니다. ], 부정 텍스트 확률 : 77.70%"
"[ 네추럴블라썸 기저귀는한팩에 개가 들어있어요.하루에 장정도 쓰니까일정도면 끝날듯앞면에는 예쁜 루돌프 여자아이캐릭터 그림이 그려져있고뒷면에는 제품 특징이 써있었어요. ], 부정 텍스트 확률 : 98.32%"
"[ 네추럴블라썸 기저귀는우리 아기가 쓰는 것이기에좋은것들만 모아서 기저귀를만들었다고 해요. ], 부정 텍스트 확률 : 91.65%"
"[ 그리고 타사 기저귀는 위와같이 허리밴드가 지그재그로되어있어서 기저귀 채우다가 긁힐수도 있지만...신생아 피부는 소중하니까요내추럴블라썸은 라운드처리로긁힘방지처리를 해놓았더라구요.작은부분도 세심함 ], 부정 텍스트 확률 : 54.10%"
