"[지금까지 여종의 기저귀를 착용해 봤어요ㅎ번에 나누어서 솔직한 실사용 후기 풀어나가볼게요 상대적으로 좋은 브랜드는 있지만], 긍정 텍스트 확률 : 91.78%"
"[모든 기저귀들은 남아용 혹은 남여공용 밴드형이고], 긍정 텍스트 확률 : 53.31%"
"[ 조리원에서 나와서 가장 먼저 썼던 브랜드에요.다른 브랜드들을 사용해보기 전이어서 기저귀가 좀 눅눅한가? 싶었는데요즘 기저귀들이 살짝 한지같은 감촉이라기저귀 착용 후 시간정도 지나면 겉에가 눅눅한 느낌이 있더라구요대부분 제품에서 눅눅함을 느꼈어요ㅎ처음엔 눅눅한게 맞는건가.. 라고 생각했으니], 긍정 텍스트 확률 : 78.95%"
"[그래서 그런지 보송보송하기까지 하더라구요.지금까지 사용한 제품들 중에서 제일 맘에 들어요.다만], 긍정 텍스트 확률 : 80.85%"
"[애기가 통잠자서 시간이상 못갈아 준 적이 몇 번 있는데한 번 소변이 샜었어요.그 후로는 샌적이 없기도 하고 아기한테도 가장 좋았던 제품이라 저는 크게 신경쓰지 않고 넘겼어요.대변은 샌적 없음 ], 긍정 텍스트 확률 : 65.54%"
"[ 베베몬 시즌 이너핏 밴드기저귀 ], 긍정 텍스트 확률 : 94.06%"
"[정말 기능하고는 상관없지만ㅎㅎㅎ기저귀 밴드라인의 디자인이 완전 다양해요.기저귀 가는 맛?이 있달까요ㅎㅎㅎ짜식이도 갈 때마다 다른 모양의 그림이 있다고...ㅎ ], 긍정 텍스트 확률 : 93.75%"
"[산모수첩들고 줄서서 받은 네띠 기저귀에요ㅎ스웨덴에서 자연성분으로 만든 친환경 기저귀라더군요.다른 기저귀들에 비하면 밑위가 짧은 편이어서 사이즈가 작게 느껴졌어요. 도담이는 큰 신생아였기에... 키로수는 맞는데 기저귀가 작은 느낌...기저귀때문인지는 확실치 않지만], 긍정 텍스트 확률 : 62.50%"
"[허벅지쪽이 빨개지고 두드러기가 생겼어요ㅠㅠ다른 원인일 수도 있지만], 긍정 텍스트 확률 : 84.51%"
"[ 도트모양의 디자인이 참 맘에 들었던 슈베스 기저귀ㅎㅎ페넬로페만큼이나 얇은 여름에 쓰기 좋은 기저귀에요.밴딩부분도 짱짱하고 넓어 맘에 들었어요.슈베스 기저귀는 허벅지라인 부분이 샘 방지라고 해서 조금 달랐는데요아마 중으로 되어있어 새는 걸 방지한다는거 같아요저는 그 부분이 한지같이 좀 꺼실한 느낌이 들어 별로더라구요.괜히 애기도 까칠한 느낌 받을거 같고 ㅎㅎㅎ말을 못하니 제가 알 방법이 있나요ㅠㅠ 그냥 엄마의 판단이네요 ], 긍정 텍스트 확률 : 95.16%"
"[ 도담이가 전반적으로 채워주는 것마다 별 탈 없이 잘 하고 있어서가지고 있는 거의 모든 브랜드의 기저귀를 다 착용해봤네요ㅎ아직 사용해보지 않은 브랜드가 남아 있어서], 긍정 텍스트 확률 : 97.14%"
"[ 탄은 사용 후 올릴 예정입니다 ...... ], 긍정 텍스트 확률 : 81.41%"
"[ 요즘 유치원 다니는 우리딸도 안다 엄마 우리 바다가 쓰레기 때문에 아프대요. 엄마 지구가 아프대요. 나는 년을 넘는 인생을 살았지만. 이제 태어난 우리 아이들. 그아이들이 살아갈 이 환경이 너무나도 걱정된다. 이제 세제하나도 고르는 것이 신중해지는데 . 항상 아기 기저귀 갈때마다 드는 생각이 아.. 이쓰레기 우리아이만이 아닐텐데.. 조금이라도 양심의 가책이 덜해지는 친환경 인증 리베로 기저귀원재료 부터 소비자에게 가는 과정 모두가 환경에 미치는 영향을 엄격이 평가하여 인증 받은스완라벨마크 ], 긍정 텍스트 확률 : 99.70%"
"[ 항상 사랑하는 요 섬세한 디자인들. 디자이너들이 직접 그린 그림들. 이런거 보면 유럽감성이 묻어나지요? 우리나라에서 만든 것과는 사뭇 다른것이], 긍정 텍스트 확률 : 79.36%"
