"[저분자 콜라겐 그리고 비타민 까지 함유된 젤리팜 젤리스틱은 순삭하기 좋은 아이 간식이죠사은품 증정 그리고 사은품증정 ....? 젤리팜구매하러 가기], 긍정 텍스트 확률 : 58.12%"
"[ 젤리팜은 어떤 구성을 사도 젤리팜 맛보기세트를 선물로 드려요], 긍정 텍스트 확률 : 57.65%"
"[젤리팜이 함께합니다 ], 긍정 텍스트 확률 : 80.33%"
"[팬케잌. 나는 아기옷 싼거 사입혀보고 싶다 하시는 분들 빅씨마트 가세요........ .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지기모 상하의 ], 긍정 텍스트 확률 : 78.64%"
"[ ..스벅 다이어리 받을라고.마지막 남은 지정음료 프리퀀시 채우러 갔..지만.당조절을 위해 며칠 단거참고 토피넛을 먹었다능..오지랖병 있는 남편이.회사 직원여 에게.다 모은 프리퀀시를 홀라당 선물하기 해줬다는.그런 어처구니없는 일이 발생했다능....앞으로 영원히 오피스와이프’ 바가지를 긁을 예정.. ], 긍정 텍스트 확률 : 64.01%"
"[ ...희한하게 임신전에는 피자 안좋았했는데 .임신 후 고기보다 빵류 로 넘어옴 .ㅠㅠㅠ.. ], 긍정 텍스트 확률 : 73.35%"
"[ ...남편이 회식하면.밥차리기 구찮으니깐 나도 주문배달 살 띵띵.. ], 긍정 텍스트 확률 : 77.40%"
"[ ...남편 지인이 보내주신 타이니러브 코지내퍼 바운서.서울시 포인드로 알마컴포트 바운서 사려고했는뎅.이게 생겨버렸네?.포인트는 그럼 역류방지쿠션으로 사야겠다.그것도 쁘띠엘린꺼.. ], 긍정 텍스트 확률 : 55.65%"
"[원ㅋ 🤦🏻♀️.. ], 긍정 텍스트 확률 : 61.27%"
"[ ...나중에 애기 좀 크고.내 시간 나면 다시 물레를 돌리든동.작업테이블에서 만들든동.화병 만들기 다시 할고얍 ㅠㅠ.. ], 긍정 텍스트 확률 : 75.08%"
"[ ...나도 쇼파 테이블 필요한데.저거 만원 ㅋㅋ.. ], 긍정 텍스트 확률 : 62.59%"
"[ ...내가 모유 빨리 끊고 이것들을 .내혼자 숟가락으로 다 퍼먹을 것이야....기다료.... .. ], 긍정 텍스트 확률 : 71.58%"
