"[ 사진찍으려고 옆에뒀더니 자기껀줄 아나봅니다 푸흡???바스락 소리를 한창 좋아할 개월 아기에요 ], 부정 텍스트 확률 : 98.45%"
"[까지 있어요리아니는 는 너무 딱맞을꺼 같아 으로팬티형도 있는데 리아니 몸무게는 좀 어정쩡해서밴드로 사용해봅니다], 부정 텍스트 확률 : 94.39%"
"[ 윗면을 뜯으면 이렇게 가지러니 포장이 되어있구요매같이 안생겼는데 매가 들어있구요 ], 부정 텍스트 확률 : 73.87%"
"[ 그리구 다른기저귀에 비해 정말 얇아요그래서 매가 저렇게 포장이 될 수 있었던건가요진짜 여름엔 옷도 얇아져서 아무리 아기라고 기저귀가 두툼하면 보기도 싫고], 부정 텍스트 확률 : 92.09%"
"[우리딸 궁둥이에 땀띠라도 나면 ㅠㅠ 안되잖아요모모래빗은 압축공법으로 얇으면서도 부드럽게연약한 우리 아기의 피부를 지켜준다네요 ❤️ ], 부정 텍스트 확률 : 52.26%"
"[ 사진을 찍을 줄 아는 아기인가리아니도 바뀐 기저귀가 싫지 않은가봐요 ], 부정 텍스트 확률 : 89.07%"
"[ 동영상으로 한번 남겨봤는데요진짜 흡수도 잘되구요 음료를 부은후에 초도 안되서 파란색이 연하늘색으로 흡수가 되구요제가 만져봤는데 찝찝하게 축축한 느낌이 없어요아기가 쉬를 한번만 하지 않으니 한번더 부어서 휴지로 닦아내도 묻어나오지 않더라구요흡수패드가 남다르다더니 정말 이네요], 부정 텍스트 확률 : 68.93%"
"[ 모모래빗 에코씽씽 밴드 후기 ], 부정 텍스트 확률 : 53.29%"
"[ 아기를 키우면서 분유랑 기저귀는 정착이 정말 힘든 것 같아요 그만큼 주변에서 쓰는 것들 참고도하고], 부정 텍스트 확률 : 81.83%"
"[ 새벽을 제외하고는 팬티기저귀를 많이 쓰는 편인데제일 추천을 많이 받고 핫딜 정보도 많이 받은게 아마 모모래빗인 것 같아요.얼마나 좋길래 그렇게 추천하지? 싶어서 저도 한번 써봤어요왜냐면], 부정 텍스트 확률 : 89.98%"
"[흡수력은시켰어요 다른 특징은 그림을 참고해주세용], 부정 텍스트 확률 : 91.56%"
"[ 과체중 아기가 모모래빗 팬티기저귀를 착용해봤어요 착용해보니 허리밴드가 엄청 부드럽게 잘 늘어나서 다리에 넣고 위로 올리는 것도 쉬웠구요.아기가 뒤집고 막 기어가려고해도 따라다니면서 쉽게 쑥올려서 착용할 수 있었어요.허리밴드가 뻑뻑하면 꿀벅지아기라서 허벅지에 걸려서 쉽게 착용이 안됐거든요], 부정 텍스트 확률 : 94.59%"
"[ 뒷부분에는 마무리하는 테이프가 붙어있구요.접착력이 좋아서 돌돌돌 말아서 버리면 뜯어지거나 흐트러진적은 없었어요. ], 부정 텍스트 확률 : 80.22%"
"[ 그리고 배가 불편하면 안되니까 허리밴드도 정말 중요한데허리밴드 부분이 좀 넓은 편이에요.그래서 확실하게 배를 고정시켜주는 것 같구요.위로도 새지않았어요. ], 부정 텍스트 확률 : 86.05%"
"[ 허리밴드와 이어지는 뒷부분인정사정없이 쭉쭉당겨보고 늘려보니 탄력이 엄청 좋죠?이렇게 탄력이 좋다보니 아기가 착용하고 있어도 답답함 없이 잘 하고 있는 것 같아요], 부정 텍스트 확률 : 70.53%"
"[ 모모래빗이 여름기저귀로도 인기가 많았던 이유제가 팬티기저귀 추천을 많이 받은 이유흡수력이제 흡수력을 테스트해볼게요 ], 부정 텍스트 확률 : 90.19%"
"[ 팬티기기저귀다보니 저는 양옆을 가위로 잘라서 넓게 펴줬어요 뒤집어서는 흡수력을 테스트하기에 불편하더라구요 그리고 콜라를 종이컵 가득 준비했구요.흡수된 후에 눌러보기 위해서 얇은 티슈도 한장 준비했어요 ], 부정 텍스트 확률 : 60.36%"
"[ 첫번째 테스트인정사정없이 콜라를 기저귀에 막 부었어요.한 손에 카메라를 잡고 하다보니 윗부분에 살짝 흘림 ㅋㅋㅋㅋㅋㅋ처음에 콜라를 마구마구 부어주니 접히는 부분에 살짝 고이는듯 하더니 이내 흡수가 쏙되더라구요 ], 부정 텍스트 확률 : 59.18%"
"[ 티슈를 치우고손으로 인정사정없이 막 비비고 묻혀봤는데요두둥손에 묻어나는 것도 거의 없더라구요.진짜 흡수력 엄청 좋죠?시간차는 거의 없고 바로 동영상 연속으로 촬영한거에요흡수력 좋은 기저귀를 찾는다면 모모래빗 팬티기저귀 추천해요. ], 부정 텍스트 확률 : 91.62%"
"[밴드도 종종 사용하게 되더라구요. 외출하거나], 부정 텍스트 확률 : 76.58%"
"[어린이집은 밴드를 더 선호하더랍니다. ], 부정 텍스트 확률 : 52.83%"
"[ 숨쉬는 엉덩이 모모래빗 에코씽씽 밴드 기저귀랍니다.문센이나. 조리원동기들이 기저귀 뭐써? 하고 물으면응 나 모모래빗 써하면 잘 모르더라구요.... ㅠㅠ], 부정 텍스트 확률 : 76.09%"
