"[ 기저귀 선택할 시간도 없이 남편 친구분이 조리원 퇴소 전에 집으로 보내주셔서사용하게 된 하기스 네이처착용시 몸무게사이즈.단계], 긍정 텍스트 확률 : 78.85%"
"[ ▼▼▼▼▼하기스 네이처메이드 사용후기▼▼▼▼▼하기스 자체가 생각보다 작게 나온다.대량으로 샀다가는 금방금방 크는 신생아시절에 금방작아져서 낭패볼수 있다. 흡수력은 괜찮다.그렇다고 아주 좋은것도], 긍정 텍스트 확률 : 98.78%"
"[ 하기스 네이처메이드 다 사용하고 어린이집에서 일하던 시절 사용해보고 좋다고 생각했던 군과], 긍정 텍스트 확률 : 76.89%"
"[ ▼▼▼▼▼군기저귀 사용후기▼▼▼▼▼사이즈는 몸무게에 맞게 구매하면 딱맞거나 조금 여유있다. 흡수력은 괜찮다.밤 기저귀 사용시 가끔씩 세기도한다. ], 긍정 텍스트 확률 : 66.69%"
"[ ▼▼▼▼▼메리즈기저귀 사용후기▼▼▼▼▼사이즈는 넉넉하니 잘 맞는다. 흡수력은 아주 좋다. 안쪽 면이 너무 부드럽다.사용하는동안 소변이나 대변이 센적이 없다. 일본사건이 터지지 않았다면 제일 마음에들어서 아마 계속 사용했을듯], 긍정 텍스트 확률 : 60.19%"
"[ 낮에 조금이라도 바로 기저귀 갈지 않으면 바로 발진..특히 밤기저귀로 했다가 다음날 발진이 심해서 완전...놀랬던 기억이... ], 긍정 텍스트 확률 : 73.63%"
"[대변을 보면 가끔 세는 적도 있다. ], 긍정 텍스트 확률 : 58.45%"
"[ 평이 너무 좋아서 괜찮다길래 구매해 보았다.착용시 몸무게사이즈단계 팬티형 .. ], 긍정 텍스트 확률 : 97.86%"
"[ ▼▼▼▼▼킨도 사용후기▼▼▼▼▼와....엄청크다..사이즈가 엄청컸다.흡수도 괜찮다. 하기스 맥스 드라이보다 더 얇다.제일 싫어하는..알갱이가 생긴다. ], 긍정 텍스트 확률 : 88.46%"
"[ ..어찌보면 저 약간], 긍정 텍스트 확률 : 58.20%"
"[ 윌리엄 형제가 광고하는 브랜드에 좀...빠진듯해요??ㅎㅎ왜냐하면 육아용품중에 카시트], 긍정 텍스트 확률 : 90.58%"
"[놀이매트 다 윌리엄네가 광고했던거더라구요절대로 일부러 아닙니다ㅋㅋ사고보니.ㅎㅎ ], 긍정 텍스트 확률 : 74.35%"
"[ 이제 기저귀에 정착할수 있게 해준 슈베스 노블레스입니다.착용시 몸무게사이즈대형밴드형 .. ], 긍정 텍스트 확률 : 79.04%"
"[ 그러다가 어느 순간 네이처메이드가 약간 잘 새는 것 같아서 바꾸게된 것이.?하기스매직핏하기스매직핏 이다. 잘먹고 잘커서 허벅지가 통통한 편인 우리 아기도 쿠팡에서 킬로수 보고 사면 잘 맞아서 쭉 썼었다. 밴드형이기때문에 더욱 사이즈 고민도 안하고 그냥 썼던 듯. 배에서 꽉 채워주면 별로 새지도 않고 괜찮았는데 어느날 기저귀를 새로 뜯었는데 뭔가 디자인이 달라져서 보니까 ㅋㅋㅋ 팬티형을 잘못 주문한 거였다ㅠㅠ 그래도 뭐 다르겠냐 싶어 채워봤는데 밴드형보다 훨씬 작고 또 잘 새서 바로 밴드형으로 주문함. 그 뒤로 팬티형에 대한 불신이 생겨 쳐다도 보지 않았다 ㅋㅋㅋ ], 긍정 텍스트 확률 : 71.50%"
"[ 그러다가 아기가 뒤집고 활동량이 많아지면서 기저귀를 갈 때마다 하도 움직이길래 하 결국 팬티형인가 싶은 마음에 단계수를 높여 팬티형을 주문했고 다행히 별로 새는 것 없이 잘 사용했다.그게 하기스 매직핏팬티 단계 울 애기가 개월수에 비해 커서 단계가 엄청 올라감 ㅋㅋㅋ가끔 기저귀 라인을 따라서 습진이 생길 때도 있었는데 나는 그게 기저귀 때문이라기보다는 우리 아기 피부가 좀 예민하구나하고 그냥 넘겼다 ㅋㅋㅋ 이런 멍청한 엄마그러던 어느날 핫딜에 뜬 팸퍼스를 보고 그냥 왠지 나도 하기스말고 다른 기저귀가 쓰고싶어서 주문했다. 흡수력이 좋아 밤기저귀로 많이 쓴다는데 일단 포장을 뜯었을때 인공 파우더향이 많이 나서 좀 꺼려졌지만 다른 사람들 후기를 믿고 써봄 ㅋㅋㅋ 기분탓인지 왠지 흡수도 잘되는 것 같고 뽀송한 것 같고 그랬는데 왠걸? 한번도 피부 트러블 안나던 울애기 소중한 곳이 약간 빨개지길래 당황한 오빠랑 나는 응급실까지 가고 난리도 아니었다ㅜㅜ 응급실 가니 요로감염이나 이런건 아니고 그냥 피부가 그런거니 연고 발라보면 될 것 같다고 했고 다음날 동네 소아과 전문의에게 가보니 이건 그냥 잘 씻기면 된다고 씻는 노하우를 알려주고 끝그래도 하필 기저귀를 바꾸고 난 뒤에 이런 일이 생겨서 찝찝한 나는 팸퍼스를 환불했다. ], 긍정 텍스트 확률 : 66.36%"
"[ 세장씩 들어있어서 어떻게 사용해야 가장 효과적으로 비교해볼 수 있을까 싶었는데그냥 되는대로 씀 결국 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 55.45%"
"[ 페넬로페 씬씬씬나비잠 울트라씬이 두가지 기저귀는 정말 비슷했다.. 촉감처음 만져보고 느낀 점은 부드럽다 였다.기존에 하기스만 쓰다가 페넬로페를 만져보니 완전 부들부들딱 봐도 아기 피부에 괜찮겠다 싶을정도 ㅎㅎ. 냄새약간 파우더향? 비슷하게 좋은 냄새가 난다.근데 아무래도 냄새화학성분인걸 아는 지라 좋은 향보다는 무향을 선호하는 나에게는그닥 메릿으로 느껴지진 않았다.. 사이즈허리부분 밴딩이 매우매우 잘 늘어난다기존에 쓰던 하기스에 비해 이건 완전 스판같은 느낌으로 쫙쫙 늘어남 ㅋㅋㅋ그래서 아기가 활동할 때 더 편할 것 같은 느낌이 들었다.그리고 사진에서 보듯이 폭이 아래 세 기저귀보다 위에 두 기저귀가 넓다.다만 이 밴드가 좀 안좋은 점이], 긍정 텍스트 확률 : 90.93%"
"[이 기저귀들을 테스트할 당시 아기가 약간의 장염끼가 있어서묽은 변을 자주 봤었다. 근데 밤보 기저귀를 채웠을 때는 새지 않았던 것이그 뒤로 하기스 기저귀 채우니까 번이나 샘 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ결국에 하기스의 장점국내 제조에 여러모로 무난을 제끼고 거르게 된 이유이다.. 제조국벨기에인가? 아무튼 유럽이었다.. 가격비싸다. 기저귀를 그 돈주고 사고싶은 마음은 없어서 결국 이것도 .킨도 프리미엄. 촉감뻣뻣하다. 유럽산 기저귀는 거의 그런듯.. 냄새좋지않은 화학약품 냄새가 많이 난다 ㅠㅠ. 흡수력이나 사이즈 등은.. 사실 내가 이걸 너무 큰 걸 시켜버려서 결국 사용 못해보고 버렸기에후기를 남길 수가 없음 ㅠㅠ하.. 개나 샘플테스트를 해보았는데 마음에 쏙 드는게 없다니 ㅠㅠ결국 가격도 그렇고 국내산 제조인 하기스 중 다른라인으로 갈까 하다가어느 후기에선가 애벌레를 봤다는 후기를 보고 그 뒤로 또 겁이나서 ㅋㅋㅋ다시 열심히 기저귀 후기를 찾아보았다.그러던 중 발견한 것이 몰텍스 ], 긍정 텍스트 확률 : 97.56%"
"[ 어느 분이 댓글로 몰텍스만한 게 없다는 걸 보고 완전 처음 들어보는 기저귀라서 한번 찾아봤더니단점이라면 단점일만한 것들이 꽤 있었다.. 밴드형밖에 안나옴. 소변줄이 없음사실 번은 뭐 소별줄보고 갈아준 적은 딱히 없었던 것 같아서 불편하지 않을 것 같았는데번은 너무 크리티컬했다.팬티형만 찾아 헤맨 나에게 밴드형으로의 회귀라니?그런데 생각해보니밴드형의 장점도 분명히 있었다. 기저귀를 갈아줄 때마다 활짝 펴야하므로 안에 이물질이 있는지 확인이 가능함 밴드를 통해 사이즈 조절이 가능함 바지를 다 벗기지 않고 기저귀 교환이 가능함외출 시 매우 용이게다가 몰텍스는 완전 친환경 기저귀라서 기저귀에 그림같은게 거의 없고밴드 붙이는 부분에만 살짝쿵 있다 ㅎㅎ앞뒤 구분을 위한 정도랄까?어딘지 모르게 끌리는 이 기저귀를 나는 샘플도 아닌 매로 쿠팡에서 구매했다. ㅋㅋㅋ무슨 자신감?몰라 일단 샘플 테스트에 지친 마음도 조금 있었음. ], 긍정 텍스트 확률 : 92.76%"
