"[쓰고있던 기저귀가 얼마 남지않아 추가주문을 위해 검색하다가 알게 된 기저귀 샘플체험싸이트 써봄여태까지 사용해본 기저귀는하기스 매직핏과 네이쳐메이드], 부정 텍스트 확률 : 74.44%"
"[군기저귀이렇게 종류인데 하기스는 허벅지에 자국이 남고군기저귀는 빨갛게 기저귀 발진이 생겨서다른 기저귀를 알아보는데기저귀종류가 너무 많아서 결정하기가 어렵더라고요상품후기만 보고 덜컥 여러팩 구입했다가 아이와 안맞으면 처치곤란이니까요그러던 중 알게 된 써봄이라는 싸이트에서는 기저귀를 체험해볼수있도록세장씩 소분판매하고 있더라구요. ], 부정 텍스트 확률 : 92.58%"
"[ 그래서 평소 궁금했던 기저귀를 모두 주문해봤어요.주문한 기저귀는], 부정 텍스트 확률 : 83.98%"
"[ 페넬로페 실키슬림밴드킨도 프리미엄슈퍼대디 리얼소프트보솜이 프리미엄디오가닉보솜이 리얼코튼나비잠 울트라씬하기스 맥스드라이팸퍼스 베이비드라이 향이렇게 총 종류입니다.각 종류별로 장씩 들어있어요. ], 부정 텍스트 확률 : 92.17%"
"[.?팸퍼스베이비드라이팸퍼스베이비드라이 향 단계공용밤기저귀 알아보다가 추천이 많아 주문해봤어요.사이즈는 다른 단계 기저귀에 비해 작은 편.파우더향이 진해서 오줌냄새는 거의 가려져요.허리부분도 짱짱하고 디자인은 가장 마음에 들지만향이 너무 진하기도 하고], 부정 텍스트 확률 : 88.11%"
"[.?나비잠울트라씬나비잠울트라씬 단계공용두께가 얇은 데 비해 흡수성은 좋은 편이고발진도 없고 전체적으로 괜찮다느껴졌어요.소변알림선이 줄이라 눈에 금방 띄어요. ], 부정 텍스트 확률 : 65.61%"
"[.?슈퍼대디리얼소프트슈퍼대디리얼소프트 단계공용리얼소프트라는 이름처럼 촉감은 부드러워요.근데 이걸로 채워놓으면 약간만 축축해져도 아기가 금방 울더라구요.보송함이 오래 유지되지는 않는거같아요. ], 부정 텍스트 확률 : 51.33%"
"[.?킨도프리미엄킨도프리미엄 단계공용흡수력은 무난한 듯 했지만알갱이도 계속 묻어나오고저 말발굽 무늬가 그냥 마음에 안듦.... ], 부정 텍스트 확률 : 82.56%"
"[.?페넬로페실키슬림페넬로페실키슬림 밴드 단계공용장 사용 중 장이 샜네요..이거쓰고 발진도 약간 올라오고써본 기저귀들 중에선 가장 별로였어요. ], 부정 텍스트 확률 : 51.08%"
"[.?하기스맥스드라이하기스맥스드라이 단계공용밤기저귀용으로 주문해봤어요.결론부터 말하자면 밤기저귀는 전 이걸로 정착했네요.흡수도 잘 되고 오래 채워놔도 발진 없고 새지도 않구요.가격도 무난한 편. ], 부정 텍스트 확률 : 77.51%"
"[ 위 기저귀 종류 다 써본 결과], 부정 텍스트 확률 : 79.95%"
"[ 발진여부나 하얀알갱이여부 등미리 검색해봤던 블로그 후기나 카페 후기랑은 차이가 좀 있더라구요.은근히 신경쓰이던 기저귀자국은 써본 기저귀가 모두 다 남았구요.종합해서 어떤 기저귀가 월등하게 좋았다던가 이런 건 딱히 없었어요.기저귀는 역시 직접 써보는 게 답인 걸로...이 글 역시 개인적인 경험에 의한 글로 아기마다 차이는 있을 수 있다는 점 감안해주세요], 부정 텍스트 확률 : 94.43%"
"[.하기스 네이처메이드 오가닉 코튼 커버 ], 부정 텍스트 확률 : 62.92%"
"[ .하기스 네이처메이드 오가닉 코튼 커버는순면 프리미엄 기저귀라고 하는데요..시간 기저귀를 착용하고 있는 아이들에게 기저귀는 정말 중요한 것 같아요...오가닉 함유가 아니라리얼 오가닉 순면커버라니 ], 부정 텍스트 확률 : 53.85%"
