"[ 평가표도 있어서각각 써본 후 정리해서 비교해보기 좋을것 같더라구요 ], 긍정 텍스트 확률 : 81.73%"
"[.?보솜이프리미엄디오가닉보솜이프리미엄디오가닉 단계공용피부친화 오가닉 코튼 커버라고 하니그냥 왠지 안심하고 쓸수 있을 것 같아요.흡수력 등은 무난한 편이었어요.허리 날개부분이 좀 뻣뻣하다고 느껴졌는데이걸 탄탄하게 받쳐줘서 좋다는 분들도 있었네요. ], 긍정 텍스트 확률 : 79.83%"
"[.?보솜이리얼코튼보솜이리얼코튼 단계 여아여아용이라 그런지 사랑스러운 핑크색 무늬.체감상 디오가닉이랑 그리 큰 차이는 못느꼈어요.아마도 소재에서 차이가 있겠죠? ], 긍정 텍스트 확률 : 77.26%"
"[원산지 논란도 있길래 패스했어요. ], 긍정 텍스트 확률 : 61.97%"
"[ .안녕하세요 .오늘 포스팅은오가닉 아기 기저귀 하기스 네이처메이드 오가닉 코튼 커버 사용 후기입니다...동동이 태어나면서부터 사용해봤던 하기스..오가닉 코튼 커버는 처음 접하게 되었는데요.아기 옷이나 수건은 오가닉 제품을 많이 봤었는데 기저귀도 오가닉이라니. 우리 동동이의 소중한 엉덩이를 지켜줄 수 있을 것 같은 기대감이 ], 긍정 텍스트 확률 : 51.21%"
"[ .하기스가 좋은 이유 중 하나는 이 절취선 ㅋㅋ.동동 첫 기저귀로 하기스를 사용했기 때문에 저에게도 첫 기저귀는 하기스였는데요..다른 제품도 당연히 쉽게 뜯을 수 있을 줄 알았는데 으억 안 되는 기저귀들도 있더라고요.그래서 힘으로 빡..하기스는 따는 선이 준비되어 있어 편하게 기저귀를 오픈할 수 있어 좋아요.], 긍정 텍스트 확률 : 95.76%"
"[ .하기스 네이처메이드 오가닉 코튼 커버 기저귀 사진 만나보실까요?..개의 디자인으로 준비되어 있는 하기스 네이처메이드 오가닉 코튼 커버], 긍정 텍스트 확률 : 88.09%"
"[ .쉬야를 싸면 노란 무늬가 이렇게 파란색으로 바뀌는데요...신생아 때 기저귀가 싸면 변한다는데 처음엔 뭐가 변한다는 건가 했던 기억이 ㅋㅋ.지금도 초보 엄마지만 그때는 더더 초보 맘 ㅎㅎ..우리 동동 쪼꼬미시절때 저의 모습이 기억나 쉬야 무늬 표시도 찍어보았어요 ..색이 변한 무늬를 보고 기저귀 상태를 알 수 있어 편리하지요. ], 긍정 텍스트 확률 : 99.62%"
"[ 오늘은 우리 아기가 시간 착용하고 있어 더 꼼꼼하고 챙겨야 하는 기저귀 리뷰로 포스팅해보았는데요.기저귀는 아기 피부에 직접 닿는 제품이기 때문에 좋은 성분으로 만든 믿을 수 있는 아기에게 잘 맞는 제품 선택이 정말 중요한 거 같습니다. 유기농 순면 기저귀 하기스 네이처메이드 오가닉 코튼 커버써보니 우리 동동이에게 너무 잘 맞는 제품인 것 같아요발진 없이 샘 걱정 없이 피부에 자극 없는 기저귀를 찾고 계시나요? 전 하기스 네이처메이드 오가닉 코튼 커버 기저귀 만족이랍니다 ], 긍정 텍스트 확률 : 59.16%"
"[ 하기스 샘플링 이벤트로 제품을 무상 지원받아 작성된 후기입니다 ], 긍정 텍스트 확률 : 51.12%"
"[ 주변에서 많이 사용하는 제품들과육아커뮤니티에서 추천해주신 제품들 위주로 샘플 신청했고위 사진속에 왼쪽에 보이는보라색 땡땡이무늬가 슈베스 슬리머 기저귀입니다 ], 긍정 텍스트 확률 : 80.76%"
