"[영화 감쪽같은 그녀시사회를 다녀왔습니다.정말 마음 따뜻해지는 감동 이야기로 눈물이 펑펑쏟으며 가슴 가득 훈훈해지는 경험을 했어요.제작보고회 글이 올라오고 난 뒤 나문희 배우], 긍정 텍스트 확률 : 100.00%"
"[허안무 감독의 작품에 대한 설명을 들으면서 저역시도 무척 보고 싶었던 영화여서 기대하면서 보러갔습니다.간단한 소감으로는 올겨울에 기억에 영원히 담아내는 가족에 대한], 긍정 텍스트 확률 : 95.63%"
"[ 마음 따뜻해지는 감동이야기 였던것 같습니다.영화보고 난후 저의 솔직한 후기 알려드릴게요. ], 긍정 텍스트 확률 : 99.88%"
"[ 개봉전 부터 두분의 캐미에 대해서 이야기가 많이 나왔는데 큰 나이차에 비해 캐미가 너무 좋아서 정말 할머니와 손녀의 사이같은 느낌을 받았던것 같습니다.처음에 이영화를 보러갈때 두분의 캐미를 기대한 것도 없지않아영화에 많은 기대를 하고있었습니다. ], 긍정 텍스트 확률 : 73.38%"
"[ 앞에이렇게 포스트잇으로 메모를 남길수 있게 만들어놓은 공간이 있는데 여기에 메모를 대충보면 전체적으로 가족에게 하는말과 사랑한다는 말들이 제일 눈에 들어오더라구요항상 가까운 존재인 가족이지만그가족들한테 사랑한다는 말하기는무척 낯간지럽고 하기 힘든 말이아닌가 싶어요.이런영화를 보고 나면 할 수있을것 같은용기가 생기는 것같은 느낌도 들더라구요. ], 긍정 텍스트 확률 : 99.94%"
"[ “초면에 실례하겠습니다”살 나 홀로 라이프를 즐기는 말순’ 할매의 인생에 듣도 보도 못한 손녀?가 나타났다 특기는 자수], 긍정 텍스트 확률 : 73.19%"
"[용돈 벌이는 그림 맞추기?동네를 주름 잡으며 나 혼자 잘 살고 있던 말순’ 할매 앞에 다짜고짜 자신을 손녀라고 소개하는 열두 살 공주’가 갓난 동생 진주’까지 업고 찾아온다. 외모], 긍정 텍스트 확률 : 87.66%"
"[ 년 세를 맞은 부산의할머니낮에는 관광지에서 바닷바람을 맞으며 손수건 장사를 한다.동네 할머니들 중 가장 뛰어난 화투실력을 자랑한다. ], 긍정 텍스트 확률 : 57.93%"
"[ 어느날 갑자기 아기를 안고 말순앞에 나타난 손녀 공주이름처럼 전학 간 학교에서 첫 눈에 반한 우람에게 공주대접을 받는다.어려서부터 갓난아기 동생을 돌봐서그런지 어른들보다 더 철이들었고생존력이 뛰어난 모습을 보여줍니다.감춰진 비밀이 있지만 할머니 말순에게는 알려줄 수 없는 비밀입니다. ], 긍정 텍스트 확률 : 97.85%"
"[ 공주를 좋아하는 우람이 역의 임한빈 배우와특별 출연에 천우희 배우도있는데 사회복지사역으로 나오며 동광이 짝사랑하는 여자로 나오는데이캐미도 만만치 않게 잘어울리는 캐미였던것 같다. ], 긍정 텍스트 확률 : 97.05%"
"[ 초반의 유쾌한 분위기는 중반부에 접어들면서부터 극중 인물의 감정 변화에 따라 조금씩 달라지더니 후반부에 들어서는 훌쩍이는 소리가 곳곳에서 들려올 정도로 감정이 많이 느껴지는 전개였다. 그리고 극중 말순과 공주로 변한 두 배우의 연기는 왜 나문희 배우가 만 동원 배우인지], 긍정 텍스트 확률 : 79.99%"
"[왜 김수안이 최연소 천만 배우의 타이틀을 얻게 되었는지 납득할 수밖에 없도록 만들었다. 두 배우의 연기만으로도 분이 순식간에 지나가는 느낌이였고 극중 전개에 내내 웃었다가 울었다가 하며 깊게 몰입해서 그런가 영화가 끝나고 난뒤에 여운이 한동안 가시지 않았던것 같다. ], 긍정 텍스트 확률 : 99.97%"
"[ 화면너머로 전해지는 두 사람의 정이 느껴질 정도이다.연기 이상의 정이 느껴질정도였다.그리고 서로서로 챙겨주려는 마음도 보일정도이다.친손녀 친할머니라면 보여줄 수 없는 모습이라고 생각한다.친가족에 대해 부정적인 뜻으로 하는 말이 아닌가끔 사회에서 그런 관계들을 만나게된다.가끔이라기보다는 인생에 한명이라도 만나면 정말 다행인 그런 가족은 아니지만 가족보다 가까운 사이그런 정이 느껴지는 두 사람의 모습을 보고있으면 괜히 입가에 웃음이 지어진다.특히 진주의 기저귀와 분유를 얻기위해 마트에서 증정용 기저귀와시식용 분유를 싹쓸이하는 모습은찰떡호흡이다. ], 긍정 텍스트 확률 : 100.00%"
