"[ 열심히 검색해서 착한성분에 리틀트윅보단 조금 비싸지만 그래도 가격만족도 되는 제품을 바로 구매했습니다.브랜드 인데요 오가닉 제품으로 구성된 베이비 파우더 입니다. ], 긍정 텍스트 확률 : 74.04%"
"[ 입구에 푸쉬 되어 있는 부분을 손가락으로 힘껏 밀어주면 오픈이 되고 그때부터 톡톡톡 조심해서 사용하면 됩니다 ], 긍정 텍스트 확률 : 56.96%"
"[아기 궁둥이에 토닥거려서 발라 보니 확실히 그 차이가 많이 나더군요. 두 제품 다 향이 있는 제품이 아니어서 알러지 걱정 안하셔되 되구요], 긍정 텍스트 확률 : 72.34%"
"[ 오늘은 우리 심콩이템기저귀 리뷰 를 가져왔어요.바로하기스 네이처메이드 오가닉이라는 제품인데요], 긍정 텍스트 확률 : 87.77%"
"[ 써보고 진짜 넘넘 좋아서꼭 후기 써야겠다 싶었는데기회를 놓쳤었거든요.이번 체험단에 당첨되어이렇게 후기를 작성하고 있네요울 심콩이랑 하기스 네이처메이드 오가닉이랑은 인연이 있나봐요? ], 긍정 텍스트 확률 : 94.02%"
"[ 오가닉 코튼 함유가 아닌 오가닉 코튼 사용 이라는 거에요.다른 오가닉 제품은 그냥 오가닉 성분이포함되어 있다는 점에서하기스 네이처메이드 오가닉은벌써 다르지요? ], 긍정 텍스트 확률 : 81.48%"
"[ 다른 하기스 제품들과는 다르게알록달록하지 않은잔잔한 북유럽 느낌의 일러스트가아기자기하게 그려져 있어요.전 그래서 더 좋다는.... ], 긍정 텍스트 확률 : 94.53%"
"[유럽산 안심 흡수소재를 사용한대요.육아맘님들은 다 아실거에요.유럽이 아기 관련 용품들에 대해서는기준 완전 까다로운거ㅎㅎㅎ ], 긍정 텍스트 확률 : 90.32%"
"[ 하기스 네이처메이드 오가닉에시어버터 로션 처리가 되어 있다니진짜 넘 고맙고 좋은거있죠ㅠㅠㅠ ], 긍정 텍스트 확률 : 96.79%"
"[ 귀요미 울 아들기저귀차림 사진 올리는거남표니가 싫어하지만도치맘인 엄마 눈엔 넘 귀여브서몇 장만 올려 볼게요?넘넘 편하게 잘 차고 있는하기스 네이처메이드 오가닉★ ], 긍정 텍스트 확률 : 99.88%"
"[ 아쉬운 부분은요...두구두구...........바로가격이랍니다ㅠ공식몰 맘큐 할인가 기준매가 ], 긍정 텍스트 확률 : 68.68%"
