"[ 타티네쇼콜라는 프랑스 고유의 감성적인 디자인으로 사랑스럽고도 품격있는 옷들이 가득한 프리미엄 유아 브랜드예요 세계적으로도 사랑받는 브랜드이고 우리나라에서도 ], 긍정 텍스트 확률 : 99.64%"
"[ 한국의 가장 사랑받는 브랜드 대상을 받은 인지도 높은 브랜드랍니다 ], 긍정 텍스트 확률 : 63.67%"
"[ 천연 면 수를 이용해서 양면 자가드로 편직했기 때문에 중간에 공기층이 형성되는 에어코튼으로 만들어졌어요], 긍정 텍스트 확률 : 66.10%"
"[ 그래서 아주 가볍고 부드러운데다가 흡습성이 뛰어나서 매일 쾌적한 상태를 유지해준답니다. 아주 더운 여름을 제외하고는 사계절 내내 입힐 수 있어요 ], 긍정 텍스트 확률 : 86.93%"
"[ 귀여운 천사날개가 돋보이는 디자인보기만해도 기분 좋아지는 부드러운 촉감에 고급스러워보이는 색인 흰색으로 이루어져 있고 거기에 단조롭지 않게 별이 있어서 더욱 고급져보여요 ], 긍정 텍스트 확률 : 93.53%"
"[ 엉덩이부분에 동그랗게 덧대져 있는 타티네쇼콜라 마크가 포인트 좀 도톰하게 되어 있어서 아이들이 엉덩방아를 찧어도 아프지 않을것 같아요 디테일이 돋보이는 디자인이랍니다 ], 긍정 텍스트 확률 : 75.17%"
"[ 너무너무 마음에 드는 타티네쇼콜라 모자으앙 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 너무 귀여운거 있죠 끈으로 묶는 방식이며 둘레는개월 미만에 사용하는 모자예요 ], 긍정 텍스트 확률 : 97.06%"
"[ 뒷부분이 고무줄로 살짝 셔링이 잡혀 있어서 모자를 씌웠을 때 잘 벗겨지지 않게 하고 머리를 싹 감싸줘서 좋더라고요 모자 앞에 있는 끈으로 묶어주면 세상 이뻐요], 긍정 텍스트 확률 : 88.19%"
"[ 옆에 달린 별모양의 쿠션감있는 인형이 진짜 최애 ㅠㅠㅠ 모자를 씌우면 양쪽으로 별이 톡 튀어나와 있어서 정말 이쁘답니다 모자 맨 위에 대롱 대롱 달린 폼도 너무 귀엽구요 ], 긍정 텍스트 확률 : 98.93%"
"[ 작고 너무너무 귀여운 에어에스더신발이에요 사이즈는 프리라고 되어있는데 일단 우리 하니는 맞지 않고요 ㅋㅋ 걸음마 하기 전의 아이가 신으면 될것같아요 ], 긍정 텍스트 확률 : 85.79%"
"[ 우리 소미가 입은 우주복은 사이즈예요 이라고 되어있는데 주된 소미가 입었을 때 얼추 맞는 기분이 나서 어서 어서 입혀야겠따는 생각이 들더라고요 요새애들은 발육이 참 빠르다니까요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 97.55%"
"[ 애미는 피부가 까매서 속상한데 우리 소미는 아빠닮아서 피부가 하얀편인것 같아요 머리는 엄마닮아서 까맣고 그래서 하이얀 타티네쇼콜라 에어에스더 라인 신생아 내의 세트로 입혀줬더니 꼭 백설공주님 같아요 물론 제눈의 안경이지만요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ], 긍정 텍스트 확률 : 72.86%"
"[ 지금 산후도우미 이모님께서 집에 와계시는데 사진찍을 때 옆에서 같이 도와주셨거든요 근데 이 신생아 내의 질이 너무너무 좋다고 막 신기해하셨어요 요새 애들옷은 다 잘나온다고 ㅋㅋㅋ 아직 주밖에 안된 신생아라 피부가 예민한데도 불구하고 도 빨갛게 된 부분이 없어요 다행이다 정말 ㅋㅋ 역시 부드러운 소재], 긍정 텍스트 확률 : 94.09%"
"[ 옷이 너무 이쁘고 햇살도 너무 좋아 사진 계속 찍어주었다는...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.92%"
"[ 세트템이라 바캉스룩으로도 너무 좋은 제품질 좋고 이뻐서 완전 강추해요 신생아 내의 선물로도 너무 좋을것 같네요 받는사람 기분 너무 너무 좋아질것 같아요.?아기내복아기내복.?신생아내의신생아내의.?바캉스룩바캉스룩.?타티네쇼콜라타티네쇼콜라 ........ ], 긍정 텍스트 확률 : 99.85%"
"[인천의 베페를 쭉 다니다 보니 조금 알겠는 것도 있고 현명한 소비에 도움이 되는 것 같다. 베페는 아기가 뱃속에 있을 때보다는 태어나서], 긍정 텍스트 확률 : 98.45%"
"[이제 좀 육아용품에 대해 알 때 가는게 좋지 않을까 개인적으로 생각한다. 뭐가뭔지 잘 모를때는 설명에 혹에서 이것도 저것도 다 필요할 것만 같고 없으면 안될 것 같아 구매하게 되는데 조금만 육아전쟁을 겪어보면 그래도 보는 눈이 조금은 생기는 것 같다. 업체 관계자분한테 들은 깨알 정보베이비페어는 어디서 개최되느냐에 따라 물건 가격이 조금씩 달라진다. 개최 장소에 따라 부스에 지불되는 가격이 달라지기 때문에 물건 가격이 비싸지기도 ], 긍정 텍스트 확률 : 99.42%"
