"[...?...? ], 부정 텍스트 확률 : 53.29%"
"[ 배송을 받고 너무 묵직해서 깜짝 놀랐어요 과연 뭐가 들었기래 이렇게나 묵직한 것인가 ??설레는 마음으로 언능 박스를 개봉하였습니다.두근두근 ], 부정 텍스트 확률 : 99.63%"
"[이것만 해도총 매입니다..쩔음..물티슈는 정말 많이 필요로 하다던데짱 조아유 ], 부정 텍스트 확률 : 55.06%"
"[ . 군 신생아 기저귀. 케이맘 처음 밴드 기저귀. 슈베스 기저귀다음으로 기저귀가 종 들어있었어요아가가 태어나면 어떤 기저귀를 써야할지 고민인데괜히 미리 사놓고 안쓰는 것보다이렇게 샘플들을 써보고 엄마한테도 아가한테도 편리한걸로 사면 될 것 같아요 ], 부정 텍스트 확률 : 53.91%"
"[ 다음 구성품들로는 샘플용 로션과 샴푸들이 종이나 있었답니다 . 사노산 베이비 스킨케어. 자올 닥터스오더 샴푸. 꿈비 오가닉 그라운드 로션워시오일. 씽크네이처 샴푸컨디셔너아가용 로션과 샴푸들은 순한걸로 써야하는데그 종류가 너무 많잖아요대용량 사놓고 아기 피부에 안맞으면 너무 아깝고.. ㅠ샘플이 양이 꽤 되요 한달 이상?은 쓸 것 같아요ㅎㅎ번 자올 닥터스오더 샴푸는 엄마용 샴푸인 것 같아요애기 낳고 탈모 오는 엄마들을 배려한 샘플인 것 같습니다], 부정 텍스트 확률 : 99.61%"
"[ . 베이베스 아기 수건아기 수건도 쪼꼬만거 아니고 사이즈가 꽤 커서 매우 유용할 것 같아요아기꺼니까 재질도 당연 좋겠죠? 수건도 사려면 비싼데..여러모로 앙쥬때문에 돈을 많이 아낄 수 있는 것 같아요 ], 부정 텍스트 확률 : 92.13%"
"[ . 앙쥬잡지유명한 앙쥬잡지병원에서 받아 월호를 가지고 있었는데월호까지 생겼어요.앙쥬 잡지를 보면 내용이 정말 알차요.이유식 만드는법], 부정 텍스트 확률 : 74.36%"
"[스트레칭], 부정 텍스트 확률 : 53.29%"
"[아기마사지], 부정 텍스트 확률 : 53.29%"
"[유모차], 부정 텍스트 확률 : 53.29%"
"[카시트에대한 정보 등등그냥 지나칠 수 없고], 부정 텍스트 확률 : 68.59%"
"[꼼꼼히 읽고 싶은 앙쥬잡지랍니다 ], 부정 텍스트 확률 : 76.31%"
"[ 월 구성품도 위 사진과 같이 알차네요또 당첨되고싶다..ㅋㅋ완전욕심쟁이앙쥬 임신축하선물 샘플팩은 한번만 당첨되기 때문에당첨이 안되더라도 계속 신청하면 될꺼에요앙쥬 샘플팩은 당첨률이 매우 높거든요짱짱앙쥬샘플팩 신청안하면 손해앙쥬 모르면 정말정말 손해다들앙쥬 샘플팩 신청 하러 고고 ], 부정 텍스트 확률 : 65.16%"
"[...?...? ], 부정 텍스트 확률 : 53.29%"
"[쌍둥이 임신 주차입니다. 월엔 임산부의날도 있고 이래저래 행사가 많은데요. 불행하게도 폐렴으로 병원에 입원해 제대로 다니지도 못하고 꼼짝없이 집에만 있는 신세네요.지금은 많이 좋아져서 퇴원을 했지만 여전히 기침으로 목소리는 나오지 않고있어요. 엄마가 튼튼해야 아이들도 건강할텐데 몸관리를 제대로 못한거 같아서 미안한 마음만 드네요. 그래서 우울한 기분이었는데], 부정 텍스트 확률 : 72.57%"
"[집에 와보니 특별한 선물이 와 있는게 아니겠어요? 깜짝놀랐습니다. 바로 임신출산육아 매거진 앙쥬에서 보내준 임산부 샘플팩으로 제가 당첨이 되었었나봐요 ], 부정 텍스트 확률 : 61.85%"
"[ 앙쥬 임산부 샘플팩 ], 부정 텍스트 확률 : 53.29%"
"[ 앙쥬 월호 잡지와 함께 다양한 임신출산육아 용품 샘플이 들어있었는데요. 얼마나 알찬 구성인지 떼샷부터 남겨봅니다. 물티슈], 부정 텍스트 확률 : 53.16%"
"[기저귀], 부정 텍스트 확률 : 53.29%"
"[스펙트라젖병], 부정 텍스트 확률 : 53.84%"
"[보습로션], 부정 텍스트 확률 : 53.29%"
"[샴푸 컨디셔너], 부정 텍스트 확률 : 53.29%"
"[유산균], 부정 텍스트 확률 : 53.29%"
"[베이비페어 입장권까지 정말 실속있는 제품으로만 넣어서 보내주셨더라구요. 슬슬 육아용품을 준비해야 하는 시기라 그런지 더 반갑고 좋은거 같아요. 그럼 어떤 제품이 들어있는지 하나씩 리뷰를 해볼게요], 부정 텍스트 확률 : 67.70%"
"[ . 앙블랑 화이트 프리미엄 물티슈앙블랑 화이트 아기물티슈는레이온 원단으로 연꽃 추출물이 함유되어 있어 민감한 아기 엉덩이에도 부드럽고 안전하게 사용할수 있습니다. 포장부터 고급져서 그냥봐도 프리미엄 물티슈인거 같아요. ], 부정 텍스트 확률 : 56.42%"
"[ . 슈베스 프리미엄 아기물티슈슈베스 아기물티슈도 유명하죠. 두두품한 두께와 적당한 수분감 그리고 사이즈가 휴대하기 좋아서 기저귀 가방에 넣고 다니기 편하게 되어있는데요. 한장씩 뽑이는 최점단 인터폴더방식에 안티몬 원단을 사용해서 피부자극없이 부드럽게 잘 닦인다고 해요. 이렇게 앙쥬 임산부 샘플팩에 물티슈만 무려 가지나 들어있었는데요. 아기가 태어나면 물티슈 사용량이 어마어마 하잖아요. 물티슈를 넉넉하게 넣어줘서 벌써 든든합니다. ㅎㅎ ], 부정 텍스트 확률 : 79.07%"
"[냄세제거기능], 부정 텍스트 확률 : 68.98%"
"[아몬드], 부정 텍스트 확률 : 53.29%"
"[호호바], 부정 텍스트 확률 : 82.95%"
"[시어버터등 자연에 가까운 원료를 고집하여 안전하게 사용할수 있답니다. 아기들은 피부가 민감하니까 스킨케어도 순한제품만 써야하잖아요. ], 부정 텍스트 확률 : 75.41%"
"[ . 꿈비 오가닉그라운드 스타터키트바디워시], 부정 텍스트 확률 : 74.40%"
"[물타지 않은순수 오일로 피부진정을 시킬수 있어요. 휴대하기 좋은 샘플이라 여행갈때 사용하면 좋을거 같아요. ], 부정 텍스트 확률 : 72.86%"
"[ . 자올 닥터스오더 탈모샴푸식약처 허가 의약외품으로 탈모방지 및 모발 굵기 증가에 도움을 주는 샴푸입니다. 엄마들 출산하면 머리가 후두둑 빠진다고 하잖아요. 머리감을때마다 한웅큼씩 잡힌다는데 벌써 무섭습니다. 자올 닥터스오더 탈모샴푸로 제발 머리가 적게 빠졌으면 좋겠네요. ], 부정 텍스트 확률 : 53.52%"
"[슈가민트], 부정 텍스트 확률 : 53.29%"
"[오렌지블라썸 종으로 되어있어서 샘프로 하나씩 써보고 마음에 드는 향으로 추가구매를 하시면 될거 같아요. ], 부정 텍스트 확률 : 63.04%"
