"[ .헬로키티 휴지는 많이 써봤는데], 부정 텍스트 확률 : 86.59%"
"[ 디자인은 두가지인데요], 부정 텍스트 확률 : 61.45%"
"[범콩이는 사이즈인인데요 개월내기 를 넘긴범콩쓰에게 딱 맞으니 참고해주세용❤범콩이는 남들의 두배인 세상꿀벅지를 가지고있답니다 👍 ], 부정 텍스트 확률 : 98.20%"
"[ 활동량이 많다보니까 팬티기저귀를 써야하는데싶기도했고 요즘은 범콩이가 기저귀가 불편한지뜯더라구요ㅠㅠ..그래서 팬티를 외치는 찰나신랑이 헬로키티기저귀를 보고 아 귀여워외치곤 만지고나서 우와..진짜 부드럽다 이렇게부드러운것도 있었냐고 물어보더라구요그정도로세상 부드러운 기저귀라고 자 부합니다 ], 부정 텍스트 확률 : 91.46%"
"[되묻지않아보송함을 유지 시켜주는데요 쾌적한 활동과잠자리를 위해 흡수력 좋은 기저귀 필수겠죠 ], 부정 텍스트 확률 : 52.76%"
"[ 짓무름 방지를 위한 공기 흐름을 강화하고기저귀 내부의 보송함을 유지시켜줍니다에어커버로 우수한 통기성을 자랑 하는 헬로키티기저귀 모두 완벽함을 자랑하죠❤ ], 부정 텍스트 확률 : 60.42%"
"[ 잠깐 사이 너무 심란한 사진만 남기게 되었어요호기심이 왕성해져서 낮잠 마저 줄어 뒹굴고 기고돌아다니느라고 눈 뗄세 없이 활동량이 어마무시한데요], 부정 텍스트 확률 : 69.57%"
"[이럴때 더욱 신경써야할건 활동량을 뒷받쳐줄 기저귀가 아닐까 싶어요 헬로키티 기저귀로 우리아이의 편안함을 지켜주세요❤], 부정 텍스트 확률 : 52.75%"
"[ 헬로키티 휴지는 많이 써봤지만 비데 물티슈는처음인데 습관처럼 변기에 넣게되는 물티슈로매번 막히는것도 일이고], 부정 텍스트 확률 : 93.85%"
"[ 적당한 물이 적셔있고 일반 물티슈 비교 못하게부드럽고 촉촉해서 계속 쓰게될거에요👍전성분이 공개되 안전성을 최우선으로 하여피부자극테스트완료], 부정 텍스트 확률 : 96.93%"
"[페녹시에탄올과 파란벤류무첨가], 부정 텍스트 확률 : 57.06%"
"[ 이날에 휴대용 물티슈를 용이나게 썼어요❤휴대용은 정말 용이나게 쓰기 좋고], 부정 텍스트 확률 : 74.93%"
"[ 아이티씨몰은 헐로키티 뿐만 아니라모든 로망 캐릭터들이 다 모여있을 뿐더러], 부정 텍스트 확률 : 91.99%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[강아지], 부정 텍스트 확률 : 53.29%"
"[배가 볼록 나온 아가들에게도 편안하게 감싸주니 걱정 없을듯요 ], 부정 텍스트 확률 : 73.24%"
"[ 짓무름 방지를 위해 공기 흐름을 강화하고기저귀 내부의 보송함을 유지시켜주는 통기시트 에어커버로우리 아기가 기분좋게 착용할 수 있어서 너무나 좋은 것 같아요 ], 부정 텍스트 확률 : 58.15%"
"[ 배와 허리부터 엉덩이 위쪽까지 이어지는 밴드가너무나 부드럽고 쫀쫀해서 흘러내림 걱정 없이입은듯 안입은듯 천방지축 뛰어다니는 아가들도 걱정 ㅇ벗어요 ], 부정 텍스트 확률 : 93.47%"
"[ 헬로키티 팬티기저귀는 흡수층의 테두리에 있는 엣지가드가 최초로 한번 막아주고이중 응가밴드로 한번더 잡아주어 샘걱정 없이엄마와 아기도 안심하고 편안하게 착용할 수 있어서 참 좋아요 ], 부정 텍스트 확률 : 56.88%"
"[ 연약한 아기피부에 대변처리는 화장지보다 물티슈로 하게 되는데일반 물티슈는 변기에 버리지 못하기 때문에 은근 불편하잖아요헬로키티 비데물티슈는 변기에 넣어도 되는 잘 녹는 물티슈라 뒷처리가 깔끔해요 ], 부정 텍스트 확률 : 62.17%"
"[곰솔잎], 부정 텍스트 확률 : 53.29%"
"[알로에베라잎 추출물이 함유되어피부 컨디셔닝과 보호에 도움을 주는 비데물티슈랍니다종 안전성 테스트도 완료한 제품이라 안심할 수 있어요 ], 부정 텍스트 확률 : 91.78%"
