"[.아이씨티몰에 없는게 없다생활필수템인..육아맘에게는 더 특별할수바께 없는 곳..헬로키티 기저귀와 헬로키티 비데 물티슈를..소개할까 합니다❤ ], 긍정 텍스트 확률 : 93.86%"
"[기저귀는..처음 접하는건데요 키티 인기가 많다보니까..싫어하는 아이는 절대 없으실거에요❤..헬로키티기저귀도 처음이지만 많고 많은..기저귀 포스팅중 팬티 기저귀는 또 첨이라..특별합니다 . ], 긍정 텍스트 확률 : 50.36%"
"[ 얇은두께와 우수한 통기성일 자랑하며파워엠보싱과 이중으로 넓은 응가밴드또 소변알림줄까지 완벽한 부드러움을 자랑하는헬로키티 기저귀❤ 아이티씨티몰은 헬로키티 이외에도 많은캐릭터들이 줄서있으니 눈돌아갑니다 ], 긍정 텍스트 확률 : 92.36%"
"[ 활동하기 편하도록 탄력성이 정말 우수 해요제가 다 개운한거있죠써보니 흡수력 또한 우수해서 밤기저귀로도 추천합니다강력한 흡수층은 순간 흡수력을 높히고], 긍정 텍스트 확률 : 92.59%"
"[ 리얼 엠보 커버로피부 접촉 면적을 최소화하고표면 공기 흐름을 강화시키는 저자극 기저귀로허니콤 리얼 엠보싱 으로 유명한데요우리아기에게 직접적으로 닿은 부분이다보니이것또한 중요하게 봐야하는 부분이겠죠 에에쓰루 방식의 섬유 고유의 부드러움과 볼륨감을살린 기저귀 를 찾으신다면 바로 이것입니다 ], 긍정 텍스트 확률 : 94.41%"
"[찝찝함은 두배죠요 제품은 찝찝함도 변기막힐 염려도 없이평생 깨끗함을 자랑하며 사용할수 있어요 ], 긍정 텍스트 확률 : 65.72%"
"[단계 정수로 깨끗한 물을 사용 하였습니다믿고 쓰기 넘 죠아요 ], 긍정 텍스트 확률 : 76.35%"
"[ 사용후에는자연에서 분해되는 원단 사용 으로막힐 걱정없이 사용가능 또 휴대용물티슈까지나와서 휴대성 최고로 아이와 어디갈때 가지고다니기 너무 좋더라구요👍 ], 긍정 텍스트 확률 : 93.06%"
"[ 부드럽고 푹신푹식한 촉촉함까지도 완벽한비데물티슈❤ 이거슨 정착템 ], 긍정 텍스트 확률 : 94.77%"
"[또 부드러움이있으니까 손에 묻은 오염까지 산뜻하게 완벽하게 ], 긍정 텍스트 확률 : 94.12%"
"[ 특가도 자주 있으니 이번 기회에 부드러운 생활템겟 해보시는건 어떨까요❤ 아이도 엄마도모두 만족할수 있는 디자인과 기능성 모두 굿뜨👍이용해보세요절대적으로 완벽템입니다.. ], 긍정 텍스트 확률 : 96.94%"
"[ .?아이티씨아이티씨.?아이티씨몰아이티씨몰.?헬로키티헬로키티.?힐로키티컴포트핏유힐로키티컴포트핏유.?팬티기저귀팬티기저귀.?비데물티슈비데물티슈.?컴포트핏유컴포트핏유.?헬로키티기저귀헬로키티기저귀 .?물티슈물티슈.?비데물티슈추천비데물티슈추천.?아기기저귀아기기저귀.?아기물티슈아기물티슈.?기저귀추천기저귀추천.?헬로키티비데물티슈헬로키티비데물티슈.?비데티슈비데티슈요즘 우리 아이가 고양이], 긍정 텍스트 확률 : 96.91%"
"[토끼 등 동물을 너무나 좋아해요그리고 동물 캐릭터가 그려진 제품들을 좋아한답니다지나가다가도 키티 캐릭터를 보면 그자리에 멈춰서 한참을 관찰해요야옹야옹 예뻐예뻐라고 하더라구요첫째와는 다른 둘째를 지켜보는 재미가 쏠쏠해요우리 둘째가 너무나 좋아하는 헬로키티 팬티기저귀와 비데물티슈를 구입하려고알아보니 아이티씨몰에서 구입이 가능하더라구요 ㅎㅎㅎ아이티씨몰은 사랑스러운 디자인에 천연 펄프로 만든헬로키티 화장지로 유명한 브랜드에요이것저것 제품들 둘러보니 겹 휴지도 있어서 완전 신기하더라구요 ㅎㅎ순수한 천연펄프 화장지 회사로 피부에 민감한 분들과어린 아이들에게도 안심할 수 있는 브랜드더라구요우리 아기에게 딱 맞는 피부 저자극의 안심 기저귀라니 써보고 싶어서 구입했어요헬로키티 캐릭터와 콜라보해서 디자인도 너무나 귀엽더라구요 ㅎㅎ ], 긍정 텍스트 확률 : 100.00%"
"[ 아이티씨몰에서 구입한 헬로키티 기저귀랍니다엄마들의 만족스러운 후기를 보고 선탁하게 되었는데요 ㅎㅎ무엇보다 우리 아이가 좋아하는 캐럭터라 써보게 되었어요팬티처럼 입고 벗기기 쉬운 팬티형 기저귀가 참 좋아요 ], 긍정 텍스트 확률 : 99.98%"
"[ 피부자극테스트를 완료한 아이티씨몰 헬로티키기저귀는아기피부에 저자극으로 연약한 아기 피부를 생각하는착한 피부 저자극 안심기저귀라 안심하고 사용할 수 있어 참 좋아요 ], 긍정 텍스트 확률 : 75.43%"
"[ 홈페이지에 나온 사긴과 내용들을 읽어보니 더욱 믿음이 가더라구요철저한 위생관리와 오존살균], 긍정 텍스트 확률 : 88.81%"
"[온도습도조절 등청정 생산현장에서 안전하고 깨끗하게 만들어지는 아이티씨 헬로키티 기저귀랍니다 ], 긍정 텍스트 확률 : 53.79%"
"[ 디자인도 너무나 예뻐서 선물하기도 좋은 것 같아요우리 아기에게 빨리 입혀보고 싶어서 바로 꺼내보니 깜짝 놀랐답니다정말 부드럽고 얇고 가벼서워 입은듯 안입은듯 편안할 것 같더라구요이렇게 촉감이 좋으니 민감한 우리 아기 피부에도 정말 잘 맞겠죠 ], 긍정 텍스트 확률 : 99.95%"
"[ 앞 뒤에 귀여운 헬로키티 캐릭터가 방긋방긋 웃고있으니보는 우리 아이도 참 좋아해요기저귀 갈아입을까?? 기저귀 가져오세요라고 말하면신나서 야옹야옹 하면서 헬로키티 기저귀를 가져온답니다 ], 긍정 텍스트 확률 : 98.97%"
"[ 통기성 좋은 에어커버로 구성되어 있어기저귀 내부 공기 흐릅을 강화시켜 보송보송함을 지켜준다고해요통기성 좋은 기저귀가 정말 좋다는 걸 알기에 너무나 마음에 드는 우리 아기기저귀랍니다헬로키티 팬티기저귀는 무거운 롤러로 압착시키는 방식이 아닌섬유 뭉치를 뜨거운 공기로 결합시키는 에어스루 방식으로부드러움과 볼륨감이 좋은 소프트한 프리미엄 아기기저귀에요 ], 긍정 텍스트 확률 : 99.23%"
"[ 강력한 흡수력을 가진 더블 공기층이 형성된 부직포와중앙 쾌속 흡수라인], 긍정 텍스트 확률 : 66.88%"
"[파워엠보싱으로순간흡수력도 좋고 강력한 흡수층이 되 묻어나지 않아서보송보송하고 기분좋은 쾌적함에 우리 아이가 참 잘 입고 있어요흡수층이 전면에 고르게 배치되어 있어남자아기], 긍정 텍스트 확률 : 98.47%"
"[여자아기 모두 편하게 사용할 수 있답니다 ], 긍정 텍스트 확률 : 75.45%"
"[ 빠르게 흡수되는 엠보싱 구조가 아기 피부에 자극은 적게가고부드럽고 가벼우면서도 흡수력이 너무나 좋아요옆샘방지도 잘 되어 있어 밤에 자고 일어나도 새지 않아우리 아이 통잠에도 도움을 주는 너무나 착한 기저귀랍니다 ], 긍정 텍스트 확률 : 99.51%"
"[ 도로 감싸주는 스판덱스 허리밴드가 하루종일 쉬징낳고 움직이는활동성 많은 우리 둘째에게 정말 딱이에요꿀벅지], 긍정 텍스트 확률 : 65.81%"
"[ 쫀쫀하고 편하게 하이의 허리를 잡아주는 스판덱스 허리밴드흘러내림 걱정 없으면서도 조임없이 편안하게 입힐 수 있는 아기 기저귀에요 ], 긍정 텍스트 확률 : 93.18%"
"[ 넓고 쾌적한 아기기저귀 헬로키티 팬티기저귀는전면에 고루 배치된 흡수층으로 남녀공용 기저귀로 손색이 없어요안쪽과 바깥쪽 이중으로 잡아주는 흡수층 엣지가드가밤새 쉬를 많이하는 우리 아이에게 정말 딱이랍니다항상 새벽에 울며 깨던 우리 아이에게 통잠을 선사해주었어요 ], 긍정 텍스트 확률 : 91.18%"
