"[팬티기저귀에이메르네이쳐··글·사진멍젤라 ⓒ멍젤라.], 부정 텍스트 확률 : 78.86%"
"[제가 그 써본 후기를 남겨드리지유], 부정 텍스트 확률 : 64.40%"
"[그가 오셨다. ㅋㅋㅋㅋㅋㅋ아니 엄마 사진좀 찍으면 안대? 막 이러고 있는데], 부정 텍스트 확률 : 94.15%"
"[내새꾸.. ], 부정 텍스트 확률 : 79.09%"
"[ 쨘 ㅁ 에이메르네이쳐는 이렇게 생겼답니다 한국 소비자평가 위에 빛나는 요 아이 ㅁ 소비자들이 써보고 만족했다고 하니까 ㅋㅋ 나도 그중에 하나가 될거같네요어쨌든 요런 파란 색상의 깔끔한 너낌? 네 그래요], 부정 텍스트 확률 : 60.86%"
"[ ㅡ 포장지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ기저귀 보관함에 넣을ㄸ ㅐ쭉쭉 막 찢어가지고 넣는게 너무싫어가지고 ㅠ ㅠ깔끔하게 쫘악 뜯어다가옮겨넣기가 딱 좋더라구요 ㅋㅋㅋㅋㅋㅋㅋ 에이메르네이쳐도 진짜 깔끔하게 쫘악벗겨져요 ], 부정 텍스트 확률 : 90.38%"
"[ 앞부분인데], 부정 텍스트 확률 : 52.59%"
"[소변줄도 노랗게 세줄로다가 표시되어있죠? 쉬하고나면 파란색으로 변신한답니다], 부정 텍스트 확률 : 88.39%"
"[ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이러고 ...옷안입어주시는 아드님.. 감기든다......얼른입자], 부정 텍스트 확률 : 94.43%"
"[ㅋㅋㅋㅋ샤워하고나면 맨날 저러고 방황하는ㅇ ㅏ들입니다..], 부정 텍스트 확률 : 73.58%"
"[되집기 그리고배밀이까지 하려고하니 기저귀 가는게이제 보통일이 아니게 되더라구요ㅠㅠ왜 엄마들이 밴드기저귀에서 팬티기저귀로넘어가는지 폭풍공감하는 순간들이훅 왔어요 기저귀 갈때 절대 가만히그대로 누워있지 않는 우리 아들...그래서 저도 팬티기저귀를 시작했죠 ], 부정 텍스트 확률 : 98.57%"
"[ 지난 번 킨텍스 베이비페어에서에이메르네이쳐 기저귀 부스를갔었는데요 그때는 아직 밴드기저귀사용할때라서 정말 착한 가격으로기저귀를 판매하길래 밴드기저귀 샘플만하나 받아서 써보고 괜찮다고 생각해구매하려다가 못사고 와서 후회했었어요그래서 이번에 팬티기저귀를 겟 ], 부정 텍스트 확률 : 89.57%"
"[ 에이메르네이쳐 팬티기저귀는사이즈가 총 단계로 ], 부정 텍스트 확률 : 80.94%"
"[이렇게 인데 우리 봉봉이는 지금 대로까지 사용가능한 중형사이즈는살짝 타이트할 것 같아서 넉넉하게까지 사용가능한 대형으로선택했어요 대형은 한팩에 개가들어있구요 기저귀 패키지에 손잡이가있어서 박 일 여행다닐때 이거한팩 가져가면 만사오케이겠더라구요 ], 부정 텍스트 확률 : 56.67%"
"[ 에이메르네이쳐 브랜드는 사실베이비페어에 가서 부스를 보고처음 접해봤었는데요], 부정 텍스트 확률 : 50.57%"
"[ 몰랐는데 작년에 친환경 유아용품 부문대상], 부정 텍스트 확률 : 68.75%"
"[기저귀 부문 위], 부정 텍스트 확률 : 56.80%"
"[브랜드파워 대상], 부정 텍스트 확률 : 53.29%"
"[ 에이메르네이쳐 팬티기저귀는 전체적으로파란색 디자인으로 포인트가 되어 있구요기저귀 앞면에는 브랜드명과 사이즈표기그리고 뒷면에까지 연결되는 소변줄표시가되어있어요 부드럽고 자극없는 소프트시트커버로 연약한 아기 피부에 자극을 최소화하여편안하게 착용 할 수 있도록 만들었다고 해요 ], 부정 텍스트 확률 : 97.47%"
"[ 에이메르네이쳐 유니크 슬림 팬티기저귀라정말 제품명 그대로 슬림해요아이들이 편안하게 착용해서 생활할 수있도록 꼼꼼하게 연구하고 제작했다고하던데], 부정 텍스트 확률 : 70.28%"
"[정말 그런것 같더라구요 ], 부정 텍스트 확률 : 63.62%"
