"[척척이 탄생이 두달도 남지 않아 저도 이제 출산 준비를 시작했어요 초특급 집순이인데 전업 주부가 된지 한달 만에 출산준비 시기가 와서 아쉬움 반], 부정 텍스트 확률 : 88.39%"
"[대나무 손수건 ], 부정 텍스트 확률 : 53.29%"
"[뭐시기 저시기 손수건 엠보 손수건 샤랄랄라], 부정 텍스트 확률 : 61.39%"
"[ ⭐️⭐️필수필수⭐️⭐️전 트윈워시라 작은 통돌이 미니워시 세탁기를 아기꺼로 써야지 하고 구매했어서미니 워시 를세탁조 클리너를 이용 하여 청소하였습니다 세탁조 클리너 넣고통살균통세척코스 돌리고 약간 락스 냄새 같은 게 남아서헹굼 회 추가. 그리고세탁거름망꺼내서 깨끗하게 먼지들 다 버리고베이킹 소다와 과탄산 소다 녹인 물에 담근 후 씻어주기], 부정 텍스트 확률 : 98.50%"
"[ 요게 바로 세탁거름망인데 세탁기 사고 처음년반으로 분해해서 보니 먼지가 먼지가 ㅋㅋㅋㅋ자 그 다음 할 일은], 부정 텍스트 확률 : 83.29%"
"[ ✔️가제거즈], 부정 텍스트 확률 : 53.29%"
"[찍찍이가 있고 몇개 안되니깐 이렇게 많이 나누면 오마이갓 우리집 물 아까버라.. 하는데 미니워시에 사실 이렇게 나누어도 각 부류들 넣으면 까득 차요. ㅋㅋㅋㅋㅋㅋ손수건 장이면 가득 차고 천기저귀도 장만 넣어도 가득 차고 ... 그래서 다들 한번에 절대 못하니 하루하루 미리미리 나누어 세탁 및 건조해서 아기지퍼백에 넣어 보관하라고 하더라구요. ㅠㅠ진짜 손수건들만 빨고 건조기 돌려보고 다림질해서 지퍼백에 넣어보기까지 반나절 이상 걸림..란제리울코스 혹은 아기옷 세탁모드 헹굼 추가 하면 한번 돌리면 기본 한시간 반?소요하거든여..그 다음은], 부정 텍스트 확률 : 99.96%"
"[사용 하고 두번째], 부정 텍스트 확률 : 66.90%"
"[세번째 할 때까지는세탁망 없이세탁 을 해주셔야 합니다. 실오라기?나 먼지 등이 많기 때문에 세탁망에 넣어 세탁 시 먼지가 다 빠져나오지 않아 제대로 먼지를 뺄 수 없음 ✏️아기 꺼는 아기옷 코스도 좋지만 처음엔 불안하니깐란제리울코스 로 그리고찬 물 ⭐️⭐️✏️란제리울코스 헹굼 회 추가먼지 더 잘 빠져나오라구 헹굼 추가✏️신생아는아기 섬유유연제라도 쓰지 말 것 ✏️ 대나무 소재 는 열에 약하므로건조기뜨거운], 부정 텍스트 확률 : 94.96%"
"[다림질 금지 ⭐️⭐️⭐️⭐️⭐️✏️ 방수 소재 들은세탁망 에 넣을 때 바닥 사부락 거리는 그 부분이 밖으로 오도록 접어서 넣어찬물세탁✏️모든 손수건 및 천기저귀는 건조기를 굳이 사용하여 먼지 털어내고 싶다 하면 꼭“송풍구김방지”로 찬바람으로 회 돌리기 그리고 탈탈 널어자연 건조시키고 건조되면다시 “송풍구김방지”회하면 먼지가 그득그득 나옴. 일단 먼저 세탁한 건], 부정 텍스트 확률 : 98.97%"
"[ 에서 구매한 가제거즈순면 손수건들그리고 부산 베페에서 엄마가 사준], 부정 텍스트 확률 : 55.73%"
"[ 가제 손수건들], 부정 텍스트 확률 : 64.97%"
"[ 왼쪽은 대나무 소재 손수건들이고 오른쪽은 가제 손수건들이에요. 에프랑 대나무 손수건토끼그림 세트만 빼고 나머지 가제 손수건들과 맘스네이쳐대나무나머지 순면는 같이 돌렸어요. 대나무가 많이 들어갈수록 너무너무 부드러우나 관리 및 세탁법이 까다로워요. 그래서 맘스네이쳐에선 만 들은 걸로 구매했었어요. 순면이 반이나 들어있어서 그냥 가제랑 같이 돌려버림 ㅋㅋㅋ ], 부정 텍스트 확률 : 99.76%"
"[ 트윈 워시의 미니 워시에 손수건들 장? 정도 넣었는데 꽉 차죠?ㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 86.71%"
"[ 쿠팡에서 케이맘 제로더스트아기 세탁세제 종 풀세트로 만원대에 팔길래 케이맘꺼 좋아서 바로 구매해서 썼어요 용량 맞게 넣어주시공 ], 부정 텍스트 확률 : 87.03%"
"[ 에프랑 가제 손수건세탁 후 상태양호그렇게 많이 쪼글하지도 않고 이정도면 뭐 양호 ], 부정 텍스트 확률 : 85.51%"
"[ 맘스네이쳐 대나무 손수건은 대나무 소재라 건조기 돌리기 두려워서 일단 탈탈 털어서 자연건조 시켜주었어요. 그리고 나머지 가제 손수건들 모두 건조기행 근데 ... 대나무가 아니라서 “내마음” 모드로 ㅋㅋㅋㅋㅋㅋㅋ...표준건조 정도는 “약”구김방지 ], 부정 텍스트 확률 : 72.99%"
"[ ...?????? 너무 쪼글 꼬부랑이라 손수건들 빠마 된 줄 .....차 멘붕그리고 먼지걸러진 거 꺼내는 순간 ], 부정 텍스트 확률 : 51.86%"
"[ 차 멘붕손수건이 워낙 얇고 가볍다보니 지가 건조기 필터에 붙어서 지가 다 먼지를 가져주고 있었음..그래서 그 손수건 하나 꺼냈는데 거기서 먼지뭉치들이 초토화되어 내 몸과 베란다 바닥에 놔뒹굴..그리고 필터에도 먼지가 꽤 나온 ㅠㅠ그래서 ....그냥 맘 접고송풍회돌리고 먼지 한번 더 걸러주고 다 꺼내어 다림질 시작 ], 부정 텍스트 확률 : 80.88%"
"[ 약 시간 걸려씀 ㅎㅎ이 모든 게 밤 시에 끝남. 그 다음 날 ], 부정 텍스트 확률 : 95.32%"
"[ 천기저귀는 애기 기저귀 발진 시에도 잘 쓰이지만 가장 잘 쓰이는 건목욕 후 닦아주는 용도], 부정 텍스트 확률 : 86.80%"
"[속싸개], 부정 텍스트 확률 : 53.29%"
"[ 크기때문에 장 미니워시에 넣으면 까ㅏㅏ득 참. 대나무니까 얘도 당근. 란제리울 코스헹굼회 세탁망 없이세탁법은 가제 손수건과 동일다 돌리고 나면 대나무니까 자연건조..하기 전에 먼지없애는 걸 포기하지 못해서건조기 행. “송풍구김 방지” 회 ], 부정 텍스트 확률 : 83.41%"
"[ 다 끝나고 보니 ], 부정 텍스트 확률 : 84.22%"
"[ 송풍이니 당연히 안말라 있고건조기 돌린 이유는 건조의 목적보다 먼지 좀 빠지라고 돌린 것송풍이라 대나무 소재 천기저귀가 변형도 없고 쪼글한 것도 거의 없었어요대만족그리고 남은 물기 제거를 위해서따사로운 햇살에 우리 척척이 천기저귀 탈탈 털어 넓게 펴서 . 자연건조다 마르고 고이 접는데 왜 계속 코가 간지러운지...하고 폰을 봤는데 먼지가그래서 마른 천기저귀를 건조기에 넣어서. “송풍구김방지” 한번 더해줍니다그랬더니 폰에 먼지도 안묻고 코도 안간지러워서 아 먼지 제거 거의 되었구나 하고 판단ㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 98.26%"
"[ 그리고 아기 지퍼백에 소분하여 넣어서지퍼백마다 뭐가 들었으며 세탁법과 건조법을 간단하게 기입 하여 붙여놓습니다. 그래야 혹시나 조리원에 있을 때 추가로 필요 시 뭐가 뭔지 잘 모르는 남편이 찾기도 쉽고 대신 세탁해줘야할 때 보고 따라할 수 있으니까여 ], 부정 텍스트 확률 : 84.31%"
"[ 그렇게 이틀에 걸쳐 출산 준비 세탁편 전부 완료가 아니라완료 ㅋㅋㅋㅋㅋㅋ모두 힘내요... ], 부정 텍스트 확률 : 89.31%"
"[ 에이메르네이쳐 기저귀 부스 입니다.기저귀는 에이메르네이쳐와 네이쳐러브메레 가 입점해 있었는데요엄마들을 위한 마로메라도 입점해 있으니 함께 둘러보시면 좋을 것 같습니다.에이메르네이쳐는 박람회 현장이벤트로할인과 함께 증정이벤트도 진행하고 있습니다], 부정 텍스트 확률 : 62.08%"
