"[할 일이 많아 다행이다 싶은 마음 반 ㅋㅋㅋㅋ? 출산 준비가 참 ... 특히 세탁이 참 ..만만치 않더이다 ], 긍정 텍스트 확률 : 52.68%"
"[ 특히 가제 손수건], 긍정 텍스트 확률 : 88.16%"
"[천기저귀 뭐 요런 것들이 참 세탁방법도 다르고 건조방법도 다르더라구요. 진짜 몇날며칠을 검색 또 검색하도 다 다르길래 암기력 꽝인 나는 까먹기 전에 블로그에 적어놓고 매번 세탁할 때마다 봐줘야지ㅠㅠ일단신생아 및 아기 용품 세탁하기 전 ], 긍정 텍스트 확률 : 98.32%"
"[순면 손수건✔️대나무 손수건대나무 천기저귀✔️속싸개들 세탁망✔️겉싸개 세탁망✔️방수요 및 방수패드 세탁망✔️신생아 새 의류들새 양말 세탁망✔️가족들에게 물려받은 의류들양말✔️침받이기저귀커버손세탁], 긍정 텍스트 확률 : 74.50%"
"[ ✏️ 모든 손수건 및 천기저귀는 세탁을 처음], 긍정 텍스트 확률 : 54.03%"
"[ 란제리울 코스 헹굼 회약 시간 반 가까이세탁망 없이 ], 긍정 텍스트 확률 : 85.03%"
"[ 맘스네이쳐 순면 손수건세탁 후 상태 대박 양호거의 쪼글한 게 없을 정도로 짱], 긍정 텍스트 확률 : 96.66%"
"[ 맘스네이쳐 대나무 손수건세탁 후보통음 세로로 쪼글한 느낌이 제일 많았음.근데 어떤건 적당이 쪼글한데 어떤건 거의 스프링처럼 쪼글해서 ㅠㅜ힝 .. 찬물로 했는데ㅔㅔㅔㅔ ], 긍정 텍스트 확률 : 82.42%"
"[거즈 블랭킷등으로 쓰여서 엄마가 장 세트 사주셨어요 진짜 크기나 재질 만져보고 사길 너무 잘한 듯 대만족 ], 긍정 텍스트 확률 : 80.96%"
"[안녕하세요 소여니맘이에요오늘도 정말 엄청나게 더운날씨에요 ㅠㅠ오늘은 경주베이비페어가 있는날이라 일찍부터 준비하느라 서둘렀는데요씻고 나온지 초도 안된거같은데 땀이 송골송골 맺히더라구요 ..새벽부터 에어컨을 다시 켤수밖에 없는 날씨였는데요 ㅠㅠ아.. 그래도 차안과 베이비페어 행사장 안은 시원할꺼라는 생각에부지런히 준비후 경주베이비페어 현장으로 출동했답니다 이 더운날씨에도 경주화백컨벤션센터에 찾오신분들이 보였답니다정말 부지런하고 열정적이신 분들이에욧 ㅎㅎ그럼 저 소여니맘과 함께하는], 긍정 텍스트 확률 : 100.00%"
"[년만에 열리는 경주맘아랑베이비페어의 후기현장 함께 보실까요 ], 긍정 텍스트 확률 : 92.96%"
"[ 입구 바로 맞은편에 입장등록 확인하는 인포가 자리잡고 있습니다.다들 순서대로 입장확인하시는 중입니다 ㅎㅎ ], 긍정 텍스트 확률 : 69.37%"
"[ 전쓸데도 없는데 옷이 너무나 귀여운데다가 할인폭도 커서 지갑이 열리는중....지인선물로 몇벌 사고 말았어요 ㅎㅎ요즘엔 귀여운디자인이 어찌나 많이 나오는지귀여운 아가들의 옷을 구경하는데만 시간을 한참 보냈네요], 긍정 텍스트 확률 : 70.65%"
"[ 출산춘비물과 유아의류 전문업체인 에프랑베이비옷두 옷이지만 귀여운 짱구베게와 보송보송한 이불도 눈에 들어오는게 많더라구요아가들 옷 뿐아니라 임부복과 수유복도 입점해 있습니다.예쁜 임부복으로 스타일리시한 엄마가 되어보자구요 ㅎ좋은 소재는 기본입니다], 긍정 텍스트 확률 : 85.52%"
