"[심플하게 잘 디자인된거 같습니다.년전쯤 유행하던 완자도어 스타일인데], 긍정 텍스트 확률 : 63.46%"
"[ 영림에서도 매년새로운 모델이 나오는걸보면 다시 완자문으로 유행이 돌아올려는건가하는 생각이 듭니다.], 긍정 텍스트 확률 : 89.94%"
"[ 영림중문시공 검색...문자나 전화주시면.빠르고 친절한 답변 드리겠습니다..인스타그램. .... ], 긍정 텍스트 확률 : 58.42%"
"[ 거실중문시공], 긍정 텍스트 확률 : 67.40%"
"[ 초슬림중문도어시공], 긍정 텍스트 확률 : 66.77%"
"[ 아파트중문시공.갈현동 구산동 구파발동 녹번동 대조동 불광동 수색동 신사동 역촌동 응암동 증산동 진관내동 진관외동.서대문구 영림현관중문시공], 긍정 텍스트 확률 : 52.54%"
"[ 거실중문시공], 긍정 텍스트 확률 : 67.40%"
"[ 초슬림중문도어시공], 긍정 텍스트 확률 : 66.77%"
"[ 아파트중문시공.남가좌동 냉천동 대신동 대현동 미근동 봉원동 북가좌동 북아현동 신촌동 연희동 영천동 옥천동 창천동 천연동 충정로 합동 현저동 홍은동 홍제동.종로구 영림현관중문시공], 긍정 텍스트 확률 : 53.19%"
"[ 거실중문시공], 긍정 텍스트 확률 : 67.40%"
"[ 초슬림중문도어시공], 긍정 텍스트 확률 : 66.77%"
"[ 거실중문시공], 긍정 텍스트 확률 : 67.40%"
"[ 초슬림중문도어시공], 긍정 텍스트 확률 : 66.77%"
"[ 아파트중문시공.도봉동 방학동 쌍문동 창동..강북구 영림현관중문시공], 긍정 텍스트 확률 : 63.55%"
"[ 거실중문시공], 긍정 텍스트 확률 : 67.40%"
"[ 초슬림중문도어시공], 긍정 텍스트 확률 : 66.77%"
"[ 아파트중문시공.번동 미아동 수유동 우이동..성북구 영림현관중문시공], 긍정 텍스트 확률 : 63.55%"
"[ 거실중문시공], 긍정 텍스트 확률 : 67.40%"
"[ 초슬림중문도어시공], 긍정 텍스트 확률 : 66.77%"
"[ 아파트중문시공.길음동 돈암동 동선동 동소문동 보문동 삼선동 상월곡동 석관동 성북동 안암동 장위동 정릉동 종암동 하월곡동.동대문구 영림현관중문시공], 긍정 텍스트 확률 : 52.54%"
"[ 거실중문시공], 긍정 텍스트 확률 : 67.40%"
