"[.안녕하세요. 메바입니다..어느덧 날씨가 아침저녁으로 제법 선선해졌네요..이제는 자고 일어나면 저도 깨비도 팔 다리가 차갑더라고요...깨비는 지금 여름기저귀를 사용 중인데요], 긍정 텍스트 확률 : 84.04%"
"[ ..오로라 스킨핏 팬티 기저귀는 미국를 통과하였으며], 긍정 텍스트 확률 : 54.07%"
"[ ..저는 처음에 택배를 받아보고 뭔가 싶었어요. 패키지가 너무 예뻐서요 깨비가 기존에 사용하던 기저귀는 클래식한 느낌으로 아기가 엄마품에 안겨서 환하게 웃는 사진의 포장인데 이런 스웨그가 느껴지는 기저귀라니 놀라웠습니다..깨비도 본인 물건인걸 아는건지 박스를 끌고 돌아다니더라고요.. ], 긍정 텍스트 확률 : 63.39%"
"[ ..오로라 스킨핏 팬티 기저귀는 아기 피부를 닮은 베어스킨 원단을 사용하였다고 합니다. 또한 공기가 가볍게 순환되는원단을 앞 뒤로 사용하여 보송보송한 느낌을 주었다고 합니다. 그리고 역류방지], 긍정 텍스트 확률 : 76.92%"
"[ ..오로라 기저귀를 꺼냈는데 사이즈가 다르게 표기되어있어서 순간 당황했습니다..한개는 미국사이즈표기], 긍정 텍스트 확률 : 59.99%"
"[ ..오로라 기저귀는 패키지 뿐만 아니라 기저귀도 너무 귀엽더라고요. 흑흑. 딸기 사이즈 기저귀라서 곳곳에 딸기가 프린팅 되어있었어요. 너무너무 사랑스러운 기저귀입니다...깨비가 기저귀를 입고 엉덩이를 씰룩거리며 기어다닐걸 상상만 했는데도 인중이 길어지면서 웃음이 나더라고요..귀여운 아기들의 매력을 더더욱 끌어올려줄 기저귀예요.. ], 긍정 텍스트 확률 : 88.82%"
"[ ..오로라 기저귀와 깨비가 원래 입던 기저귀 크기를 비교해봤어요. 무게는 둘 다초반으로 동일한데 크기는 오로라 기저귀가 더 크더라고요. 엉덩이를 전체적으로 감싸주는 크기라서 아기들이 편하게 입을 수 있을 듯 합니다...그리고 제가 오로라기저귀를 처음 만져보고 매우 놀랐던 점은], 긍정 텍스트 확률 : 66.43%"
"[ ..아기 기저귀 팬티형을 선택 할 때 꼭 고려하는 부분 중 하나가 바로 허리밴드인데요], 긍정 텍스트 확률 : 79.81%"
"[정말 부드럽게 아주 쭉쭉 잘 늘어났습니다. 유연하고 편안하게 도 늘어나서 맞춰주는 스트레칭 셔링으로 아기의 체형에 맞게 밀착되는 인체공학적 설계를 적용했다고 해요...밴드 연결선이 밸크로같은걸로 되어있는게 아니어서 입힐 때 편하더라고요. 다만 벗길 때 조금 불편했어요.. ], 긍정 텍스트 확률 : 68.99%"
"[ ..아무래도 봉제되어있는 부분을 손으로 뜯어야하다보니 한손으로는 어렵더라고요. 물론 잘 뜯어지기는 합니다만], 긍정 텍스트 확률 : 95.44%"
"[ ..소변 확인선은 왼쪽 노란색의 상태에서 오른쪽 파란색의 상태로 변합니다...오로라 기저귀는 에코 프렌들리 제품으로 친환경 수성잉크를 사용하였고], 긍정 텍스트 확률 : 52.13%"
