"[ 신생아는 자다가 자신의 팔다리를 움직이고 그것 때문에 깜짝 놀라는데요], 긍정 텍스트 확률 : 89.20%"
"[모로반사라고도 합니다. ...?신생아 의 ...?반사 운동 중의 하나로서 누워 있는 위에서 바람이 불거나], 긍정 텍스트 확률 : 84.81%"
"[주변에 보니 일 이후에도 해주는 경우가 많이 있습니다. 모로반사가 생후 개월 이후에 사라진다고 하니 일 전후가 적당하겠네요. 속싸개를 해줌으로 인해 자다가 깜짝 놀라는 것을 방지하여 깊은 잠을 자게 해주기 때문이죠. 아기가 자라서 그런 증상이 별로 없으면 차차 안 해주면 됩니다.조리원에서도 가끔 팔은 풀어줘서 움직일 수 있게 하고 밤에 재울 때는 속싸개로 꽁꽁 싸매는 것 같더라구요. 저도 집에 와서 팔은 풀어서 파닥거리게 해주고], 긍정 텍스트 확률 : 75.73%"
"[아마 밤에는일까지 계속 해줄 것 같아요.저도 속싸개 몇가지를 사용해봤습니다. 그 후기를 간단히 남겨봅니다. ], 긍정 텍스트 확률 : 84.29%"
"[ 병원과 조리원 속싸개 역시 이런 형태였습니다. 보통 보자기형], 긍정 텍스트 확률 : 91.62%"
"[ 그런데 생후 일이 되어가자], 긍정 텍스트 확률 : 69.36%"
"[움직임이 많아져서 발차기 몇번이면 금방 풀리더라구요...그래서 잘 사용 안하게 되었습니다. ], 긍정 텍스트 확률 : 76.13%"
"[ 그전에 선물 받았다고 포스팅에 쓴 적이 있었는데요. 유트러스라는 속싸개입니다. ], 긍정 텍스트 확률 : 72.43%"
"[ 그런데 일이 넘어가자 꿀빵이가 자다가 이 속싸개도 잘 풀더라구요. 그러면 낑낑거리며 울기 시작하구요.요즘 힘이 세져서 발차기도 어찌나 잘하는지... ㅎㅎ 그래서 이제 유트러스는 낮에만 해주는 편이에요. 노란색이라 사진빨 잘 받아요. ], 긍정 텍스트 확률 : 99.97%"
"[ 위에 있는 기적의 속싸개 유트러스랑 비슷한 느낌이지만 스와들미가 벨크로찍찍이가 있어서 좀 더 꽁꽁 싸맬 수 있어요. 저한테는 이게 더 기적의 속싸개ㅋㅋ그래서 밤에는 주로 이걸 많이 사용했습니다. 기저귀 갈아주느라 속싸개 벗기려고 찍찍이 떼어낼 때 시끄러워서 아기가 놀라서 울며 깨는 경우가 많아 불편한 경우가 있다던데.. 저는 별로 그런 불편함 못 느꼈습니다. 아기가 예민한 아기라면 그럴 수 있을 것 같아요. ], 긍정 텍스트 확률 : 67.76%"
"[ 개인적으로 아기 잘 때는 스와들미 이게 제일 꽁꽁 싸매줘서 편하긴 합니다.다만], 긍정 텍스트 확률 : 84.38%"
"[ 제가 제일 자주 입히는 스와들미 재질이 도톰해서 태열이 잘 생기는 것 같아서 스와들업을 구매해보았습니다. 뱀부 얇은 소재로 만들어진 것도 있고], 긍정 텍스트 확률 : 52.15%"
"[약간 도톰한 재질로 만들어진 것도 있습니다. 스와들업의 큰 특징은 나비잠 자세를 위한 디자인이라는 것과 지퍼가 있다는 점인데요. 지퍼는 위에서도 열리고], 긍정 텍스트 확률 : 80.88%"
"[ 배냇저고리는 기본적으로 소매가 길고 뒤집으면 손싸개가 있는데], 긍정 텍스트 확률 : 57.72%"
"[바디수트는 손싸개를 따로 해야만 하는데 스와들업을 입히면 굳이 손싸개를 안해도 되더라구요. 그래서 얇은 바디수트에 뱀부 스와들업을 종종 입혔습니다. 보일러도 안 틀고 가습기도 트니까 확실히 태열이 가라앉더라구요.그전에 태열이 생길 때는 보일러 자주 틀어서 실내온도가 기본 도였고], 긍정 텍스트 확률 : 68.24%"
"[낮에는 바디수트스와들업 또는 배냇유트러스를 입기도 하고 있어요. 점점 자라나서 곧 속싸개를 졸업할 것을 생각하니 어쩐지 좀 아쉽기도 하네요.그런데 삐뽀삐뽀 책을 보니 아기를 너무 오래 꽁꽁 싸매면 안 좋대요. 손싸개도 자꾸 하면 아기가 손빠는 행동이 세상탐구하고 발달해나가는 과정인데... 그래서 일이 넘고 나서는 밤에 잘 때도 팔은 풀어주고 다리만 싸매줄 때도 많이 있어요. 팔 파닥거리고 놀라 흐엥 하다가도 다시 잠들 때도 많네요. ], 긍정 텍스트 확률 : 84.66%"
"[ 일단 오늘 포스팅은 여기까지로 끝...또 육아일기인가 상품 후기인가 헷갈리네는 포스팅이네요 ㅎㅎ아], 긍정 텍스트 확률 : 75.20%"
"[그리고 크라잉베베였다. 이들이 제공하는 사은품은 대부분 비슷했다. 오가닉종세트로 칭해지는 신생아 옷이나 아기욕조], 긍정 텍스트 확률 : 66.14%"
"[역류방지쿠션 등 말이다. 그 중에 기저귀 휴지통이 매우 끌렸으나 언니가 필요없다고 했고 아기욕조], 긍정 텍스트 확률 : 94.98%"
"[크라잉 베베를 통해 롯데카드를 신청했다. 당시 삼성카드보단 롯데카드가 우리에겐 유용해보였다 여기서 잠깐 주의해야할 것은 사은품을 받을 수 있는 카드 발급 조건이 있다는 것. 일단은 최초 혹은해당 카드사 카드 유효기간이 만기됐거나 전체 탈회해 개월 이상이 지난 후 재발급하는 조건이었다. 또한 어느정도의 신용이 보장되어야 하는 것 같다.나에게 이 부분을 조회 후 카드를 발급해 주겠다고 했다 □ 사은품을 받을 수 있는 카드 발급 조건], 긍정 텍스트 확률 : 55.00%"
"[ □ 롯데 국민행복카드 신청하는 곳 ....?....? ], 긍정 텍스트 확률 : 83.23%"
"[ 이때 주의해야할 사항. 꿀팁 카드 사용을 하려면 먼저 보건소에가서임산부 등록 을 해야한다.임산부 수첩 필수 더불어 내원하는 산부인과에서 임신확인증을 국민건강보험공단에 등록 을 해줘야만 한다.나는 이 부분을 몰라서 지금까지도 사용을 못하고 있다.산부인과에서 무슨일인지 등록을 안 해줬었음..산부인과에서 임신확인증 등록을 한 후], 긍정 텍스트 확률 : 86.31%"
"[일단 무게부터 무거운 택배 상자를 열면 이렇게 예쁜 분홍색 박스가 등장을 한다 자세한 구성품 사진은 다음과 같다. ], 긍정 텍스트 확률 : 52.96%"
"[ 타 출산축하박스와는 달리본품이 종 이상 이라는 것부터 매우 마음에 들었다.보통 샘플만 넣어주고 땡인 다른 임신박스와는 차원이 다른 풍족함이랄까.그리고신생아를 위한 용품부터 산모를 위한 용품까지다양하게 들어있어서 더 좋은 것 같음 아직 아가를 낳지 않아서 그런지 실제로 바로 사용 해볼만한 것이 없어 일단 다시 잘 포장해 두었는데], 긍정 텍스트 확률 : 90.37%"
"[ 내가 보고도 뭔지 몰랐던 시크릿 선물인유트러스 랩 에 대해 설명을 덧붙이고 후기를 끝낼까 한다. ], 긍정 텍스트 확률 : 52.41%"
"[아기띠가 탄력성이 좋아서 목을 가눌 수 없는 신생아도 안정적으로 잘 안을 수 있는 것 같고], 긍정 텍스트 확률 : 56.90%"
"[나중에 기쁨이 낳으면 꼭 사용해봐야겠다아직 크베 맘박스 신청하지 않은 분 계시면 꼭 신청해보시기를 추천한다 그럼 단체 떼샷을 마지막으로 크베 맘박스 후기를 마친다. ], 긍정 텍스트 확률 : 95.44%"
"[ ....회 표준으로 세탁후 건조대에 널기 시작함.부피가 작아서 그런지 너는데 .꽤나 귀찮음 ㅋㅋㅋㅋㅋㅋㅋ... ], 긍정 텍스트 확률 : 57.05%"
"[ ....밤부베베 대나무 소재가 부드러워서 엄마들이 많이 선호하지만 단점이 워낙 먼지가 많이 나온다고.해서 긴장했는데 천기저귀만 장이라 그런가?.요정도 먼지 바닥에 떨어져 있었다 ....손수건도 밤부베베꺼였음 난리 나긴 했을듯....... ], 긍정 텍스트 확률 : 50.90%"
"[ ....건조기 사용은 금지라고 하니 자연건조 시키고.다음날 다시 찬물로 세탁함.회 하라고 하니 하지만 귀찮긴 하다 ㅜㅜ.하지만 우리 하양이 몸에 입안에 닿을꺼 생각하면.신경 쓰일수 밖에 없는 엄마 맴..........이렇게세탁건조를번 반복하니 일 걸리더군... ], 긍정 텍스트 확률 : 94.18%"
"[ ....왼쪽은 내가 접은거 오른쪽은 오빠가 접은거.근데 지금 생각해보면 그냥 네모접기 하면 되지.나도 왜 돌돌돌 말았는지 모르겠어 ㅋㅋㅋㅋㅋ.건조기 돌린후보다 나중에 더 쭈글해져 있을듯.푸하하하하하하.. ], 긍정 텍스트 확률 : 78.14%"
"[ ....도노도노 블랭킷도 빨아야 하고 ㅎㅎㅎㅎ... ], 긍정 텍스트 확률 : 81.94%"
"[ ....유니클로에서 사온 매쉬 바디슈트도 빨아야 함.월 일 출산 예정일이라 반팔 세트.나시 세트 사이즈로 구매했다....핑크는 온니 엄마 취향 ㅎㅎㅎㅎㅎ.아들이지만 어릴때 많이 입히지 언제 입히냐며... ], 긍정 텍스트 확률 : 89.43%"
"[.크베맘박스 당첨을 위해 몇번을 시도했는지 ㅠㅠ.조리원에서야 드디어 당첨 소식을 들었다.역시 조리원에서 당첨 확률이 더 높긴 높군..ㅎ.퇴소 후 집에서 맞이한 크베맘박스♡♡...두둥 두둥 ], 긍정 텍스트 확률 : 99.57%"
"[ .갠적으로 좋아하는 케이맘 제품들♡♡ ], 긍정 텍스트 확률 : 89.92%"
"[ .말랑말랑 블럭.아기들 가지고 놀기 딱 좋은 사이즈와 촉감.큰 애가 더 좋아해요ㅋ ], 긍정 텍스트 확률 : 70.65%"
