"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[세트이웃신청하시면 새글알림으로 많은 정보를 얻어가실 수 있습니다해당 제품의 정보는 제품 게시자에 의해 수정], 긍정 텍스트 확률 : 81.72%"
"[변경될 수 있습니다 ], 긍정 텍스트 확률 : 67.58%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매입언제나 서로이웃 확인하면서 받고 있으니 편하게 걸어주세요발행중인 포스팅 정보는 시간이 지남에 따라 변동될 수 있습니다 ], 긍정 텍스트 확률 : 69.71%"
"[ 원하단 상자를 클릭하시면 공식 사이트로 이동됩니다 ], 긍정 텍스트 확률 : 59.24%"
"[세탁은 미지근한물에 중성세제를 사용하는것을 권장합니다. 탈수는 약하게 해주세요. 건조기 사용보다는], 긍정 텍스트 확률 : 66.01%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[개입블로그 이웃신청으로 많은 핫딜], 긍정 텍스트 확률 : 58.41%"
"[특가정보를 얻어가실 수 있습니다제품 정보는 상시 변동될 수 있으니 구매 전 재차 확인바랍니다 ], 긍정 텍스트 확률 : 80.82%"
"[ 세일정보기저귀 ], 긍정 텍스트 확률 : 61.39%"
"[확인하신 제품 정보는 쿠팡 물품으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 61.89%"
"[★★★★배송도 빠르고 디자인도 예뻐서넘나 만족하며 사용하고 있어요.... . ], 긍정 텍스트 확률 : 86.95%"
"[해당 글은 제휴 파트너 광고로 일정 커미션 지급을 받을 수 있습니다. ], 긍정 텍스트 확률 : 71.72%"
"[개입 기저귀 💖 세일💖 ], 긍정 텍스트 확률 : 58.40%"
"[세일 기저귀 더마더 사각 천기저귀 구름 대형], 긍정 텍스트 확률 : 57.05%"
"[개입세일정보 ], 긍정 텍스트 확률 : 61.39%"
"[ 할인중 현재가격], 긍정 텍스트 확률 : 67.40%"
"[찾으신 제품 정보는 쿠팡 품목으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 69.30%"
"[보고 계시는 이 글은 제휴마케팅이 포함되며 광고로 일정 커미션을 지급받을 수 있습니다. ], 긍정 텍스트 확률 : 74.44%"
"[ 금액은 글작성 당시 가격입니다. 꼭 다시한번 확인해주세요 ], 긍정 텍스트 확률 : 86.06%"
"[ 현제 할인율할인 ], 긍정 텍스트 확률 : 57.16%"
"[ 크기도 크고 포장상태 정말 꼼꼼하네요 출산준비물로 샀는데 잘산 것 같습니다. 목욕타올이랑 속싸개용도로 쓰려고 구매했어요 디자인 너무 귀엽고 마감 잘되어있습니다. 공장실밥이 있는건 세탁 한 번 하면 깔끔하게 정리될 것 같네요 저렴하게 잘 샀습니다. ], 긍정 텍스트 확률 : 91.06%"
"[ 좋아요 마감처리도 그렇고 패턴도 귀엽고 오자마자 바로 세탁했어요 두번 ], 긍정 텍스트 확률 : 98.42%"
"[디자인이 여러가지라 좋아요 얇아서 여름에 쓰기 좋음 ], 긍정 텍스트 확률 : 76.11%"
"[ 금액은 글작성 당시 가격입니다.구매전 꼭다시한번 확인해주세요 ], 긍정 텍스트 확률 : 83.52%"
"[ 본 블로그의 모든 상품은공식 홈페이지를 통해 진행 되는 안전한 제품입니다. ], 긍정 텍스트 확률 : 67.93%"
"[.쿠팡에서 상품후기 보기 본 포스팅은 년 월 일에 작성되었습니다. ], 긍정 텍스트 확률 : 50.47%"
"[ 이 포스팅은 쿠팡 파트너스 활동의 일환으로], 긍정 텍스트 확률 : 50.43%"
"[이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[ 찬스오아이비 대나무 엠보 특대형 천기저귀 대박 ], 긍정 텍스트 확률 : 92.67%"
"[오아이비 대나무 엠보 특대형 천기저귀 ], 긍정 텍스트 확률 : 53.30%"
"[면에 비해 많이 부드러워서 좋아요. 다용도로 필요하다 해서 출산전에 사뒀는데 진짜 유용하게 잘 쓰고 있어요. 저는 아기 잘때 속싸개용으로 제일 많이 사용했어요. 아기가 열이 많아서 일반 속싸개보다 얇아서 좋더라구요 그리고 다용도로 집에서 덮어주고], 긍정 텍스트 확률 : 92.10%"
"[애기 목욕하고 나올때 덮고 방까지 갈때쓰려고 샀어요 물이 잘 흡수되고 빨래할때 잘마르고 크고 해서 아주 좋아요 우리 아이 가 커서 쭉 감싸니까 추워하지도 않고 좋아요 둘째까지도 유용하게 쓰겠네요 여름에 배덮게해도 좋을것같아요 ], 긍정 텍스트 확률 : 93.97%"
"[매우 좋네요 겨울아기인데 베개용으로 말아서 쓰기도하고 목욕수건으로 쓰고있어요 크고 흡수력도 좋고 빨래하면 잘마르니 좋습니다아기목욕타올 대신으로 사용하려고 천기저귀를 구매했습니다. 뜯어보니 냄새가 좀 나서], 긍정 텍스트 확률 : 85.47%"
"[ 이 포스팅은 쿠팡 파트너스활동의 일환으로], 긍정 텍스트 확률 : 50.43%"
"[이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[할인하고 있습니다. ], 긍정 텍스트 확률 : 61.09%"
"[상품의 가격정보는 변경될 수 있습니다 ], 긍정 텍스트 확률 : 75.12%"
"[★지구 초특가 가격 지금이 기회★ ], 긍정 텍스트 확률 : 67.49%"
"[ ..? ❤지금 바로 구매하기 클릭❤ ], 긍정 텍스트 확률 : 76.12%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[세트이웃신청하시면 새글알림으로 많은 정보를 얻어가실 수 있습니다해당 제품의 정보는 제품 게시자에 의해 수정], 긍정 텍스트 확률 : 81.72%"
"[변경될 수 있습니다 ], 긍정 텍스트 확률 : 67.58%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매입언제나 서로이웃 확인하면서 받고 있으니 편하게 걸어주세요발행중인 포스팅 정보는 시간이 지남에 따라 변동될 수 있습니다 ], 긍정 텍스트 확률 : 69.71%"
"[ 원하단 상자를 클릭하시면 공식 사이트로 이동됩니다 ], 긍정 텍스트 확률 : 59.24%"
"[세탁은 미지근한물에 중성세제를 사용하는것을 권장합니다. 탈수는 약하게 해주세요. 건조기 사용보다는], 긍정 텍스트 확률 : 66.01%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[개입블로그 이웃신청으로 많은 핫딜], 긍정 텍스트 확률 : 58.41%"
"[특가정보를 얻어가실 수 있습니다제품 정보는 상시 변동될 수 있으니 구매 전 재차 확인바랍니다 ], 긍정 텍스트 확률 : 80.82%"
"[ 세일정보기저귀 ], 긍정 텍스트 확률 : 61.39%"
"[확인하신 제품 정보는 쿠팡 물품으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 61.89%"
