"[.우리❤ ], 긍정 텍스트 확률 : 62.63%"
"[ .육아하다보니 기저귀는 아직 남아있는데도 왜케 조바심나고 더 쟁여놔야할 것 같고ㅋㅋㅋ또 이것저것 써보고 싶은걸까요ㅋㅋㅋ정착하고 이거 정말 좋다 생각하고 쓰는 기저귀가 몇가지있어서 쟁여놨지만그래도 또 새로운 기저귀를 써봅니다. ], 긍정 텍스트 확률 : 96.57%"
"[ 마더케이는 임신했을 때 임신무료선물박스를 통해서 알게됐는데그 뒤로 맘에 들어서 수유패드는 마더케이만 쓰고 있고욕조클리너젖병솔젖병집게 등 잘 쓰고 있어요 ], 긍정 텍스트 확률 : 84.84%"
"[ 수유패드를 다 써서 재구매하려구홈피갔다가 기저귀구경을 하다보니 ], 긍정 텍스트 확률 : 50.61%"
"[ 밴드형팬티형그리고 사이즈도 모두 선택가능해요 사이즈가 넉넉하게 나와서 좋더라구요.선착순 신청이다보니 원하는 타입과 사이즈가 있으면얼른 선택해서 신청하는게 좋아요.인기많은 사이즈는 금방 품절되더라구요 저는 우리가 개월 이라 팬티형 라지로 주문했어요. ], 긍정 텍스트 확률 : 91.39%"
"[ 주문하고 이틀만에 택배도착❤라 샘플치곤 꽤 넉넉한 양이고택배박스에 깔끔하게 포장오니까 좋더라구요.기저귀종류를 많이 써본 편인데마더케이 기저귀는 첨이였고 평도 좋은터라 기대감 상승 ], 긍정 텍스트 확률 : 85.22%"
"[ 센스있는 씩 낱개포장되어서 개의 봉지포장으로 되어있어요.외출하거나 여행갈 때 가지가면 위생적일 것 같아요. ], 긍정 텍스트 확률 : 76.05%"
"[ 마더케이 기저귀는 귀여운 캐릭터가 있는데요.아기들의 시각을 즐겁게 발고 발달에 도움을 준다하네요사실 처음에 마더케이 기저귀 가격을 몰랐는데나중에 보니 장당 원정도 하더라구요.할인받으면 조금 더 싸지긴했지만그래도 저렴한 기저귀는 아니였어요.그래서 사용하기전에 기대되더라구요. ], 긍정 텍스트 확률 : 77.09%"
"[ 샘플이라도 생산일자는 정확하게잘보이는 앞에 적어놨어요.년월일에 생산된 기저귀라 좋았어요. ], 긍정 텍스트 확률 : 59.79%"
"[ 흡수력도 좋고통기성도 좋고 부드러운 원단에 편안한 착용감까지가지고 있다는 마더케이 팬티기저귀 우리는 소변량이 많다보니 흡수력이 특히 중요한데흡수력이 좋다하니 또 기대 ], 긍정 텍스트 확률 : 99.94%"
"[ 기저귀 안쪽은 엠보싱처리가 잘되어있고만져보니 부드러웠어요.흡수력은 확실히 좋긴하더라구요.그리고 우리가 쉬하고나서 기저귀 만져봐도덜 뭉쳤구요.낮기저귀로 하기엔 흡수력이 좋아서 한두번 소변보고 버리긴 아까운데우리는 밤잠을 시간정도자서 밤기저귀로 쓰기엔 또 조금 아쉬운 정도?그래서 저는 외출할 때 쓰고 있어요.확실히 외출해서 수시로 기저귀 확인하고 갈아주기 힘들 때 쓰니까 좋더라구요], 긍정 텍스트 확률 : 50.05%"
"[ 여긴 허리밴드부분이에요.우리는 갤에 ...네...뚠뚠해요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ특히 꿀벅지라 더욱더 기저귀 고르고 팬티형 입히기도 힘든데 밴드가 부드럽게 잘 늘어나요자국도 안남는 편이구요. ], 긍정 텍스트 확률 : 65.78%"
"[지금까지도 잘 써오고있다.. ], 긍정 텍스트 확률 : 78.80%"
"[외국브랜드 기저귀를 구매할 때 사이즈에 난항을 겪는 아기엄마들이 많다..국산브랜드는 권장 무게에 우리아가 무게와 맞게 신청하면 되는데], 긍정 텍스트 확률 : 69.56%"
"[우리아기가 라면.수입기저귀의 적용무게는 으로 보면 된다..예를들어.. 권장무게 . 권장무게 ..여기서 키로인 우리아기는 단계를 고르는게 아닌], 긍정 텍스트 확률 : 83.96%"
"[ .외국 기준으로 키로로 보고 단계를 고르면 된다...만약 키로면사이니까 스텝을 고르게 되면 대부분은 기저귀가 작을 것이다. 특히나 허벅지가 통통한 아가는 굉장히 조이고], 긍정 텍스트 확률 : 86.76%"
"[ ..절취선으로 뜯어야지 다른 곳으로 뜯으면 손가락 노래져요 .오픈했을 때 느낌점 두가지는... 안부드럽네???.. 진짜 얇다.. 파우더향 너무 좋은데?..친환경 기저귀는 다소 꺼끌꺼끌한 재질이 있긴한데], 긍정 텍스트 확률 : 93.56%"
"[팸퍼스 베이비드라이가 워낙 부들부들 해서 스와들러도 보드라울 꺼라고 상각했는데 생각보다 너무 뻣뻣해서 놀랐다. ㅠ..업그레이드가 제품 단계에서만 적용이 되어서 그런걸까? . ], 긍정 텍스트 확률 : 50.72%"
"[ ..지금까지 써본 기저귀 중 가장 얇은 것 같다. .친정엄마께서 한샘에서 저 정리 트레이를 많이 사주셨는데], 긍정 텍스트 확률 : 73.94%"
"[냉장고에 수납도 정리하고 기저귀정리함으로도 활용중이다. 워낙 얇아서 여러장이 들어가진다 ..신생아때는 세제뿐 아니라 기저귀도 무향을 고집했다..향이 좋아요 라는 기준은 순전히 어른의 입장이다..그런데 요즘에는], 긍정 텍스트 확률 : 52.05%"
"[만약 미리 긁힌 후 기저귀를 채웠다면 채울 때 못 볼리는 절대 없지만 기저귀에 피가 저리 묻어나오지 않았을꺼라 생각한다..냉정하게 당장 방으로 달려가 베이비드라이 기저귀를 들고와서 비교해봤다. . ], 긍정 텍스트 확률 : 66.99%"
"[ .뒤에 손가락이 잘 비치는 얇은 베이비드라이와 달리.뒤에 손가락 살색이 거의 비치지 않는 스와들러..허벅지 밴드 부분을 비비는 소리를 비교해보면], 긍정 텍스트 확률 : 65.40%"
"[ .베이비드라이는 마찰 소리가 크지 않는 반면.스와들러는 소리가 거칠다. 재질이 거치니까...사진은 찍어뒀지만 아기 소중이를 피해 찍기가 어려워 업로드는 안한다만], 긍정 텍스트 확률 : 50.31%"
"[너무 화가났었다...여태 종이에 베일까봐 책읽어 주고 보관할때도 아가 손에 안닿게 조심조심 하며 주의를 기울였는데], 긍정 텍스트 확률 : 72.66%"
"[ .책도 아닌 아기가 입는 기저귀에 긁혀 피가나다니 ...ㅠㅠ..팸퍼스베이비드라이는 굳], 긍정 텍스트 확률 : 72.03%"
"[팸퍼스 기저귀의 최고 장점 같다.. .?밤기저귀밤기저귀 로 저명한 팸퍼스의 명성을 보여주듯], 긍정 텍스트 확률 : 85.96%"
"[ .스와들러도 베이비드라이도 밤잠 중간에 새면 어쩌지? 푹 자고 다음날 아침에 갈아주면 된다...직접 구매한 상품이던], 긍정 텍스트 확률 : 62.19%"
"[선물받은 제품이던], 긍정 텍스트 확률 : 50.43%"
"[그리고 그 경험을 바탕으로 솔직한 느낌점과 발견한 장단점 및 활용팁 등의 후기를 공유하는게 중요하다고 생각한다...개인적으로는], 긍정 텍스트 확률 : 59.58%"
"[팸퍼스는 베이비드라이가 우리아기와 잘 맞는 것 같아 추천한다...로부터 팸퍼스 스와들러를 제공받아 사용 후 작성한 솔직한 후기입니다.. ], 긍정 텍스트 확률 : 54.39%"
