"[써보고 싶은 기저귀들이 많은데ㅎㅎㅎㅎ.혹시 써보고 괜찮았던 기저귀 있으면 알려주세요 ], 긍정 텍스트 확률 : 63.59%"
"[ .앙블랑에서 새로 출시한 킵프렌즈 기저귀.체험단으로 써봤는데 꽤 괜찮아서 단계는 킵프렌즈로 쟁여놨다..무엇보다 특가 이벤트를 놓칠 수 없었쥬ㅋㅋ.박스라 꽤 오래 쓸 것 같긴 한데ㅎㅎㅎ.단계는 허리 둘레가 좀 넉넉했으면 하는 바람이... 아직 개시 전 ], 긍정 텍스트 확률 : 90.81%"
"[채우기는 꽤 쉽지만 앞뒤 전체 길이가 조금 짧은 느낌이었다. ], 긍정 텍스트 확률 : 89.52%"
"[주문한 단계 기저귀 출고가 조금 늦는다고 해서.혹시 그 사이에 기저귀가 모자랄까봐 구매한 케이맘 기저귀.또 새로운 걸 한 번 써보고 싶었달까.무늬가 두 가지인데 여태 쓴 기저귀 중 제일 화려하다..생각보다 소변줄도 진해서 확인도 쉽다..기분탓인지 모르겠는데 기저귀 특유의 냄새가 아주 살짝 나서.응가 냄새와 섞이니 한번 더 킁킁.. 하게 되는 것 같다..여태 다른 기저귀는 안 그랬던 것 같은데ㅋㅋㅋ.추가 밤새 싸도 넘치지 않는 기저귀는 처음인 듯... 밤기저귀로 픽ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 92.02%"
"[ .이것도 체험단으로 받아서 쓰고 있는데.개인적으로는 제일 맘에 든다ㅋㅋㅋ.솔직히 디자인은 쏘쏘], 긍정 텍스트 확률 : 95.76%"
"[그 때 만나게 된 기저귀가 케이맘 처음기저귀에요..그 뒤로 케이맘으로 정착했네엽.아참 케이맘은 마더케이의 세컨브랜드로 육아용품을 만드는 회사래요. ], 긍정 텍스트 확률 : 99.76%"
"[ .수아는 현재 키로가 조금 넘어서 미디움과 라지를 둘 다 쓸 수 있어여 근데 아직 라지는 커서 나중에 쓰려고 미리 사두었네요..사진처럼 케이맘 기저귀는 앞뒤 그림 색상이 달라여 ㅋㅋㅋ 포장에 있는 그림도 너무 귀여운💕 ], 긍정 텍스트 확률 : 61.89%"
"[라지 개입 이에요 .미디움 사이즈는까지], 긍정 텍스트 확률 : 92.30%"
"[ 라지 사이즈는까지 권장 몸무게에요..포장된 기저귀 한팩 한팩마다 위에 손잡이가 있어요 그래서 여행강 때 한팩씩 챙겨가기 좋아요실제로 전 여행다닐때 케이맘 기저귀를 여유있게 챙기는데 한 팩 딱 들고 가기 좋았어요 ㅋㅋ ], 긍정 텍스트 확률 : 99.15%"
"[ .손잡이는 손으로 똑 떼면 중간 사진처럼 분리가 되고요 오른쪽 사진처럼 들고 다니기 좋아요. ], 긍정 텍스트 확률 : 72.50%"
"[ 은 보라색과 하마 ], 긍정 텍스트 확률 : 72.10%"
"[ .사이즈별로 색상과 캐릭터가 다르니까 너무 귀여워여 ㅋㅋㅋ.... ], 긍정 텍스트 확률 : 66.04%"
"[ .케이맘 처음 기저귀는.✔️ 부드러움과 통기성을 위해 최고등급원료를 사용.✔️ 프리미엄 원단 중 흡수 시스템.✔️ 특수 공법으로 만들어진흡수패널의 순간 흡수력.✔️ 순면 감촉원단 사용..이렇게 부드러움을 놓치지 않은 슬림핏 기저귀랍니다 ], 긍정 텍스트 확률 : 97.15%"
"[ .밴드 기저귀는 허리부분이 중요한 것 같아요..밴드부분이 아기에게 불편할 수 있어서요.케이맘 처음기저귀 밴드라인은 넓어진 허리밴드 로 아기 허리를 더욱 편하게 감싸주어요.. ], 긍정 텍스트 확률 : 54.32%"
"[ .커피 를 부어 봤어요 흡수되는게 눈으로 보이네여ㅋㅋ 이렇게나 많이 부었는데 기저귀도 뭉치지 않고 겉면 축축함도 적었어요..예전에 케이맘 만나기 전에 밴드기저귀 채우고 밤잠 재웠는데.. 아침에 옷과 이불이 젖어있어던 적이 한두번이 아니였다는... ... ], 긍정 텍스트 확률 : 92.32%"
"[ .먼저 줄무니 디자인으로 입혀봤어요 ㅋㅋ.앞모습], 긍정 텍스트 확률 : 61.00%"
"[옆모습이에요 ], 긍정 텍스트 확률 : 95.06%"
"[ .요렇게 기어다니거나.점프를 할 때도 밴드지만 잘 쓸리지 않네요 ㅋㅋ... ], 긍정 텍스트 확률 : 53.08%"
"[ .이번엔 팬티기저귀에요.마더케이 처음기저귀팬티라인은 .까지있어요. . ], 긍정 텍스트 확률 : 58.24%"
"[ .왼쪽 사진은 라지사이즈 팬티기저귀오른쪽 사진은 밴드와 팬티를 같이 잡아본 사진이에요..팬티기저귀의 두께도 많이 차이나지 않는것 같아요... ], 긍정 텍스트 확률 : 73.58%"
"[ .허리밴딩과 함께 다리부분도 밴딩이 탄성이 좋아요 ㅋㅋ ], 긍정 텍스트 확률 : 85.21%"
"[ .그래서움직임이 활발한우리 뚜아같은 아가가 입어도샘걱정이 없어요ㅋㅋ.. ], 긍정 텍스트 확률 : 51.27%"
"[엠보홀의 통기 시스템 으로 아가의 쉬야가엠보홀 사이로 흡수되어 오물과 닿는 피부 면적을 줄여 피부 자극을 최소화했다고 해요...저는 활동이 많은 낮에도 팬티기저귀를 많이 사용하지만 특히 밤에 팬티기저귀를 입혀요 .밤기저귀로는 케이맘 처음 팬티기저귀를 고정으로 사용하는데 몇달째 사용하는데 샌적이 없어요], 긍정 텍스트 확률 : 90.90%"
"[ .다리를 자유자재로 움직여도 잘 새지 않아서 좋아요 ], 긍정 텍스트 확률 : 66.86%"
"[ .섹쉬한 뚜아 뒷태 ㅋㅋㅋ ], 긍정 텍스트 확률 : 60.14%"
"[ .착용했을 때 허리밴딩으로 잘 잡아줘여ㅋ 그리고 앞부분 팬티기저귀는 배꼽부분까지 잘 잡아당겨 입해주는 것이 올바른 착용법이에요. ], 긍정 텍스트 확률 : 77.22%"
"[ .이렇게 활동력이 많아지면 팬티기저귀가 편하긴 해요 ㅋㅋㅋ 수아가 처음 혼자 잡고 서는 순간부터 걸음바 보조기를 끌면서 걷고.. 쇼파에 오르고ㅋㅋ .케이맘 처음 팬티기저귀와 함께 해왔네요 ㅋㅋ.. ], 긍정 텍스트 확률 : 98.26%"
"[ ...마지막으로 기저귀들과 뚜아의 사진으로 마칠게요 ㅋㅋ ], 긍정 텍스트 확률 : 73.47%"
"[ ..이 포스팅은 마더케이의 공식서포터즈 슈퍼마더케이 기로 활동을 지원받아 실사용 후 엄마의 마음을 담아 솔직하게 작성되었습니다. ], 긍정 텍스트 확률 : 92.12%"
"[마더케이에서 사용해보고 싶었던 제품들을 잔뜩 주문해 받아보았어요], 긍정 텍스트 확률 : 50.83%"
"[ 저희 아가는 이제인 개월남아 에요.아직 뒤집기를 하지 않아서 밴드기저귀가 편해서부터 사용가능한 사이즈의 케이맘 밴드기저귀를 주문했답니다 ], 긍정 텍스트 확률 : 76.96%"
"[ 케이맘 밴드기저귀하면 우선 귀여운 캐릭터 ㅋ.ㅋ중형 미디움사이즈는 귀여운 하마가 그려져 있어요저는 스몰 여우랑 미디움 하마를 사용해봤었는데더 큰 라지는 물개네요 다 구염구염 ㅎㅎ ], 긍정 텍스트 확률 : 93.26%"
"[ 저희 아가 같은 경우에는 먹으면 배가 되게 똥똥해지고.. 배고프면 배가 홀쭉해지는먹성 좋은 아가라 ㅋㅋ이렇게 신축성 있는 허리밴딩 기저귀가 좋더라구요 안그럼 배 나온 정도에 따라 등이나 골반 위쪽으로 오줌이 새서 ㅠ.ㅠ대표적으로 군기저귀가 그랬어요 ㅎㅎ 가성비 좋고 얇아서 좋긴한데], 긍정 텍스트 확률 : 92.61%"
"[ 터미타임과 뒤집기 연습중인 활동적인 아기에게 넉넉하면서도 오줌 샘 없는 기저귀는 최고죠 ㅋ.ㅋ ], 긍정 텍스트 확률 : 98.05%"
"[ 저희 아기가 처음 조리원에서 집에와서 하기스 네이처메이드 기저귀를 쓰는데 저 밴드 스티커부분에 허벅지가 몇번 베이더라구요 ㅠㅠ아기들이 허벅지를 움직이면서 저 밴드 스티커 부분이 날카로우니까 많이들 베이는 것 같아요저 부분이 넉넉하게 천 처리되어 있어서 골반부분 오줌샘도 없고], 긍정 텍스트 확률 : 92.08%"
"[ 이렇게 생후개월 아기가 만족하며 잘 쓰고 있는 케이맘 밴드기저귀 후기를 마칠게요광고성이 아닌], 긍정 텍스트 확률 : 57.84%"
"[먼저 마더케이 홈페이지에서배송비만 내고 샘플팩을 이용해서 사용해보시고 결정 하세요우리 아가들의 피부는 정말정말 소중하니까요 발진나거나 베이거나 땀띠생기면 애미 맴찢.. ], 긍정 텍스트 확률 : 54.15%"
"[ 다른 분들이 엄청 고민하길래같이 덩달아 고민했었다능다행히 저희 아가는 무슨 기저귀를 써도발진은 안일어나는 것 같더라구요발진유무는 빼고 적는 개인적인 기저귀비교 후기 ], 긍정 텍스트 확률 : 63.07%"
"[거의 정사이즈인듯 싶고실제로는까지 무난하게 사용할 수 있을듯 해요저희 아가 일 쯔음에 .였고지금 대략 . 정도 예상되는데 딱 정사이즈 느낌아기가 꿀벅지는 아닌듯 싶음. ㅋㅋㅋㅋ그나저나 많이 컸다. 처음 사용했을 땐기저귀가 너무 커서 달랑?거리는 느낌이었는데 ㅋㅋ지금은 이쁘게 딱 맞아 ], 긍정 텍스트 확률 : 59.22%"
"[ 라고 생각하며 다음으로 구매해 본베피스 엑스트라 드라이팩 매입 팩 ], 긍정 텍스트 확률 : 82.50%"
"[ 오늘의 마지막], 긍정 텍스트 확률 : 86.48%"
"[ 국산브랜드라 더욱 맘에 들었어요.그리고 디자인도 넘 아기자기한게 귀엽고 이뻐기저귀가 그렇게 저렴한 편은 아니던데], 긍정 텍스트 확률 : 85.42%"
"[ 원에 가끔 뜹니다. ㅋㅋㅋ사이즈는 장당 원 꼴소량 들은거 있고], 긍정 텍스트 확률 : 63.43%"
"[ 디자인이 두가지임. 넘나 귀여워 ㅠㅠㅠㅠㅠㅠㅠ사이즈별로 다른 동물 디자인이라고 하는데아기여우 너무 이쁜거 아니니ㅋㅋ일단 촉감이 넘나 좋아요. 개취 바깥도 부드럽고], 긍정 텍스트 확률 : 99.84%"
"[안쪽 엠보도 부드럽고뭔가 여태껏 사용해 본 기저귀랑은 다르다..흡수도 짱 조아 ㅎㅎ 밤기저귀로 낙찰 근데 아기가 서서히 통잠을 자기 시작하면서살짝 새더라구요. 큰사이즈로 해주면 나으려나??ㅠ발버둥 겁나 치다가 일어나서 보면 기저귀가내려가있기도 함.......이건 딸랑구 니 탓이다 ㅋㅋ시간 정도 까진 괜찮은데], 긍정 텍스트 확률 : 72.84%"
