"[ 코트니 라고했을때 나는 대체 어느브랜드지? 했었다.사실 하기스 네이쳐메이드를 구매하려고했던 시점에서 이미 한 박스를 받아버려서 안쓸수도없고..감사하게 받고], 긍정 텍스트 확률 : 73.29%"
"[지금 소소가온지 일차], 긍정 텍스트 확률 : 80.30%"
"[소소는 매우매우 건강하다. 발진하나없이. ], 긍정 텍스트 확률 : 64.90%"
"[ 코트니 기저귀의 앞뒷면. ], 긍정 텍스트 확률 : 51.84%"
"[ 작고 마른 소소의 착용샷.단계였다.★ 후기일단], 긍정 텍스트 확률 : 56.61%"
"[발갛게 홍조를 띄는편도맞다.소니를 닮아 더위를 좀 타서인지 더우면 작지만 부분 부분 태열도 오르긴한다.소소는 아마 무디지만 평범한], 긍정 텍스트 확률 : 55.59%"
"[ 다른 블로그에 뻣뻣하다], 긍정 텍스트 확률 : 75.73%"
"[할머님께감사하다고 인사드림과함께 주스도 한박스 크게 사드렸음. ], 긍정 텍스트 확률 : 97.39%"
"[체결재접착테이프], 긍정 텍스트 확률 : 89.48%"
"[한빛이디엠], 긍정 텍스트 확률 : 51.21%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매구독하셔서 새로운 정보를 매일매일 만나보세요제휴마케팅 제품 정보는 언제든지 변경될 수 있으니 구매하시기 전 자세히 확인하세요 ], 긍정 텍스트 확률 : 94.57%"
"[체결재접착테이프], 긍정 텍스트 확률 : 89.48%"
"[한빛이디엠], 긍정 텍스트 확률 : 51.21%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
