"[ 기저귀 뒷면에는 이렇게 자세한 설명이 있어요일단 당연히 무형광], 긍정 텍스트 확률 : 83.77%"
"[ 디자인도 너무 귀염귀염하니동물친구들이 잔뜩 들어가있네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뒤쪽은 편하면서도 짱짱한 밴딩처리사진상만으로도 짱짱함이 느껴지시죠?그렇다고 아기에게 자국이 남을만한 무리한 짱짱함은 당연히 아니구요 ], 긍정 텍스트 확률 : 97.02%"
"[ 일단 기저귀자체가 많이 얇고 가벼운편이에요그전에 써봤던 기저귀들이 약간 도톰한? 느낌이 있던것들도 있어서쿠잉기저귀는 제가 써본 기저귀중에 제일 얇은거같아요저는 군기저귀], 긍정 텍스트 확률 : 92.18%"
"[보솜이], 긍정 텍스트 확률 : 51.21%"
"[슈퍼대디 이렇게 써봤어요그중 제일 얇고 기저귀면도 사진상에 보이듯이 매끄럽고 엄청 가벼워요ㅋㅋ이중샘도 방지되고], 긍정 텍스트 확률 : 93.15%"
"[ 요건 울 서윤이 착용컷가운데 노란선 보이시죠?대부분 기저귀가 가운데 잘 표시되어초보엄마들도 단번에 알아볼 수 있어요 ], 긍정 텍스트 확률 : 98.70%"
"[ 가성비 좋은 기저귀 찾구계신다면한번쯤 써보시길 추천드려요아참 서윤이는 현재 . 여자아기입니다♥제가 제돈주고 산 솔직한 후기라는거 ], 긍정 텍스트 확률 : 99.76%"
"[ 오랜만에 포스팅 하러 왔어요요즘 육아 하느라 바빠서 글을 쓸 시간이 안생기네요ㅜㅜ..아 그러고 보니 메델라유두보호기는실패했습니다 흑..아무튼 오늘은..?가성비좋은쿠잉기저귀후기가성비좋은쿠잉기저귀후기 를 써보려고요 우리 아가 퇴원 후 썻던 기저귀는네추럴 블라썸 기저귀였어요팩에 장 이 들었는데 팩 묶음 할인가격으로 구매하게 되었죠일부터 지금까지 팩 넘게 사용한 것 같아요네추럴블라썸 기저귀가 편하기도하고 흡수도 잘되고 배꼽쪽으로 틈이 있어서 좋기도 했지만가격면에서 조금 부담스러웠던 저는가성비 좋은.?쿠잉기저귀쿠잉기저귀 로 알아보았답니다. ], 긍정 텍스트 확률 : 99.85%"
"[ 쿠잉기저귀 박스가 집으로 도착했어요한상자에 개씩 포장되어있고월달에 제조되었나봐요 떡하니 날짜까지 써져있네요센스있게 아기가 자고있어요도 써져있어용ㅎ이때 아가가 자고있었는데택배기사님이 똑똑해주셔 다행이 안깼어용ㅎㅎ ], 긍정 텍스트 확률 : 89.89%"
"[ 쿠잉기저귀 소형 밴드형 남녀공용이고신생아때부터 .까지 사용할수 있더라고요 ], 긍정 텍스트 확률 : 60.33%"
"[ 기저귀 모습을 동영상으로 찍어봤어요 ?? .?쿠잉기저귀를쿠잉기저귀를 사용해봤을때 얇으면서 흡수력도 좋았고 무엇보다 기저귀가 넘 이뻣고 이중샘방지도 되어있다는 것도 마음에 들었어요 밴드도 짱짱해서 좋더라는 다른 기저귀보다이 기저귀는 장수가 좀 더 많은 것 같고오자마자 사용해봤을때 흡수 잘 되는것 보고밤기저귀로도 좋은 가성비가 좋은 기저귀같다는 생각이 들어요ㅎㅎ쿠잉귀저기 후기가 생각보다 많았는데 구매하길 잘 한거같아요 ㅎㅎ가성비 좋은 쿠잉기저귀 추천합니다ㅎㅎ♡], 긍정 텍스트 확률 : 99.86%"
"[.기존에 사용하던 소형기저귀가 다 떨어져가면서중형으로 넘어가기 애매한 와중에부터 사용할 수 있는기저귀가 있어서어물쩡 넘어가보려고쿠잉 기저귀 구입 ], 긍정 텍스트 확률 : 56.11%"
"[ 원기저귀 한장당 원 ], 긍정 텍스트 확률 : 52.23%"
"[ 가 있어요 ], 긍정 텍스트 확률 : 58.34%"
"[ 쿠잉기저귀 펼쳤을 때 모습 ], 긍정 텍스트 확률 : 75.19%"
"[ 기존에 사용하던 기저귀가엠보싱이 있어서 그런지굴곡없이 매끈한밋밋한 표면이 다소 당혹ㅅ ], 긍정 텍스트 확률 : 50.04%"
"[ 기저귀든 분유든쟁여둬야 푸근한 이 마음 ], 긍정 텍스트 확률 : 98.26%"
"[ 소변을 본 후 만져보니하기스네이처메이드의 뽀송함을개 만점이라 기준잡는다면쿠잉기저귀 뽀송함은 ★★★☆☆ 정도축축함이 조금 느껴진다.하지만 에잌 돈버렸네 정도는 아니고한시간에 한번씩 체크해줄 수 있는낮기저귀용으로는 사용하기 괜춘한가성비기저귀 ], 긍정 텍스트 확률 : 79.13%"
"[얼마전에 중형 기저귀 사이즈에 대해서 포스팅을 한 적이 있었어요.], 긍정 텍스트 확률 : 87.86%"
"[ 그 때 새로 샀던 기저귀 중에 하나인.?쿠잉기저귀쿠잉기저귀 에 대해서 포스팅해볼까 합니다. 쿠잉기저귀를 구매하기 전까지만 해도 모르는 기저귀였어요. 어느 카페의 핫딜방에 쿠잉기저귀 핫딜이 올라왔고 마침 기저귀가 필요해서 가성비 좋은 기저귀라고 하길래 구매를 해봤죠. 저 기저귀를 구매할 때 아기는 개월], 긍정 텍스트 확률 : 86.89%"
"[ 저 시기에 중형에서 대형으로 갈아타야 하는 애매한 시기라 새로운 기저귀를 살 때 사이즈 때문에 고민을 많이 했었거든요. 위에 링크된 기저귀 사이즈 포스팅에서 처럼 쿠잉 기저귀는 하기스], 긍정 텍스트 확률 : 78.36%"
"[하기스를 돌아가며 쓰다가... 쿠잉 기저귀를 채웠떤 날 새벽에 아기를 보니 오줌이 새서 옆구리가 다 새버린거 있죠..아후... 근데 그리고 또 기저귀를 쿠잉 기저귀로 갈아줬는데 아침에 일어났길래 보니 기저귀가 또 샜더라구요.... 정말 속상했어요. 아기가 잠자기 얼마나 힘들었을까 생각을 하니깐 말이죠. 그래서 제목대로 가성비는 좋지만 밤기저귀로는 추천하지 않아요. 쿠잉기저귀는 핫딜가로 중형 팩팩당 매], 긍정 텍스트 확률 : 83.84%"
"[총 매 기준 약 만원에 구매했으니 장당 원정도니 저렴한 기저귀가 맞죠?그럼 쿠잉기저귀를 또 구매할꺼냐구요?전 쿠잉기저귀 보다는 또 새로운 기저귀를 사볼 것 같아요. 기저귀 유목민이여서 그렇기도 하지만 가성비 좋아 자주 갈아주기에는 좋긴 한데 아기에게 닿는 기저귀 부분도 더워보이고 기저귀가 샜던 이력도 있고 해서 또 새로운 기저귀를 찾아나설 것 같네요 ], 긍정 텍스트 확률 : 90.53%"
"[ ..팩에 개나 들어 있다니.양이 엄청나네요.따봉입니다. ], 긍정 텍스트 확률 : 57.15%"
"[ ..기저귀 쿠잉 앞면의 모습인데요..다른 제품과는 달리 색상도 튀고.예쁘네요. ], 긍정 텍스트 확률 : 94.38%"
"[ ..소변선도 있고.아이들이 좋아하는 동물그림도 있어서.외부모습으로는 완벽합니다..사이즈 기준으로 팩에 매인데.팩 매 ], 긍정 텍스트 확률 : 96.42%"
"[ 원이면.개당 원꼴인데 이정도면.대박 저렴하지 않나요?ㅎ..예를들어 현재기준 사이즈 보솜이 코튼 밴드 팩.쿠폰사용 ], 긍정 텍스트 확률 : 80.83%"
"[ 원 팩에 매.개당 원꼴인데..그럼 대박 저렴한거죠.보솜이랑 쿠잉이랑 급이 다르다 생각할 수도.있는데... 둘다 사용해 본 고객입장으로.별반차이 없습니다ㅎㅎ..보솜이도 발진있는 아기도 있고 쿠잉도.발진있는 아기들이 있을 수 있죠.자신의 아기 피부에 맞게 맞는 기저귀를.사용하심 됩니다..준이담이는 보솜이 쿠잉 모두 발진없이 잘사용했구요. ], 긍정 텍스트 확률 : 96.05%"
"[ ..기저귀가 두껍지않고 슬림하게 나왔네요..저렴한 아기 기저귀 쿠잉은.소변을 자주누거나 소변이 적어 갈기 아까울때.저렴하기 때문에 부담없이 사용할 수 있다는.장점이 있었어요..단점으로는 밤기저귀로는 부족한부분이 있어요..그리고 오줌 지린내가 나더라구요..밤기저귀로는 다른 제품을 병행해서 사용하기에.저는 자주 갈아 줄 수 있는 저렴이 기저귀를.찾았거든요..밴드를 구입한 이유는.외출시 기저귀를 갈때 바지를 다 벗기지 않아도.되는 장점이 있기에.저는 외출시 편리한 밴드기저귀를 사용해요..그런데.....뭐지요? ], 긍정 텍스트 확률 : 93.19%"
"[ ..그리고 어라.....기저귀를 또 사용하려고 했는데.또 빠집니다.....뭡니까 이게 ], 긍정 텍스트 확률 : 60.04%"
"[오랜만에 써보는 기저귀 후기네요오늘로 개월에 입성한 꼬소미는엄마만 안타깝게도 아직 기저귀를 못 뗐어요 ㅠㅠ최근에 쓴 기저귀 리뷰도 쿠잉이네요 .... ], 긍정 텍스트 확률 : 55.56%"
"[ 사은품으로 비오 소풍 패키지를 받았어요외출할 때 쓸 수 있는일회용 턱받이 ㅎㅎ ], 긍정 텍스트 확률 : 68.97%"
"[사이즈도 있어서기저귀를 늦게 떼는 아가도], 긍정 텍스트 확률 : 55.32%"
"[ 오동통한 꿀벅지 아가도 모두 가능한 반가운 쿠잉플라이투네이처 ], 긍정 텍스트 확률 : 78.20%"
"[ 제조사인 맘씨좋은사람들의빅보스를 비롯한 직원분들의품질보증 서명이 있다는 점이인상적이었어요산소표백 코어티슈가 뭐지 싶었는데무염소표백 인증을 받은 점이믿고 신뢰할 수 있는 제품이네요 ㅎㅎ], 긍정 텍스트 확률 : 90.98%"
"[ 여러 가지 인증을 확인합니다 ], 긍정 텍스트 확률 : 52.72%"
"[ 제조국 대한민국전 한국 제조 기저귀가 좋아요 ㅎ], 긍정 텍스트 확률 : 96.21%"
