"[ 우리 꼬야 아기집 확인한게 주차였는데...주라니...엄마 아빠가 걱정 안하고 잘 품고 있게 도와준 건강한 꼬야에게 감사하다♡ ], 긍정 텍스트 확률 : 62.59%"
"[ .얇아졌다는 자궁벽... ㅋㅋ .맨날 쓰다듬는데..몰랐던거니...? ㅋ ], 긍정 텍스트 확률 : 75.51%"
"[이제 양쪽 치골이 뻐근. 꽉찬 느낌이다. .아기가 골반뼈 사이로 도킹 시도 중이라더니...진짜 그런듯. 인체의 신비☆세상에 나올 준비 하고 있는 꼬야기특해 ], 긍정 텍스트 확률 : 84.03%"
"[ 우리 남편은 날 막달 임산부 취급하지 않음 ㅋ여기저기 잘 다니고 이번주엔 계곡가고싶다고 함ㅋㅋㅋㅋ 그건 좀 ㅋㅋ 카페에서 빙수나 먹쟈 ], 긍정 텍스트 확률 : 91.87%"
"[ 펠트 내가 젤 왕언니다 ㅎㅎㅎ주수가 젤 많다ㅎㅎ언제 내가 이렇게 됐지 싶다 ㅎㅎ 매일 출근중..사실 피곤하면 결석도 함 ㅋ ], 긍정 텍스트 확률 : 99.74%"
"[ 배가 남산이다. 유난히 배가 많이 나와보이는?원피스가 있음 ㅎㅎㅎ 실제로 나왔겠지만 ㅋ살이 많이 쪄서 그런가?현재 임신전 ...어짜피 막달이니 포기상태 ㅋㅋ 우울하지도 않음 ㅋㅋㅋ 아님 양수가 많은가?태동이 활발한걸 보니 양수가 많은 것 같기도.], 긍정 텍스트 확률 : 94.59%"
"[ 근데 배넷저고리 이뻐서 맘에 든다우리 꼬야는 배속에서도 선물 많이 받네♡ ], 긍정 텍스트 확률 : 81.49%"
"[가슴쪽에 뭘 붙이고? 분? 정도만 짧게 검사했는데 뭔가 무서워서 호흡이...ㅋㅋㅋ작년에 위내시경할 때도 과호흡 와서 넘 웃펐는데 이런거보면 난 제왕절개 못할것같다 ㅠㅠ 분만상담때는 자연분만으로 설명 들었는데회음부열상주사만원 무통주사는 선택이라고 하시고 공휴일이나 진료시간이 아니면], 긍정 텍스트 확률 : 50.09%"
"[ 그리고나서 담당의 진료.초음파 보기 .머리둘레 .배둘레 .허벅지 .예상몸무게 .우리꼬야 주만에 증가.규칙적으로 증가하고 있네 모두 정상범주 ], 긍정 텍스트 확률 : 79.79%"
"[ 아기 머리가 크면 출산하기 힘들단 말을 하도 카페에서 봐서 여쭤보니 ㅋㅋ 우리 시크한 담당의님 왈머리크다고 한적 없는데 왜 물어보세요?ㅋ카페에서 머리 크면 낳기 힘들다고들 해서요...ㅋ그거야 당연하죠 ㅋㅋ 역시 시크하심. 요새 배가 자주 뭉쳐요], 긍정 텍스트 확률 : 70.80%"
"[ 오랜만에 영화 봄. 엑시트. 킬링타임용으로 가볍게 보기 좋다. 나름 재밌게 봄 ㅋ ], 긍정 텍스트 확률 : 99.89%"
"[ 어머님아버님께서 꼬야 내복벌이랑 금일봉 주심 벌써 어머님이 배 보시더니 ㅋㅋ손으로 쓰다듬으심 ㅋㅋㅋ 너무 커졌나 ㅎㅎ아버님도 배에 시선고정 ㅋㅋㅋ 출산 무섭다고 살짝 징징거리고 ㅋㅋ 이런저런 이야기함 ㅎㅎ], 긍정 텍스트 확률 : 99.48%"
"[ 남편이 자정다되서 사다준 케이크 냠냠], 긍정 텍스트 확률 : 58.80%"
"[ 물고기도 사고♡이번엔 여과기도 추가했으니 오래살기를남편이랑 바래보고], 긍정 텍스트 확률 : 50.44%"
"[ 바운서는 사실 꼭 사야하나 그런거 몰랐는데 저번에 유모차랑 카시트 사러동네에서 가까운 매장에 갔다가 같이 업어온 제품입니다.그리고 매직캔 쓰레기통은 전에 회사 사무실에서도 쓰던 제품이라하나 나도 사야지 생각만 하고있다가 이번에 장만했어요하나씩 소개해볼게요 ], 긍정 텍스트 확률 : 96.29%"
"[ 사실 조립을 해야하는거면 어려우면 어쩌나 고민했는데그냥 가볍게 다리와 본체?를 연결만하면 끝입니다 ㅎㅎ ], 긍정 텍스트 확률 : 90.45%"
"[ 나중에 조이가 태어나면 ㅎㅎ 그때 생생한 사용후기로다시한번 알려드릴게요그리고 두번째 아이템은 사실 출산용품 이라고 하기엔 애매하기도 한그냥 집에 있으면 좋은 매직캔 쓰레기통 입니다 ], 긍정 텍스트 확률 : 91.20%"
"[ 무튼 전에도 하나를 살까 두개를살까사이즈용량은 어떤걸로 살까 고민만 하다가 넘어갔었는데이렇게 집에서 쓰기 딱 좋은 두가지 크기의 제품이 묶여있는게 팔더라구요색깔이 몇개있었는데 제일 무난한 화이트로 골랐어요구성품들이 엄청 크게 올줄알았는데 생각보다 깔끔하게 한박스 안에 포장되어 오더라구요그안에 저렇게 나눠져있었음 ㅎㅎ ], 긍정 텍스트 확률 : 56.51%"
"[ 제가 사무실에서부터 이걸 사고싶어했던 이유중 가장 큰건바로 저 비닐비닐을 하나하나 씌울 필요도 없고 저게 냄새까지 다 막아주니까정말 집안에서도 청결하게 관리가 가능하거든요수시로 쓰레기통을 세척해줘야할 필요도 없고 맞는 크기에 봉지를 찾을 필요도 없고그리고 직접 봉투끼워서 쓰는애들은..꼭 뚜껑밖으로 봉지가 튀어나와서지저분해보이는데 그럴 염려도 없기때문이죠 후후그리고 저 비닐에서 향기가 나요베이비파우더같은 향이 솔솔나니까 좋더라구요 ], 긍정 텍스트 확률 : 99.28%"
"[ 이거 사무실에서 처음 바꾸는거 보면서 엄청 신기해했던 기억이 ㅎㅎ저렇게 아래쪽은 다시 묶어두고 쭉 쓰면되는거에요 ], 긍정 텍스트 확률 : 97.99%"
"[ 작은거는 이렇게 거실에다가 똬악저희 집 분위기랑도 엄청 잘어울리는듯해요 헤헤 ], 긍정 텍스트 확률 : 98.96%"
"[ 출산용품 이라고 하기엔 전적으로 나의 편리를 위한 느낌이강하기는 하지만 쓰고있는 내내 사길 잘했다는 생각이 드는이 녀석 ㅎ.ㅎ 뭐 흔히 젖병이나 기저귀같은 아기용품들이야 당연한?거지만이렇게 생활속에서 있으면 확실히 만족도가 높아지는 제품들이야말로 진정한 꿀템이 아닐까 싶어요 건조기나 젖병소독기나 이런것들이 없이도 살수는있지만...써보면 없으면 얼마나 힘들었을까하는 신세계를 접하게해주는 아이템들이잖아요지갑은 점점 더 가벼워지지만 마음만은 뿌듯한 엠뚱의 출산준비는 계속됩니다 ], 긍정 텍스트 확률 : 95.35%"
"[ 월 일 서초에서 하는 맘스클럽산모교실에 다녀왔어요날이 너무 덥고 거리가 꽤 있어서 가야하나], 긍정 텍스트 확률 : 61.97%"
"[신생아 피부질환등에 대해 강의해 주셨어요처음에는 피부과 홍보 하겠지 싶었는데정말 유익한 강의 였네요... ...? 본문 이미지제왕절개 하신분들이 제일 고민하시는 부분이 요 흉터일거 같아요제왕절개 흉터는 출산직후 바로 치료하시는게 효과가 좋다구 해요... ...? 본문 이미지... ...? 본문 이미지임신하면 여드름이 많이 생긴다고 해요저역시 임신하고 많이 생겼네요 ㅠㅠ그래도 아기낳고나면 괜찮아 질거라니 다행이예요요렇게 임산부와 관련된 정보도 알려주시고 신생아 피부질환 및 스테로이드 연고 바르는 방법등 도움이 되는 강의를 해주셨어요... ...? 본문 이미지... ...? 본문 이미지... ...? 본문 이미지여러 신생아 피부질환각 피부질환마다 어떻게대처해야 하는지도 알려주셔서 귀에 쏙쏙... ...? 본문 이미지우리나라 사람들에게 있다는스테로이드 공포증저역시도 스테로이드에 대해 안좋게 생각했었는데 꼭 나쁜것만은 아니더라구요.잘만 쓰면 피부질환도 낫고 괜찮다고 하더라구요... ...? 본문 이미지주말에 병원에 갈수없을때 집에서 할 수 있는 대처법을 알려주셨어요아토피 및 진물이 날때 생리식염수 물찜질 방법인데 꼭 기억해둬야 겠어요... ...? 본문 이미지스테로이드 연고 적절하게 사용하는 방법매번 연고를 바를때마다 양을 얼마나 발라야할지 고민됐었는데 강의를 듣고 나니 알겠더라구요검지손가락 마지막 마다 만큼 한줄로 짜면 두 손바닥 바르는 양이라고 하더라구요정말 유익한 정보... ...? 본문 이미지부위별 스테로이드 도포 용량이니 참고하세요이렇게 부 강의가 끝나고쉬는시간 각 업체 부스를 돌며 사은품을 받았어요개인정보동의 서류 같은거 작성없이 ㅋㅋ구냥 어플만 깔거나 친구추가하면 사는품을 받을수 있어 좋았어요그리고 간식도 준비해주셔서 정말 땡큐... ...? 본문 이미지맛있게 흡입했어요 ㅋㅋㅋ... ...? 본문 이미지두번째 강의는 블루래빗 파란토끼브로치 만들기... ...? 본문 이미지준비물은 가위랑 바늘도안따라 팰트지 오리고 눈 달기앞에서 강사님이 설명해 주셨어요... ...? 본문 이미지펠트 바느질잔잔한 음악을 들으며 바느질을 하니 좋더라구요시간이 조금 부족해서 다 만들지는 못했는데 내일 완성하려구요... ...? 본문 이미지기대했던 선물시간경품이 아주 빵빵 했어요전기매트], 긍정 텍스트 확률 : 100.00%"
"[유모차등등 아주 푸짐한 선물이... ...? 본문 이미지엄마선서도 하고 ㅋㅋㅋ아기가 있음에 감사하고 ㅋㅋㅋ경품을 타지 못하더라도 서운해말기ㅋㅋ마음 비우며 있었는데 마음비우길 잘했어요 ㅋㅋㅋㅋㅋ꽝ㅋㅋㅋ... ...? 본문 이미지그래도 기본 사은품이 너무 빵빵해서대만족완전 푸짐하죠유익한 강의에 푸짐한 선물까지먼길 다녀온 보람이 있는 맘스클럽산모교실 이였어요맘스클럽 산모교실 추천드려요월에 엄마], 긍정 텍스트 확률 : 99.77%"
"[아빠가 함께하는 태교음악회가 있다니 신청해보세요맘스클럽 .], 긍정 텍스트 확률 : 71.46%"
