"[짧게 쓰더라도 사야겠다는 마음에 유모차를 알아봤다. ], 긍정 텍스트 확률 : 92.69%"
"[그리고 안장이 편안한 제품으로 검색하다 줌으로결정 쌍둥이 유모차를 구매하고 어린이집 등 하원이 한결 수월해 졌지만엄마와 아이가 아직 기간 생활에 마음의 준비가 되어 있지 않아 어린이집은 결국 퇴소했다. ], 긍정 텍스트 확률 : 75.17%"
"[ 첫째 매콤이의 어린이집 퇴소 후낮 시간을 셋이 함께 보내며 쌍둥이 유모차는 더 빛을 발했다.조금 걷다 힘들면 안아달라는 첫째와앉아있어야만 하는 둘째 쌍둥이 유모차는 이 둘을 모두 한. 번.에. 안을 수 있었으니...둘째를 아기 띠에서 내려놓고 엄마의 허리에게도 잠시나마 휴식시간을 줄 수 있었다. ], 긍정 텍스트 확률 : 98.08%"
"[공차기 등등 짧게나마 둘만의 시간을 만끽했다. ], 긍정 텍스트 확률 : 62.14%"
"[ 장점. 핸들링 최고엄마가 한 손에 핸드폰 들고], 긍정 텍스트 확률 : 95.27%"
"[엄마 키가 크다면], 긍정 텍스트 확률 : 69.92%"
"[명의 아이들이 함께 할 수 있다.조카가 놀러 오면 언니랑 유모차 하나씩 끌고 산책 나갔다가 아이들을 재워 오기도 하고유모차가 있어 든든. ], 긍정 텍스트 확률 : 56.34%"
"[ 아이들이 크면서 엄마 혼자 아이 둘을 데리고 여기저기 놀러 다니려 하니승용차 트렁크에 겨우 꽉들어가는 디럭스 쌍둥이 유모차가 살짝 부담스럽고아빠와 함께하는 외출에 ], 긍정 텍스트 확률 : 83.46%"
"[큰 도움이 되어 그런지 마음이 허하니 이상하더라.년 동안 고마웠어새 주인 만나서 새로운 아이들과 좋은 시간], 긍정 텍스트 확률 : 92.38%"
"[그리고 아기 엄마에게 큰 힘이 되길 ], 긍정 텍스트 확률 : 86.42%"
"[ 줌 길이가 길다는데..써보신분들 후기좀 들을수있을까요?신랑이 자꾸 그걸 사라해서요..전..시셀보고있는데.ㅜ.ㅜ여기에쓰기그러하면 쪽지글이라두 솔직후기 부탁드려도될까요?..], 긍정 텍스트 확률 : 97.43%"
"[.. .?첫비행기탑승첫비행기탑승타본 사람처럼 벨트 척척ㅋ .. .?일상일상.. .?기록기록.. .?육아스타그램육아스타그램 .. .?아들둥이아들둥이.. .?쌍둥이쌍둥이.. .?추석연휴추석연휴.. .?가족여행가족여행여행내내 차 이동이라 제일 신경 쓰였던렌트카], 긍정 텍스트 확률 : 74.20%"
