"[.두돌 아기와 제주여행 일차.까다로운 아기 컨디션을 생각해서 하루에 .가급적이면 많은 일정은 계획하지 않았다.오늘의 메인 방문은.?돌카롱돌카롱.?만장굴만장굴. ], 부정 텍스트 확률 : 50.99%"
"[ .마카롱을 넘나 좋아하는 나는.제주 현무암 느낌의 꼬끄로 만든.?제주마카롱제주마카롱 돌카롱을 보자마자 무조건 꼭 먹어야겠다 생각했다.그런데 구글맵에 나오는 주소로 찾아가면 이전했다는 안내문을 볼 수 있다..혹시 예전 주소로 찾아가는 분들을 위해 업데이트된 주소를 남겨둘게요 👇 ], 부정 텍스트 확률 : 79.65%"
"[ .마카롱은 유채꽃카롱 이호테우카론 수국카롱 세가지가 있고 종류별로 구성된 맛도 다르다.취향에 따라 고르면 된다.나는 수국카롱 한 세트만 구매 ], 부정 텍스트 확률 : 83.01%"
"[블루베리개], 부정 텍스트 확률 : 53.29%"
"[딸기개.총 개가 들어있도 .수국 일러스트가 참 어여쁘다😍..맛도 아주 좋다.다만 개 정도 먹으면 딱 좋고.아메리카노 혹은 쓴맛의 차랑 먹지 않으면.금방 질리거나 느끼할 수 있더라 ], 부정 텍스트 확률 : 70.93%"
"[ .대부분의 구간애서 계속 순딩이를 안고 갔기에.너무 몸도 힘들었지만 이왕 간김에 .가장 대표적인 명소인.?용암석주용암석주 를 보고.기념사진도 찍고 왔다 ], 부정 텍스트 확률 : 91.90%"
"[ ..이후에 너무 피곤해서 제주 동부 성산에 위치한 두번째 숙소로 향했다 ], 부정 텍스트 확률 : 83.28%"
"[ .만원대로 예약한 에어비앤비 숙소였는데.슈퍼호스트라더니 진짜 대실망..아기가 있어서 집안 소품은 다 치워놓겠다더니.정작 아기를 위한 여분 이불조차 없었고.욕실에 비누도 없었다.샤워부스는 곳곳에 물때가 끼어있고.심지어 숙소 구조가 사진과 완전 다름 ㅋㅋㅋ..에어컨은 시원찮아서 계속 습하고 더웠고.가장 스트레스였던 건 곳곳에 포스트잇으로 이건 하지마라 이건 꼭 해달라 요구사항이 적혀있었는데.결제 금액에 청소비 항목이 있음에도 .층에서 분리수거와 음식쓰레기는 건조까지해서 버려달라는 부탁도 있었음😤..어이가 없지만 해달라는 대로 다 해서 정말 깔끔하게 치우고 나왔는데 사진을 찍어둘껄 후기에 주방 뒷정리 싱크대 물 안닦았다고 해주셨으면 좋았겠다고 써주는 진짜 황당한 호스트..아기랑 여행은 정말 정말 비추.싼 맛에 하루 숙박하기 좋다고 말하려했으나.셋째날 숙소 보면 전혀 그렇지도 않다는 것..암튼 숙소에서 조금 휴식 후 .저녁을 먹으러 향했다. ], 부정 텍스트 확률 : 87.14%"
"[ .작년 제주 여행때 방문하고 극찬했던 식당. .?섭지코지해녀밥상섭지코지해녀밥상.섭지코지 가까이 숙소를 잡은 김에 또 방문 ], 부정 텍스트 확률 : 69.16%"
"[ .층으로 되어있는 구조이고.호텔 건물 가까이에 있어서 그런지.이 시간에 혼자 조용히 카페에서 빗소리를 들으며 쉬는 사람들이 많았다.순딩이랑 우리 가족이 방문하니 최대한 조용하긴했지만 좀 소란스러워진 것 같아서 오래 앉아있지 못했다..나는.?너티클라우드너티클라우드 를 아주 좋아한다.우유에스프레소땅콩크림 조합 ], 부정 텍스트 확률 : 97.46%"
"[ .출출해서 빵도 먹고 싶었는데.도렐 매장에서는 팔지 않고.나가서 바로 옆에 있는.?도렐베이커리도렐베이커리 에서 구매해야했다.비가 무지 많이 내렸었는데 비를 피하는 천장이 있는 것도 아니라서 불편했다ㅠ..친절하지도 구조가 편하지도 인테리어가 아주 예쁜 곳도 아니지만 .너티클라우드 이 맛을 보려면 어쩔 수 없었다...중간중간 비가 내리고 .습한 날씨에 힘든 하루였지만.가고 싶었던 많은 장소들을 방문해서 뿌듯했다.. ], 부정 텍스트 확률 : 99.32%"
"[안녕하세요? 생생블로통 아주미튜브입니다.오늘은 용산주변으로 아이와 갈만한 코스를 소개 해드리려고합니다.갑자기 커피이름이 보이셔서 이상하셨죠? 저때만해도 아모레 본사 건물이 생겨서 가보고 싶었고도렐커피가 입점했다는 이야기를 들었을때 입니다.제주도가 호점으로 유명한 커피 더라고요?호점은 가로수길에 생겼고 그다음 용산에 생겼다고 합니다.강북사는 저는 제일 가까운 용산으로 가서도렐카페에서 제일 잘나가는 시그니처 너티클라우드를 먹어 보고싶었어요 ], 부정 텍스트 확률 : 99.84%"
"[ 제가 가보고 싶어했던 도렐카페는 지하철 호선 신용산역에 위치해 있어요정확히 말하자면 아모레퍼시픽본사 지하층에 위치해 있답니다.지하철하고 바로 연결되어 있어서 찾는데 어렵지 않아요], 부정 텍스트 확률 : 70.57%"
"[ 들어가자 마자 시그니쳐커피를 주문합니다.호호호 두근두근 떨리고 하지만 아이가 저를 기다려주지않네요?떼쓰기시작.....눈치보여 급 사진만 찍고 나와서 ㅠㅠ 원샷때렸습니다. ], 부정 텍스트 확률 : 96.90%"
"[ 여기서 한참을 놀고 아이파크몰과 영풍문고 통로에 가면 아이들이 좋아할만한오락실 같은 놀이기구가 있어요. 식당도 많아서 저녁도 먹고 돌아오시면 반나절금방 갈 코스입니다. ], 부정 텍스트 확률 : 75.22%"
"[본사 다녀온 얘기 써보려고 해요. ], 부정 텍스트 확률 : 55.28%"
"[ 지하 층에는 왓어샐러드], 부정 텍스트 확률 : 78.34%"
"[에이랏], 부정 텍스트 확률 : 53.29%"
"[덕자네 방앗간], 부정 텍스트 확률 : 53.29%"
"[포포유], 부정 텍스트 확률 : 53.29%"
"[타스크 오피치나], 부정 텍스트 확률 : 78.18%"
"[고디바], 부정 텍스트 확률 : 53.29%"
"[더부스], 부정 텍스트 확률 : 77.41%"
"[카페알토 바이 밀도], 부정 텍스트 확률 : 53.29%"
"[아프리카 안경점], 부정 텍스트 확률 : 53.29%"
"[우리은행], 부정 텍스트 확률 : 53.29%"
"[씨유 이렇게 들어와있어요.], 부정 텍스트 확률 : 79.34%"
"[ 층에는 오설록], 부정 텍스트 확률 : 67.88%"
"[오설록 티하우스], 부정 텍스트 확률 : 93.32%"
"[아모레퍼시픽 미술관], 부정 텍스트 확률 : 53.29%"
"[전시 도록 라이브러리], 부정 텍스트 확률 : 53.29%"
"[헬레나플라워], 부정 텍스트 확률 : 53.29%"
"[캐비닛이 있고 층엔 아모레 스토어와 플로이], 부정 텍스트 확률 : 59.08%"
"[이니스프리 그린카페가 있어요. 한 건물에서 밥 먹고 전시 보고 차마시고가 다 가능해요 ], 부정 텍스트 확률 : 71.38%"
"[ 용산 차알 메뉴 지나가다 봐서 찍었어요. 와인 콜리지가 프리이고 주말엔 노브레이크 타임으로 운영한다고 해요.], 부정 텍스트 확률 : 70.91%"
