"[ 주행 중 충격을 완화하기 위한 방향바퀴 서스펜션으로 휴대용 유모차지만 핸들링도 좋았어요 ], 긍정 텍스트 확률 : 67.12%"
"[어깨와 허리 안전벨트 연결된 간편한 방식의점식 안전벨트 랍니다. ], 긍정 텍스트 확률 : 50.06%"
"[ 캐노피 쪽엔 통풍을 위한 메쉬창이 있어요.창이 크다보니 우리 둥이들 상태도 빠르게 확인가능하고 공기 흐름을 도와주는 면 메쉬창으로 여름에 쓰기에도 좋을거 같아요 ], 긍정 텍스트 확률 : 84.88%"
"[ 마지막으로 무릎 길이 조절장치가 가능해서 키에따라 조절해서 사용할수 있어요위에서 언급했던퀵 폴딩시스템 한손으로 초만에 유모차를 접을 수 있는 퀵폴딩 시스템이예요. ], 긍정 텍스트 확률 : 56.21%"
"[ 윤우엉아야 나도 한번만 태워주라 하지만 내릴생각없는 은우 ㅋㅋㅋㅋㅋㅋㅋ우리 귀여운 뽀시래기들 ♥ ], 긍정 텍스트 확률 : 98.98%"
"[ 아래는 쌍둥이 할머니의 휴대용 유모차 사용법사진 보고 얼마나 웃었는지 몰라요.시트가 넓다보니 우리 둥이들 타도 괜찮겠죠?실제로 사용시엔 안전을 꼭 확인하여 주세요.], 긍정 텍스트 확률 : 84.22%"
"[ 여기까지 무무브 퀵 라이트 개봉예요.다음엔 사용후기도 포스팅 하도록 할게요.구입은 ▼.... ], 긍정 텍스트 확률 : 56.04%"
"[안전성 모두 극찬하던데 사용하시는분 후기 듣고싶어요감사합니다.], 긍정 텍스트 확률 : 92.92%"
"[ 곧 일을 앞두고 있는 개월 우리 아기.일까지는 너무 어려서 외출을 자제하다이후에는 제가 너무 답답해서 디럭스 유모차 끌고동네 한 바퀴 휙 돌고 오는 게 유일한 낙이었어요.주말에 날씨 좋을 때에는 공원도 가고유모차 산책하면서 콧바람도 쐬고툴레 슬리크 디럭스 정말 정말 잘 사용했었는데요], 긍정 텍스트 확률 : 73.73%"
"[산책은 이제 자제 중이지만그렇다고 집에만 있기에는 너무너무 답답요즘은 주말에 실내에서 모든 것을 다 해결할 수 있는백화점], 긍정 텍스트 확률 : 88.22%"
"[마트 위주로 외출하고 있어요], 긍정 텍스트 확률 : 53.45%"
"[짐을 좀 줄여보고자가벼운 휴대용 유모차를 하나 장만했습니다사진처럼 한 손으로 들 수 있는 . 가벼운 무게에단 폴딩으로 작게 접혀서 기내반입 가능한 사이즈일단 외출할 때 유모차 담당이었던남편이 정말 좋아해요 ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 87.18%"
"[ 이름처럼 빠르고 가볍게 휙 접히고촥 펼쳐져서 신기방기하더라고요 ㅋㅋㅋㅋㅋ아 이런 것도 있구나 하며 재미 붙여서혼자 몇 번을 접었다 펼쳤다 했는지.....한 손으로도 가능해서 참 좋았어요 디럭스는 시트 분리해서 본체를 접어야 하고시트도 크기가 커서 작은 차에 가지고 다니기조금 힘들긴 했었거든요무무브퀵 덕분에 이제 외출이 간편해졌어요 ], 긍정 텍스트 확률 : 98.80%"
"[ 툴레 슬리크 디럭스를 진그레이 색상 사용하면서올블랙을 할 걸 그랬나 싶었거든요?그래서 당연히 휴대용은 블랙을 하려고 했는데무무브 라이트 퀵은 베이지 색상이 잘 빠졌더라고요한참 고민하다 남편한테 골라달라 했더니둘 다 예뻐서 못 고르겠다는 답변이.....그러다 인스타 후기 사진 찾아보니 베이지가뭔가 더 감성이 뿜어져 나오는 느낌이랄까요.....네. 그래서 베이지를 선택했어요♥ ], 긍정 텍스트 확률 : 68.95%"
"[ 설명서가 있긴 한데 없어도 대충 감이 와요 ㅋㅋ조립이 필요 없어서 설명서 안 봐도충분히 사용할 수 있답니다그래도 저는 모범생이라 열심히 정독했지만요..저희 남편은 그냥 보자마자 펼치고 접고혼자 잘 하더라고요 ], 긍정 텍스트 확률 : 98.84%"
"[ 다 펼치면 요런 느낌캐노피 펼치면 고급진 베이지 덕분에감성뿜뿜 유모차가 완성됩니다 ㅋㅋ아니 무슨 유모차가 이렇게 감성 돋을 수가 있냐며요즘 육아템들은 감성도 빼놓지 않고예쁘게 잘 만들어줘서 참 고마워요], 긍정 텍스트 확률 : 98.65%"
"[ 캐노피는 아코디언 형태로 생겨서내 맘대로 각도를 조절할 수 있어 좋더라고요저 단추를 풀면 아래 사진처럼아예 햇빛을 다 가려줄 수 있어서아기 재울 때 저렇게 해주면 좋을 것 같아요. ], 긍정 텍스트 확률 : 88.97%"
