"[ 편리성은 포기해야 되는 단점이 있어요절충형은 디럭스와 휴대용의 중간단계로 양쪽 장점을 반영했고휴대용은 무게가 가벼워 외출할 때나 보관이 용이한 반면], 긍정 텍스트 확률 : 54.69%"
"[승차감과 안전에서는 가장 낮다고 보시면 됩니다저 또한 디럭스와 절충형에서 큰 고민을 했었어요차 사는 것처럼 신중을 기했고 베페], 긍정 텍스트 확률 : 99.08%"
"[.차 트렁크에 싣고 할 때 생활기스.. 즉 까임 등이 발생하더라고요.. 차 사고 긁히면 마음 쓰리듯이 유모차도 쓰려요ㅋㅋ. ], 긍정 텍스트 확률 : 81.30%"
"[ 핸들링이 중요한 이유는 핸들이 바퀴에 전달되기 때문인데요. 비포장도로에서도 잘 밀리고 버튼 한번 밟으면 주행정지가 되는 원터치 브레이크입니다.충격 완화 기능이 있는 서스펜션도 있어요 ], 긍정 텍스트 확률 : 84.71%"
"[ 간혹 허리에 무리가 간다 하시는 분들도 있는데 유모차에 있는 시간도 짧아서요요람형은 식당에서 재우는 용도로도 좋더라고요 ], 긍정 텍스트 확률 : 92.25%"
"[ 폴딩은 접히는 부분을 뜻하는데 타사 디럭스 유모차는 시트를 따로 떼서 폴딩을 해야 되는 반면에 미마는 분리하지 않고 폴딩 할 수 있는 게 가장 큰 장점이죠. ], 긍정 텍스트 확률 : 70.85%"
"[ . .?미마자리미마자리 장바구니ㅎ 두개의 수납 바스켓과 각각 까지 수납 가능해요. 남편이 동행하면 카트 하나 끌면 되는데혼자 갈 때는많은 양 구입하기 어렵더라고요.. 뭐 인터넷 장 보긴 해도 그부분은살짝 아쉽고요 ], 긍정 텍스트 확률 : 62.76%"
"[ 시트..추가 구성은 홈페이지에서 구입할 수 있어요. 저희는 .일부터 아이 컨디션 보고 거진 매주 외출을 하는데요.풋커버 하고 방풍 커버하면 유모차 내부 온도가 도.. 우주복 입히면 땀 삐질삐질 흘려서 풋커버 빼고 다니기도 해요 ], 긍정 텍스트 확률 : 53.24%"
"[ .향후 둘째 계획이 없을 시 중고로팔 생각입니다. 다시 구입한다 해도 디럭스를 구입할 의사가 있을 만큼 저는 만족하며 쓰고 있어요.결국 엄마가 원하는 걸 고르는 게 가장 베스트. ], 긍정 텍스트 확률 : 91.05%"
"[ ....직접 구입한하고 장단점 비교한 후기입니다 ], 긍정 텍스트 확률 : 71.87%"
"[...역시 아기가 있으니 아기용품에 대해 포스팅을 많이 하게 되네요..에그유모차.. 전 남편때문에 알게되었어요...원래는 미마자리가 젤 마음에 들었는데 에그를 보니 왜 에그에그 하는지 알겠더라구요...공홈에는 이미 단종되어 구하지도 못하는 모델인데 제 남편이 겨우겨우 구했답니다..에그유모차 사러 대마도도 간다면서요?..그 얘기 듣고 얼마나 웃긴지 ㅋㅋㅋ.. ], 긍정 텍스트 확률 : 95.87%"
"[ ....박스안에 포장되어 화물택배로 도착한 에그유모차...역시 우리집 냥이는 호기심대마왕ㅋㅋㅋ... ], 긍정 텍스트 확률 : 80.86%"
"[ ....완성..오오 고급지네요 마음에 들어요 .... ], 긍정 텍스트 확률 : 92.48%"
"[ ....어머 컬러 왜케 이쁘죠 ㅋㅋㅋ... ], 긍정 텍스트 확률 : 74.05%"
"[ ....아래의 짐칸...짐칸은 생각보다 좀 작은거 같아요.... ], 긍정 텍스트 확률 : 51.73%"
