"[첫째 사용하던 디럭스 유모차를 둘째때도 쓰려고 다락에 넣어두었는데꺼내보니 곰팡이가 피어 있었다.세탁을 하고 잘 말려 비닐에 넣어뒀어야 했는데 그냥 올려버린], 부정 텍스트 확률 : 91.93%"
"[ 남편은 검정색을 구매하길 원했고난 올 블랙보다는 네이비가 낫지 않을까 싶었는데다행히 남편도 맘에 들어했다. ], 부정 텍스트 확률 : 65.26%"
"[안아 달라고 울고 불고 할때팔이 아파 유모차에 태워 앞뒤로 흔들 흔들ㅡ유모차에서 잠을 참 잘 잤다.그 유모차는 바퀴커버가 있어서 가능했는데이건 바퀴커버는 없지만 새상품이 가능함ㅋㅋㅋㅋ사용설명서를 보니 작동법도 간단하고 밀어보니 핸들링이 정말 좋다.튼튼이를 태우고 흔들흔들해보지만 잠재우기는 실패ㅜ아무리 신생아가능 유모차라 할지라도 외출은 조심스럽기만 한데오늘은 첫째가 너무 밖에 나가 놀고 싶어해서 튼튼이도 유모차에 태워 외출을 시도했다. ], 부정 텍스트 확률 : 95.09%"
"[ ..유모차 전기종에 사용 가능하구요.당연 도 회전이 가능해서 스마트폰을 가로와 세로방향으로 전환해서 볼 수 있어요... 잠금기능이 있어서 빨간색 버튼을 핸드폰으로 누르면.간편하게 자동으로 잠김상태가 됩니다...핸드폰 싸이즈는 최소최대 . 까지 가능해요..제가 사용하고 있는아이폰 도 충분히 사용 가능합니다... ], 부정 텍스트 확률 : 50.95%"
"[ ..스마트폰 거치대는 벨크로로 되어 있어서 쉽게 고정이 가능하구요..폰을 보호 하기 위해 스마트폰과 닿는 부분에 완충제가 붙어 있어요.그리고 뒤쪽으로 하얗게 보이는 것은 유모차 핸들에서 미끄러지지 않도록 .미끄럼방지 실리콘이 부착 되어 있어요. ], 부정 텍스트 확률 : 87.66%"
"[ 유모차 컵홀더는 컵거치부분과 유모차 연결하는 부속품이 따로 들어 있어요두가지를 연결시키면 완성되구요 ], 부정 텍스트 확률 : 63.02%"
"[ ..스타벅스 큰 텀블러도 충분이 들어가고 .장점은 텀블러가 안정적으로 들어가 있더라구요.. ], 부정 텍스트 확률 : 83.43%"
"[ ...단점을 꼽자면 연결 부속품이 커서 옆으로든 앞으로든많이 튀어나온다는 것입니다..뭐 도로 각도조절이 가능한 것과], 부정 텍스트 확률 : 90.41%"
"[집게 부분고정나사 등등을 넣어야 했기에 조금 부피가 큰듯하나 .감안하고 사용해야 할 것 같아요 .휴대용유모차보다는 디럭스형에 더 잘 어울리는 컵홀더 인 것 같습니다...유모차를 사용하고 신발장 혹은 밖에 세워 두고 사용하시는 분들이라면 만족하실 수도 있지만....집에서는 항상 접어서 유모차를 접어 보관하는 스타일이다 보니 항상 접을때 빼야 하고 다시 달아야 하고 하다보니....제가 사용을 잘 못하는건지 생각보다 엄청 편하다는 생각은 안들었습니다.ㅠㅠ..하지만 스마트폰 거치대는 진심 고정도 잘되고 제가 사용하기에도 좋고], 부정 텍스트 확률 : 61.18%"
"[이왕이면 티비 보듯이 걸어주면 좋을 것 같아요........... ], 부정 텍스트 확률 : 50.87%"
"[ 베이비몬스터 프레시 . 캐노피 유모차], 부정 텍스트 확률 : 66.36%"
"[ 제조국 ＞ 중국중량 ＞ 출시년도 ＞ 년도양대면 여부 ＞ 시트전환최소연령 ＞], 부정 텍스트 확률 : 79.96%"
"[ 원→], 부정 텍스트 확률 : 53.29%"
"[ 원품절임박 개 남음 ], 부정 텍스트 확률 : 53.24%"
"[ 특가할인 상품을 선별하여 소개해드렸습니다. ], 부정 텍스트 확률 : 73.14%"
"[ 인기상품은 조기에 품절될 수 있으니 유의하시기 바랍니다.제공되는 정보는 포스팅 시간 기준입니다. ], 부정 텍스트 확률 : 50.86%"
"[ 본 포스팅은 년 월 일 시 분 에 작성되었습니다. ], 부정 텍스트 확률 : 56.08%"
"[ ▼ 포스팅 제품 구매평 확인 ▼ ], 부정 텍스트 확률 : 50.51%"
"[ .. ★★★★★핸들링 괜찮고. 무게감 있어서 견고하고. 양대면되면서 폴딩 쉬워요 양방향으로 다 접이.가능하구요 후기가 많이 없어서 구매 고민했는데가성비 최고인것 같아요디럭스지만 절충같기도 하고 서스팬션이 있어 충격도 흡수되고 디자인도 나쁘지 않아요.고급스럽다는 느낌보다는콤팩트한 디럭스라고 보시면 될듯 스페인 홈페이지도 찾아봤어요 ㅋ 디자인은 같이면 몇몇 부속품이 달라 보였지만 기능은 동일 하더라구요디럭스는 필요한데 금액은 부담스럽고디럭스의 기능은 필요한데 절충형은 좀 아쉬운 분께추천드려요디럭스와 절충형의 보완 가능한 유모차가 아닐까 합니다], 부정 텍스트 확률 : 69.96%"
"[.?선물선물.?유아동유아동.?외출용품외출용품.?출산출산.?유모차유모차.?디럭스유모차디럭스유모차.?출산준비물출산준비물 ], 부정 텍스트 확률 : 53.29%"
"[ 일정액의 수수료를 제공받고 있는 포스팅입니다.□내용은 상시 변경될 수 있으며 링크 내용을 참고해주세요. ], 부정 텍스트 확률 : 68.10%"
"[세련된 디럭스 유모차베이비몬스터 디럭스유모차 . ], 부정 텍스트 확률 : 62.92%"
"[ 카시트에 이어서곧 태어날 단아이모를위해디럭스 유모차 구매했어요베이비몬스터 디럭스유모차인데디자인보시면 심쿵하실거에요 ], 부정 텍스트 확률 : 78.83%"
"[ 너무나 조립이 간편해서원래 이런일 잘 못하는데엄마혼자서도 쉽게 하겠더라구요그렇게 만나본 베이비몬스터디럭스 유모차올 블랙으로 너무 심플한데 세련미가 넘치네요 ], 부정 텍스트 확률 : 64.40%"
"[ 디럭스 유모차는 무겁고너무 커서 보관하기 난감하다는편견을 가지고있었는데베이비몬스터 디럭스유모차를 만나고나서편견이 사라졌어요 ], 부정 텍스트 확률 : 67.57%"
"[ 디럭스유모차인가 싶을정도로정말 잘빠졌더라구요사실 디럭스유모차가 승차감면에선어느 유모차보다 좋다는건 알고있지만부피차지하고 무겁고폴딩도 쉽지않아많이들 처음엔 절충형을 선택하잖아요근데 베이비몬스터 디럭스유모차는양대면모두 폴딩가능하며무려 초만에 폴딩이 가능해요 ], 부정 텍스트 확률 : 81.39%"
"[ 핸들링 역시 부드럽고 좋았어요디럭스유모차쓰면 많이들 엄마손목 무리간다고생각하시는데이 제품은부드럽게 주행이 가능하다보니손목에 무리갈일이 없어보였어요 ], 부정 텍스트 확률 : 59.36%"
"[ 벨트는 가장안전한 점식 안전벨트안전벨트를 한번더 감싸아기가 눌려 아프지않을것같아서이런 세심한 배려가 너무 좋았어요 ], 부정 텍스트 확률 : 52.55%"
"[베이비몬스터디럭스유모차.], 부정 텍스트 확률 : 62.92%"
"[ 아컴서포터즈로제품만을 할인받아 구매후 작성한 후기입니다. ], 부정 텍스트 확률 : 53.50%"
"[ 아기와 함께 가볼만한곳답게 곳곳에 아기랑 놀수 있는 공간들이 많았어요층 넓은 공간에서는 블럭 체험할수 있는 공간들도 있었구요주말에는 여기도 정신 없을텐뎅확실히 평일이라 한적한편 ], 부정 텍스트 확률 : 57.75%"
"[ 이렇게 아기 식탁 그리고 장난감까지 있어서처음으로 이렇게 이유식 카페에서 이유식 먹인건뎅 성공적이였어요 ], 부정 텍스트 확률 : 51.95%"
"[ 수유실도 깔끔하구요스타필드는 아기 데리고 오기에는 정말 좋은곳인듯 해욧유아휴게실은 층에 있습니당 ], 부정 텍스트 확률 : 52.31%"
"[ 하남보다 훨씬 넓고 잘 꾸며둔것같더라구요 ], 부정 텍스트 확률 : 73.77%"
"[ 중화권 요리를 파는 공간에는진짜 대만이나 홍콩에 놀러온것 같은 느낌의 인테리어가 되어 있음 ], 부정 텍스트 확률 : 82.31%"
"[ 고양스타필드 카페 폴바셋은 다른층과 다르게 한적한 층에 있어서 좋아요 ], 부정 텍스트 확률 : 57.17%"
"[ . .?이유부부이유부부.?이유부부일상이유부부일상. .?일상블로그일상블로그.?일상기록일상기록. .?임신기록임신기록.?임신주차임신주차.?임신주차임신주차. .?임신개월임신개월.?막달검사막달검사.......... ], 부정 텍스트 확률 : 71.77%"
"[ . .?.?오스트리아기념품오스트리아기념품.?마너마너.?모차르트초콜릿모차르트초콜릿.오스트리아 기념품으로 선물할만한 건 마너가 정말 만만했다. 교회 성도들과 함께 나눠먹을 마너 팩], 부정 텍스트 확률 : 61.59%"
"[ . .?.?떡볶이떡볶이.?메실에이드메실에이드.점심으로 먹은 메뉴. 밥은 싫고 떡볶이가 땡겨서 동네마트에서 사온 떡이랑 탱글탱글 소세지], 부정 텍스트 확률 : 89.16%"
"[삼호어묵], 부정 텍스트 확률 : 53.29%"
"[대파 등등 다 때려넣구 국물떡볶이를 만들었다. 메실청에 탄산수 촤르륵 넣어 메실에이드도 곁들여주니 최고의 조합🤭👍🏻.......... ], 부정 텍스트 확률 : 95.85%"
"[ .그리고 후식으로 먹었던.?딱딱이복숭아딱딱이복숭아.?아아아아.......... ], 부정 텍스트 확률 : 81.10%"
"[ . .? 저녁 안먹으려고 그랬는데.?삼시세끼산촌편삼시세끼산촌편 보구 그리 된장찌개가 넘 땡겨서 감자 넣구 뚝딱 끓이구 퇴근한 신랑이 사온 애호박 넣구 좀 더 끓여서 깔끔하게 클리어함.......... ], 부정 텍스트 확률 : 82.00%"
"[ . .?.컵라면 땡겨서 점심으로 육개장이랑 김치 먹구 후식으로 딱딱이복숭아🍑🍑🍑🍑🍑.......... ], 부정 텍스트 확률 : 76.24%"
"[ . .?네스프레소버츄오화이트플러스네스프레소버츄오화이트플러스.?디카페이나토인텐소디카페이나토인텐소.......... ], 부정 텍스트 확률 : 59.34%"
"[ ............... ], 부정 텍스트 확률 : 53.29%"
"[ . .?.?주말밥상주말밥상.오스트리아 마트에서 사온 콘소메스프도 끓이구 달걀 삶아서 후추], 부정 텍스트 확률 : 62.11%"
"[소금 간 하구 소세지 썰어 넣구 샌드위치 속을 만들었다. 사실 참치마요네즈 속도 만들었지롱😁..... ], 부정 텍스트 확률 : 96.08%"
"[ ............ ], 부정 텍스트 확률 : 53.29%"
"[ .속이 꽉찬 샌드위치], 부정 텍스트 확률 : 62.92%"
"[ .그리구 후식으로 딱딱이복숭아🍑🍑🍑🍑🍑.복숭아가 정말 맛있는 계절이지 헤헷.개인적으론 딱딱이보다 물렁이가 더 좋은데 친정엄마는 자꾸 딱딱이를 사주심 헤헷.도자기페인팅도 넘나 또 하구싶은것 ㅜㅜ 아가 낳고 한동안은 움직이지도 못할텐데 힝😢.......... ], 부정 텍스트 확률 : 78.06%"
"[ ............... ], 부정 텍스트 확률 : 53.29%"
"[ .비앙카백조로 구매함♡ 나중에 유모차랑 같이 셋트로 사진 찍어서 후기 올려야징 헤헷.......... ], 부정 텍스트 확률 : 62.87%"
"[ .유모차 사구 급 배고파진 우리 부부. 망향비빔국수 파주점이었나? 가격 비싸고 별로라고 해서 가지말까 했는데 부천까지 와서 밥 먹으려면 밥시간이 너무 늦어질 거 같아 그냥 갔었는데 배가 고파서였는지 엄청 맛있게 먹음 ㅋㅋㅋ🍲🍜🍲🍜🍲.......... ], 부정 텍스트 확률 : 92.42%"
"[ . .? 아기옷이나 손수건 처음 세탁은 찬물로 하지만 나중에는 종종 삶기도 해야한대서 삶숙이를 알아보다가 가스레인지로 삶는거 혹시나 방심하는 사이에 타거나 여러가지 위험부담이 있어서 미피삶통이라는게 있다는걸 알구 굳이 새물건 사는건 비싸구 얼마 안쓸 것 같아서 당근마켓에서 저렴하게 잘 거래했다 부평동에서 직거래했는데 집에 가져와서 작동시켜보니 정말 누런때가 빠지구 새하얗게 되는거 보구 신기방기😍.......... ], 부정 텍스트 확률 : 92.42%"
"[ .후식으로는 엄마가 주신 그린키위랑 식혜🥝🥝🥝🥝🥝.......... ], 부정 텍스트 확률 : 68.39%"
"[ . .?.?국민수납장국민수납장.?한샘샘키즈수납장한샘샘키즈수납장.나도 샀다아가방을 만들어주고싶었는데옷방에는 행거랑 스타일러], 부정 텍스트 확률 : 95.37%"
"[화장대가 있고 책방에는 한샘책장 두개나 있고], 부정 텍스트 확률 : 60.86%"
"[침실에는 우리 부부침대랑 아가침대가 있고ㅜㅜ독립적인 아가방을 만들어주는건 무리ㅜㅜ그래서책방에 수납장을 넣어주고 나중에 차차 조이가 크면 방을 줄 생각으로 샘키즈수납장을 샀다근데 보통 단을 많이 하는데 단까지는 아직 필요없고 너무 공간차지 많이 할 것 같아서 단으로 구매했당 나중에 어차피 똑같은 사이즈로 사서 옆에 연결해주면 괜찮으니까 띵동 이렇게 또 지출이 생기네💳.......... ], 부정 텍스트 확률 : 93.00%"
"[ .오잉? 배시넷은 벌써 왔네용?🧺🧺🧺 유모차는 언제올까🧐.......... ], 부정 텍스트 확률 : 84.48%"
"[ . .?폴로랄프로렌베이비폴로랄프로렌베이비.송현아 폴로매장에서 보구 넘 반한 아가옷. 이라고 써있는데 서양애기들이 좀 작아서 우리나라 애기들로 치면 개월에 입을 수 있는 사이즈랜다. 일 정도에 첫예배 갈 때 입히면 넘 좋을 것 같아서 꼬까옷으로 큰맘먹구 결제함💳.......... ], 부정 텍스트 확률 : 63.68%"
"[ . .? 주문한 손수건과 지퍼백], 부정 텍스트 확률 : 53.46%"
"[아기옷세탁세제 등이 도착했다. 이제.?출산빨래출산빨래 시작인건가😭😭..... ], 부정 텍스트 확률 : 92.81%"
"[ .손수건 빨래 차 대나무섬유로 만든 거즈손수건은 먼지가 많이 나온대서 블로그 후기 보니까 다들 세번 세탁하더라. 근데 그냥 세번 빠는게 아니라], 부정 텍스트 확률 : 96.78%"
"[찬물세탁세탁기자연건조침구털기건조기송풍건조기 이렇게 사이클을 번 한다는😢.......... ], 부정 텍스트 확률 : 82.95%"
"[ .차 사이클 돌린 후 건조기 먼지망 상태. 나는 밤부베베 거즈손수건은 장], 부정 텍스트 확률 : 79.91%"
"[엠보손수건 장 샀는데 먼지가 그렇게 많이 안나온 것 같다......... ], 부정 텍스트 확률 : 54.80%"
"[ . .?.?갑분닭갑분닭 친정식구들이 갑자기 급습했다. 부천시청 옆에 유가네 닭갈비 가서 치즈퐁듀닭갈비 먹었다. 우헤헤............. ], 부정 텍스트 확률 : 82.49%"
"[ . .?.?토요일아점토요일아점 산부인과 정기검진 있는 날이라 일찍 일어나서 아점 준비. 소고기무국], 부정 텍스트 확률 : 64.41%"
"[새송이버섯부침], 부정 텍스트 확률 : 53.29%"
"[열무김치], 부정 텍스트 확률 : 53.29%"
"[고구마순김치], 부정 텍스트 확률 : 53.29%"
"[양파절임 헤헤. 건강밥상🍚.......... ], 부정 텍스트 확률 : 62.92%"
"[ .손수건 장], 부정 텍스트 확률 : 62.92%"
"[아기옷손싸개], 부정 텍스트 확률 : 53.29%"
"[배냇저고리], 부정 텍스트 확률 : 53.29%"
"[속싸개], 부정 텍스트 확률 : 53.29%"
"[턱받이 등 모두 세탁 마치구 고이 접어서 지퍼백에 넣는 것까지 완료 다음주에 한샘 샘키즈 수납장 오거든 바구니에 차곡차곡 넣어놔야징 아기침대 범퍼랑 매트], 부정 텍스트 확률 : 89.76%"
"[애착인형들], 부정 텍스트 확률 : 64.97%"
"[베개 등도 빨아야하는데 으흐흐......... ], 부정 텍스트 확률 : 77.09%"
"[ .병원에.?막달검사막달검사 갔다왔는데.소변검사], 부정 텍스트 확률 : 58.93%"
"[혈액검사], 부정 텍스트 확률 : 53.29%"
"[심전도검사], 부정 텍스트 확률 : 53.29%"
"[분만상담], 부정 텍스트 확률 : 53.29%"
"[ 입체초음파 보는 내내 오빠랑 계속 멍..도대체 누구닮은거야?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사진을 받아들고도 오빠랑 계속 멍...못생겨서 사진은 블러처리...휴그러고 층으로 올라가글루오렌지를 원샷한 후임당검사용정희정 원장님을 만났고], 부정 텍스트 확률 : 99.77%"
"[ 결과는 전화로 알려준다고함.우리는 계속해서도대체가 누굴 닮은거야? 하고양가에 어릴적 사진을 요청했는데..아], 부정 텍스트 확률 : 69.44%"
"[우리가 어릴때 진짜 못생겼구나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ세상에 유전자는 거짓말을 못하네.ㅇㅈㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아들아 엄마가 그냥 패피로 만들어주께..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ .?임당재검임당재검 ], 부정 텍스트 확률 : 59.11%"
"[검사를 오전에 하지 않았다.토요일에 병원예약을 하느라오후 시에 임당검사를 했음 이부분에서 주변인들이 기절ㅋㅋㅋ무조건 오전에 하라고 ㅋㅋㅋㅋㅋㅋ그 전에 뭐 먹고와도 된다해서 내 나름대로 조절한다고삶은감자], 부정 텍스트 확률 : 78.93%"
"[삶은계란], 부정 텍스트 확률 : 53.29%"
"[토마토를 먹고 갔는데감자가 탄수화물 덩어리인거 나 왜 몰랐니?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 바보인증ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 85.11%"
"[ 밀가루], 부정 텍스트 확률 : 53.29%"
"[단것은 끊었다.물론 감자도 안먹었음....휴 ], 부정 텍스트 확률 : 83.41%"
"[ 매일매일 토마토를 갈아마셨고], 부정 텍스트 확률 : 72.02%"
"[ 간식으로는 단백질 덩어리 병아리콩을 먹음.다행히 이건 내가 좋아하는거라계속해서 불리고 삶아서 먹음.집에서 쌀밥도 안먹고 현미밥만 해놓고], 부정 텍스트 확률 : 73.48%"
