"[아기방만들기 등등.그 중 큼지막한게 유모차와 카시트 구매였는데], 긍정 텍스트 확률 : 68.91%"
"[신생아때 검진을 받으러가거나 예방접종할때 필요해서 알아보다보니.리안휴대용유모차가 내눈에 들어왔다...근데], 긍정 텍스트 확률 : 54.00%"
"[페도라 보고 했는데...리안이 많이 가벼운 느낌? 무게가 가벼운게 아니라 안정성이 좀 떨어지는 느낌이랄까?.그런게 있어 고민이 좀 됐다...그래서 집에 와서 또 고민.그리고 다음 미베나 베페때 내가 둥이두고 유모차사러 갈수 있겠나 싶은 생각이 들어 서치서치..그러다 알게된 베이비조거 라는 브랜드..중나에보니 일렬로 된것도 있고..또 쌍둥이 카톡방에서 어떤엄마가 보내준 정보 ], 긍정 텍스트 확률 : 99.10%"
"[ .옆에 가습기와 비교해봐도 크기 가늠가능..기스날까바 뒷좌석에 접어서 얹고왔는데...카시트 있고 그옆에 안정적으로 눕혀 들어간다. ], 긍정 텍스트 확률 : 82.30%"
"[ .조리원갈 기내용출산가방보다 슬림..오호 잘하면 기내도 가능하겠다 ㅋ ], 긍정 텍스트 확률 : 73.39%"
"[ .방풍커버 주셨는데..아직 펼치진 않았는데], 긍정 텍스트 확률 : 57.88%"
"[ .차콜그레이라 맘에듬. 이것도 꼭 포함되야함..그래야 비올때나 미세먼지시 외출가능.그리고 미베 갔을때 사온 .유모차걸이랑 시트 두개...이제 빨래도 다했고 아기방도 다 만들었고...카시트], 긍정 텍스트 확률 : 51.44%"
"[ 늘 시작은 즐거워요 ㅋㅋ 기존 유모차는 창고로 가버리고 동생에게 선물하고 저는 요 절충형유모차 베이비조거 시티투어럭스를 열심히 운전해서 다니는데요? ㅋㅋ 저희 신랑도 주행감이 좋고 안정적이라며 너무 좋아했어요 둘다 여러대의 윰차를 끌어보기도 하고 물려받은것도 있기도 했는데 확실히 주행감이 디럭스급.ㅋㅋ 항상 등받이는 단계중에서 젤 높은 단계를 앉는데..ㅋㅋ 등받이가 높아서 우리 기쁨이가 보다 안정적으로 앉을 수 있더라구요 ], 긍정 텍스트 확률 : 86.63%"
"[ 옆모습이 이모네ㅋ 개월아간데 꽤 안정적으로 앉아있쥬?ㅋㅋ 어리다보니 안정적인 디럭스가 좋겠지만디럭스는 진짜 실용성이 별로 없는듯요 친정에 디럭스를 창고에 둬버리고..절충형유모차를 열심히 타는데는 다 이유가 있겠쥬?ㅋㅋ안전바가 있어서 안전에 안전을 더한게 더 맘에 들었어요 안전벨트가 있긴 하지만 가까운 놀이터나 공원에갈때 갑갑해하길래 안전바 해주면양손으로 잡는게 어찌나 귀여운지.ㅎㅎ 기쁨이에게 최적화된 베이비조거 시티투어럭스.ㅋㅋ ], 긍정 텍스트 확률 : 57.29%"
"[ 는 아빠없을때 많이 하니까 제가 더 유모차를 잘 조종 하지요.ㅋㅋ ], 긍정 텍스트 확률 : 52.41%"
"[ 우리 기쁨이 자세 멋지지요? ㅋㅋㅋ 어린아가일수록 발받침대가 안정적이면 좋겠다했는데 넓어서 저렇게 앉아도 넓직.ㅋㅋ세상 편한자세로 잘 앉아주니 늠나 고마운것ㅋㅋ발받침도 조정이 되고 연령이 올라갈수록 아래로 해주면 좀 더 편할거 같더라구요지금은 개월된 아가라 수평으로 해주는게 젤 좋을거 같아 그러고 있어요 ], 긍정 텍스트 확률 : 81.89%"
"[ 제가 최고로 맘에 들어했던.ㅋㅋ 진짜 여태 만난 윰차중 장바구니가 완젼 내스탈디럭스급의 장바구니를 가진 절충형유모차 베이비조거 시티투어럭스 아기랑 마트나 외출을 하면 진짜 짐이 엄청난데 여긴 그냥 넣었다뺐다고 완젼 쉽고.ㅋㅋ 진짜..어디걸리는거 하나 없어서..정말 편함.ㅠㅠ넣었다뺐다 수시로 해야하는 엄만데 장바구니 이만한거 없다 진짜 거기다 장바구니는 까지 가능하니 또 좋구.ㅋㅋ 뒤쪽에는 지퍼로 포켓이 있어서 간단히 나갈때 지갑이나 폰을 넣어두기도 안전해서 여러모로 두달동안 엄청 열심히 잘 사용했으앞으로도 잘사용할계획.ㅎㅎ ], 긍정 텍스트 확률 : 94.00%"
"[ ㅋㅋ 폴딩이 참 편한제품인데.. 애기자고 야밤에 폴딩영상찍는데..또 버벅..진짜 쉬워요ㅋㅋ 내가 영상울렁증이라 그르치.ㅋㅋㅋ절충형유모차 베이비조거 시티투어럭스 아주 만족스러워요 두달동안 솔직후기라했쥬?동생도 그립감 주행감 여러모로 맘에 든다고 저희집 올땐 자기 유모차 안들고와요.ㅋㅋㅋ보다 만족스러운 절충형유모차 찾으시는 맘분들께 추천해볼께요.ㅋㅋㅋ그럼 나는.. 기쁨이랑 같이 자러 가요 ], 긍정 텍스트 확률 : 99.39%"
"[.누구나 마찬가지겠지만.유모차 선택은 엄마아빠의 엄청난 고민과 검색의 결과물이다..다음은 고민했던 유모차...마이크라라이트 투폴드.처음엔 진짜 마이크라라이트를 사고 싶었다.정말 형제], 긍정 텍스트 확률 : 98.47%"
"[남매 유모차로는 마이크라라이트가 최고인것 같았다.우리집에 엘리베이터가 있었으면 난 정말 이거 사고 싶었다.그런데 이건 디럭스급이라 너무 무거움.주차장에서 접어서 차안에 넣어놓고 들어와야 하는데 내 힘으로는 도저히.........매장가서 아이들 태워봤는데 앞이 안보인다고 큰아이 난리........ 팔리매직 또는 프라임라이트 오토.오토폴딩이 되는 인용 유모차.와 진짜 오토폴딩 되는 동영상보고 반해가지고 매장가서 다 해봤다.그런데 기대했던 팔리매직은 손잡이가 너무 뻑뻑하고이 부분은 기를 들이면 괜찮을듯 하나 암튼 내 손아귀 힘이 넘 약한건지 좀 힘들었다.프라임라이트가 확 끌렸으나 신랑이 인용 유모차구입을 반대해서 마음을 접었다.실상 큰아이가 유모차에 동생만 타고 있는 꼴을 못본다.특히나 여아들은 남아들에 비해 유모차 타는 기간이 길다..], 긍정 텍스트 확률 : 58.67%"
"[나란히형이 아닌 길쭉이형?쌍둥이 유모차.사실 나란히형 쌍둥이 유모차는 내 고려사항에는 없었다.폭이 넓으니 문 통과하기가 어렵고], 긍정 텍스트 확률 : 52.11%"
"[외출시 뭔가 민폐인듯해서......그런데 매장에서 실제로 일자로 되어 있는 길쭉이형? 유모차를 밀어보면 이게 생각보다 유모차가 너무 크고 길고], 긍정 텍스트 확률 : 73.21%"
"[ .폴딩 쉽다 접을때 과감하게 앞으로 쫙 잡아당기면 락도 알아서 잠긴다 ..여기서 잠깐.유투브 베이비조거 시티투어더블 검색하면.바나나베이비 인지 베이비바나나인지외국아저씨가 쏼라 쏼라 설명하는 동영상있는데.영상 중간넘어서. 폴딩], 긍정 텍스트 확률 : 75.84%"
"[ ...제가 유모차 구입한 곳은 화성향남베이비파크 입니다 ], 긍정 텍스트 확률 : 92.73%"
"[ .혹시 유모차 구입 망설이는 분들은 꼭 한번 가보길 추천해요.사장님이 굉장히 친절하시고 정말 솔직하게.유모차에 대해 설명해주시거든요 .제가 고민하던 유모차들을 비교해주시고 단점부터 먼저 설명해주셔서 정말 놀랐어요. .유모차를 실외 보도블럭에서 끌어볼수도 있구요. .에르고베이비 메트로 유모차를 알아보면서 그동안 베페도 가봤고 인터넷 최저가도 알고 있었는데 베페랑 사은품 동일하면서 가격은 가장 저렴했어요. .결정장애로 유모차 고민만 한 두달했는데 .화성 향남 베이비파크 가보고 결국 결정했어요. .집에서 좀 먼거리였지만 충분히 가볼만한 가치가 있는 곳이었어요. ..간단한 유모차 외관 설명 나갈게요.], 긍정 텍스트 확률 : 99.96%"
"[ .제가 산건 레드 색상이구요. .유모차 자체가 이쁘지 않나요? ㅎ .], 긍정 텍스트 확률 : 50.01%"
"[ .이렇게 확인창을 통해 아이도 볼 수 있구요 ], 긍정 텍스트 확률 : 56.72%"
"[ .아기가 자서 완전히 눕힌 모습이예요], 긍정 텍스트 확률 : 55.12%"
"[ .메쉬망은 뒷주머니에 숨어있는 천을 올려서.이렇게 막아줄수도 있어요. ..굳이 단점을 찾자면.. .손잡이 부분이 스펀지같은 재질로 되어있다는건데 .전 사은품으로 핸들커버 받아서 바로 사용했어요], 긍정 텍스트 확률 : 51.08%"
"[핸들링이 너무 불만이었어요. ㅜㅡㅜ.낮은 턱도 못넘고 보도블럭에서 덜컹거림도 심했거든요.. .밖에나감 땅만 보고 걸어야하니 스트레스더라구요. .지금와서 디럭스를 살 순 없고 휴대용은 꼭 핸들링.좋은걸로 사자고 다짐했었죠. . .?에르고베이비메트로유모차는요에르고베이비메트로유모차는요. .핸들링 대박이얘요 .실외에서 직접 밀어보고 좋아서 산거예요. .탄탄하게 무게감도 있으면서 스르륵 밀려서 유모차 끌면서 기분이 넘 좋았어요 ㅋㅋ .남편도 감탄하더라구요. .한손 핸들링도 가능하구요. 저도 모르게 한손은 핸드폰 보면서 한손으로 밀고 있어요. ...기내반입 .아기 돌기념으로 여행 가기로 해서 기내반입 되는걸로 찾고 있었는데 .베페에서 모든 비행기 기종 반입된다고 설명하더라구요. .다른 유모차랑 비교해서 보여드릴수가 없네요 ㅠ .요 유모차만큼 작게 접히는거 같아요. .그런데 항공사마다 또 승무원마다 유모차는 기준이 조금씩 다르다고 하니 이번달 여행 다녀와보고 혹시나 반입 안되면 수정할게요 ... 한손 폴딩 .아기 문센데리고 다니느라 혼자 외출할 일이 많은데 유모차 폴딩까지 번거로우면 안되겠다 싶었어요. .요거 폴딩 진짜 엄청 쉬워요. .한손으로 버튼 누르고 밀어주고 들면 끝이예요..바퀴나 캐노피를 정리해야한다거나 접은후에 한번 더 눌러준다거나 그런 과정도 필요없구요. .그냥 접어서 들면 깔끔하게 끝나요. .폴딩도 정말 중요한거 같아요.. .사용하면서 정말 만족감 많이 느꼈답니다 ], 긍정 텍스트 확률 : 99.93%"
"[ ...그 외에 사용하면서 느낀 장점이요. ..다른 유모차에 비해 폭이 좀 좁게 나왔는데 도심형으로 나와서 그렇다고 들었거든요. .요것도 대박이예요. .아기가 불편할 만큼 좁지도 않으면서 .좁은 길도 슉슉 잘 지나가니 .사람많고 복잡한 이케아 갔을때도 빛을 발하더라구요 .주차장에서도 애먹지 않고 요렇게 잘 지나다닙니다. .이건 진짜 직접 써봐야 느낄수 있는 큰 장점 같아요. ㅎㅎ], 긍정 텍스트 확률 : 98.89%"
"[ .풀차양이 아니예요 ㅠㅠ .특히 누워잘때요.햇빛 가려주려면 얇은 속싸개 이불 들고 다니면서 덮어주거나 해야할거 같아요. ..그래도 단점보다 장점이 훨신 많고 .쓸수록 계속 만족하는 유모차예요. .고민 많이하고 많이 비교해보고 샀는데 .후회없는 선택이었어요...에르고베이비 메트로 컴팩트시티 추천합니다 ... ], 긍정 텍스트 확률 : 63.16%"
"[ 새오 구매해서 악세사리 구입하려는데..모기장을 살까말까 고민중이에요 필요할거 같긴한데홈페이지상 사진은 하나뿐이고 ... 너무 답답해보여서요혹시 모기장 쓰시는 분들 후기나..다른 모기장 쓰시는 분들 계신가요 ??], 긍정 텍스트 확률 : 97.92%"
"[ 유모차 구매후 첫 외출입니다. 아기들이 유모차에서 편하게 과자를 먹네요.], 긍정 텍스트 확률 : 63.04%"
"[ 유모차를 접어서 승용차 트렁크에 넣었을때 모습입니다. 기존에 디럭스 유모차를 대 넣었을때보다 확실히 공간을 덜 차지 합니다.베이비조거에서 정말 혁신적으로 부피를 줄이려고 노력한 모습이 보입니다. ], 긍정 텍스트 확률 : 57.81%"
"[ 실내에서 방한커버를 쒸운 모습입니다. 아직은 보호필름을 때어내지 않아서 투명하지 않지만 보호필름을 때면 투명하게 유모차 안이 보이게 됩니다.방한커버를 보관할 수 있는파우치도 기본 제공이 됩니다.종합적으로 무게도 가볍고 핸들링도 편하고 차에 넣어도 부피가 적어서 정말 잘 샀다는 생각이 듭니다.직접 돈 주고 산 베이비조거 시티투어더블 후기였습니다. ], 긍정 텍스트 확률 : 97.25%"
