"[⛽쿠팡추천상품리뷰⬇ ], 긍정 텍스트 확률 : 79.58%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.제조국 중국쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 화요일오전 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.쿠팡에서 일간 최대추가캐시적립중이에요. 꼭 받아가세요품절임박 ヽーー ノ상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 98.70%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[ 주제 동물휴게실에서 멍때리고 있다가분 늦게 들어감 ㅜㅜ이름표를 달고수업 받았다유준이는 처음이라 낯설어 했지만그래도 울지않고 씩씩하게수업에 참관장난감 보단사람에 관심이 많은듯두리번두리번하는 시간이었다그리고 우리 유준이는활발보단 침착하게 탐색하고움직이는 타입이라는걸다시한번 알게된 순간이었음 ], 긍정 텍스트 확률 : 88.73%"
"[ 주제 캠핑데이도수니가 연차를써서 갔던날매주 컨셉과 테마가 있는게 마음에 들었다뭐 이맘때 하는 수업은다비슷하듯하니], 긍정 텍스트 확률 : 57.09%"
"[ 유준이도 즐기고귀여운 사진담아줄수있었음하는 마음이었는데합격], 긍정 텍스트 확률 : 99.21%"
"[ 먼저 보스베이비 관람후기현시점을 방영한 이야기라고나 할까요 요즘 밖을 나가면 우리들이 흔히 볼수 있는 관경 바로 강아지는 가슴에 꼭 끓어안고 가고 아이들은 유모차에 앉혀서 가는 모습언제부터 인가아기들의 사랑이강아지들에게로 옮겨가며 존재감 위험을 느껴 보스베이비가 그원인을 찾아내 가는 과정입니다 그러면서 보스베이비 형은 시간이 지나면서 동생을 경쟁상대가 아닌소중한 동생가족으로 받아들이는 따뜻한 가족애도 느끼게 하는 영화였습니다 한마디로 아이들과 함께보면 좋을듯한 영화였습니다분노의 질주내용은 쫌.... 스릴과 질주 한마디로 .....입니다.하지만 스릴을 즐기시는분들은 어떠실지 모르겠네요보안관 명품조연들의 연기력], 긍정 텍스트 확률 : 100.00%"
"[스릴을 모두느끼면서 약간의 감동까지... 정말 재미밌게 보았습니다.저는 개인적으로 보안관에 한표입니다.......... .......? 본문 이미지이기회를 빌어맘스캠프 담당자와 용암동 롯데시네마 관계자분들에게 고맙다는 인사를 드리고싶네요 덕분에이벤트에 참여하여 저렴한 가격에 영화를 잘 보았습니다푸른병원 페밀리데이 행사로 분노의 질주 관람하게 되었네요짱맘스회원이니 용암 롯데시네마 자주 이용해야겠네요 회원은 많은 할인이 되니....], 긍정 텍스트 확률 : 99.55%"
"[요 리안캠프 유모차는 다른 유모차에 비해 안정감이 높으네요유모차 접을때도 쉽게 싹 접혀지는게 맘에 쏙 들구요저와같은 취향에 유모차를 고민하시는 분들에게 적극추천 드립니다], 긍정 텍스트 확률 : 91.21%"
"[어휴우리 옴마 또 어디나가려고 해오오니꽁꽁 싸매써오... ], 긍정 텍스트 확률 : 79.64%"
