"[♥베스트⬇ ], 긍정 텍스트 확률 : 99.57%"
"[ ♥할인정보 베이비프라임초경량 유모차], 긍정 텍스트 확률 : 99.71%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.▷ 베스트 ▷제조국 중국중량 .출시년도 년도양대면 여부 핸들전환최대무게 쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 수요일오후 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.쿠팡에서 일간 최대 추가캐시적립중이에요. 꼭 받아가세요품절임박상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 98.80%"
"[.접었을때 펼쳤을때 ], 긍정 텍스트 확률 : 72.85%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[.누구나 마찬가지겠지만.유모차 선택은 엄마아빠의 엄청난 고민과 검색의 결과물이다..다음은 고민했던 유모차...마이크라라이트 투폴드.처음엔 진짜 마이크라라이트를 사고 싶었다.정말 형제], 긍정 텍스트 확률 : 98.47%"
"[남매 유모차로는 마이크라라이트가 최고인것 같았다.우리집에 엘리베이터가 있었으면 난 정말 이거 사고 싶었다.그런데 이건 디럭스급이라 너무 무거움.주차장에서 접어서 차안에 넣어놓고 들어와야 하는데 내 힘으로는 도저히.........매장가서 아이들 태워봤는데 앞이 안보인다고 큰아이 난리........ 팔리매직 또는 프라임라이트 오토.오토폴딩이 되는 인용 유모차.와 진짜 오토폴딩 되는 동영상보고 반해가지고 매장가서 다 해봤다.그런데 기대했던 팔리매직은 손잡이가 너무 뻑뻑하고이 부분은 기를 들이면 괜찮을듯 하나 암튼 내 손아귀 힘이 넘 약한건지 좀 힘들었다.프라임라이트가 확 끌렸으나 신랑이 인용 유모차구입을 반대해서 마음을 접었다.실상 큰아이가 유모차에 동생만 타고 있는 꼴을 못본다.특히나 여아들은 남아들에 비해 유모차 타는 기간이 길다..], 긍정 텍스트 확률 : 58.67%"
"[나란히형이 아닌 길쭉이형?쌍둥이 유모차.사실 나란히형 쌍둥이 유모차는 내 고려사항에는 없었다.폭이 넓으니 문 통과하기가 어렵고], 긍정 텍스트 확률 : 52.11%"
"[외출시 뭔가 민폐인듯해서......그런데 매장에서 실제로 일자로 되어 있는 길쭉이형? 유모차를 밀어보면 이게 생각보다 유모차가 너무 크고 길고], 긍정 텍스트 확률 : 73.21%"
"[ .폴딩 쉽다 접을때 과감하게 앞으로 쫙 잡아당기면 락도 알아서 잠긴다 ..여기서 잠깐.유투브 베이비조거 시티투어더블 검색하면.바나나베이비 인지 베이비바나나인지외국아저씨가 쏼라 쏼라 설명하는 동영상있는데.영상 중간넘어서. 폴딩], 긍정 텍스트 확률 : 75.84%"
"[ 디럭스만 사용하다가 휴대용유모차 바퀴를 보니 왜이렇게 작고 귀여운지....하지만 오늘 마트다녀오면서 사용해보니 핸들링도 너무나 부드럽게 잘 되고], 긍정 텍스트 확률 : 88.18%"
"[가벼워서 울퉁불퉁한 턱도 잘 넘어가서 만족이에요. ], 긍정 텍스트 확률 : 92.04%"
"[ 발판과 등받이의 각도조절은 레버타입으로 편리하게 사용할 수 있어요.], 긍정 텍스트 확률 : 64.05%"
"[ 움직이며 아가가 잘 있는지 확인할 수 있는데 자석형식으로 붙어있어서 사용이 편리해요], 긍정 텍스트 확률 : 68.50%"
"[ 차양막은 단계로 조절가능한데 기존에 사용하던 유모차에 비해 더 많이 내려와 직사광선을 잘 막아줄 수 있어 좋았어요. ], 긍정 텍스트 확률 : 64.80%"
"[ 오늘의 목표는 유모차예전에 킨텍스에서 했던 미베 베이비 엑스포에서 눈여겨보았던 리안 유모차조금이라도 사람 없을 때 리안 매장을 먼저 방문 ], 긍정 텍스트 확률 : 84.75%"
"[ 두 차이는 자동과 수동], 긍정 텍스트 확률 : 69.30%"
"[ 움짤로 만들어본 오토폴딩 ㅋㅋㅋㅋㅋㅋ초 만에 알아서 슬림하게 접혀져 날 들어주세요라고 말하는 듯하다 ㅎㅎ저 정도면 아기를 안고서도 한 손으로도 접을 수 있고펼칠 때도 툭툭 털어주기만 하면 딸깍 하고 쉽게 펼쳐진다힘쓰기 싫어하는 나로서는 완전 마음에 드는 ㅠㅠㅠㅠㅠㅠ글구 실제로 들어봤을 때도 가벼운 편이라 여러모로 오랫동안 사용할 수 있겠더라 ], 긍정 텍스트 확률 : 100.00%"
"[ 아 그리고 판매자분의 애긴데 와닿았던 부분보통 접기 힘든 유모차는 살다 보면 바빠서 집 현관 앞에 펼쳐진 채 보관하게 된다던데 이건 손쉽게 자동으로 접히니 현관 옆에 자리를 차지하지도 않을 거고또 가볍게 베란다로 이동해서 보관할 수도 있을 것 같은 느낌 ], 긍정 텍스트 확률 : 93.11%"
"[ 저 손잡이 중앙에 있는 버튼으로 접는 건데], 긍정 텍스트 확률 : 71.14%"
"[휴대하기 용이한 실용적인 면에서 좋은 거였다. ], 긍정 텍스트 확률 : 81.57%"
"[타보스텝], 긍정 텍스트 확률 : 60.89%"
"[ 와이업지니장점가성비 갑단점약간 가벼워 보인다핸들링도 제일 가벼워서 장점이기도 하지만 안정감은 좀 부족했던 듯 하다.타보스텝장점가성비 갑 바가 아래로 내려감수납공간 널널단점약간 투박하고 가벼워 보인다폴딩이 쉬우나스텝와이업지니와 매우 흡사. 가성비가 좋고 핸들링이 묵직한 느낌은 있지만 안정감은 조금 부족한 느낌이 든다.바가 아래로 내려가기 때문에 아기를 태우고 내리기 편하다. 모든 면에서 비슷한 동급 브랜드 모델들과 비교했을 때 장점들이 많았기 때문에 마지막까지 구매를 고민했던 타보. ], 긍정 텍스트 확률 : 58.60%"
"[ 리안 레오장점핸들과 안전바 레버 가죽으로 고급짐안전바가 사이드에서 열림단점하단에 수납가방 사이즈 많이 작음레오는 펼쳤을 때 다른 유모차들보다 좀 더 컴팩트한 사이즈고 밀었을 때 핸들링도 좋았다. 다만 핸들링이 둥글어서 잡을 때 불편했고 수납가방이 너무 작았다. 리안그램플러스 모델보다 고급라인이다. .. ], 긍정 텍스트 확률 : 94.90%"
"[ 리안 그램플러스장점원터치폴딩단점바가 접히지 않음폴딩 시 레버를 누르는 게 어렵고 뻑뻑하다.리안그램플러스 모델보다 고급라인인데 레오는 단종된 상품이고 레오를 보완하여 나온 것이 그램플러스이다 보니 매장에서도 그램플러스을 추천해줬다. 핸들링이 부드렵고 안정감 있다... .. ], 긍정 텍스트 확률 : 87.88%"
"[ 모든 제품의 기능과 장단점을 다 샅샅히 살펴보지 못했지만], 긍정 텍스트 확률 : 65.75%"
"[다들 후기에서 언급하는 핸들링은 사실 큰 차이를 느끼지 못했다. 의외로 내가 편하게 느끼는 핸들 손잡이 모양이나 재질가죽], 긍정 텍스트 확률 : 70.21%"
"[스폰지 등이 더 크게 다가왔다. 엄마와 아이가 중요하게 생각하는 기준들에 따라 유모차를 구매하면 될 거 같다. 가성비 를 따진다면], 긍정 텍스트 확률 : 50.67%"
"[와이업지니비주얼 은 요요], 긍정 텍스트 확률 : 69.77%"
