"[후기 이벤트 아님그 어떠한 지원도 안받은 객관적인 나홀로 유모차 구매 후기], 부정 텍스트 확률 : 80.79%"
"[ 첫째 아이 출산을 앞둔 임산부 대다수가 그렇듯 나 또한 유모차 고민을 참 많이 했다 ㅋㅋ뭐가 뭔지 하나도 모르는 상태에서 시작해서 어찌어찌 구매까지 하긴했는데..휴우.], 부정 텍스트 확률 : 99.82%"
"[이런거 고민하는거 성격에 정말 안맞는데 한두푼이 아니니 결국 고민은 하게되더라그러나 베페는 죽어도 가기싫었음 ㅠ 너무 복잡할 것 같아서.. 이 포스팅이 나와 비슷한 성향의 임산부들에게 도움이 되길 바라며], 부정 텍스트 확률 : 87.32%"
"[ 한명은 있겠지...내가 고민한 여러가지 요소들 중 가장 먼저 고민한 것들 . 디럭스신생아용절충형디럭스와 휴대용 중간. 새 유모차중고모르는 사람 것. 키가 큰 우리부부에 맞는 높이의 유모차. 디럭스로 결정우선], 부정 텍스트 확률 : 76.14%"
"[우리 동네는 단지 자체가 언덕이 많다 그런데 오히려 그럴수록 디럭스가 끌고 다니기는 안정적이라고 한다.지인에게 들음그렇다고 배시넷같이 넘나 신생아용은 돈아까울것 같고], 부정 텍스트 확률 : 98.47%"
"[오르빗 딱 대표적인 수입 유모차들이 있었다 종류가 많진 않아서 그 밖의 브랜드들은 잘 못봤다..스토케는차체는 높았는데 이상하게 삼발이 바퀴가 불안정해보이고 디자인도 그냥 그래서 처음부터 나는 제외시켰다 부가부도엄청 쓰길래 매장에 가서 끌어보는데 유모차 차체가 넘나 낮은것... 아이컨택은 커녕 배만 보게 생겼다 ㅋㅋ나도 이런데 나보다 센티 더 큰 남편은 발만 겨우 보일듯.. 컬러 매칭과 가벼운 무게는 매우 매력적이었으나 매력 떨어지는 요소가 더 크기에 바로 포기했다 마지막은오르빗가장 안정적이고 높이도 꽤 높고 기능적으로도 도 돌아가는 시트가 너무 마음에 들었다 그런데 확실히 무게가.. 거의 키로 정도 되는 것 같은데 나중에 좀 짜증은 날 수도 있을것 같고 고민고민 ], 부정 텍스트 확률 : 93.35%"
"[ 친구 중 한명은 처음 이걸로 샀다가 바로 팔았는데.. 친구에겐 끌고다니기가 너무 무겁고 컸다고 한다 ㅎ그치만 내가 그 친구보다 센티는 크니..아무튼 수많은 시간을 인터넷으로 검색해본 결과], 부정 텍스트 확률 : 99.55%"
"[ 하비라는 네덜란드 브랜드의 유모차를 발견했다], 부정 텍스트 확률 : 56.82%"
"[ 디럭스인데 오르빗의 절반 정도의 가격밖에 안되고 무게도 키로 정도에 아무튼 가성비가 끝내주는 유모차였다 하이베베가 검색이 많이 되길래 봤더니 가장 할인도 많이해주고 사은품도 많이 준다고 해서 솔깃했다 게다가 집에서도 가까움 심지어 오르빗도 전문으로 취급하 오르빗과 하비 딱 이 두 종류만 비교해보고 싶던 나에게는 최고였다 이후로는 일사천리로 구매하게 된듯 ㅎㅎ ], 부정 텍스트 확률 : 78.78%"
"[ 힘들었어.. 스스로 넘 고생했다고 위로함ㅋㅋ 매장에 총 가지 컬러가 있었는데 나는 올블랙으로 선택했다], 부정 텍스트 확률 : 77.83%"
"[ 결국 브라이택스 듀얼픽스로 선택했당세까지 사용하는 거라 오히려 유모차보다는 가성비가 훨씬 좋은 듯 ㅎㅎ당연히 시트회전이 되기 때문에 시트 방향을 돌려 아기 태우기 편할 것 같다], 부정 텍스트 확률 : 79.83%"
"[ 요 컬러는 감당이 안되서 나는 블랙바이올렛 조합으로 선택했다 ㅎㅎ 이렇게 힘겹고 긴 유모차 선택을 끝내고 모두 다 구매하니정말 이날 기분이 너무 좋았다 세상 후련함....비싸고 좋은 유모차도 좋지만 결국 내가 살고 있는 환경이나 선호하는 취향에 따라서 유모차 선택의 폭이 확연히 달라지는게 참 신기하고 재밌는 경험이었다 ㅎㅎ 참고로 애기 낳고 유모차를 사러 갈까 생각해보기도 했는데 낳고 그럴 여유가 더 없을 것 같았다 그리고 미리 집에서 좀 태우면서 재우기 좋다고 해서 ㅋㅋ수면 도구로도 활용하려고 부랴부랴 출산 한달 전에 구매하게 됨 ㅋㅋ 유모차 후기는 끝], 부정 텍스트 확률 : 95.21%"
"[ 매장에서 이것저것 구경하다가 아기띠도 사버렸다 소르베베 아기띠 라고..처음 들어봤는데 아기띠와 힙시트가 올인원으로 되어 있어서 필요한 부분만 사용하다가 나중에 합쳐서 사용할수도 있는게 괜찮아보여서 큰 고민없이 그냥 이걸로 했다 ㅎㅎ에르고도 매장에 있었는데 아기띠를 쓰다가 나중에 허리힘이 생기면 힙시트를 따로 또 구매해야한다고 해서 세상 귀찮았음 ㅠㅠ 왤케 피곤하게들 사는걸까..ㅠㅠ], 부정 텍스트 확률 : 52.74%"
"[ 사은품을 정말 이것저것 많이 챙겨주셔서너무 좋았던것 같다 ㅋㅋ역시 후기가 좋은데는 다 이유가 있구나 하고 새삼 느낌이제 큼직한 것들도 많이 해결했으니 자잘한 것들만 준비하면 끝이다], 부정 텍스트 확률 : 72.66%"
