"[신발장에 접어서 세워놔도 자꾸 거슬리더라구요뿐만 아니고양대면을 하려면 시트를 들고 바꿔야한다는 디럭스의 불편한점때문에 결국엔 구입하게 된 저렴이 휴대용 유모차에요 ], 긍정 텍스트 확률 : 85.38%"
"[ 제가 구입한 사이트에서는컬러가 팝블루 ], 긍정 텍스트 확률 : 77.32%"
"[ 플레임오렌지 이렇게 세컬러 였어요 ], 긍정 텍스트 확률 : 51.73%"
"[ 그런데블랙 도 있더라구요저는 지마켓 특가로 구입했는데 특가라서 그런지블랙이 없어서 아쉬웠지만 그래도 고민하다가 결국엔 노란색을 샀을것같긴해요 ], 긍정 텍스트 확률 : 58.19%"
"[ 이제 봄이고 따뜻해지니 미세먼지 좋은날이면 유모차도 좀 끌고다니고싶은데 디럭스는 사실 너무 무겁고 절충형이여도 무겁긴 무거워요저희집이 언덕위에 있는 집이라 오르막길을 생각하면 결국 유모차를 두고아기띠를 하고 나가게 되더라구요사실 절충형을 살 땐], 긍정 텍스트 확률 : 98.73%"
"[ 뜯어보니 더 귀엽고산뜻한 옐로우 에요저희 아가는 그림책을 보기 시작한 시점에], 긍정 텍스트 확률 : 86.02%"
"[노란색을 참 좋아했어요그래서인지 저도 초반에 아기용품이 노란색 쪽으로 시선이 많이 갔던 것 같아요컬러도 맘에들고], 긍정 텍스트 확률 : 59.59%"
"[뒷바퀴개 인데모양이 달라서 잘 봐야해요설명서를 잘 들여다보고 조립하면 쉽게 할 수 있지만당황스러울수도 있을 것 같아요물론], 긍정 텍스트 확률 : 93.94%"
"[ 바퀴모양을 잘 보면브레이크처럼 생긴 버튼이 개 달려있는 바퀴와개 달려있는 바퀴로 나누어져요브레이크페달같은게 개 달려있는게 앞바퀴 왼쪽사진브레이크페달같은게 개 달려있는게 뒷바퀴 오른쪽사진 ], 긍정 텍스트 확률 : 51.39%"
"[ 뒷바퀴도 두가지 에요오른쪽과 왼쪽 을 잘 구분하셔서 끼워야해요파란말풍선 오른쪽홈이 왼쪽 뒷바퀴이고], 긍정 텍스트 확률 : 98.99%"
"[노란색말풍선 왼쪽홈이 오른쪽 바퀴에요 ], 긍정 텍스트 확률 : 82.03%"
"[ 제가 손으로 가리키는쪽에 홈의 위치를 잘 보셔야해요홈과], 긍정 텍스트 확률 : 96.46%"
"[ 짜잔 바퀴 개를 완벽하게 장착했어요 완전 뿌듯 ], 긍정 텍스트 확률 : 89.19%"
"[ 앞바퀴에 달려있는 개의 페달중에윗부분 페달이 회전을 담당 하고 있는 페달이더라구요윗부분에 작은 페달을 수평으로 내려주면 좌우로 바퀴가 움직이고페달을 원위치로 다시 올려주면 그냥 꺾이지않고 앞뒤로만 움직일 수 있어요 ], 긍정 텍스트 확률 : 88.27%"
"[어느 유모차와 마찬가지로뒷바퀴 페달에 장착되어있다는 사실 ], 긍정 텍스트 확률 : 83.76%"
"[셋팅을 다시 해야했어요 ], 긍정 텍스트 확률 : 53.00%"
"[ 와우 핸들링 너무 좋다 정말기대이상의 핸들링 이에요사실 너무 저렴해서], 긍정 텍스트 확률 : 99.58%"
"[영 아니면 다른거 새로 사야겠다하는 마음으로 구입했는데 너무너무 좋았어요 ], 긍정 텍스트 확률 : 88.24%"
"[ 이게 조금 부실해보이는것같기도한데막상 아이를 앉혀보니 그렇지도 않더라구요시트 뒤에 끈을 조절해서 각도 를 원하는대로 세우거나 눕힐 수 있어요시트 뒤에 끈을 조이면 시트를 조금 더 세울 수 있고시트 뒤에 끈을 풀면 시트를 눕힐 수 있어요 ], 긍정 텍스트 확률 : 92.94%"
"[옆에 버튼이 사실 조금 부실해보여요빼고 끼우고 하다가 괜히 버튼이 약해보여서고장날 것 같은 느낌이 들더라구요이 부분이 조금 아쉽지만], 긍정 텍스트 확률 : 83.14%"
"[ 다리각도 조절은 옆에 버튼을 앞쪽으로 잡아 당기면서다리받침을 올렸다 내렸다를 해주면 아주 간단하고 쉽게 가능해요제가 계속 한손으로 핸드폰 촬영을 하느라조금 버거워보일수도있는데], 긍정 텍스트 확률 : 53.21%"
"[한손으로 하는거라 조금 어눌해보일뿐사실 엄청 심플하고 쉬워요 ], 긍정 텍스트 확률 : 61.17%"
"[ 처음에 알려드렸던], 긍정 텍스트 확률 : 65.49%"
"[손잡이에 버튼을 들고 접었다 폈다아주 손쉽게 혼자서도 할 수 있어요 ], 긍정 텍스트 확률 : 52.64%"
"[다른지역 사는 친구의 부탁으로 장난감 할인매장 한번더 다녀왔어요 뭐 워낙 가격이 저렴하니 택배비 부담하고도 구매할만한 금액이라 친구들 부탁으로 한번더 다녀왔답니다 주말동안 그렇게 많던 장난감이 다 털려서 이제 확 줄어든 모습에 왜 내가 안달이 나는건지 ㅋㅋ다행히 친구가 부탁한 공주 드레스사이즈가 남아있었어요 휴얼른 구매 완료 ], 긍정 텍스트 확률 : 90.22%"
"[ 저도 구매해서 잘 가지고 놀고 있는 귀여운 피규어 인형 가격이 진짜 저렴하죠 ? 요건 어린이집 선물로 보내줘도 좋지 않을까 싶은데 아기자기하니 귀여우니 아이들도 좋아할것 같고 가격도 진짜 저렴해서 피규어 좋아하는 분들은 와서 득템하세요 캐릭터는 먀샤와 곰 이에요이외에도 시계도 저렴하고 ], 긍정 텍스트 확률 : 89.18%"
"[열쇠고리도 좋구 ], 긍정 텍스트 확률 : 92.18%"
"[저희야 그동안 잘 놀았으니 혹시 필요하신분들 요술화장대 구매하세요 요거 아이들이 너무 좋아한답니다], 긍정 텍스트 확률 : 92.17%"
"[ 장난감할인매장 다녀봤어도 이런가격대의 파격적인 세일은 저도 처음봤어요 매년 하지 않고 이렇게 비정기적으로 하는데 올해 특히 많은 제품들이 나와서 반응이 정말 폭팔적이네요 특히 아이들이 너무 좋아하는 번개맨 ], 긍정 텍스트 확률 : 88.56%"
"[변신로봇 장난감 종류도 엄청 많아요], 긍정 텍스트 확률 : 66.67%"
"[ 이벤트 또하나 ], 긍정 텍스트 확률 : 62.75%"
