"[ .바로 미니버기], 부정 텍스트 확률 : 66.19%"
"[오르빗 베이비], 부정 텍스트 확률 : 53.29%"
"[호크 등을 모두 만날 수 있는.세피앙몰인데 박람회 동일 가격인데다가 코엑스에 없는.브랜드도 있고 악세사리 득템 찬스 까지 있어 모르면 손해일 정도..월 일 수요일부터 월 일 화요일 까지 딱 일주일 간 열리는 온라인 베이비페어로.신규회원 즉시사용 적립금을 최대 ], 부정 텍스트 확률 : 68.46%"
"[유모차 ], 부정 텍스트 확률 : 53.29%"
"[ ...... ], 부정 텍스트 확률 : 70.13%"
"[ 임신초기 남양아이 육아교실 참석했다가 당첨된 .?하비유모차하비유모차 원래 사고 싶었던 윰차가 있어서 중고나라에 판매할까 살짝쿵 고민했지만핸들링이 너무 좋아서그냥 사용하기로 했는데결론만 말하면정말 만족해요 ], 부정 텍스트 확률 : 85.61%"
"[ 작년에 ㅋ후기 올리고 포인트 받겠다고 찍어논 사진들 엉망진창이네요 ㅋㅋㅋ ], 부정 텍스트 확률 : 97.18%"
"[ 어댑터로 높인 모습 ], 부정 텍스트 확률 : 56.65%"
"[ 신생아때부터 사용], 부정 텍스트 확률 : 64.20%"
"[출산은 월 예정인데성격이... 꽂히면 끝장을 봐야해서 개월전 유모차 구입한 후기에요ㅋㅋㅋ .?하비이지워커하비이지워커.?이지워커하비이지워커하비먼저 제가 구매한하비 이지워커 럭셔리블랙 하이베베 논현점에서 구매했습니다방금 결제하고 와서 내일 택배로 집에 도착 예정ㅋㅋㅋㅋ 후기도 성격급함 ], 부정 텍스트 확률 : 81.19%"
"[ 유모차는 애기 낳고 사도 된다는 얘기 많이 들었어요무슨 유모차를 사게 되든 휴가를 내고 베페에 첫날 일찍 가서 디피 제품을 사기로 마음을 먹었었어요근데 저는 월 출산인데 출산전 베이비페어가 코엑스 베페 월이라 빨리 유모차를 알아보게 됐네요베페에서 전시품 사려면 현장에서 고민하면 안될것 같아서 정해놓고 가야겠다 싶었고그래서 집근처 잠실롯데에서 백화점], 부정 텍스트 확률 : 77.26%"
"[토이저러스에서 대부분의 유모차를 밀어봤어요ㅋㅋ유모차 도 모를때부터 많이 봐서 알고있던잉글레시ㄴ], 부정 텍스트 확률 : 55.69%"
"[리ㅇ비싸고 유명한거라서 알고있던 스토ㅋ 말고도부가ㅂ], 부정 텍스트 확률 : 55.64%"
