"[.안녕하세요. .오늘 반짝추위로 많이 춥다고 하는데.따뜻하게 채비해서 나가셨나용?.요즘 독감 환자가 많으니], 긍정 텍스트 확률 : 81.83%"
"[항상 감기 조심하시고.건강관리 잘하시길 바랍니다..오늘은 가성비 좋은 유모차를 여러분들께 소개해볼까 합니다..얼마 전 사랑스러운 조카가 태어났는데요.정말 귀엽습니다 ㅠㅠㅠㅠ.ㅋㅋㅋㅋ왜 조카바보가 되는지 알거같네요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.50%"
"[ ..아이빌리브에서 직접 주문을 했고.배송은 이틀정도만에 도착했습니다..제가 아기용품에 대해 정말 무지해서 .처음엔 유명한 브랜드로만 사야겠다 생각했어요 .. .그래서 리안 이라는 제품을 알아보다가.우연히 아이빌리브 라는 제품을 알게 되었는데요.이미 엄마들 사이에서는 입소문이 자자한 유모차 더라구요. ], 긍정 텍스트 확률 : 93.38%"
"[ ..사용설명서가 함께 와서.조립은 어렵지 않게 할 수 있었어요.무게는 .라 엄청 가벼운 건 아니지만], 긍정 텍스트 확률 : 75.47%"
"[.일반적인 디럭스 유모차 보다는 가벼워요.아기의 안전을 위해서라면 조금의 무게감은 .있는 게 좋을 거 같습니다 ㅎㅎ. ], 긍정 텍스트 확률 : 87.81%"
"[ ..아이빌리브 유모차의 가장 큰 장점이라고 말할 수 있는.바시넷 모드입니다..신생아들은 허리에 힘이 없어서 유모차를 타기가 .힘들잖아요.아이빌리브 유모차는 바시넷 모드가 가능해서.신생아부터 사용가능하고.아기가 편안한 침대에 누운것 처럼 이동이 가능합니다..굳이 기저귀를 갈기위해서 수유실을 찾으러 다닐 필요도.없겠죠 ㅎㅎ ], 긍정 텍스트 확률 : 99.89%"
"[ ..그리고시트 방향도 조정 이 가능합니다..정면 단계], 긍정 텍스트 확률 : 72.29%"
"[대면 단계 로 시트의 각도를 조절할 수 있어서.아기를 계속 편안한 자세로 유지시켜 줄 수 있어요..개인적으로 마음에 드는 기능이네용. ], 긍정 텍스트 확률 : 70.69%"
"[ ..손잡이 또한 도 단계로 조절이 가능 합니다..아기 엄마가 키가 큰 편이라 손잡이 조절은 필수 였어요 ㅎㅎ.아기도 편해야 되지만], 긍정 텍스트 확률 : 99.13%"
"[ ..아이빌리브 유모차의 앞바퀴와 뒷바퀴에요 .직경으로 .인치로 바퀴가 큰편이구요.앞바퀴에는 쇼바?라고 해야되나요?ㅋㅋ.충격을 흡수할 수 있는 장치가 있어서.승차감이 굉장히 좋을 거 같아요..일반 유모차 휠 대비 무려 배의 수명을 보장 한다니 .신뢰가 갑니다 ㅎㅎ. ], 긍정 텍스트 확률 : 99.35%"
