"[차양막이 높고], 부정 텍스트 확률 : 84.70%"
"[ 아기 유모차를 슬슬 알아보고 있는데아이캔디 피치 사용하시는 분 계시나요?핸들링이 엄청 좋아서 신랑이 맘에 들어하는데아직 한국에서 인지도가 높지 않아서인지 후기나 리뷰가 많지 않아서 결정을 못 내리고 있어요 써보신 분 계시면 어떤지 의견 부탁드려요그런데 다들 어떤 유모차 사용하시나요??디럭스 중 좋은 유모차 추천도 부탁드려요 ], 부정 텍스트 확률 : 67.08%"
"[ 엘리니어 윙스플러스 절출형 유모차 구매했어요물려받은 아이캔디 유모차가 수리불가로 쓸수 없게 되자], 부정 텍스트 확률 : 89.93%"
"[절충형으로 이만한 건 없을 듯 해요.양대면가능하며 아이가 탄 상태서 쉽게 바꿀 수 있고], 부정 텍스트 확률 : 74.73%"
"[공황 올 정도로 멘붕이라고 해서바짝 긴장을 하고 다녀왔어요.사실 방문하고나면 몸살 각이지만이번이 역대급 업체가 참가했다고 하고반려동물 용품이 한자리에 모이는 자리에개엄마가 구경이라 쓰고 쇼핑이라 읽기 안 갈 수 없잖아요?? ], 부정 텍스트 확률 : 95.15%"
"[ 신랑이 차 줄테니 대리운전 불러 다녀오라더니일산 킨텍스는 한 분 거리라 많이 멀진 않아서다행히], 부정 텍스트 확률 : 71.69%"
"[한번은 같이 가준다 하길래 개아빠와 개딸 동반해서 다녀왔어요.당.연.히년에 한번은 같이 가준다 는 말이겠죠? ], 부정 텍스트 확률 : 76.28%"
"[ 펀딩중인 앨리스를 직접 보고결정할 수 있고 온오프라인 동시에 할인 이벤트중이니일산 킨텍스에 못오신다 해도이 기회에 득템하면 좋을것 같네요. ], 부정 텍스트 확률 : 52.06%"
"[ 제목에서도 느끼셨겠지만정신줄 놓고 다녔어요 ㅋㅋ뭘 찍는지도 모르고 일단 본능적으로셔터를 눌러댔네요.길게 늘어진 부스만큼 철벽쳐진 디팡 부스와춤추는도기넛도 구매 줄이 길었는데작년에도 첫날은 구매 실패], 부정 텍스트 확률 : 99.90%"
"[ 해피팡팡에서 소소하게 먹일 간식도 사봤구요.수제간식은 봉에 만원현금결제시케익이나 머핀도 많이 구매하시더라구요. ], 부정 텍스트 확률 : 94.18%"
"[ 포토존 맛집이었던 바늘나무두그루 ], 부정 텍스트 확률 : 73.23%"
"[ 어제 먼저 다녀오신 잇님], 부정 텍스트 확률 : 53.29%"
"[원둥이님이구매했다는 카시트가 탐나서담비도 엉덩이 함 넣어봤어요. 미만이라 큰 사이즈 카시트에 앉혀봤는데작은 사이즈도 가능하더라구요.카시트가 사고싶지만], 부정 텍스트 확률 : 66.34%"
"[차가 없음 ㅋㅋㅋ ], 부정 텍스트 확률 : 76.47%"
"[ 울지마마이펫], 부정 텍스트 확률 : 64.53%"
"[ 강아지 목욕용품하면 또.?아인솝아인솝 이죠인파를 비집고 들어가 펫타올이랑 워터리스샴푸 데려왔어요.요즘 날씨가 추워져서 한번에 오래하는 산책보다아침 저녁으로 짧게 산책을 다니고 있는데그때마다 물로 씻기고 말리려니번거롭기도 하고 피부도 민감해질것 같더라구요.그래서 이번에 워터리스샴푸를 써보기로개인적으로 워터리스샴푸는 찜찜해서패스하고 있었는데 아인솝제품은 대부분 사용해봤고사용중이기도 하고], 부정 텍스트 확률 : 67.33%"
"[ 펫타올도 데려왔는데 직접 만져보니 너무 보듈보듈톡톡하더라구요.라지는 폭이나 길이도 길어서말릴때 이거 한장으로도 충분할것 같아요.털살 쪘을때는 수건 두세장을 써서애 목욕시키고 나면 빨래꺼리가 일이었는데좀 더 수월해질것 같아요. ], 부정 텍스트 확률 : 95.53%"
"[ 로맨스독에서 이제 스텝도 나오네요?몰랐... ], 부정 텍스트 확률 : 85.45%"
"[ 카디날코리아], 부정 텍스트 확률 : 53.29%"
"[오메가트릿 할인해서 저렴하게 데려왔어요. ], 부정 텍스트 확률 : 71.69%"
"[ 만원 이상 구매하면 추첨권이 주어지는데어느분이 등 당첨됐는데 직원분들 다 같이 환호하고축하해주시더라구요 ㅋㅋ ], 부정 텍스트 확률 : 55.77%"
"[ 그리고.?비사이드유비사이드유담비가 꾸준히 사용하고 있는 리드줄은 물론 인식표 잘하는 집 ㅋㅋ년은 된것 같은데 리드줄을 아무리 질질 끌고다니고잦은 물세탁에도 헤짐 도 없이 짱짱해요.아직 멀쩡하지만 기분전환겸 하나 더 샀어요 ㅋㅋ박람회에서 리드줄에 자수 문구 주문은 불가능하고리드줄만 구매 가능했어요.따로 자수 문구가 필요하다면 스토어팜으로 주문하면 될것 같아요. ], 부정 텍스트 확률 : 93.07%"
"[ 자수 넣은것보다 더 가볍더라구요. ], 부정 텍스트 확률 : 94.14%"
"[ 같이 나온 보람도 있어야하니까담비에게 오늘만은 다양한 시식코너를 맛보게 해줬어요.이건 스튜였는데...이거 먹고 너무 머즐이 흥건하고 냄새가 심해서ㅠㅠ아지냥이 간식사러 갔다가사장님 만나서 물티슈 얻어다 닦아줬네요. ], 부정 텍스트 확률 : 51.69%"
"[ 링거펫.수분보충은 좋은거니까담비도 시음해보러 갔는데막상 안먹어서 당황쓰...ㅋㅋ근데 숭어 간식은 또 잘 먹더라구요.포토죤 이벤트 있어서 참여하고 숭어간식 받아왔어요 ㅋㅋ ], 부정 텍스트 확률 : 82.11%"
"[ 더울거 생각해서 코트 안 입고 갔는데도너무 덥더라구요. 땀나고 정신 없고강아지들도 많이 더울것 같아요. ], 부정 텍스트 확률 : 97.85%"
"[ 그리고.?아지냥이아지냥이 참가업체길래 대량 간식은다른데서 보지도 않고 아지냥이에서 바로 샀어요.사장님은 안계셔서 후딱 고르고 결제하려는데아니 어디서 나오셨는지담비맘 아는척해주셔서 얼마나 반가웠던지 ], 부정 텍스트 확률 : 98.92%"
"[ 잠보아 펫플라그리스도 오래 사용하는 제품인데개봉 안하면 년까지 가능하대서아직 남아있지만 하나 더 구매했어요. ], 부정 텍스트 확률 : 93.19%"
"[ 네코는 구매줄도 길었어요...하지만 그래도 사야겠죠?ㅋㅋㅋ ], 부정 텍스트 확률 : 93.77%"
"[행사상품이 많았어요. ], 부정 텍스트 확률 : 66.03%"
"[ 반달펫 포토죤에서도 인증샷 ], 부정 텍스트 확률 : 77.42%"
"[ 펫드라이룸도 사실 올때마다 고민하는 품목인데나는 담비가 드라이룸은 안들어가니까에이플러스 펫드라이로], 부정 텍스트 확률 : 84.43%"
"[ 신랑은 담비가 적응하면된다며드라이룸을 고집하고 있어요.에이플러스도 봤는데 가격이 좀더 저렴해진것 같던데기분탓이었을까요??넬로는 에어워시도 가능하더라구요.소음도 크게 거슬리지 않고사이즈도 적당], 부정 텍스트 확률 : 61.67%"
"[ 열심히 시식 간식도 먹고], 부정 텍스트 확률 : 69.03%"
"[ 턱을 꼭 그렇게 받쳐야만 했냐귀엽개ㅋㅋ ], 부정 텍스트 확률 : 53.65%"
"[ 이번에 옷은 진짜 하나도 못봤어요.업체가 너무 많아서 옷까지 봤다면정말 멘붕왔을것 같아요.간식이 다 떨어져서 간식 위주로만 보고다른건 과감하게 패스해서 시간만에 보고 나왔어요.이벤트 참여나 꼼꼼히 부스 구경하려면규모가 너무 커서 시간 이상은 걸릴것 같아요. ], 부정 텍스트 확률 : 95.29%"
"[앙팡토토 ], 부정 텍스트 확률 : 53.29%"
"[ 마뉴엘라 캔디힙색 ], 부정 텍스트 확률 : 53.29%"
"[ 디자인핑크키티 ], 부정 텍스트 확률 : 53.29%"
"[ 신상 유아힙색], 부정 텍스트 확률 : 53.29%"
"[앙팡토토 마뉴엘라 캔디힙색 특징 . 귀여운 동물 모양의 캐릭터로 여아남아 모두 매우 좋아합니다.. 고급스러운 원단으로 부드럽고 가벼워 사계절 사용이 가능하며 겉감고급 코튼 소재로 아이 피부에 닿아도 안전합니다.. 유니크한 디자인으로 아이의 상상력과 감성을 키워주며 베이비부터 키즈까지 사용 가능한 실용적인 제품입니다.. 동물얼굴모양을 자수로 디자인하여 세탁 시 떨어질 염려 없습니다.. 네임택 부착으로 가방분실을 방지합니다.. 길이 조절이 가능한 웨빙끈과 버클로 편안하게 착용 가능합니다.. 인증 받은 마뉴엘라 정품입니다.앙팡토토 마뉴엘라 캔디힙색 컬렉션 핑크키티허쉬옐로우키티퍼피 ], 부정 텍스트 확률 : 60.26%"
"[ 앙팡토토 마뉴엘라 캔디힙색 쁘띠힙색형크로스형 ], 부정 텍스트 확률 : 53.29%"
"[ 겉감과 안감 모두 부드러운 코튼 소재이며 스트랩 또한 정말 부드럽습니다.내부에 손수건이나 아기 장난감 등 아이가 들고 다닐 수 있을 정도의 간단한 물건을 챙길 수 있어요. ], 부정 텍스트 확률 : 58.36%"
