"[안녕하세요유모차], 부정 텍스트 확률 : 53.29%"
"[ 카시트 전문매입업체지니베베입니다. ], 부정 텍스트 확률 : 55.13%"
"[ 저희 지니베베는사용시기가 지났거나 개인거래를 통해 처분하기 귀찮은 유모차], 부정 텍스트 확률 : 60.72%"
"[ 카시트], 부정 텍스트 확률 : 53.29%"
"[ 이번 포스팅은 브라이텍스 듀얼픽스아프리카 플라디아 그로우매입후기인데요고객님께서 빠른 처분을 원하셨는데문의주신 당일 매입], 부정 텍스트 확률 : 75.65%"
"[ 매입양식을 먼저 답장드렸구요.그에 맞게 적절히 답장해주셨네요 ], 부정 텍스트 확률 : 80.21%"
"[ 저희 지니베베는 타업체 같이직접 제품을 보고 의도적으로 매입가를 깍지않습니다.매입양식에 맞게끔만 주시면 견적가를 드리고], 부정 텍스트 확률 : 96.62%"
"[ 그에 맞게 정확히 입금해드립니다 ], 부정 텍스트 확률 : 80.93%"
"[ 기사님 일정 확인 후 당일 입금], 부정 텍스트 확률 : 53.06%"
"[카시트 전문매입업체지니베베 ], 부정 텍스트 확률 : 53.29%"
"[안녕하세요?유모차세탁 카시트세탁 전문점 윰차부산유모차세탁 입니다 ], 부정 텍스트 확률 : 59.57%"
"[ 오늘세탁할 카시트는아프리카 카시트아프리카 회전형 카시트 플라디아 입니다 ], 부정 텍스트 확률 : 62.49%"
"[ 튼튼함과 견고함을 자랑하는 아프리카 플라디아 회전형 카시트세탁전에 시트를 완벽분리합니다 ], 부정 텍스트 확률 : 53.87%"
"[ 윰차부산유모차세탁에서는한개라도 무료수거배송두개라면 할인세개라면 할인불편함을 감수하고 매장예약방문시 할인모든 서비스는 카시트와 유모차에 한하며 중복할인은 아닙니다 ], 부정 텍스트 확률 : 73.97%"
"[부피가 크고 무거운 디럭스라고 해도], 부정 텍스트 확률 : 91.55%"
"[암튼 임신 후기에 새로 알게 된 실버크로스 유모차. 미마자리 풀세트 구입 가격이나 실버크로스 서프 유모차나 가격은 비슷해서 둘 중에 엄청 고민했다. 그래서 월 벡스코 부산베이비페어에 갔을때 실물을 직접 보고 결정하기로 했다. ], 부정 텍스트 확률 : 75.11%"
"[베페 행사장 들어가자마자 미마자리랑 실버크로스 유모차 매장으로 망설임 없이 직진ㅋㅋㅋㅋ 우선 미마자리 유모차부터 보러 갔었는데 그 날 보고 마음에 들면 바로 계약할 생각으로 유모차도 밀어보고 이것저것 설명도 자세히 듣고 싶었는데 미마자리 직원들은 손님들이 와도 본척만척], 부정 텍스트 확률 : 99.28%"
"[적극적으로 와서 설명해주고 그런 게 없었음 나중에 다시 지나가다가 다른 사람들한테 설명해주는 거 옆에서 들었던듯 그래도 미마자리 유모차가 한국 엄마들한테는 인기가 있는 편이라 그런지 실제로 미마자리 유모차에 애기 태우고 다니는 엄마들도 많이 보이긴 했다ㅎ], 부정 텍스트 확률 : 87.13%"
"[두번째로 간 곳이 실버크로스 매장. 가기 전 인터넷으로 검색해 보고 간지라 서프도 세 종류가 있는 걸 알았기에 유심히 보고 있으니 직원분이 다가와서 열심히 설명해 주시기 시작했다. 확실히 가격도 인터넷보다 베페에서 사는게 이득에다 후기를 쓰면 기내반입용 휴대용 유모차도 준다고 했다 디럭스를 쓰는 맘들은 거의 대부분 디럭스를 쓰다가 팔고 휴대용을 구입해서 쓴다는 얘기를 많이 들었기에 나도 그럴 생각이였는데], 부정 텍스트 확률 : 53.72%"
