"[.어파베이비 유모차 기종입니다.. 어파베이비 크루즈...주문 주신 상품은북유럽 블랙믹스입니다.. 님이 보내주신 사진입니다..감사합니다.. ], 긍정 텍스트 확률 : 96.96%"
"[ .손잡이안전바 안전띠 종 세트입니다..모두 벨크로로 제작되었어요..손잡이 양쪽은 굴곡땜에 주름이 좀 생깁니다..지퍼형도 생겨요..근데 좀 덜 생긴다는거 참고해주세요..벨크로가 첨에 뻗뻗해서 더 주름이 생기는데요..자주 매만져 주시면 부드러워져서.손잡이 굴곡에 맞게 커버하실수 있을거예요..신축성 없는 면원단으로 굴곡진부분 커버하면 주름이 생겨요..꾹꾹 자주 눌러주시고 매만져 주세요...이쁜 사진도 주시고.아가도 커버하고 좋아했다는 감사한 후기도 주셔서.더운날 한줄기 오아시스를 만난 기분입니다...다시 한번 귀한 후기 감사드려요... ], 긍정 텍스트 확률 : 73.37%"
"[ 안전바커버 등등.. 부착형태.벨크로형지퍼형.. 주문원단 ..알려주시면 견적가랑 주문안내해드립니다..주문원하시는 상품에 꼭비밀 덧글 로 알려주세요.. ★★★★ ], 긍정 텍스트 확률 : 58.14%"
"[어파베이비는 미국에서는 나름 대중적인 브랜드예요. 뉴욕], 긍정 텍스트 확률 : 54.11%"
"[보스턴 갔을때도 어찌나 많이 보이던지 ㅎㅎ절충형 유모차 어파베이비 크루즈 를 처분하고 구입한휴대용 유모차 미누년에 새로 나온 것 같더라구요. 개월 가까이 사용중인데 만족중입니다 휴대용 유모차 또는 기내용 유모차로 추천합니다 우리 아들도 마음에 들어하는 것 같죠?하], 긍정 텍스트 확률 : 97.44%"
"[사실 포스팅 거의 다 썼는데 날려서....... 다시 쓰고 있어요 흑흑.. 응원해주세여........ ], 긍정 텍스트 확률 : 85.88%"
"[ 제가 어파베이비 미누 구입을 고민할 때 했던 생각을 위주로 후기를 작성해볼께요 ], 긍정 텍스트 확률 : 59.70%"
"[ 휴대용 유모차는 불 이하 모델부터 불 고가의 모델까지 다양합니다. 육아템에 대해 잘 몰랐을때 값비싼 디럭스 유모차를 구입하거나 트렁크에도 들어가기 힘든 큰 유모차를 구입한 경우가 많아.. 빠르면 개월부터 휴대용 유모차를 찾기 시작하죠. 디럭스 유모차에 투자를 많이해서 휴대용이니까 좀 저렴한 모델 사도 괜찮지 않을까하는 생각이 들텐데요. 다르게 생각해보면], 긍정 텍스트 확률 : 74.65%"
"[ 휴대용 유모차는 만 세까지도 사용하니 안전하고 마음에 드는 모델로 사는게 좋을 것 같다는 생각 입니다. 내 아이가 가장 오래 타는 유모차라고 생각하니 투자를 좀 해도 되겠다는 생각이사실], 긍정 텍스트 확률 : 98.44%"
"[ 제가 어파베이비 미누와 번 비행을 했는데], 긍정 텍스트 확률 : 59.56%"
