"[러비 육아템 ], 부정 텍스트 확률 : 53.29%"
"[ 휴대용 기내반입유모차 에르고베이비 한달 사용 후기 ], 부정 텍스트 확률 : 80.30%"
"[사진 뚜니엔러비 ], 부정 텍스트 확률 : 53.29%"
"[ 러비는 둥이 산책 겸 배변 때문에도 많이 나가야되서 우리 부부는 디럭스 유모차 하나는 좋은 거 사서 태우자고 약속했었다.비싼 가격을 주고 산 만큼 하루에 두 세번도 더 나가는지라 정말 잘 탔는데한가지], 부정 텍스트 확률 : 51.28%"
"[딱 하나 아쉬운 게 휴대성최근엔 문화센터도 다니고], 부정 텍스트 확률 : 79.24%"
"[교회도 다니고 외출도 잦아지니유모차를 대여할 수 있는 장소가 아니면 정말 불편했다.절충형유모차나 휴대용유모차가 필요할 쯤 딱 맞게 출시한기내반입유모차 에르고베이비 메트로 컴팩트 시티 스트롤러 ], 부정 텍스트 확률 : 67.98%"
"[ 우리 부부는 유모차를 처음 선택할 때 디럭스유모차냐 절충형유모차냐 고민을 많이 했는데러비 첫 유모차로 디럭스유모차를 선택한 건 휴대성보다 디럭스유모차 만에 묵직함과 안정성이었다.에르고베이비 메트로 컴팩트 시티 스트롤러는 .에 가벼우면서도 앞 뒤바퀴 크기 차별화로 확실히 다른 절충형유모차나 휴대용유모차보다 핸들링이나 승차감이 안정적이다. ], 부정 텍스트 확률 : 72.59%"
"[ 누가 절충형유모차나 휴대용유모차는 안정성이 떨어진다 했단 말인가?폴딩했을 땐 워낙 컴팩트한 사이즈라 기내반입도 가능], 부정 텍스트 확률 : 79.77%"
"[ 접으면 사이즈도 작아 나는 보통 러비 카시트 발 밑에 두는 편인데둥이 케이지 때문에 좁은 트렁크에도 널널하게 들어간다. ], 부정 텍스트 확률 : 91.78%"
"[ 버튼을 밀면서 누르고 펴고 ], 부정 텍스트 확률 : 62.91%"
"[ 버튼을 밀면서 누르고 접으면 끝이라 더이상 설명할게 없음기계도 잘 못 다루고 물건을 잘 못 다루는 나도 척척 해낸다.단 하나], 부정 텍스트 확률 : 93.52%"
"[내가 사용해 본 절충형유모차나 휴대용유모차는 물론기내반입유모차 에르고베이비 메트로 컴팩트 시티 스트롤로는 도까지 완전히 젖힐 수 있는 형 유모차인데등받이 각도 조절을 등 쪽에 스트랩을 통해 할 수 있게 되어있다. ], 부정 텍스트 확률 : 81.03%"
"[등받이 각도를 올려야 할 때디럭스유모차와는 달리 아기 무게를 받치면서 혼자 하기 쉽지 않다.백화점에서 사용한 대부분 휴대용유모차나 절충형유모차들도 그랬기 때문에 그런가보다 했는데이웃님이 이 부분이 아쉽지 않냐고 하셔서 한달 정도 사용해보니 생긴 나만에 팁을 공유하면휴대용유모차], 부정 텍스트 확률 : 74.84%"
"[절충형유모차 등받기 각도 조절 할 떄 팁 ], 부정 텍스트 확률 : 62.07%"
"[ 아이가 무거울수록 등받이 각도를 올리는 건 쉽지 않은데한쪽 팔로 아이 무게를 받치고 올리면서 ], 부정 텍스트 확률 : 73.00%"
"[ 스트랩을 올려주면 된다.한 쪽 팔로 아이 무게를 받쳐주면서 올리는 게 팁 그러면 엄마 혼자서도 등받기 각도 조절 쉽게 할 수 있다.러비는 유모차만 편안한지 잠도 잘자는데 ], 부정 텍스트 확률 : 50.56%"
"[ 국내 최초 유모차 시트 독일 인증까지 받았다고 한다.러비는 워낙 유모차를 잘 타는 편에도 속하지만최대 시간까지 탔는데도 움직이 많은 아이치곤 편안하게 탄다. ], 부정 텍스트 확률 : 53.74%"
"[ 전에 두 번에 포스팅을 보고 안전바가 없는 건 불편하지 않냐고 물으시기도 했는데안전바가 없다는 걸 눈치채지 못할 정도로 전혀 불편함이 없었다.안전바가 없다는 것도 최근에 남편이 안전바에 공기청정기를 달려고 했는데에르고베이비유모차엔 안전바가 없어서 다른 방법을 생각해봐야 한다고 해서 알게되었다전에 디럭스유모차를 탈 때도 안전바가 굴러다니기도 했고오히려 아이 넣고 뺄 때 불편했던지라 전혀 불편함을 느끼지 못했다. ], 부정 텍스트 확률 : 85.28%"
"[ 오히려 불필요한 부분들은 빼고 딱 필요한 것만 채워 컴팩트하게 만드니좁다고 소문난 양고기 집에도 유모차가 쏘옥 들어가 아기의자 대신 사용했다. ], 부정 텍스트 확률 : 95.09%"
"[ 또 좁은 출구디럭스유모차 사용할 땐 바퀴가 매번 걸려서 이 출구는 이용도 안했는데쉽게 통과하니 휴대용유모차 에르고베이비 정말 손이 많이 감 ㅋㅋ ], 부정 텍스트 확률 : 52.50%"
"[ 외출할 때 외출가방 챙기듯 챙겨나가는 기내반입유모차 에르고베이비 메트로 컴팩트 시티 스트롤로], 부정 텍스트 확률 : 76.11%"
"[ 날씨도 점점 따듯해지고 미세먼지도 사라지면야외로도 많이 놀러가자구나궁금한 건 언제든지 물어보심 또 답변해드릴게요 ], 부정 텍스트 확률 : 96.54%"
"[ 본 포스팅은 에르고베이비 유모차를 소개하면서 디밤비로부터 무료로 제품을 받아 객관적으로 작성 된 후기입니다], 부정 텍스트 확률 : 77.73%"
"[휴대용유모차에르고베이비 메트로 컴팩트시티 ], 부정 텍스트 확률 : 83.54%"
"[ 먼저 가장 중요한건 수납이죠.해외를 처음 가지만 지인들에게 귀가 닳도록 얘기들은건 바로 수납이 편해야한다.휴대용유모차라지만 막상 갔을때휴대가 불편하면 힘들다. 라고 하더라구요.저도 첫 해외이고 아이도 처음이고남편도 처음이다보니 아무래도 어리둥절 할텐데 아이까지 케어가불가능한 상태에서 유모차도 짐이 된다면어휴 상상만 해도 끔찍합니다. ], 부정 텍스트 확률 : 99.93%"
"[ 하지만 에르고베이비 메트로 휴대용유모차는걱정 없어요 바로 여행용 캐리백으로 유모차를보관할 수 있기 때문이죠.짜잔 바로 유모차입니다. 무게도 .이라앞에 아이 손 잡고 여행용캐리어를 밀고도유모차를 챙길 수 있다는 점 놀랍죠 ], 부정 텍스트 확률 : 92.04%"
"[ 그리고 컴팩트하게 접히기 때문에차 트렁크에도 여유있어요.정말 휴대용유모차 개 개 넣을 수있을정도로 공간차지가 없습니다.그럼 폴딩은 어떨까요?이렇게 컴팩트하게 접히니 더 궁금해지죠. ], 부정 텍스트 확률 : 81.50%"
"[ 정말 간단하게 접히죠 진짜 몇초도 걸리지 않았던 것 같아요. 사이 벌어짐 없이 조밀하게빈틈없이 접히는 폴딩 시스템은휴대 할때 더 안정감을 주고 컴팩트하게줄어드는 사이즈 덕분에 보관이 용이합니다. ], 부정 텍스트 확률 : 80.71%"
"[ 쥬니네 어린이집에 수족구가 돌고 있어서이번주 내내 시 하원 시 하원 했어요예...덕분에 엄마 손 너덜너덜아빠 퇴근하자마자 집앞 공원이라도 나와봤어요.너무 집에만 있다보니 아이도 갑갑했는지유모차 태워주니 제법 좋아하더라구요. ], 부정 텍스트 확률 : 73.82%"
"[ 그리고 어린 개월수 아이들부터큰 아이들까지 태울 수 있도록 발받이각도 조절이 자유롭게 가능합니다.아이가 잠들었을때에는 일자로평상시에는 이렇게 발받이를 내려서편안하게 태울 수 있습니다. ], 부정 텍스트 확률 : 78.78%"
"[ 아이의 자외선 차단을 위한햇빛가리개 차양막은 아이가 앉은자세에서도 꽤나 아래로 내려와서자외선으로부터 보호할 수 있습니다. ], 부정 텍스트 확률 : 53.34%"
"[ 우리 찡찡이 낮잠을 별로 안자서인지잠이 오는지 칭얼대기 시작했습니다.결국 표정이 아주 안좋고요.휴대용유모차를 밀어주니 그제서야브이 하면서 웃네요.아이와의 여행을 위해 준비해본튼튼한 휴대용유모차 에르고베이비 메트로저처럼 해외여행으로 고민하시는분들에게추천드리고 싶습니다 . ], 부정 텍스트 확률 : 99.66%"
"[.안녕하세요 .진작에 산 유모차 후기를 이제야 남기네요. ..에르고베이비 유모차는 정말 장점이 많은 유모차인데.아직 많이 알려지지 않은 것 같아 아쉬워요..내돈주고직접 산 후기이니 최대한 객관적으로.후기 남겨볼게요], 부정 텍스트 확률 : 89.26%"
"[ .뒷면 전체가 메쉬망으로 되어있어서 통풍도 문제.없어요.], 부정 텍스트 확률 : 95.81%"
"[ .핸들커버는 있는게 좋을거 같네요...이제 사용후기예요 ..일단 제가 유모차 구입하는 기준은], 부정 텍스트 확률 : 97.03%"
"[.. 핸들링 .. 기내반입 .. 폴딩이 쉬워야한다 .정도였구요. ...핸들링이요.. .기존에 사용하던 유모차는 물려받은 절충형 유모차였는데], 부정 텍스트 확률 : 52.64%"
"[ ..솔직 후기이니 단점도 나갈게요.], 부정 텍스트 확률 : 72.43%"
"[ .앉는 시트가 밖으로 접힌다는 거예요.], 부정 텍스트 확률 : 58.25%"
"[ .그래서 이렇게 차에 싣기도 했었는데 ....시트가 밖으로 나오니 청소가 편하더라구요. .떡뻥먹으면 부스러기 엄청 떨어지는데 접을때 탁탁 해주면 틈새 끼는 곳 없이 다 털려요. .쓰다보니 편해요. ㅋㅋ 단점아닌 단점이네요. .], 부정 텍스트 확률 : 80.46%"
"[ .기다림 끝에 도착한 에르고베이비의 메트로유모차 ], 부정 텍스트 확률 : 70.84%"
"[ . ], 부정 텍스트 확률 : 62.92%"
"[ 많은 분들이..가장 걱정하시는 부분이 바로 신생아들의..머리 흔들림], 부정 텍스트 확률 : 58.31%"
