"[에어보스 리머 아이 플러스 휴대용 유모차 클리어 그레이 무료배송 로켓배송다음날 도착 블로그 추천상품 가성비 추천상품], 부정 텍스트 확률 : 50.40%"
"[ 제품 바로가기 링크는 글 하단에 마련되어 있습니다. ], 부정 텍스트 확률 : 54.86%"
"[하자가 많진 않을까 걱정했는데 가격대비 튼튼하고], 부정 텍스트 확률 : 52.43%"
"[ 가격대비 짱 물려받은 유모차가 두대인데 하나는 앞바퀴이상. 하나는 허리가 미끄러짐. ㅜㅠ 애가너무 안돼서.. 질렀어요. 남편이 보지도않고 이렇게 싼거를 왜사냐고 반품시키라고... 했는데 조립해놓고나니 눈이 커짐. 가격대비 괜찮다며 그냥 쓰라고 하네여 ㅋㅋ 부담없이 막쓰기 편리한 유모차 유럽 여행용으로 구매했는데 대만족이에요. 손잡이 높이도 좋고 짐도 많이 살리고 누울수도 있고], 부정 텍스트 확률 : 92.61%"
"[ 여자혼자 설치 금방했어요 조립도 좋고 등받이도 버클로 조절하는거라 내맘대로 각도조절할 수 있어 너무 좋네요. 바퀴도 매끄럽게 잘 굴러가구여 손잡이 각도조절 부분더 맘에 들어요 그리고 컵 홀더 따로 주문할 생각했었는데 같이와서 너무 좋습니다. 벨트도 안뻑뻑하고 쉽게 되구요 일된 우리 아기도 편안해하는것 같아요. 덮개도 길게 내려오고 색도 이쁘고 맘에 쏙들어요. 저희 애들도 휴대용으로 잘 사용했었던 터라 선물용으로 구매했습니다. 저도 조만간 막내 휴대용으로 구매할 예정입니다♡ 진짜 이것저것 다 따지면 아무리 비싸도 장 단점은 있기에 가격도 저렴하고 가성비 갑입니다 뽕빼게 썼던 기억이 있어 별개 주고갑니다. ], 부정 텍스트 확률 : 57.34%"
"[ 차양막이 많이 내려오는지 ], 부정 텍스트 확률 : 85.33%"
"[디스만 타던 아기여서 걱정했는데 집안에서 태워보니 안내리고 심지어 지금 유모차 안에서 자요 ㅎㅎ 진짜 가성비 갑이고 디자인 싼티 안나네요. 차양막도 길고], 부정 텍스트 확률 : 99.50%"
"[나무랄데 없네요.아기가 개월차에 워낙에 유모차를 싫어했던터라 계속 안고 다니다가 여름에 걷기엔 너무 햇빛이 심하고 안고다니기엔 둘다 땀이 흐르고 힘들어서 저렴한 가격으로 주문했다가 아기가 너무 잘 타고있어서 놀랬어요 ㅋㅋㅋ 제가 엘베없는 빌라 층에 살아서 최대한 가벼웠음 했는데 혼자서 들기에도 가볍고해서 아기안고 유모차들고 오르락 내리락 하기엔 힘들지만 그래도 그렇게라도 다닐 수 있다는게 좋네요 에어보스 리머 아이플러스 휴대용 유모차보러가기↓↓ ], 부정 텍스트 확률 : 90.36%"
"[ 출처 쿠팡 에어보스 리머 아이 플러스 휴대용 유모차.?가성비가성비.?저렴한저렴한.?에어보스에어보스.?리머리머.?.?아이아이.?플러스플러스.?휴대용휴대용.?유모차유모차.?휴대용유모차휴대용유모차.?추천추천.?후기후기.?구매후기구매후기], 부정 텍스트 확률 : 99.13%"
"[.쌍둥이 유모차는 쌍둥이만 쓰는건줄 알았는데 .둘째가 태어나고 유모차를 두 대 끌고 다니다가 너무 힘들고 복잡스러움을 느꼈어요.남편이랑 한 대씩 두 대를 끌기도 하고 혼자 두 대를 끌어보기도 했죠.차로 이동할 땐 트렁크에 유모차가 한 대만 들어가서 둘째만 태우고 첫애는 퀵보드태우다가 힘들다고 하면 안고 다녀서 힘이 너무 들어 쌍둥이 유모차를 알아보게됐어요 .첫애개월 둘째 개월이예요 ], 부정 텍스트 확률 : 99.36%"
"[.에어보스에어보스 캐리어 유모차기내반입유모차에어보스폴딩형유모차..에어보스 폴딩형 유모차 구매 후기입니다..휴대용이라 안전하지 않으면 어쩌나 했는데 왠만한 유모차보다 좋아요 휴대용이라기보단 절충형에 가깝고요 무게는.좀 나가지만 캐리어식이라 불편함 없고요 모기장], 부정 텍스트 확률 : 71.79%"
"[컵홀더], 부정 텍스트 확률 : 53.29%"
"[바람막], 부정 텍스트 확률 : 90.69%"
"[.안녕하세요. 콘콘이예요...이제 꼬미가 일을 넘어가면서 자주 외출을 하고있는데요. 외출 할 때마다 유모차를 대 챙기는것은 너무 번거롭더라구요ㅠ..꼬미야 계속 누워있으니 유모차가 꼭 필요한데 쪼꼬는 유모차를 탈 때도 있고 안탈때도 있으니 더 난감ㄷㄷㄷ..지난번에는 단풍놀이 갔다가 쪼꼬는 이리저리 뛰어다니고 싶어하고 아빠는 그런 쪼꼬 따라다니느라 바쁘고.. 결국 제가 유모차 대를 양 손으로 끌어야했거든요ㅋㅋㅋㅋㅋㅠㅠ..그래서 쌍둥이유모차를 들이기로 결정...일단 저희의 구매 조건은요..폴딩이 쉬워야한다..핸들링이 좋아야한다..꼬미가 아직 어리므로 휴대용은 .디럭스를 하기엔 쪼꼬 무게가 있으므로 ..결국 답은 절충형 유모차더라구요....여러 제품을 후보에 놓고 보던 중 그 중에서도 가성비가 제일 좋았던 에어보스 소보 트윈 쌍둥이 유모차를 구매하게 되었어요..구매 후기가 별로 없어서 살까말까 고민하다가 선택했는데....일단은 넘 만족스럽답니다... ], 부정 텍스트 확률 : 93.07%"
"[ .에어보스 쌍둥이 유모차는 조립도 그냥 바퀴만 딸깍 끼워주면 끝..너무 간단하더라구요........ ], 부정 텍스트 확률 : 97.26%"
"[ .벨트는 점식벨트로 되어있어요. 안전바는 쉽게 분리 가능하답니다..... ], 부정 텍스트 확률 : 90.25%"
"[ .쌍둥이유모차인데도 폴딩도 매우 간단했어요. 핸들 가운데에 있는 버튼을 누르면서 앞쪽으로 밀어주기만하면 됩니다...휴대용에서나 볼 수 있는 원핸드폴딩이 가능하답니다. ... ], 부정 텍스트 확률 : 56.96%"
"[ .폴딩하면 이렇게 작게 접혀요...웬만한 자동차 트렁크에는 쏙 들어가요...제 차는 경차인데.. 경차에도 들어가는지는 잘 모르겠네요.요리저리 잘 넣으면 가능할 것 같기도 하구요? 이 부분은 나중에 다시 확인해볼께요.... ], 부정 텍스트 확률 : 91.20%"
"[ 베이비조거 시티셀렉트 방한커버만 따로 사려니 배보다 배꼽이 컸..어짜피 자주 돌아다니니 휴대용도 필요하다는 생각이 들어 엄청 폭풍검색으로 가지 유명한 브랜드로 추려졌으나 결국 우리 스타일대로 가성비 좋은 에어보스로 구매했다ㅋㅋㅋㅋㅋ원래도 저렴한데 위메프 블프데이로 더 저렴하게 사서 꿀템등극ㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 73.80%"
"[ 핸들 손잡이를 누르면 진짜 쉽게 접힌다. ], 부정 텍스트 확률 : 56.85%"
"[ 고급스러운 퀄팅시트와 점식 안전벨트 ], 부정 텍스트 확률 : 63.91%"
"[ 아래 이 줄로 최대 도까지 등받이 높낮이를 조절할 수 있어서 신생아부터도 사용이 가능하지만.. 너무 어릴땐 디럭스가 좋지ㅋㅋㅋ ], 부정 텍스트 확률 : 80.41%"
"[ 브레이크도 달려있고], 부정 텍스트 확률 : 69.31%"
