"[ 네이버 쇼핑 이용하니까 제가 사던 사이트에서 만원 더 할인해서 살 수 있더라구요이건 필히 이용하심이 ㅋㅋ], 긍정 텍스트 확률 : 54.36%"
"[ 일단 뭐든..사용방법 ], 긍정 텍스트 확률 : 70.59%"
"[ 차양막도 넓찍하고 아래까지 잘 내려와서 더더 좋아요 . ], 긍정 텍스트 확률 : 73.63%"
"[큰 아이들도 탈 수 있답니다. ], 긍정 텍스트 확률 : 76.95%"
"[ 수납함도 넉넉하니 완전 굿뜨 . ], 긍정 텍스트 확률 : 97.93%"
"[ 그리고 아이의 안전을 지켜줄 벨트까지 ], 긍정 텍스트 확률 : 68.86%"
"[ 엠버 슬림폴딩셀프스탠딩유모차 완벽해요 ], 긍정 텍스트 확률 : 91.51%"
"[ 그리고..셀프스텐딩..ㅋㅋ 완전 감사합니다 . 한쪽에 잘 정리할 수 있으니 더더 좋은거ㅎㅎ], 긍정 텍스트 확률 : 98.21%"
"[ 개월의 아들램을 태웠는데요.사이즈도 아주 넉넉하고 좋아요양대면이 안되는게 슬프긴 하지만 이만한 나이에는 세상 구경하는걸 더 좋아하니까요ㅋㅋㅋ 엠버 슬림폴딩셀프스탠딩유모차 사용후기 가성비 완전만족 ], 긍정 텍스트 확률 : 60.75%"
"[ .. ★★★★★개월된아들래미너무잘타요양대면되서좋고디럭스인데가볍고암튼너무너무만족해요오늘은폐구균접종하러갈때끌고다녀왔는데울지도않고선선한바람에잠도잘자네요다른후기보니녹이쓸고한다던데저는], 긍정 텍스트 확률 : 98.57%"
"[.◆ 지금 보고있는 상품 바로보기 ◆ ], 긍정 텍스트 확률 : 80.79%"
"[ 아래는 현재 상품의 구매평입니다. ], 긍정 텍스트 확률 : 64.15%"
"[ .. ★★★★☆사실평이호불호가갈려좀걱정했는데몇번조립하고만져보니나쁘지않네요핸들링도부드러운편이구요양대면도쉽고폴딩도쉽네요등받이가완전수동이라좀놀라긴했는데등받이조절은아이잘때나할거갇아서크], 긍정 텍스트 확률 : 99.28%"
"[ .. ★★★☆☆디자인이맘에들어서샀는데아기가아직넘어려서못타고잇어욤집안에서만몇번태웠는데잘타네용상품평에기스가많다고해서걱정했는데저만운이좋은건지깨끗해요ㅋㅋ다만조립방법이너무허접하게나와있어], 긍정 텍스트 확률 : 89.61%"
"[.▼ 더 많은 구매평 열어보기 ▼ ], 긍정 텍스트 확률 : 55.96%"
"[ 일정액의 수수료를 제공받고 있는 포스팅입니다. 쿠팡 파트너스 ], 긍정 텍스트 확률 : 82.54%"
"[ 알고는 사고싶지않았어요ㅋㅋ결국 쿠팡에서 나중에 재활용에 분리수거할 수 있을정도로 작은 초초초경량을 사기로 맘 먹었어요그리하여 선택된 엠버초경량 유모차ㅋㅋ ], 긍정 텍스트 확률 : 76.82%"
"[ 브라운과 버건디는 원나머지는 원이래요ㅋㅋ브라운 겟 ], 긍정 텍스트 확률 : 58.99%"
"[ 뒤집으니 윰차 형상을 가지고 있기는해요 ], 긍정 텍스트 확률 : 52.62%"
"[ 우리 희망이 바퀴에 급 관심ㅋㅋ ], 긍정 텍스트 확률 : 51.84%"
"[ 톡톡끼워 조립ㅋㅋ근데 망사처럼 되어있는 시트?ㅋㅋ대략난감이에용ㅜㅜ ], 긍정 텍스트 확률 : 92.79%"
