"[ 원 ▷ 할인판매가격 ], 부정 텍스트 확률 : 53.29%"
"[ 필수 표기정보 ], 부정 텍스트 확률 : 53.29%"
"[품명 및 모델명], 부정 텍스트 확률 : 53.29%"
"[.탭 유모차 메쉬커버], 부정 텍스트 확률 : 62.92%"
"[ 인증 필 유무], 부정 텍스트 확률 : 53.29%"
"[.메쉬커버 해당사항없음], 부정 텍스트 확률 : 82.26%"
"[. 메쉬커버], 부정 텍스트 확률 : 62.92%"
"[.. 메쉬커버 ], 부정 텍스트 확률 : 57.07%"
"[.브라운전용커버 블랙], 부정 텍스트 확률 : 62.92%"
"[.알루미늄 파이프], 부정 텍스트 확률 : 62.92%"
"[합성수지], 부정 텍스트 확률 : 53.29%"
"[폴리에스터 ], 부정 텍스트 확률 : 53.29%"
"[면메쉬커버 폴리에스테르], 부정 텍스트 확률 : 83.74%"
"[카보네이트], 부정 텍스트 확률 : 65.83%"
"[사용연령 또는 체중범위], 부정 텍스트 확률 : 53.29%"
"[.신생아 이내까지 사용권장], 부정 텍스트 확률 : 54.73%"
"[동일모델의 출시년월], 부정 텍스트 확률 : 65.67%"
"[.년 월], 부정 텍스트 확률 : 79.37%"
"[제조자수입자], 부정 텍스트 확률 : 61.97%"
"[ . ㈜오타브메쉬커버㈜보브코리아], 부정 텍스트 확률 : 64.63%"
"[제조국], 부정 텍스트 확률 : 61.97%"
"[.중국메쉬커버 대한민국], 부정 텍스트 확률 : 85.73%"
"[취급방법 및 취급시 주의사항], 부정 텍스트 확률 : 53.29%"
"[안전표시], 부정 텍스트 확률 : 53.29%"
"[.유모차에 정원이상의 유아를 동시에 태우거나 시트이외의 다른 곳에 태우지 마세요.메쉬커버 시력보호창은 흐르는 물에 가볍게 세척하시고 부드러운 티슈나 천을 이용하여 닦아주세요.보호자는 어린이를 혼자 두지 마세요.유모차의 연속사용시간은 시간 이내가 적당합니다.반드시 안전벨트를 착용하고 사용하세요.수시로 안전한지 확인하세요.장기간 햇빛에 노출시키거나 습기가 많은 곳에 유모차를 보관하지 마세요.세탁 후 탈수기 및 건조기의 사용을 피하고], 부정 텍스트 확률 : 95.22%"
"[품질보증기준], 부정 텍스트 확률 : 53.29%"
"[.제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.], 부정 텍스트 확률 : 72.71%"
"[.쿠팡 ], 부정 텍스트 확률 : 62.92%"
"[ 품절임박], 부정 텍스트 확률 : 53.29%"
"[ 개 상품평 보기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 부정 텍스트 확률 : 62.82%"
