"[.비싸게 주고 산 잉글레시나 퀴드가 망가진 후 .다시 휴대용 유모차를 사기로 했다. ], 부정 텍스트 확률 : 90.28%"
"[ .집에 물려받은 마루스 유모차가 있지만 태워보니 유모차가 너무 작아보인다..너무 꽉차보이는 아들 ㅋㅋㅋㅋㅋ.유모차가 작은 감이 있지만 가볍고 핸들링도 좋긴 해서 집에 비상용으로 보관해두기로 했다. ], 부정 텍스트 확률 : 57.09%"
"[ .내가 원하는 조건은.저렴만 원 이하], 부정 텍스트 확률 : 94.81%"
"[기내반입 가능], 부정 텍스트 확률 : 53.29%"
"[ 배송은 해외배송치고 생각보다 일찍 왔어요처음에 박스만보고 잘못샀나 싶은 생각이 드는 비쥬얼...ㅋㅋㅋ ], 부정 텍스트 확률 : 95.65%"
"[ 폴딩됐을때 이렇게 접혀져서 부피차지 많이 안해요 ], 부정 텍스트 확률 : 88.41%"
"[ 저기 대나무원단 같은 시트는 여름용으로준거같은데 단 한번도 안 썼어요너무 허접해서 쓸 수가 없는걸 왜주는건지..ㅜㅜ ], 부정 텍스트 확률 : 99.43%"
"[ 처음에 설치했더니 차양막이 많이 구겨져서보기싫어서 스팀다리미로 한번 쫙 폈더니완전 다른 느낌이됐어요 ㅋㅋㅋㅋ ], 부정 텍스트 확률 : 88.00%"
"[정도로 가벼워서 휴대하기 편한게제일 마음에 들어요디럭스 유모차 탈 때는 차에 절대 싣고다닐 생각 안했거든요 ㅋㅋㅋ ], 부정 텍스트 확률 : 63.18%"
"[ 년가까이 사용한 느낌으로는고급스럽고 그런 재질은 아니지만편하게 타고 다니기에는 가성비갑이라는.. 생각이 들어요 ㅋㅋㅋ만원대에 사서 뽕뽑았다 싶어요 제 카드와 함께하는 후기입니다 ], 부정 텍스트 확률 : 83.00%"
"[ 집에 에어컨 설치한다고 아이랑 밖에 나와있다 아기가 잠이드니 할일이 없어 써봐요ㅎㅎ제가 구입할때 정보가 별로 없어서 고민 엄청 했었거든요그래서 혹시 고민하시는분들에게 도움이되실까 하고요], 부정 텍스트 확률 : 99.43%"
"[ 세대부터 세대까지 종류가 많은데], 부정 텍스트 확률 : 66.79%"
"[ 지인이 세대가 낫다고 하더라 해서], 부정 텍스트 확률 : 74.86%"
"[첫구매고객이라 할인을 좀더 받았어요그냥 구입하시면 만원대 초반이었던걸로 기억해요추가 옵션은 아무것도 안하고], 부정 텍스트 확률 : 97.95%"
"[ 차양막 선택사항에서 단짜리 차양막하니 저렇게 풀로 덮혀서 넘 좋은거 같아요서비스로 오는 레인커버], 부정 텍스트 확률 : 55.45%"
"[모기장], 부정 텍스트 확률 : 53.29%"
"[뭔가 시원섭섭하네요후기라고 썼는데 뭔가 어설프네요제품후기는 첨 써봐서궁금하신거 댓글 달아주심 답변해드릴께요사진은 방금 찍은거고애착이불 비스무리한 천귀저기 덮고자는 사진입니다....... .......? 본문 이미지....... .......? 본문 이미지], 부정 텍스트 확률 : 98.82%"
"[ 혹시나 휴대용 윰차 구매하실 맘님들 도움되고자 오지랍 아닌 오지랍으로 후기 적어요.일단 지나인에서 무배로 저렴하게 떳길래 구입햇어요천원이구 알아보니 세대더군요맘님들 의견 듣고 살까 말까 고민 많이했는데 일단 지르고 보자였어요 이제 일 갓지난 아가가 타기엔 무리일것같았거든요...한달 하고 일주일을 기다려서 받은 윰차..솔직히 구성품 다양하고 완전 조그맣게 접히는거에 혹했어요 근데 뽑기가 잘못뽑혀서.... ㅠㅜ 구성품이 불량왔어요..반품할까 차라리 구성품을 그냥 살까 하다가 문의하니 다행이 부품만 보내준다하시네요.. 밑에는 시승샷 및 구성품 샷입니다....... .......? 본문 이미지....... .......? 본문 이미지? 시승샷요람식의 일자형 제껴짐은 아니지만 만족합니다이너시트는 따로 구매한거에요.유모차 커머에 맞춰 기본 시트따라옵니다불행 중 다행은 다른분들은 이상한 그레이? 색으로 왔다하는데 저는 멀쩡한 그레이 왔어요뒷바퀴는 고정이지만 핸들링은 최고에요....... .......? 본문 이미지? 윰처 고정 발판 및 바구니 사진바구니는 윰차 크기에 맞게 적당히 작아요 ㅋㅋㅋ....... .......? 본문 이미지? 휴대용 요야는 각도 조절 끈입니다....... .......? 본문 이미지?손잡이 접고....... .......? 본문 이미지?바퀴까지 모두 접은 거에요 몇번접다보니 쉬워요 이너시트까지 모두접은 상태입니다.발판이나 안전바설치한상태에서도 접혀요....... .......? 본문 이미지?요야 윰차 가방에 넣은상태입니다....... .......? 본문 이미지?크기 비교샷 요람 기저귀 가방이랑 유모차 접은 상태에서 찍은 비교샷입니다........ .......? 본문 이미지?구성품 모기장 ], 부정 텍스트 확률 : 99.72%"
"[바람막이 얇은 비닐 커버], 부정 텍스트 확률 : 53.29%"
