"[안전바가 있을 것], 긍정 텍스트 확률 : 56.98%"
"[티바는 ...샤오미와 요야가 최종 후보였는데 샤오미는 기본 안전바가 없어서 탈락 ㅠ.결국 요야로 정하고 타오바오에서 원에 구매했다.세대가 많던데 그냥 제일 최근에 나온 요야 노블을 샀다.네이버에 검색해보면 요야 후기가 별로 없어서 궁금했는데 직접 써보니 그냥저냥 쓸만하다.가성비 괜찮다.특히 어떤 후기에서 핸들링 빼고 다 버린 유모차라고 하던데 ㅋㅋㅋㅋㅋㅋ공감된다 ㅋㅋㅋㅋㅋ장점은 아래와 같다.핸들링이 좋다.저렴하고 가볍다.기내반입이 가능하다.다른 유모차와 열심히 비교한 건 아니지만 시트가 넓다. 덩치 큰 편인 우리 아기가 앉아도 널럴하다.장바구니가 작아보이는데 은근 크다.단점은 아래와 같다.유모차 자체가 안정감이 없고 흔들거린다. 전에 쓰던 퀴드랑 비교돼서 그런지 왠지 불안한 느낌이다. 위험하다기보다 뭔가 허접한 느낌 ㅋㅋ접기가 힘들다. 이것도 퀴드랑 비교되는 부분인데 한 손으로 접기가 힘들다. 접을 때 눌러야 하는 부분이 뻑뻑해서 연약한ㅋㅋ 나는 두 손을 써서 힘을 많이 줘야한다. 남편도 뻑뻑해서 불편하다고 한다.접어놓을 때 잠가야하는 버튼이 있어 귀찮다. 접으면 그대로 유지되는 게 아니라 잠금장치를 꼭 잠가놔야 접힌 상태가 풀리지 않는다. 이것도 은근 힘이 들어가서 귀찮다. 특히 아기와 단둘이 나가서 택시를 타야한다거나 할 때 ㅠ 유모차 접으랴 아기 보랴 혼이 나간다.차양막이 짧다. 이 가격에 풀차양을 기대하는 건 난센스겠지.이러니저러니해도 돌 지나 막 타도 되는 유모차를 찾는다면 나쁘지 않은 선택인 것 같다.한국에 있었으면 저렴한 국산 유모차를 샀을 텐데 중국살이 중이라 ㅠ 어쩔 수 없는 선택이었다.중국 공산품을 사보니 국산이 최고다. ], 긍정 텍스트 확률 : 80.68%"
"[요야 휴대용 유모차 요야세대아기때 타던 디럭스 유모차는 부피도 많이 차지하고외출할때도 접어서 차에 싣고 다니기도 힘들어서외출할땐 힙시트 가져다니고 그러다가허리에 무리가 오고 물리치료 받고 그러면서이젠 아키도 많이 커서 휴대용도 괜찮을것 같아서작년 이맘때쯤 휴대용 유모차로 눈이 가더라구요그래서 여러 제품들 보다가 제일 저렴했던가성비 갑이라던 베이비요야 유모차를 주문했어요 ], 긍정 텍스트 확률 : 92.91%"
"[ 큐텐에서 쿠폰이것저것 사용해서원에 주문했어요어차피 모디자전거도 있고 동네 돌아다닐때잠깐씩 쓰는 용도로 생각했어요저질 체력으로 동네도 잘 안돌아다니지만..ㅎㅎ그래서 가죽커버나 다른 옵션들 추가할까 하다가그런거 추가하느니 국내 브랜드 만원대휴대용 유모차를 사는게 나을것같아서그냥 제일 저렴한 세대 요야 유모차에다가다른 옵션은 거의 추가하지 않았어요 ], 긍정 텍스트 확률 : 79.63%"
"[ 박스는 부실해보이지만 박스 안은 온전기내에도 들고 탈 수 있다더니 박스부터도 가벼워요 ], 긍정 텍스트 확률 : 63.78%"
"[ 기대를 안하고 사서 그런지 생각보다 이뻐요 ㅎㅎ역시 블랙이 이쁜거같아요], 긍정 텍스트 확률 : 98.86%"
"[ 가벼워서 그런지 핸들링도 좋아요만원대가 맞나 싶은..ㅋㅋ ], 긍정 텍스트 확률 : 70.21%"
"[ 휴대용이라 불편해하지 않을까 했는데생각보다 안전감있어요물론 아키가 덩치가 많이 커졌으니깐요 ㅎㅎ ], 긍정 텍스트 확률 : 86.05%"
"[ 이번에 세부갈때도 들고가서 완전 잘썼어요기내용이라 들고 타도 되지만 게이트앞에서수하물보냈는데 수하물보내기에도 부담이 없다는...ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 91.28%"
"[ 팔랑귀라 세대 베이비요야 했어요세대와 세대 베이비 요야가 있는데 베이비 요야가 좀 더 낫다고 하던데 차이점에대해서는 모르겠네요ㅎ..큐텐에서 만원 후반대에 구입했어요신규가입], 긍정 텍스트 확률 : 99.23%"
