"[ 접고 펴기 매우 쉬운 구조], 긍정 텍스트 확률 : 63.96%"
"[ 깔끔하고 보풀이 잘 안일어날 것 같은 시트등 모든 면에서 괜찮아 보였던 제품이다.무게도.정도로 아주 무겁지 않고 적당하다.특히단계 손잡이 높이 조절 과 핸드메이드 가죽 으로 덧댄 손잡이는 무엇보다 덩치큰 내가 몰아도 편안함을 제공하여 여기에년 유럽 소비자 만족도 위 라는타이틀은 유모차 선택에 있어서 아주 결정적인 요소로 작용했다.제품을 구입하고 집에 와서 개봉 ], 긍정 텍스트 확률 : 62.50%"
"[ 우리가 구입한 색상은이란 문구가 있는 것으로 보아 한국 전용 상품인 듯 ], 긍정 텍스트 확률 : 85.23%"
"[ 박스 옆면에 보면 수입사에서 제공하는 시리얼 넘버 스티커가 있는데 요거 꼭 잘 떼서 유모차에 착 붙이고 정품 등록도 해야한다.그래야받을 때 번거롭지 않고 무상보증기간도 연장해주고사고시 보상도 받을 수 있다네요 ], 긍정 텍스트 확률 : 84.17%"
"[ 박스를 열면 이렇게 들어있는데 발로 박스를 살짝 잡아준 상태에서 위에 비닐을 잡고 쏙 들어올리면 깔끔하게 빠집니다 ], 긍정 텍스트 확률 : 69.58%"
"[ 쑤욱 하고 빠진 모습 생각보다 불필요한 과대포장이 없네요 ], 긍정 텍스트 확률 : 55.31%"
"[ 자 일단 프레임과 시트를 분리 ], 긍정 텍스트 확률 : 57.93%"
"[ 신생아용 시트커버 까지 풀 장착제품 마감도 좋고 든든 하네요 ], 긍정 텍스트 확률 : 52.71%"
"[부드럽고 내구성 좋은 멜란지 원단 시트], 긍정 텍스트 확률 : 84.46%"
"[ 그래서 곧있음 태어나는 내 조카한테도 언니가 베불어준 사랑 그 이상으로갚아야지 라는 생각에 다짐을 하곤 하는데요출산선물겸 조카선물로 이모가 되는 제가 유모차 하나는 좋을거로 사주고 싶더라구요 ], 긍정 텍스트 확률 : 52.16%"
"[ 그래서 바로], 긍정 텍스트 확률 : 51.92%"
"[ 제가 알고 있는 브랜드들 뿐만아니라], 긍정 텍스트 확률 : 77.37%"
"[생소한 브랜드제품까지도수많은 제품이 디피가 되어있더라구요출산준비용품 부터], 긍정 텍스트 확률 : 51.93%"
"[비교해본후 끌어보기도 하고 핸들링 해보기도했는데요 한손으로도 슥슥 소음없이 잘밀리는게 울퉁불퉁 비포장 도로에서도 자극없이 안전하고 부드럽게 핸들링 될거 같더라구요 ], 긍정 텍스트 확률 : 52.07%"
"[ 하비 이지워커의 특화된 프레임의 구조로 부드러운 핸들링은그 무엇도 따라잡지 못하더라구요. 무엇보다 마음에 들었던 점은엄마와 좀더 가까이 교감할수 있도록높은 교감시트가업그레이드 되었다고 하는데요 제가 아이를 키워보니 유모차를 탓을때아이가 조금더 저와 가까이 있었음 좋겠다는 생각을 종종 한적이 있었거든요손을 조금만 뻗어도 닿을수 있는 거리에서 아이를 케어하면 참 좋겠다라는생각을 했었는데요 그런부분에 있어 나 높은교감시트라니 너무 좋더라구요 ], 긍정 텍스트 확률 : 99.43%"
"[ 뿐만아니라 초만에 폴딩할수 있는 놀라운 능력까지 갖추고 있고튼튼한 바퀴와 넓직하고 깊은 장바구니까지승차감], 긍정 텍스트 확률 : 58.86%"
"[ 편의성 모두 단한가지도 빠지는게 없더라구요그동안 제가 사용했던 유모차의 단점들을 모두 캐치해보완되어서 나온 제품이 아닐까 싶기도 했는데요어쩜 이렇게 엄마마음을 잘 헤어렸는지 싶더라구요유모차는 단연], 긍정 텍스트 확률 : 99.10%"
"[엄마도 편하고 아이도 편할수 있는 제품이여야 한다고생각이 들거든요 이 제품은 그러한 마음을 잘 캐치하여 아주 마음에 쏙 들더라고요 ], 긍정 텍스트 확률 : 95.94%"
"[ 보는눈은 비슷하니 언니도 한번에 마음에 든다고 해서 이제품으로 선택했는데요사장님이 알아서 사은품이라며 덤도 팍팍 챙겨 주셔서 얼마나 감사했는지 몰라요직원분들 역시 귀찮으셨을 법도 한데 친절하게 끝까지 설명해주시고챙겨주셔서 너무 감사하고 유익한 쇼핑이 될수 있었는데요 앞으로는 종종 필요한 제품 있을때마다귀찮게 인터넷으로 결제하고 택배 기다리지않고 그때마다 바로바로 와서 이곳에서 구매 해야겠어요 ], 긍정 텍스트 확률 : 99.98%"
"[명절당일휴무 업체로부터 소정의 원고료를 제공받았습니다 ], 긍정 텍스트 확률 : 57.17%"
"[디럭스형 가지 종류의 유모차에 대한 장단점을 정리하고 나니 마음이 바뀌기 시작했습니다.디럭스형장점 안정성프레임], 긍정 텍스트 확률 : 93.05%"
"[슬림한 크기], 긍정 텍스트 확률 : 56.98%"
"[핸들링엄마 입장에서의 장단점과 아기 입장에서의 장단점을 고민하고 나서야 결국 디럭스 유모차를 사기로 최종결정 했습니다.일단 네이버에서 디럭스 유모차를 검색해보았죠. 많은 브랜드들이 카페와 블로그에서 검색이 되더군요.리안 스핀로얄], 긍정 텍스트 확률 : 90.07%"
"[부가부 폭스], 긍정 텍스트 확률 : 56.44%"
"[적정 가격대 등등의 조건으로 추려내고 나니 최종 후보는이지워커 하비마마앤파파스 오카로잉글레시나 트릴로지이렇게 세가지를 고민하게 되었습니다.이제부터는 온라인에서 얻게된 정보를 가지고 오프라인 매장으로 가서 직접 눈으로 보고], 긍정 텍스트 확률 : 77.34%"
"[ 유모차를 직접 보게되니 후보는마마앤파파스 오카로], 긍정 텍스트 확률 : 71.11%"
"[상대적으로 무게가 가벼웠던 이지워커 하비가 무게가 가볍다 보니 이로인한 핸들링 부분에서 더 부르럽고 편했기 때문이었죠.물론 그밖에 편의성도 좋았습니다.엄마와 아기에게 좋은 하이시트 포지션앞바퀴 개], 긍정 텍스트 확률 : 97.79%"
"[ 세군데 오프라인 매장 비교 후 디럭스 유모차 최종 구입은 평택 베이비플러스에서 했습니다.당일날 이지워커 하비와 다이치 원픽스카시트 두가지 같이 구매해서 차에 싣고 집으로 왔습니다. ], 긍정 텍스트 확률 : 88.83%"
"[ ↑하이시트 포지션 어댑터와 신생아 패드], 긍정 텍스트 확률 : 62.66%"
"[그리고 방풍커버도 같이 받아 왔습니다. ], 긍정 텍스트 확률 : 53.07%"
"[ 다른 좋은 디럭스 유모차들도 참 많았지만 우리에게 딱 맞는 디럭스 유모차를 잘 산거 같아서 기분이 좋았습니다. 혹시나 우리와 같은 고민을 하고있을 예비 엄빠들에게 이 포스팅이 도움이 되길 바라면서 이지워커 하비 구매 포스팅을 마치도록 할께요 ], 긍정 텍스트 확률 : 97.79%"
"[곧 만 년이 다 되어가는 우리 부부에게정말정말 소중한 아가가 생겼어요], 긍정 텍스트 확률 : 61.88%"
"[사실유모차를 제일 신중하게 구매했다 고 해야 맞는 것 같아요. 임신 중일 때부터 베이비페어나 유아용품 매장을 수시로 가보며여러 종류의 유모차를 만져보고 끌어보고온라인으로 기능들을 검색해보고 난 후에다음에 더 좋은 게 나오면 그때 사자며 돌아오기를 반복했답니다. ㅠㅠ울 아가는 월에 태어나서외출할 때쯤이면 날씨가 추워져 외출을 못할 줄 알았기 때문이죠. ], 긍정 텍스트 확률 : 78.82%"
"[ 그.런.데.생각보다 외출할 일이 많네요가까운 병원에도 데려가야 하는 경우가 생기고], 긍정 텍스트 확률 : 64.55%"
"[ 낮에 햇살이 따뜻할 때에는 집 앞 마트에 간단하게 다녀오기도 했어요.아기와 함께 집에만 있다보니단 분이라도 밖에 나가서 걷고 싶은 날이 종종ㅠㅠ 있더라구요이제 생후 일 정도 되었지만], 긍정 텍스트 확률 : 98.78%"
"[ 잠깐의 외출을 할 일이 있을 때에도꼭 필요한 유모차.이제 미룰 수가 없었어요 ], 긍정 텍스트 확률 : 82.75%"
"[ 그래서 폭풍 검색을 시작했답니다유모차를 사려고 할 때 몇 가지 조건을 꼭 갖춘 것을 찾으려 했어요.. 접고 펴기가 쉬울 것. 남편이 절대적으로 요구하는 조건. 안정성이 높을 것.. 아기와 엄마가 모두 편할 것.. 그 밖에 무게도 조금 고려하고 싶었고], 긍정 텍스트 확률 : 96.26%"
"[색상도 ㅎㅎ그렇게 열심히 찾다보니이지워커 하비가 대부분의 조건을 만족시켰는데], 긍정 텍스트 확률 : 54.73%"
"[ 년까지 나온 모델은 색상이 아쉬웠어요.블랙], 긍정 텍스트 확률 : 56.09%"
"[금방 간단하게 완성했어요 ], 긍정 텍스트 확률 : 64.15%"
"[ 일단 조립 다 하고 찍은 사진부터데저트핑크 색상 입니다.제가 좋아하는 톤 다운된 핑크색이에요 넘 이쁘 ♡ ], 긍정 텍스트 확률 : 99.75%"
"[ 게다가 이번에 나온 이지워커 하비 는모든색상의 프레임이 블랙이에요.이전 버전의 하비는 주로 실버 프레임이 많고블랙 프레임은 구하기가 어려웠는데이번하비 는 모두블랙 프레임 이라는 점], 긍정 텍스트 확률 : 97.85%"
"[ 하비 는 통풍창이 상단에있는 것으로 바뀌었어요 아기를 보면서 보행할 수 있는 모양으로 바뀌어서이것도 하비를 선택하는 것에 도움이 되었답니다.아쉽다고 생각했던 점이 다 보완되어서 나왔으니선택을 하지 않을 수가 없었네요 ㅠㅠ ㅎㅎㅎ ], 긍정 텍스트 확률 : 82.81%"
"[ 하비의 가장 큰 장점 중의 하나인하이어 어댑터입니다.시트를 아이와 마주보게 했을 때하이어 어댑터를 사용하면 효과가 엄청나요가 높아지면서 아이와 눈맞춤하기도 좋고], 긍정 텍스트 확률 : 98.19%"
"[ 아이를 싣고 내릴 때는 정말 완전 편하고 좋고 ㅎㅎ하비 후기에 보면외식할 때 테이블 옆에 두고아이 확인하며 식사하기에도 정말 좋다고 하네요.다음에 외식을 하게 되면 ㅎㅎ 도저언이렇게 시트가 높은 유모차 모델이 많지 않은데하비의 정말 큰 장점이라고 생각하는 부분이에요. ], 긍정 텍스트 확률 : 99.98%"
"[ 그리고 남편이 가장 칭찬하는 부분은역시 폴딩 시트 분리 없이원터치로 접고 펼 수 있는원터치 폴딩은 이지워커 하비의 가장 큰 장점이에요.디럭스 유모차임에도폴딩이 쉽다는 점은휴대용 못지 않은 간편함을 느끼게 해요.남편이랑 조립하면서이 정도로 접고 펴기 쉬우면휴대용 필요없겠는데?라는 얘기를 할 정도였어요 ㅎㅎ ], 긍정 텍스트 확률 : 98.90%"
"[ 아기가 편하게 느끼는지가 가장 중요했는데유아용품 매장에서 하비을 태워봤을 때도 완전 편안해하더니 하비도 역시나 조립하고 태워보니 바로 하품을 하는 우리 아가 ♡매일 봐도 질리지 않는 귀여움이에요 ㅎㅎ ], 긍정 텍스트 확률 : 99.81%"
"[ 엊그제 집앞 공원에 잠깐 나갓을 때에도너무나 편안해하고 좋아했던 하비 유모차ㅎㅎ우리 아가는 일 정도 되었는데], 긍정 텍스트 확률 : 97.09%"
"[ 신생아 패드를 같이 주기 때문에 신생아 유모차로도 좋을 것 같아요아기와 엄마가 모두 편안하고 좋아해야 한다는 조건에 딱 맞았답니다정말 신중하게 고른 만큼 더욱 만족하는이지워커 하비자주 사용하고 오래 쓰는 육아용품이니정말 많이 고민해서 구매했어요.근데 정말정말 기대보다만족하는 유모차가 됐답니다.울 아가 앞으로 이지워커 하비 유모차 타고 좋은 곳 많이많이 다니자 ], 긍정 텍스트 확률 : 99.94%"
"[데져트 핑크 이렇게 네가지가 있는데 유행을 타지 않은 블랙으로 결정했다. 개인적으로 회색도 조금 탐났는데], 긍정 텍스트 확률 : 54.36%"
"[ 전에는 하이어댑터 때문에 촥 완벽하게 못접는 느낌이었는데], 긍정 텍스트 확률 : 62.56%"
