"[.키로인 녀석이 안아달라해서 이 녀석을 안고 개월 키로 둘째가 탄 유모차를 밀려니 정말 식은 땀이 나더라구요.우연히 코스트코에 갔다 웨건을 봤는데 가격이 저렴히고 둘다 좋아해서 라디오플라이어 웨건을 샀어요. 코스트코껀 안전벨트가 없어서 아직 어린 둘째를 태우기가 좀 그렇더라구요. 평상형이라 과일도시락을 펴주면 둘째도 혼자 먹는게 가능해서 편했어요. 그런데 어느날 신랑이 몸살에 걸려 쉬라고 시간동안 웨건에 두녀석 합이 .을 태우고 혼자 돌아다녔더니 그날 바로 몸살에 걸려 일은 앓아 누운것 같아요. 바퀴는 그냥 모양이었지 완전 제 팔 힘으로 끄는 거였어요. 핸들링은 제로였습니다. 손목이 완전 나갔어요 ㅠㅠ....... .......? 본문 이미지그때 바로 웨건에 대해 알아보기 시작했습니다. 처음 알아보았던건이었구요. 일단 여기서 구입이 바로 가능하니까요. 매장에 가서 끌어보는데 단단한 느낌은 있었지만 핸들링이 일당 지게차처럼 코너를 돌려면 제가 도를 돌아야했어요. 야외에서는 괜찮겠지만 마트라도 가기엔 부적절했어요. 또 저는 끄는 방식보다 유모차처럼 미는 방식이 좋더라구요. 아가들도 잘 있는지 볼수 있고 방향 조절도 쉬워서요. 끄는 방식은 개월 둘째가 밖으로 뭘 던져도 제가 모르더라구요. 혹시 한녀석이 일어나 서 있어도 앞에서 끌고 있는 제가 모르는건 아찔하더라구요. 첫째는 혼자 안전벨트 뺄수 있거든요 그리고 폴딩하려면 캐노피], 부정 텍스트 확률 : 92.67%"
"[트레이 등 모든 악세사리를 빼야하더라구요. 내렸다 탔다를 하루에도 몇번씩 하는데 전 못하겠더라구요. 뷔어의 개별 악세사리캐노피], 부정 텍스트 확률 : 78.91%"
"[트레이 등가격도 만만치 않아서 악세사리를 다 사려면 차라리 한국서 사는게 배송비 생각해도 더 싸더라구요. ....... .......? 본문 이미지그래서 추천받았던게 킨즈와 프론토였어요. 킨즈는 미국 아마존에서도 팔아요. 그렇지만 한국 킨즈와는 프레임이 다르고 더 약하더라구요. 여기 프레임은 ], 부정 텍스트 확률 : 76.78%"
"[폴딩시 오토락 기능], 부정 텍스트 확률 : 53.29%"
"[스크래치에 강한 프레임], 부정 텍스트 확률 : 59.00%"
"[바퀴가 더 커진 점이 변경내용이라 하더라구요. 예약구매하고 배송대행 우체국에 발송 부탁드렸어요. 배송대행 우체국은 봉화상운 우체국 이용했는데요. 배송대행 우체국 여러군데 써봤고], 부정 텍스트 확률 : 85.91%"
"[모두 친절하시지만 여기가 더 특별히 꼼꼼하더라구요. 박스 겉에 테이프 둘러주신 것만 봐도 아시겠죠? 악세사리 다 왔는지도 체크해주셨구요.스마트 접수로 프로 할인], 부정 텍스트 확률 : 70.04%"
"[박스비무료], 부정 텍스트 확률 : 90.02%"
"[핸들링은 디럭스 유모차라 진짜 예술이에요. 작은 차에도 쉽게 넣을수 있게 버튼 하나 누르면 바퀴 탈착이 쉽구요 제 차에는 이렇게 한쪽으로 넉넉하게 들어가요. 안전벨트도 유모차처럼 점씩 벨트라 안전하구요. ....... .......? 본문 이미지공원이나 바닷가 산책할때도 핸들링 전혀 무리없구요. 신발주머니가 별도로 망사로 있어서 아가들 신발 벗겨서 쉽게 넣구요아래쪽 바구니와 캐노피], 부정 텍스트 확률 : 99.83%"
"[유모차 오가나이저 모두 장착한 상태로 쉽게 폴딩 가능합니다. ....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지캐노피의 지퍼 부분을 열면 뒷바퀴 쪽에 앉은 아가 볼수 있구요 아가들 앉은 안쪽에 양옆으로 총 개의 주머니가 있어서 아가들 물컵이나 선그라스 넣어줄수 있어요 정리가 딱 되니 좋더라구요....... .......? 본문 이미지....... .......? 본문 이미지그리고 여기서는 유모차 악세사리 따로 너무 비싸게 파는데 모기장], 부정 텍스트 확률 : 64.58%"
"[슬리핑 커버], 부정 텍스트 확률 : 53.29%"
"[컵홀더], 부정 텍스트 확률 : 53.29%"
"[트레이], 부정 텍스트 확률 : 53.29%"
"[가죽 핸들커버], 부정 텍스트 확률 : 53.29%"
"[쿨시트], 부정 텍스트 확률 : 53.29%"
"[트레이], 부정 텍스트 확률 : 53.29%"
"[핸들커버], 부정 텍스트 확률 : 53.29%"
"[유모차 오가나이저와 쿨시트는 정말 유용해요.웨건에서 아가가 잘때 완전 침대처럼 눕게 되고 슬리핑 커버꺼지 해주니 암막커튼 같이 햇빛을 차단해줘서 어찌나 길게 자던지요 지퍼로 윗부분을 전부 둘러주는거라 장착도 금방되요. 이 폼포라 웨건 가지고 다니니 다들 신기해하며 어디서 샀냐 물어보기도 하고 어떤 꼬마는 엄마한테 ], 부정 텍스트 확률 : 97.68%"
"[이왕 배송비 들이시는 거면 현재 웨건중 제일 좋은 폼포라를 추천드려요. 한국서 오시는 분들은 아가 데리고 올때 유모차로 체크인하시면 좋을꺼같아요. ], 부정 텍스트 확률 : 72.35%"
"[ 아니예요], 부정 텍스트 확률 : 84.82%"
"[신생아부터쓸수있는건가요?], 부정 텍스트 확률 : 89.21%"
"[안그래두 유모차 구하고 있었는데요. 이제 일된 아기라서..혹시 신생아부터 사용 가능한건가요?], 부정 텍스트 확률 : 71.20%"
"[줄서볼께요], 부정 텍스트 확률 : 55.24%"
"[줄서용ㅠ], 부정 텍스트 확률 : 83.11%"
"[갈마동에서 가까운분 가져가세요], 부정 텍스트 확률 : 53.22%"
"[저 라이더는 파실 생각 없으신가요??], 부정 텍스트 확률 : 78.57%"
"[저는 며칠전 킨즈웨건 아마존에서 시켰는데ㅠ한국꺼보다 더 약하다니 지금 어찌해야하나 고민되네요 ㅠㅠ저는 트레이때문에 한국 킨즈웨건이랑 얘기해봤는데 미국이랑 규격이 달라서 트레이가 호환이 안된다는 답변듣고 실망에 실망을 했답니다 ㅜㅜ이 제품을 리턴해야하는지 어째야하는지 남편과 얘기해봐야겠어요 ㅜㅜ쫌만 천천히 살껄 그랬나봐요.], 부정 텍스트 확률 : 93.52%"
"[작년에 이 후기 봤으면 샀겠는데요 ㅎㅎㅎ 큰애 개월이라 이제는 미련을 버려야할거같아요.], 부정 텍스트 확률 : 76.82%"
"[와 유모차만 세대이고 심지어 아기도 하나인데 저도 사고싶네요.. ㅋㅋ], 부정 텍스트 확률 : 97.40%"
